# Matter power spectrum P(k) at redshift z=0
# for k=1.04766e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047655867215e-05       4.958778422552e+01 
       2.356532262583e-05       1.086207385488e+02 
       3.670121844005e-05       1.667324517126e+02 
       4.992074056578e-05       2.245124224841e+02 
       6.326100297402e-05       2.823038742961e+02 
       7.676008081180e-05       3.403692831500e+02 
       9.045736327304e-05       3.989367223721e+02 
       1.043939225198e-04       4.582189466688e+02 
       1.186129035248e-04       5.184232851355e+02 
       1.331599397420e-04       5.797577377083e+02 
       1.480835995090e-04       6.424353039662e+02 
       1.634358680079e-04       7.066774347248e+02 
       1.792726693797e-04       7.727170437102e+02 
       1.956544331311e-04       8.408013124566e+02 
       2.126467081574e-04       9.111944189326e+02 
       2.303208263820e-04       9.841802622270e+02 
       2.487546159731e-04       1.060065217167e+03 
       2.680331610676e-04       1.139180921992e+03 
       2.882496005901e-04       1.221887072527e+03 
       3.095059526956e-04       1.308574163402e+03 
       3.319139431327e-04       1.399666077748e+03 
       3.555958049667e-04       1.495622379007e+03 
       3.806850031787e-04       1.596940100538e+03 
       4.073268204728e-04       1.704154760190e+03 
       4.356787203239e-04       1.817840249625e+03 
       4.659103807950e-04       1.938607166741e+03 
       4.982032699120e-04       2.067099083648e+03 
       5.327496140012e-04       2.203986188090e+03 
       5.697505998672e-04       2.349955726026e+03 
       6.094136576124e-04       2.505698737315e+03 
       6.519487023157e-04       2.671892748603e+03 
       6.975632785737e-04       2.849180397418e+03 
       7.464566577653e-04       3.038144422633e+03 
       7.988130820457e-04       3.239280050357e+03 
       8.547945179581e-04       3.452966465733e+03 
       9.145334483117e-04       3.679439672341e+03 
       9.781263538784e-04       3.918769445095e+03 
       1.045628573745e-03       4.170843118923e+03 
       1.117051153702e-03       4.435358513853e+03 
       1.192360091577e-03       4.711827371585e+03 
       1.271478097671e-03       4.999589398401e+03 
       1.354288667733e-03       5.297835625861e+03 
       1.440641986739e-03       5.605638625940e+03 
       1.477104874446e-03       5.734629071518e+03 
       1.530362002502e-03       5.921986426680e+03 
       1.623253955674e-03       6.245816907346e+03 
       1.719111717992e-03       6.576049953273e+03 
       1.817724437429e-03       6.911615492240e+03 
       1.918882171115e-03       7.251476421957e+03 
       2.022380363128e-03       7.594638334861e+03 
       2.128023167592e-03       7.940172338150e+03 
       2.235625716482e-03       8.287237109961e+03 
       2.345015487277e-03       8.635053359792e+03 
