# Matter power spectrum P(k) at redshift z=0
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.025461794787e+01 
       2.328394053593e-05       1.092588133453e+02 
       3.618085057956e-05       1.673442956790e+02 
       4.915731229570e-05       2.250896603918e+02 
       6.224843820094e-05       2.828309626713e+02 
       7.549022142798e-05       3.408241471419e+02 
       8.891985733399e-05       3.992907309147e+02 
       1.025760792937e-04       4.584366070626e+02 
       1.164995129695e-04       5.184617537005e+02 
       1.307330533843e-04       5.795661741705e+02 
       1.453222691301e-04       6.419540742966e+02 
       1.603158379875e-04       7.058371575663e+02 
       1.757660180601e-04       7.714374708433e+02 
       1.917291581672e-04       8.389900314237e+02 
       2.082662506016e-04       9.087453652478e+02 
       2.254435283090e-04       9.809720295289e+02 
       2.433331069287e-04       1.055959156633e+03 
       2.620136697279e-04       1.134019027994e+03 
       2.815711900079e-04       1.215489660834e+03 
       3.020996807309e-04       1.300737362502e+03 
       3.237019545486e-04       1.390159174541e+03 
       3.464903687063e-04       1.484185088999e+03 
       3.705875180809e-04       1.583279871465e+03 
       3.961268256325e-04       1.687944268224e+03 
       4.232529628089e-04       1.798715309508e+03 
       4.521220134365e-04       1.916165350238e+03 
       4.829012746432e-04       2.040899420405e+03 
       5.157685698202e-04       2.173550400567e+03 
       5.509109354813e-04       2.314771511004e+03 
       5.885225417839e-04       2.465225628843e+03 
       6.288017225945e-04       2.625571053557e+03 
       6.719470331201e-04       2.796443555125e+03 
       7.181523277310e-04       2.978434879875e+03 
       7.676009597983e-04       3.172068355607e+03 
       8.204593432226e-04       3.377772795628e+03 
       8.768702648160e-04       3.595856474329e+03 
       9.369464692513e-04       3.826483417827e+03 
       1.000765118056e-03       4.069654483544e+03 
       1.068363717551e-03       4.325195568569e+03 
       1.139737999336e-03       4.592754725043e+03 
       1.214842028438e-03       4.871809007808e+03 
       1.293590545006e-03       5.161680685235e+03 
       1.375863271815e-03       5.461561249631e+03 
       1.461510700454e-03       5.770540739496e+03 
       1.477104874446e-03       5.826447663111e+03 
       1.550360745879e-03       6.087639446422e+03 
       1.642225644979e-03       6.411839199443e+03 
       1.736908554575e-03       6.742111998183e+03 
       1.834209443642e-03       7.077444566501e+03 
       1.933930034512e-03       7.416858159985e+03 
       2.035877696326e-03       7.759412249010e+03 
       2.139868311060e-03       8.104239242656e+03 
       2.245728211231e-03       8.450544154362e+03 
       2.353295331039e-03       8.797592200002e+03 
       2.462419726797e-03       9.144717304181e+03 
       2.572963616953e-03       9.491320117333e+03 
       2.684801075112e-03       9.836864761242e+03 
       2.797817487421e-03       1.018087478940e+04 
       2.911908862923e-03       1.052292868244e+04 
       3.026981064422e-03       1.086265511747e+04 
       3.142949009385e-03       1.119972823437e+04 
       3.259735875652e-03       1.153386308586e+04 
       3.377272335253e-03       1.186481144491e+04 
       3.495495830894e-03       1.219235793796e+04 
       3.614349903319e-03       1.251631653369e+04 
       3.733783573209e-03       1.283652734306e+04 
       3.853750778159e-03       1.315285375275e+04 
       3.974209863231e-03       1.346517988052e+04 
       4.095123122301e-03       1.377340832124e+04 
       4.216456386684e-03       1.407745812146e+04 
       4.338178657191e-03       1.437726296234e+04 
       4.460261775683e-03       1.467276948340e+04 
       4.582680132289e-03       1.496393578804e+04 
       4.705410404617e-03       1.525073011607e+04 
       4.828431325585e-03       1.553312993720e+04 
       4.951723476731e-03       1.581112020778e+04 
       5.075269104183e-03       1.608469275576e+04 
       5.199051954738e-03       1.635384545062e+04 
       5.323057129758e-03       1.661857990765e+04 
       5.447270954867e-03       1.687890466442e+04 
       5.571680863622e-03       1.713483266792e+04 
       5.696275293575e-03       1.738637961702e+04 
       5.821043593302e-03       1.763356449030e+04 
       5.945975939161e-03       1.787640918202e+04 
       6.071063260659e-03       1.811493818238e+04 
       6.196297173482e-03       1.834917828306e+04 
       6.321669919309e-03       1.857915830944e+04 
       6.447174311672e-03       1.880490890033e+04 
       6.572803687183e-03       1.902646217770e+04 
       6.698551861550e-03       1.924385158223e+04 
       6.824413089864e-03       1.945711166101e+04 
       6.950382030691e-03       1.966627786868e+04 
       7.076453713572e-03       1.987138640678e+04 
       7.202623509563e-03       2.007247407870e+04 
       7.328887104517e-03       2.026957816979e+04 
       7.455240474799e-03       2.046273635692e+04 
       7.581679865208e-03       2.065198662652e+04 
       7.708201768875e-03       2.083736722102e+04 
       7.834802908933e-03       2.101891658875e+04 
       7.961480221797e-03       2.119667334305e+04 
       8.088230841888e-03       2.137067622969e+04 
       8.215052087661e-03       2.154096408205e+04 
       8.341941448816e-03       2.170757578877e+04 
       8.468896574583e-03       2.187055024370e+04 
       8.595915262971e-03       2.202992630099e+04 
       8.722995450896e-03       2.218574272726e+04 
       8.850135205119e-03       2.233803814709e+04 
       8.977332713896e-03       2.248685100333e+04 
       9.104586279304e-03       2.263221950738e+04 
       9.231894310165e-03       2.277418161354e+04 
       9.359255315515e-03       2.291277498904e+04 
       9.486667898590e-03       2.304803700842e+04 
       9.614130751257e-03       2.318000475163e+04 
