# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.447963810409e-10       4.708803020376e-15       3.811215010157e-13       2.512410973158e-19       8.604940259579e-09       4.760490387885e-10      -2.003878961987e-12 
    3       1.369547519497e-10       6.418023733932e-15       4.399710124925e-13       5.025520386060e-19       5.329394495433e-09       3.381508549769e-10      -1.571330330911e-12 
    4       1.294866317977e-10       5.939131865708e-15       4.221017877963e-13       8.377420758393e-19       3.710202520047e-09       2.563416355369e-10      -1.079570479024e-12 
    5       1.238340956157e-10       4.272292217694e-15       3.693877518398e-13       1.256904650786e-18       2.769066170311e-09       2.026381357877e-10      -6.480610161096e-13 
    6       1.199048132260e-10       2.574749650904e-15       3.065296338379e-13       1.760156682312e-18       2.162903145621e-09       1.649632086569e-10      -3.132794807888e-13 
    7       1.173172573432e-10       1.454377998219e-15       2.483657412335e-13       2.347638446336e-18       1.745641394147e-09       1.373070435683e-10      -8.330824072100e-14 
    8       1.157614753065e-10       9.283832832347e-16       2.020241895958e-13       3.019513250432e-18       1.443447526403e-09       1.163172852556e-10       5.047857860227e-14 
    9       1.149768941937e-10       7.402683242671e-16       1.698783634429e-13       3.775966824090e-18       1.216084536623e-09       9.998611309549e-11       1.063763457482e-13 
   10       1.147450975408e-10       6.561989465939e-16       1.513750307439e-13       4.617206347621e-18       1.040033444211e-09       8.702310684048e-11       1.073030157811e-13 
   11       1.149695096597e-10       5.800526262999e-16       1.442399582157e-13       5.543459050175e-18       8.763467616494e-10       7.684014423270e-11       7.667569788187e-14 
   12       1.155258206710e-10       5.174365764002e-16       1.454260817308e-13       6.554970320150e-18       7.659266953043e-10       6.798643862369e-11       3.409894623489e-14 
   13       1.163399176976e-10       4.961791617701e-16       1.519284584454e-13       7.652001288928e-18       6.752596332326e-10       6.077139783282e-11      -5.340029655580e-15 
   14       1.173390994132e-10       5.218428042181e-16       1.612497594235e-13       8.834825870722e-18       5.998052473313e-10       5.447206362171e-11      -3.374931493934e-14 
   15       1.185275555475e-10       5.804198594597e-16       1.716367087900e-13       1.010372726634e-17       5.362780307916e-10       4.918322423514e-11      -4.763422142534e-14 
   16       1.198534160925e-10       6.590618299693e-16       1.820384904954e-13       1.145899396573e-17       4.822535304363e-10       4.465046692239e-11      -4.847544458643e-14 
   17       1.212953617522e-10       7.573815851263e-16       1.919070634412e-13       1.290091531196e-17       4.359001443340e-10       4.070618864883e-11      -4.035227893963e-14 
   18       1.228164436824e-10       8.839433533713e-16       2.012909288240e-13       1.442977700263e-17       3.956597427796e-10       3.722526997918e-11      -2.847342823270e-14 
   19       1.244279924389e-10       1.043587172550e-15       2.104571512361e-13       1.604585464041e-17       3.608970671435e-10       3.417622786053e-11      -1.666864084301e-14 
   20       1.261036875480e-10       1.238181742023e-15       2.197059056751e-13       1.774941162778e-17       3.302741042391e-10       3.148396534263e-11      -8.519908305532e-15 
   21       1.278524332926e-10       1.465719491794e-15       2.291494699476e-13       1.954069050133e-17       3.033115602886e-10       2.910389465111e-11      -5.024911515804e-15 
   22       1.296611765986e-10       1.722424244383e-15       2.387782384572e-13       2.141991115240e-17       2.793662021963e-10       2.696322708462e-11      -5.933651973483e-15 
   23       1.315263291838e-10       2.008390527723e-15       2.483944921008e-13       2.338726390888e-17       2.581100101044e-10       2.503752376136e-11      -9.976909004623e-15 
   24       1.334278406820e-10       2.324579435803e-15       2.576691207868e-13       2.544290766232e-17       2.390527398526e-10       2.329688769260e-11      -1.523458722734e-14 
   25       1.353790127132e-10       2.670773358247e-15       2.662293229543e-13       2.758696574803e-17       2.219710678000e-10       2.173683331714e-11      -2.010787761124e-14 
   26       1.373845337649e-10       3.046342966720e-15       2.736611318751e-13       2.981952332632e-17       2.065566377680e-10       2.034213368268e-11      -2.310793991148e-14 
   27       1.394301471095e-10       3.451860626351e-15       2.796907250450e-13       3.214062611357e-17       1.926250689334e-10       1.908208887269e-11      -2.386832283162e-14 
   28       1.414878747774e-10       3.888445408793e-15       2.841160977433e-13       3.455027899156e-17       1.799366812671e-10       1.791471058594e-11      -2.252601747695e-14 
   29       1.435681295982e-10       4.358034975800e-15       2.869447792222e-13       3.704845515520e-17       1.684270357432e-10       1.683838858979e-11      -1.972822258658e-14 
   30       1.456828185638e-10       4.863057040079e-15       2.882875406007e-13       3.963508491800e-17       1.579729216995e-10       1.585610947947e-11      -1.648714558284e-14 
   31       1.478328934330e-10       5.405904254850e-15       2.882826972111e-13       4.231005818861e-17       1.483615498177e-10       1.496193195461e-11      -1.389056474043e-14 
   32       1.500207311787e-10       5.987533689441e-15       2.869799000823e-13       4.507325300045e-17       1.395435218449e-10       1.414711379748e-11      -1.226765293850e-14 
   33       1.522395508977e-10       6.608331262836e-15       2.844155582875e-13       4.792451374072e-17       1.314566826974e-10       1.339442416805e-11      -1.171625730617e-14 
   34       1.544758716994e-10       7.268573158278e-15       2.806145718037e-13       5.086365327302e-17       1.239881067226e-10       1.268298703138e-11      -1.223395014171e-14 
   35       1.567346839350e-10       7.968829102933e-15       2.754893318567e-13       5.389049327001e-17       1.170997272182e-10       1.201425209473e-11      -1.343372419449e-14 
   36       1.590213364359e-10       8.709687188036e-15       2.689030970240e-13       5.700483590545e-17       1.107364434985e-10       1.139428896362e-11      -1.471439272050e-14 
   37       1.613361579994e-10       9.491661893702e-15       2.607144820188e-13       6.020646971939e-17       1.048156265375e-10       1.082609604112e-11      -1.547598219234e-14 
   38       1.636816399194e-10       1.031525911218e-14       2.508459341198e-13       6.349522940541e-17       9.932208137245e-11       1.030768836082e-11      -1.563800998247e-14 
   39       1.660563988398e-10       1.118092640701e-14       2.392362689757e-13       6.687095583139e-17       9.423846908922e-11       9.832827791408e-12      -1.528887449883e-14 
