# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448072647204e-10       4.692415976745e-15       3.802753152360e-13       0.000000000000e+00       8.664670924671e-09       4.757434955188e-10      -2.000000850473e-12 
    3       1.369664702856e-10       6.372738233502e-15       4.370255735222e-13       0.000000000000e+00       5.322901862003e-09       3.380151665993e-10      -1.567745245762e-12 
    4       1.294952537826e-10       5.866494658202e-15       4.170872490011e-13       0.000000000000e+00       3.704961401106e-09       2.563629024640e-10      -1.075675205321e-12 
    5       1.238446711865e-10       4.178019167921e-15       3.620416599314e-13       0.000000000000e+00       2.768319981555e-09       2.027055277109e-10      -6.439374052969e-13 
    6       1.199245911160e-10       2.467041757262e-15       2.966242856583e-13       0.000000000000e+00       2.164248126240e-09       1.650295037717e-10      -3.091660540151e-13 
    7       1.173523003008e-10       1.340840719695e-15       2.357907725054e-13       0.000000000000e+00       1.747241511949e-09       1.373569790316e-10      -7.927133981132e-14 
    8       1.158198484111e-10       8.141650517917e-16       1.867144125452e-13       0.000000000000e+00       1.444634586473e-09       1.163561136577e-10       5.442824866654e-14 
    9       1.150660216460e-10       6.277895862727e-16       1.518101725403e-13       0.000000000000e+00       1.216578790579e-09       1.000145524519e-10       1.102831639588e-13 
   10       1.148696379451e-10       5.451082945568e-16       1.306031649040e-13       0.000000000000e+00       1.039762186662e-09       8.703631118886e-11       1.112519503237e-13 
   11       1.151390759238e-10       4.671679493130e-16       1.208394439772e-13       0.000000000000e+00       8.771121140601e-10       7.685923770214e-11       8.078018178476e-14 
   12       1.157471591588e-10       3.968392987979e-16       1.195344412092e-13       0.000000000000e+00       7.666280419655e-10       6.801023949935e-11       3.853441844657e-14 
   13       1.166199561707e-10       3.597009834929e-16       1.237035411659e-13       0.000000000000e+00       6.759057170534e-10       6.080217657024e-11      -5.770230705991e-16 
   14       1.176829960420e-10       3.599662927074e-16       1.308929855427e-13       0.000000000000e+00       6.004033079828e-10       5.450718872910e-11      -2.857418657507e-14 
   15       1.189417629352e-10       3.830553597779e-16       1.394060898103e-13       0.000000000000e+00       5.368338753154e-10       4.921926790739e-11      -4.217381574033e-14 
   16       1.203448322220e-10       4.161056220335e-16       1.481779365114e-13       0.000000000000e+00       4.827719605337e-10       4.468495319078e-11      -4.287473584599e-14 
   17       1.218677811989e-10       4.589133361838e-16       1.567121733500e-13       0.000000000000e+00       4.363851349112e-10       4.073640517986e-11      -3.473246763824e-14 
   18       1.234751132598e-10       5.201034892037e-16       1.650930000016e-13       0.000000000000e+00       3.961149211182e-10       3.724839904246e-11      -2.289412529802e-14 
   19       1.251783864599e-10       6.044767961131e-16       1.735633459782e-13       0.000000000000e+00       3.613247587561e-10       3.419206960168e-11      -1.115470755243e-14 
