# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448015304145e-10       4.689692735090e-15       3.799193474464e-13       0.000000000000e+00       8.636014702447e-09       4.760241933339e-10      -2.000592650542e-12 
    3       1.369596266662e-10       6.370269341193e-15       4.369135265623e-13       0.000000000000e+00       5.332415819604e-09       3.380733437134e-10      -1.567532820677e-12 
    4       1.294917878169e-10       5.862800812990e-15       4.169334757557e-13       0.000000000000e+00       3.709222148549e-09       2.563150896345e-10      -1.075382168017e-12 
    5       1.238439729944e-10       4.173570824342e-15       3.618303317047e-13       0.000000000000e+00       2.768917316642e-09       2.026523833995e-10      -6.436633925061e-13 
    6       1.199254871003e-10       2.462819981291e-15       2.963956498054e-13       0.000000000000e+00       2.163800143955e-09       1.649973964500e-10      -3.088633092674e-13 
    7       1.173548460543e-10       1.337360345606e-15       2.355375792569e-13       0.000000000000e+00       1.746504656596e-09       1.373410435115e-10      -7.896937705770e-14 
    8       1.158239938519e-10       8.116783885435e-16       1.864442060938e-13       0.000000000000e+00       1.444202428620e-09       1.163527086988e-10       5.471821131750e-14 
    9       1.150713894138e-10       6.262378733416e-16       1.515454161466e-13       0.000000000000e+00       1.216860581380e-09       1.000224859787e-10       1.105589487237e-13 
   10       1.148767601069e-10       5.442605225559e-16       1.303374867279e-13       0.000000000000e+00       1.040646072252e-09       8.704882038051e-11       1.115117231027e-13 
   11       1.151468218124e-10       4.667455168307e-16       1.205860565779e-13       0.000000000000e+00       8.771090948833e-10       7.686385486600e-11       8.101704409686e-14 
   12       1.157557488974e-10       3.965841007401e-16       1.192908422646e-13       0.000000000000e+00       7.666252882028e-10       6.800799324039e-11       3.873042028606e-14 
   13       1.166296436915e-10       3.594196854493e-16       1.234840957139e-13       0.000000000000e+00       6.759033941208e-10       6.079333565929e-11      -4.338427629793e-16 
   14       1.176932609183e-10       3.594863827769e-16       1.307047763087e-13       0.000000000000e+00       6.004012194816e-10       5.449421008505e-11      -2.847231737727e-14 
   15       1.189534570844e-10       3.822840833269e-16       1.392242531929e-13       0.000000000000e+00       5.368319274212e-10       4.920522352571e-11      -4.208087245372e-14 
   16       1.203575553287e-10       4.150260879271e-16       1.480205026229e-13       0.000000000000e+00       4.827701557174e-10       4.467234274818e-11      -4.275538717239e-14 
   17       1.218816272573e-10       4.574866579761e-16       1.565903487349e-13       0.000000000000e+00       4.363834227607e-10       4.072685655489e-11      -3.457390565727e-14 
   18       1.234901545947e-10       5.183425990216e-16       1.649708733626e-13       0.000000000000e+00       3.961130347660e-10       3.724266106794e-11      -2.271749992598e-14 
   19       1.251945180506e-10       6.024386793749e-16       1.734448348304e-13       0.000000000000e+00       3.613233141207e-10       3.418993778173e-11      -1.099237832057e-14 
   20       1.269676841514e-10       7.118219682084e-16       1.823398123275e-13       0.000000000000e+00       3.306756904754e-10       3.149592535091e-11      -2.957097526002e-15 
   21       1.288185967452e-10       8.446359250655e-16       1.917728522225e-13       0.000000000000e+00       3.036906945513e-10       2.911487128768e-11       4.204682468754e-16 
   22       1.307344037252e-10       9.973373518299e-16       2.017282340812e-13       0.000000000000e+00       2.797246964394e-10       2.697174758524e-11      -5.763053226420e-16 
