# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448020496375e-10       4.689951119430e-15       3.799193429746e-13       2.583842032495e-19       8.636014702447e-09       4.760241933339e-10      -2.000592650542e-12 
    3       1.369606626127e-10       6.370786170515e-15       4.369135066342e-13       5.168279729631e-19       5.332415819604e-09       3.380733437134e-10      -1.567532820677e-12 
    4       1.294935089075e-10       5.863662332862e-15       4.169334184964e-13       8.615132347686e-19       3.709222148549e-09       2.563150896345e-10      -1.075382168017e-12 
    5       1.238465445030e-10       4.174863368952e-15       3.618302012666e-13       1.292521850973e-18       2.768917316642e-09       2.026523833995e-10      -6.436633925061e-13 
    6       1.199290705219e-10       2.464630001479e-15       2.963953933327e-13       1.809958022678e-18       2.163800143955e-09       1.649973964500e-10      -3.088633092674e-13 
    7       1.173595985678e-10       1.339774439757e-15       2.355371241258e-13       2.413949236499e-18       1.746504656596e-09       1.373410435115e-10      -7.896937705770e-14 
    8       1.158300678893e-10       8.147833359472e-16       1.864434574690e-13       3.104647120571e-18       1.444202428620e-09       1.163527086988e-10       5.471821131750e-14 
    9       1.150789323430e-10       6.301206692129e-16       1.515442548775e-13       3.882228083862e-18       1.216860581380e-09       1.000224859787e-10       1.105589487237e-13 
   10       1.148859140324e-10       5.490084135011e-16       1.303357676021e-13       4.746893612235e-18       1.040646072252e-09       8.704882038051e-11       1.115117231027e-13 
   11       1.151577234926e-10       4.724460351885e-16       1.205836069366e-13       5.698870101648e-18       8.771090948833e-10       7.686385486600e-11       8.101704409686e-14 
   12       1.157685297752e-10       4.033250959328e-16       1.192874609764e-13       6.738408123186e-18       7.666252882028e-10       6.800799324039e-11       3.873042028606e-14 
   13       1.166444300294e-10       3.672893502854e-16       1.234795524930e-13       7.865781035810e-18       6.759033941208e-10       6.079333565929e-11      -4.338427629793e-16 
   14       1.177101740272e-10       3.685732725583e-16       1.306988113582e-13       9.081282889803e-18       6.004012194816e-10       5.449421008505e-11      -2.847231737727e-14 
   15       1.189726136315e-10       3.926771256595e-16       1.392165771469e-13       1.038522559586e-17       5.368319274212e-10       4.920522352571e-11      -4.208087245372e-14 
   16       1.203790677076e-10       4.268145813034e-16       1.480107967548e-13       1.177793536998e-17       4.827701557174e-10       4.467234274818e-11      -4.275538717239e-14 
   17       1.219056040026e-10       4.707602575074e-16       1.565782654011e-13       1.325974850145e-17       4.363834227607e-10       4.072685655489e-11      -3.457390565727e-14 
   18       1.235167008305e-10       5.331912891815e-16       1.649560366619e-13       1.483100693090e-17       3.961130347660e-10       3.724266106794e-11      -2.271749992598e-14 
   19       1.252237359019e-10       6.189527267178e-16       1.734268413619e-13       1.649205093592e-17       3.613233141207e-10       3.418993778173e-11      -1.099237832057e-14 
   20       1.269996732359e-10       7.300918704099e-16       1.823182322477e-13       1.824321779770e-17       3.306756904754e-10       3.149592535091e-11      -2.957097526002e-15 
   21       1.288534545077e-10       8.647523327780e-16       1.917472302126e-13       2.008483071232e-17       3.036906945513e-10       2.911487128768e-11       4.204682468754e-16 
   22       1.307722258637e-10       1.019390988152e-15       2.016980906404e-13       2.201719793474e-17       2.797246964394e-10       2.697174758524e-11      -5.763053226420e-16 
   23       1.327516539965e-10       1.194202582502e-15       2.119663810057e-13       2.404060297507e-17       2.584495514940e-10       2.504246425087e-11      -4.656309274497e-15 
   24       1.347707928181e-10       1.390228856664e-15       2.222170009214e-13       2.615530364818e-17       2.393747583621e-10       2.329851883986e-11      -9.887917267875e-15 
   25       1.368433040559e-10       1.607193985416e-15       2.320859492277e-13       2.836152456208e-17       2.222768957509e-10       2.173684358595e-11      -1.469192047212e-14 
   26       1.389744846378e-10       1.844412766913e-15       2.411701802569e-13       3.065945563907e-17       2.068474137692e-10       2.034315660212e-11      -1.761433634684e-14 
   27       1.411492226084e-10       2.102588140720e-15       2.491868515886e-13       3.304924783934e-17       1.929018413264e-10       1.908464956077e-11      -1.831755854167e-14 
   28       1.433383344956e-10       2.383032190435e-15       2.559188803583e-13       3.553101245815e-17       1.802003533335e-10       1.791650766150e-11      -1.696406586177e-14 
   29       1.455521284946e-10       2.687734447795e-15       2.613684754895e-13       3.810482664906e-17       1.686785015987e-10       1.683740075933e-11      -1.419991679603e-14 
   30       1.478028705012e-10       3.019131021052e-15       2.656446252459e-13       4.077072422634e-17       1.582130015239e-10       1.585183273912e-11      -1.102567833989e-14 
   31       1.500918995820e-10       3.379634306373e-15       2.688832750245e-13       4.352869798745e-17       1.485909026744e-10       1.495540180392e-11      -8.515331535112e-15 
   32       1.524213878640e-10       3.770286348588e-15       2.711252991344e-13       4.637872528854e-17       1.397627921258e-10       1.413934223177e-11      -6.988218742625e-15 
   33       1.547841499752e-10       4.191586326062e-15       2.723959060498e-13       4.932074723462e-17       1.316664818914e-10       1.338582257399e-11      -6.532253510815e-15 
   34       1.571663907318e-10       4.643957675571e-15       2.727072245775e-13       5.235467120509e-17       1.241889606446e-10       1.267336428948e-11      -7.134907387842e-15 
   35       1.595733317112e-10       5.128224875135e-15       2.719544832626e-13       5.548041183042e-17       1.172921453438e-10       1.200343752133e-11      -8.404518035104e-15 
   36       1.620108160587e-10       5.645290552459e-15       2.699813895346e-13       5.869786138065e-17       1.109208977273e-10       1.138234775777e-11      -9.737077100814e-15 
   37       1.644795991150e-10       6.196016331692e-15       2.666267924513e-13       6.200689657414e-17       1.049925207232e-10       1.081331963965e-11      -1.053186278081e-14 
   38       1.669817684290e-10       6.781259057332e-15       2.617978010833e-13       6.540744394611e-17       9.949181899128e-11       1.029436420280e-11      -1.071540259858e-14 
   39       1.695152153496e-10       7.401840513764e-15       2.554194715330e-13       6.889943541776e-17       9.440144829000e-11       9.819157066985e-12      -1.038731587287e-14 
   40       1.720710613112e-10       8.058533590484e-15       2.474150169758e-13       7.248279101750e-17       8.967299584364e-11       9.377172055662e-12      -9.683304281635e-15 
   41       1.746383609335e-10       8.752045034985e-15       2.377240667272e-13       7.615743944566e-17       8.524387279659e-11       8.956907701744e-12      -8.765550794847e-15 
   42       1.772216583407e-10       9.482964779089e-15       2.263649705314e-13       7.992338737347e-17       8.110112207348e-11       8.557650599362e-12      -7.783989096380e-15 
   43       1.798280217678e-10       1.025179464116e-14       2.133925115002e-13       8.378067301611e-17       7.723381924836e-11       8.180966857489e-12      -6.906744978387e-15 
   44       1.824618725392e-10       1.105895675796e-14       1.988823286902e-13       8.772934925894e-17       7.361392357243e-11       7.827370416448e-12      -6.332913192660e-15 
   45       1.851253688817e-10       1.190484029698e-14       1.829033531658e-13       9.176949094338e-17       7.020631115671e-11       7.496479593852e-12      -6.234128489685e-15 
   46       1.878203994107e-10       1.278996818271e-14       1.654226866389e-13       9.590121555359e-17       6.700566338646e-11       7.187768856242e-12      -6.554413543630e-15 
   47       1.905466765596e-10       1.371487304248e-14       1.463741641532e-13       1.001246714345e-16       6.400828812729e-11       6.899878425782e-12      -7.153406054844e-15 
   48       1.933008520655e-10       1.468004935471e-14       1.256840214080e-13       1.044400345186e-16       6.120099257146e-11       6.630301823518e-12      -7.859599231932e-15 
   49       1.960762570456e-10       1.568595216548e-14       1.032703482485e-13       1.088475102526e-16       5.856037653096e-11       6.375304373884e-12      -8.468590450260e-15 
   50       1.988658582982e-10       1.673295004306e-14       7.905635367804e-14       1.133473169360e-16       5.605988761766e-11       6.130986227093e-12      -8.797307926714e-15 
   51       2.016726762471e-10       1.782117186491e-14       5.301567360101e-14       1.179396259360e-16       5.369488400149e-11       5.897000663034e-12      -8.868106392206e-15 
   52       2.045017455360e-10       1.895061622416e-14       2.513841667974e-14       1.226246085751e-16       5.146315306839e-11       5.673704208973e-12      -8.771614807295e-15 
   53       2.073570399614e-10       2.012119020125e-14      -4.581471318030e-15       1.274024543274e-16       4.935741077922e-11       5.461073354278e-12      -8.615987792326e-15 
   54       2.102413639001e-10       2.133270592698e-14      -3.614610407447e-14       1.322733718708e-16       4.736496022811e-11       5.258676914589e-12      -8.527788545518e-15 
   55       2.131565481954e-10       2.258495496279e-14      -6.955786748121e-14       1.372375502340e-16       4.547157001897e-11       5.065903864318e-12      -8.620532918717e-15 
   56       2.161043435287e-10       2.387796095341e-14      -1.048335204305e-13       1.422950285269e-16       4.367501986195e-11       4.882776423882e-12      -8.889148145271e-15 
   57       2.190855588080e-10       2.521178371843e-14      -1.419934157716e-13       1.474457956910e-16       4.197432193206e-11       4.709290554463e-12      -9.290841894762e-15 
   58       2.220996815482e-10       2.658644653764e-14      -1.810575543234e-13       1.526898270769e-16       4.036562269321e-11       4.545160889005e-12      -9.774775160464e-15 
   59       2.251447811617e-10       2.800193574592e-14      -2.220456495934e-13       1.580270839411e-16       3.884202586505e-11       4.389803049695e-12      -1.028168522254e-14 
   60       2.282174122475e-10       2.945820032811e-14      -2.649771924965e-13       1.634575129435e-16       3.739341538981e-11       4.242315965440e-12      -1.074350861120e-14 
