# Matter power spectrum P(k) at redshift z=0
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.025461770248e+01 
       2.328502756704e-05       1.092637459884e+02 
       3.618303370179e-05       1.673540583374e+02 
       4.916060935589e-05       2.251042529341e+02 
       6.225287605233e-05       2.828504454251e+02 
       7.549583628224e-05       3.408486301130e+02 
       8.892669525137e-05       3.993203704675e+02 
       1.025841968192e-04       4.584716055863e+02 
       1.165089779256e-04       5.185023609298e+02 
       1.307439458338e-04       5.796126896683e+02 
       1.453346825239e-04       6.420068509005e+02 
       1.603298805161e-04       7.058966057253e+02 
       1.757818142279e-04       7.715040638289e+02 
       1.917468506135e-04       8.390643114282e+02 
       2.082860021889e-04       9.088279503934e+02 
       2.254655245032e-04       9.810636218103e+02 
       2.433575584919e-04       1.056060550802e+03 
       2.620408157402e-04       1.134131121367e+03 
       2.816013012276e-04       1.215613463955e+03 
       3.021330632882e-04       1.300874010525e+03 
       3.237389539489e-04       1.390309939100e+03 
       3.465313740900e-04       1.484351390187e+03 
       3.706329666463e-04       1.583463289383e+03 
       3.961772070757e-04       1.688146553304e+03 
       4.233088235642e-04       1.798938390565e+03 
       4.521839604187e-04       1.916411338858e+03 
       4.829699780954e-04       2.041170609938e+03 
       5.158447647667e-04       2.173849257661e+03 
       5.509954211918e-04       2.315100657355e+03 
       5.886161785848e-04       2.465587810768e+03 
       6.289054253571e-04       2.625969097214e+03 
       6.720617608342e-04       2.796880305856e+03 
       7.182790687868e-04       2.978913125361e+03 
       7.677407129564e-04       3.172590734317e+03 
       8.206130947565e-04       3.378341694390e+03 
       8.770389629062e-04       3.596473921404e+03 
       9.371309973044e-04       3.827150980296e+03 
       1.000966269072e-03       4.070373179441e+03 
       1.068582171845e-03       4.325965804492e+03 
       1.139974307705e-03       4.593576268493e+03 
       1.215096602310e-03       4.872681000248e+03 
       1.293863654243e-03       5.162601697271e+03 
       1.376155049889e-03       5.462529374657e+03 
       1.461821155886e-03       5.771553717886e+03 
       1.477104874446e-03       5.826344603391e+03 
       1.550689778257e-03       6.088694809790e+03 
