# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.483233197952e-10       4.439105325266e-15       3.773054256777e-13       0.000000000000e+00       8.774577757741e-09       4.827342040950e-10      -1.971537417247e-12 
    3       1.402122688378e-10       5.705859565253e-15       4.241847125529e-13       0.000000000000e+00       5.420897275577e-09       3.423571138449e-10      -1.493874298615e-12 
    4       1.325734095373e-10       4.954283398789e-15       3.969198346850e-13       0.000000000000e+00       3.769245440605e-09       2.591750665186e-10      -9.800172997601e-13 
    5       1.268418429876e-10       3.322610378022e-15       3.384760644358e-13       0.000000000000e+00       2.811265632978e-09       2.046583701832e-10      -5.473286970078e-13 
    6       1.228939116500e-10       1.870037355012e-15       2.731936409419e-13       0.000000000000e+00       2.195146728627e-09       1.664777482901e-10      -2.279768680313e-13 
    7       1.203048833526e-10       1.015638069258e-15       2.151240115069e-13       0.000000000000e+00       1.770960960947e-09       1.384724430600e-10      -2.358399530656e-14 
    8       1.187715019214e-10       6.544995793214e-16       1.703953697775e-13       0.000000000000e+00       1.463747282798e-09       1.172460235445e-10       8.152609976938e-14 
    9       1.180251199070e-10       5.228400641334e-16       1.403704739097e-13       0.000000000000e+00       1.232800436713e-09       1.007824591236e-10       1.118916345076e-13 
   10       1.178252240920e-10       4.441653594086e-16       1.236609818672e-13       0.000000000000e+00       1.054021028546e-09       8.774440178354e-11       9.479013114767e-14 
   11       1.181013707958e-10       3.724881397109e-16       1.174587854035e-13       0.000000000000e+00       8.882324676053e-10       7.752466278909e-11       5.575239386431e-14 
   12       1.186978159692e-10       3.239200858389e-16       1.185591219657e-13       0.000000000000e+00       7.761364595600e-10       6.854351809151e-11       1.354486779445e-14 
   13       1.195580791721e-10       3.106528913043e-16       1.241170088539e-13       0.000000000000e+00       6.841150588572e-10       6.124948835260e-11      -1.893182253191e-14 
   14       1.206255137911e-10       3.244984877826e-16       1.319538367993e-13       0.000000000000e+00       6.075528382001e-10       5.488317459671e-11      -3.698739937492e-14 
   15       1.218907576890e-10       3.526131346622e-16       1.406552327808e-13       0.000000000000e+00       5.431060941302e-10       4.953801232277e-11      -4.062224010880e-14 
   16       1.232783134711e-10       3.916698906281e-16       1.495559506091e-13       0.000000000000e+00       4.883103071980e-10       4.493808426290e-11      -3.392985750228e-14 
   17       1.248085139697e-10       4.469652055545e-16       1.584255391055e-13       0.000000000000e+00       4.413038287689e-10       4.092746975746e-11      -2.238004937803e-14 
   18       1.264179160460e-10       5.243945274053e-16       1.674071493606e-13       0.000000000000e+00       4.005036753877e-10       3.742267076264e-11      -1.118942152846e-14 
   19       1.281184648515e-10       6.244890181165e-16       1.767704560971e-13       0.000000000000e+00       3.652633476332e-10       3.437708239895e-11      -3.167596380572e-15 
   20       1.298994001516e-10       7.452545014965e-16       1.867619882303e-13       0.000000000000e+00       3.342244133998e-10       3.167785393681e-11      -1.926251584936e-16 
