# Matter power spectrum P(k) at redshift z=0
# for k=1.04363e-05 to 1.75779 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043629884185e-05       5.265544123899e+01 
       2.329888157530e-05       1.140087702288e+02 
       3.620657280918e-05       1.742159534693e+02 
       4.919400259150e-05       2.339529695638e+02 
       6.229637216415e-05       2.936000488679e+02 
       7.554976695146e-05       3.534394578868e+02 
       8.899147952968e-05       4.137108210957e+02 
       1.026603468620e-04       4.746337055985e+02 
       1.165971061158e-04       5.364191358693e+02 
       1.308447734135e-04       5.992765155708e+02 
       1.454490498730e-04       6.634183918323e+02 
       1.604587592386e-04       7.290641290204e+02 
       1.759263212256e-04       7.964430145345e+02 
       1.919082643410e-04       8.657970745172e+02 
       2.084657812961e-04       9.373837554544e+02 
       2.256653290667e-04       1.011478560058e+03 
       2.435792740214e-04       1.088377683124e+03 
       2.622865801085e-04       1.168400661181e+03 
       2.818735345960e-04       1.251893021125e+03 
       3.024345009858e-04       1.339228883165e+03 
       3.240726820828e-04       1.430813439062e+03 
       3.469008674039e-04       1.527085185546e+03 
       3.710421277887e-04       1.628517743286e+03 
       3.966304059560e-04       1.735621033209e+03 
       4.238109348626e-04       1.848941515163e+03 
       4.527403965647e-04       1.969061122111e+03 
       4.835867141644e-04       2.096594453124e+03 
       5.165283508311e-04       2.232183731966e+03 
       5.517529768119e-04       2.376491012753e+03 
       5.894553635394e-04       2.530187143651e+03 
       6.298343806388e-04       2.693937111957e+03 
       6.730890147040e-04       2.868381617026e+03 
       7.194134045842e-04       3.054115070075e+03 
       7.689909985995e-04       3.251660699687e+03 
       8.219880783705e-04       3.461444012220e+03 
       8.785470443466e-04       3.683766437333e+03 
       9.387799906047e-04       3.918781459897e+03 
       1.002763174838e-03       4.166475759240e+03 
       1.070532980095e-03       4.426657720525e+03 
       1.142083849815e-03       4.698955090228e+03 
       1.217368465485e-03       4.982822560128e+03 
       1.296300164303e-03       5.277558839737e+03 
       1.378757319669e-03       5.582331564650e+03 
       1.464589189130e-03       5.896207463686e+03 
       1.553622613841e-03       6.218184785204e+03 
       1.645668943030e-03       6.547225132031e+03 
       1.740530639826e-03       6.882282464316e+03 
       1.838007166441e-03       7.222327854260e+03 
       1.937899907798e-03       7.566369350901e+03 
       2.040016041199e-03       7.913452490646e+03 
       2.144171376176e-03       8.262706518100e+03 
       2.250192266410e-03       8.613327535594e+03 
       2.357916737327e-03       8.964575982033e+03 
       2.467194986178e-03       9.315782531135e+03 
       2.577889405275e-03       9.666345862826e+03 
       2.689874261648e-03       1.001572918453e+04 
       2.803035144192e-03       1.036345599352e+04 
       2.917268266421e-03       1.070910540278e+04 
       3.032479691916e-03       1.105230727132e+04 
       3.148584531522e-03       1.139273736083e+04 
       3.265506146687e-03       1.173011271991e+04 
       3.383175381902e-03       1.206418741133e+04 
       3.501529840538e-03       1.239474862634e+04 
       3.620513212085e-03       1.272161312170e+04 
       3.740074654269e-03       1.304462398586e+04 
       3.860168230501e-03       1.336364773150e+04 
       3.980752401038e-03       1.367857170878e+04 
       4.101789565015e-03       1.398930180270e+04 
       4.223245649804e-03       1.429576036299e+04 
       4.345089743789e-03       1.459788432465e+04 
       4.467293768636e-03       1.489562349919e+04 
       4.589832187184e-03       1.518893904342e+04 
       4.712681743292e-03       1.547780211656e+04 
       4.835821230261e-03       1.576219296413e+04 
       4.959231284692e-03       1.604209916036e+04 
       5.082894202953e-03       1.631751504229e+04 
       5.206793777712e-03       1.658844088737e+04 
       5.330915152253e-03       1.685488044532e+04 
       5.455244690542e-03       1.711684488083e+04 
       5.579769861240e-03       1.737434922851e+04 
       5.704479134069e-03       1.762741139625e+04 
       5.829361887123e-03       1.787605253580e+04 
       5.954408323863e-03       1.812029667017e+04 
       6.079609398721e-03       1.836017035367e+04 
       6.204956750322e-03       1.859570236152e+04 
       6.330442641486e-03       1.882692338328e+04 
       6.456059905246e-03       1.905386581186e+04 
       6.581801896227e-03       1.927656339861e+04 
       6.707662446795e-03       1.949505106973e+04 
       6.833635827460e-03       1.970936473856e+04 
       6.959716711081e-03       1.991954112006e+04 
       7.085900140458e-03       2.012561758775e+04 
       7.212181498968e-03       2.032763205590e+04 
       7.338556483921e-03       2.052562287765e+04 
       7.465021082350e-03       2.071962877327e+04 
       7.591571549000e-03       2.090968876131e+04 
       7.718204386281e-03       2.109584210476e+04 
       7.844916325997e-03       2.127812826347e+04 
       7.971704312675e-03       2.145658683604e+04 
       8.098565488327e-03       2.163125751716e+04 
       8.225497178531e-03       2.180218003614e+04 
       8.352496879667e-03       2.196939410601e+04 
       8.479562247245e-03       2.213293936806e+04 
       8.606691085178e-03       2.229285533435e+04 
       8.733881335945e-03       2.244918134627e+04 
       8.861131071548e-03       2.260195652342e+04 
       8.988438485194e-03       2.275121973753e+04 
       9.115801883636e-03       2.289700958366e+04 
       9.243219680118e-03       2.303936436731e+04 
       9.370690387866e-03       2.317832210334e+04 
       9.498212614089e-03       2.331392051768e+04 
       9.625785054425e-03       2.344619706626e+04 
       9.753406487821e-03       2.357518893969e+04 
       9.881075771787e-03       2.370093308130e+04 
       1.000879183801e-02       2.382346618205e+04 
       1.013655368830e-02       2.394282468659e+04 
       1.026436039079e-02       2.405904477469e+04 
       1.039221107650e-02       2.417216235332e+04 
       1.052010493605e-02       2.428221302506e+04 
       1.064804121666e-02       2.438923207433e+04 
       1.077601921939e-02       2.449325443424e+04 
       1.090403829651e-02       2.459431467177e+04 
       1.103209784910e-02       2.469244697320e+04 
       1.116019732484e-02       2.478768514210e+04 
       1.128833621588e-02       2.488006260877e+04 
       1.141651405692e-02       2.496961245009e+04 
       1.154473042344e-02       2.505636742030e+04 
       1.167298492998e-02       2.514035998582e+04 
       1.180127722861e-02       2.522162236348e+04 
       1.192960700745e-02       2.530018655406e+04 
       1.205797398935e-02       2.537608437315e+04 
       1.218637793063e-02       2.544934747114e+04 
       1.231481861992e-02       2.552000734535e+04 
