# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.483627888711e-10       4.455776555180e-15       3.779697466009e-13       0.000000000000e+00       8.664333774818e-09       4.827138028245e-10      -1.975771363816e-12 
    3       1.402265472819e-10       5.749110624217e-15       4.262612463127e-13       0.000000000000e+00       5.411624870364e-09       3.429150279518e-10      -1.498244603906e-12 
    4       1.325705888842e-10       5.018015849853e-15       4.000042206027e-13       0.000000000000e+00       3.773361100871e-09       2.595509715266e-10      -9.849671100640e-13 
    5       1.268233673021e-10       3.395470543507e-15       3.424606302889e-13       0.000000000000e+00       2.818765341844e-09       2.049274967892e-10      -5.526741079154e-13 
    6       1.228586449291e-10       1.938999848660e-15       2.779078848811e-13       0.000000000000e+00       2.201526214687e-09       1.666691823755e-10      -2.333863988434e-13 
    7       1.202509911236e-10       1.072092168869e-15       2.203855185161e-13       0.000000000000e+00       1.774538164496e-09       1.385933648252e-10      -2.880815581496e-14 
    8       1.186982921456e-10       6.956202517194e-16       1.760429687212e-13       0.000000000000e+00       1.465504745915e-09       1.173256865203e-10       7.665576593030e-14 
    9       1.179323311354e-10       5.504118590735e-16       1.462449633502e-13       0.000000000000e+00       1.234078876129e-09       1.008485737503e-10       1.074720282968e-13 
   10       1.177124357597e-10       4.623732381733e-16       1.296225795467e-13       0.000000000000e+00       1.055500231234e-09       8.780771677813e-11       9.086734620569e-14 
   11       1.179684860738e-10       3.860588205810e-16       1.234122584121e-13       0.000000000000e+00       8.881996993935e-10       7.755487150037e-11       5.229153578000e-14 
   12       1.185444706789e-10       3.371154112039e-16       1.244088409150e-13       0.000000000000e+00       7.761062772089e-10       6.857915785646e-11       1.050637863171e-14 
   13       1.193842621035e-10       3.269590809942e-16       1.297804560790e-13       0.000000000000e+00       6.840871746873e-10       6.128927325372e-11      -2.162755502423e-14 
   14       1.204309352156e-10       3.465428207164e-16       1.374062510076e-13       0.000000000000e+00       6.075271822046e-10       5.492384445989e-11      -3.948394698104e-14 
   15       1.216751786271e-10       3.821207837639e-16       1.458829290177e-13       0.000000000000e+00       5.430823711938e-10       4.957558931635e-11      -4.298653410622e-14 
   16       1.230417401762e-10       4.296199113001e-16       1.545089774279e-13       0.000000000000e+00       4.882883712556e-10       4.496948929954e-11      -3.617171170814e-14 
   17       1.245509287283e-10       4.938445979509e-16       1.630860292854e-13       0.000000000000e+00       4.412834547533e-10       4.095187381871e-11      -2.446914104968e-14 
   18       1.261394342638e-10       5.801287538423e-16       1.718026334040e-13       0.000000000000e+00       4.004842088363e-10       3.744136299562e-11      -1.309713023584e-14 
   19       1.278193581325e-10       6.889014721524e-16       1.808816885972e-13       0.000000000000e+00       3.652455668074e-10       3.439197440462e-11      -4.890922872549e-15 
   20       1.295800421086e-10       8.182549900197e-16       1.905000207780e-13       0.000000000000e+00       3.342079228033e-10       3.169076916139e-11      -1.757384995460e-15 
   21       1.314247598236e-10       9.673013100969e-16       2.006576263510e-13       0.000000000000e+00       3.068841064375e-10       2.928825367560e-11      -3.154402755019e-15 
   22       1.333283067885e-10       1.135241730379e-15       2.112020166278e-13       0.000000000000e+00       2.826213472310e-10       2.711943808429e-11      -7.278889728308e-15 
