# Matter power spectrum P(k) at redshift z=0
# for k=1.04363e-05 to 1.75778 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043629884185e-05       5.265544160482e+01 
       2.329885142765e-05       1.140086292078e+02 
       3.620651226228e-05       1.742156748202e+02 
       4.919391114964e-05       2.339525538575e+02 
       6.229624908145e-05       2.935994949175e+02 
       7.554961122206e-05       3.534387631205e+02 
       8.899128987410e-05       4.137099816843e+02 
       1.026601217094e-04       4.746327164877e+02 
       1.165968435821e-04       5.364179907618e+02 
       1.308444712743e-04       5.992752068756e+02 
       1.454487055319e-04       6.634169105875e+02 
       1.604583696894e-04       7.290624647937e+02 
       1.759258830086e-04       7.964411553014e+02 
       1.919077734925e-04       8.657950065184e+02 
       2.084652332898e-04       9.373814630311e+02 
       2.256647187479e-04       1.011476025466e+03 
       2.435785955318e-04       1.088374886326e+03 
       2.622858268022e-04       1.168397579619e+03 
       2.818726989460e-04       1.251889629471e+03 
       3.024335744813e-04       1.339225153061e+03 
       3.240716551174e-04       1.430809338841e+03 
       3.468997291576e-04       1.527080679958e+03 
       3.710408661046e-04       1.628512793226e+03 
       3.966290072172e-04       1.735615595469e+03 
       4.238093838741e-04       1.848935542218e+03 
       4.527386764501e-04       1.969054561976e+03 
       4.835848062873e-04       2.096587249290e+03 
       5.165262347552e-04       2.232175823450e+03 
       5.517506303178e-04       2.376482334290e+03 
       5.894527627144e-04       2.530177626025e+03 
       6.298315000604e-04       2.693926682492e+03 
       6.730858277322e-04       2.868370200198e+03 
       7.194098837735e-04       3.054102588185e+03 
       7.689871162305e-04       3.251647073498e+03 
       8.219838070874e-04       3.461429161412e+03 
       8.785423578707e-04       3.683750280583e+03 
       9.387748644758e-04       3.918763914381e+03 
       1.002757587125e-03       4.166456739335e+03 
       1.070526912012e-03       4.426637135538e+03 
       1.142077286185e-03       4.698932841047e+03 
       1.217361395006e-03       4.982798534818e+03 
       1.296292579604e-03       5.277532908266e+03 
       1.378749217159e-03       5.582303573106e+03 
       1.464580568677e-03       5.896177228465e+03 
       1.553613478323e-03       6.218152087687e+03 
       1.645659297813e-03       6.547189714162e+03 
       1.740520492223e-03       6.882244025285e+03 
       1.837996525187e-03       7.222286048299e+03 
       1.937888782578e-03       7.566323786054e+03 
       2.040004442241e-03       7.913402730777e+03 
       2.144159313915e-03       8.262652076417e+03 
       2.250179751227e-03       8.613267882715e+03 
       2.357903779353e-03       8.964510545911e+03 
       2.467181595156e-03       9.315710699977e+03 
       2.577875590465e-03       9.666266988613e+03 
       2.689860031772e-03       1.001564258701e+04 
       2.803020507412e-03       1.036336096458e+04 
       2.917253230328e-03       1.070900121117e+04 
       3.032464263543e-03       1.105219316766e+04 
       3.148568717364e-03       1.139261258311e+04 
       3.265489952728e-03       1.172997649711e+04 
       3.383158813647e-03       1.206403897029e+04 
       3.501512903043e-03       1.239458719469e+04 
       3.620495909992e-03       1.272143793192e+04 
       3.740056991839e-03       1.304443427893e+04 
       3.860150211644e-03       1.336344275976e+04 
       3.980734029341e-03       1.367835073815e+04 
       4.101770843776e-03       1.398906411212e+04 
       4.223226582049e-03       1.429550525785e+04 
       4.345070332301e-03       1.459761111997e+04 
       4.467274015978e-03       1.489533153470e+04 
       4.589812095712e-03       1.518862767965e+04 
       4.712661315180e-03       1.547747073899e+04 
       4.835800467514e-03       1.576184098004e+04 
       4.959210189162e-03       1.604172600725e+04 
       5.082872776349e-03       1.631712018137e+04 
       5.206772021619e-03       1.658802380956e+04 
       5.330893068137e-03       1.685444067090e+04 
       5.455222279761e-03       1.711638195843e+04 
       5.579747125056e-03       1.737386273773e+04 
