# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.559518496403e-22       4.635512595996e-07       2.157256296442e+18       1.415353179112e+04       1.415353179112e-08       1.415353179112e+16       2.676317460016e-07       2.751560535470e+36       2.467857824327e+27       1.339408137477e+28       3.512938580029e-08       1.902194177205e+36       4.653754728537e+36       6.959149502359e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171759e-22       4.667963366956e-07       2.127368890919e+18       1.415353179111e+04       1.425260651365e-08       1.405514577072e+16       2.695051682230e-07       2.675846458098e+36       2.416749983481e+27       1.311669806183e+28       3.512938580029e-08       1.849851924417e+36       4.525698398048e+36       9.708867773195e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902548e-22       4.700650606537e-07       2.097895556274e+18       1.415353179111e+04       1.435237475924e-08       1.395744366506e+16       2.713917043999e-07       2.602215788101e+36       2.366700555064e+27       1.284505918930e+28       3.512938580029e-08       1.798949961721e+36       4.401165765034e+36       1.941773554558e-07       7.167828077441e+01 
       9.792906056642e+11       7.882626650659e-22       4.733537934953e-07       2.068830555820e+18       1.415353179111e+04       1.445284138255e-08       1.386042072001e+16       2.732914463300e-07       2.530611196823e+36       2.317687619997e+27       1.257904579329e+28       3.512938580029e-08       1.749448656976e+36       4.280059868696e+36       2.912660331785e-07       4.778552051657e+01 
       9.724832231024e+11       7.993369672470e-22       4.766679921886e-07       2.040168232349e+18       1.415353179110e+04       1.455401127223e-08       1.376407221451e+16       2.752044864536e-07       2.460976933108e+36       2.269689713130e+27       1.231854137360e+28       3.512938580029e-08       1.701309468590e+36       4.162286416287e+36       3.883547109002e-07       3.583914038744e+01 
       9.657231609756e+11       8.105668522993e-22       4.800040187547e-07       2.011903007028e+18       1.415353179110e+04       1.465588935113e-08       1.366839346028e+16       2.771309178580e-07       2.393258779892e+36       2.222685813843e+27       1.206343184267e+28       3.512938580029e-08       1.654494915511e+36       4.047753709689e+36       4.854433886207e-07       2.867131230990e+01 
       9.590100903431e+11       8.219545060066e-22       4.833655111725e-07       1.984029378317e+18       1.415353179110e+04       1.475848057659e-08       1.357337980167e+16       2.790708342823e-07       2.327404011990e+36       2.176655336841e+27       1.181360547561e+28       3.512938580029e-08       1.608968548044e+36       3.936372574025e+36       5.825320663402e-07       2.389276025818e+01 
       9.523436845512e+11       8.335021448607e-22       4.867488314630e-07       1.956541920895e+18       1.415353179109e+04       1.486178994062e-08       1.347902661536e+16       2.810243301214e-07       2.263361355044e+36       2.131578123140e+27       1.156895286130e+28       3.512938580029e-08       1.564694919474e+36       3.828056288219e+36       6.796207440587e-07       2.047950879265e+01 
       9.457236192166e+11       8.452120164929e-22       4.901557986159e-07       1.929435284606e+18       1.415353179109e+04       1.496582247020e-08       1.338532931018e+16       2.829915004315e-07       2.201080945601e+36       2.087434431232e+27       1.132936685445e+28       3.512938580029e-08       1.521639558464e+36       3.722720517481e+36       7.767094217761e-07       1.791957019350e+01 
       9.391495722111e+11       8.570864001115e-22       4.935864126310e-07       1.902704193417e+18       1.415353179108e+04       1.507058322749e-08       1.329228332689e+16       2.849724409336e-07       2.140514292289e+36       2.044204928448e+27       1.109474252870e+28       3.512938580029e-08       1.479768942217e+36       3.620283247645e+36       8.737980994925e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069454e-22       4.970424924977e-07       1.876343444390e+18       1.415353179108e+04       1.517607731008e-08       1.319988413792e+16       2.869672480193e-07       2.081614238065e+36       2.001870682483e+27       1.086497713063e+28       3.512938580029e-08       1.439050470375e+36       3.520664721307e+36       9.708867772079e-07       1.433565615469e+01 
       9.261382558545e+11       8.813379806940e-22       5.005204002373e-07       1.850347906673e+18       1.415353179108e+04       1.528230985125e-08       1.310812724718e+16       2.889760187545e-07       2.024334923491e+36       1.960413153113e+27       1.063997003479e+28       3.512938580029e-08       1.399452439639e+36       3.423787375730e+36       1.067975454922e-06       1.303241468603e+01 
       9.197003533808e+11       8.937198979832e-22       5.040255928179e-07       1.824712520497e+18       1.415353179107e+04       1.538928602020e-08       1.301700818985e+16       2.909988508848e-07       1.968631751037e+36       1.919814184066e+27       1.041962269963e+28       3.512938580029e-08       1.360944019080e+36       3.329575782457e+36       1.165064132636e-06       1.194638012881e+01 
