# Matter power spectrum P(k) at redshift z=0
# for k=1.04363e-05 to 1.74859 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043629910889e-05       5.265554989525e+01 
       2.326100990885e-05       1.138307603603e+02 
       3.613051381355e-05       1.738643539908e+02 
       4.907913516046e-05       2.334281970829e+02 
       6.214176184869e-05       2.929001989699e+02 
       7.535415372435e-05       3.525607668580e+02 
       8.875326075442e-05       4.126478159354e+02 
       1.023775551864e-04       4.733792313795e+02 
       1.162673819236e-04       5.349643167720e+02 
       1.304653313791e-04       5.976106705012e+02 
       1.450166390786e-04       6.615289131088e+02 
       1.599696162291e-04       7.269363274158e+02 
       1.753761153006e-04       7.940599314782e+02 
       1.912920343235e-04       8.631392610069e+02 
       2.077778629768e-04       9.344290166696e+02 
       2.248992725300e-04       1.008201664528e+03 
       2.427277501170e-04       1.084750035644e+03 
       2.613412754838e-04       1.164389939551e+03 
       2.808250349834e-04       1.247462777946e+03 
       3.012721628870e-04       1.334338116610e+03 
       3.227844936830e-04       1.425416139033e+03 
       3.454733005462e-04       1.521129866562e+03 
       3.694599842224e-04       1.621946980830e+03 
       3.948766629282e-04       1.728371028300e+03 
       4.218665974982e-04       1.840941719932e+03 
       4.505843673907e-04       1.960233971551e+03 
       4.811956934939e-04       2.086855257531e+03 
       5.138767852950e-04       2.221440797928e+03 
       5.488130766591e-04       2.364646067390e+03 
       5.861972116851e-04       2.517136141863e+03 
       6.262261568302e-04       2.679571497535e+03 
       6.690973553501e-04       2.852590094950e+03 
       7.150039115870e-04       3.036785902339e+03 
       7.641288981427e-04       3.232684489623e+03 
       8.166390132635e-04       3.440716870045e+03 
       8.726779628586e-04       3.661193339448e+03 
       9.323600741177e-04       3.894279544142e+03 
       9.957647307702e-04       4.139977251190e+03 
       1.062932220231e-03       4.398112174302e+03 
       1.133861480728e-03       4.668330672836e+03 
       1.208510037449e-03       4.950106208865e+03 
       1.286796154508e-03       5.242755255310e+03 
       1.368602958484e-03       5.545449263121e+03 
       1.453784067444e-03       5.857247614804e+03 
       1.542170129595e-03       6.177186357597e+03 
       1.633575653305e-03       6.504232607952e+03 
       1.727805582042e-03       6.837342495142e+03 
       1.824661201362e-03       7.175486192820e+03 
       1.923945122129e-03       7.517668132536e+03 
       2.025465232254e-03       7.862942291505e+03 
       2.129037627767e-03       8.210422812054e+03 
       2.234488615089e-03       8.559290368354e+03 
       2.341655921519e-03       8.908795160679e+03 
       2.450389267178e-03       9.258256909037e+03 
       2.560550447783e-03       9.607063065118e+03 
       2.672013061782e-03       9.954665591240e+03 
       2.784661994043e-03       1.030057700030e+04 
       2.898392745795e-03       1.064436597498e+04 
       3.013110679564e-03       1.098565248089e+04 
       3.128730229747e-03       1.132410345424e+04 
       3.245174114600e-03       1.165942789817e+04 
       3.362372573762e-03       1.199137286992e+04 
       3.480262646578e-03       1.231971928338e+04 
       3.598787499942e-03       1.264427853111e+04 
       3.717895809748e-03       1.296488897218e+04 
       3.837541196801e-03       1.328141312057e+04 
       3.957681715910e-03       1.359373465789e+04 
       4.078279395557e-03       1.390175638238e+04 
       4.199299824746e-03       1.420539797297e+04 
       4.320711783259e-03       1.450459361004e+04 
       4.442486911457e-03       1.479929144096e+04 
       4.564599415808e-03       1.508945069819e+04 
       4.687025806521e-03       1.537504132989e+04 
       4.809744663888e-03       1.565604275815e+04 
       4.932736430236e-03       1.593244232611e+04 
       5.055983224641e-03       1.620423438729e+04 
       5.179468677865e-03       1.647141996013e+04 
       5.303177785210e-03       1.673400416140e+04 
       5.427096775273e-03       1.699199873412e+04 
       5.551212992765e-03       1.724542090183e+04 
       5.675514793800e-03       1.749429050192e+04 
       5.799991452230e-03       1.773863094285e+04 
       5.924633075776e-03       1.797846870294e+04 
       6.049430530830e-03       1.821383277870e+04 
       6.174375374976e-03       1.844475457930e+04 
