# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.415353142943e+04       1.415353142943e-10       1.415353142943e+18       2.676317464532e-09       2.751560535470e+44       2.467857824327e+33       1.339408137477e+34       3.512938580029e-08       1.902194177205e+44       4.653754712833e+44       5.534061725792e-20       2.000000000000e+14 
       9.930486593843e+13       7.665722184692e-26       4.667526809499e-09       2.127368887304e+22       1.415353142943e+04       1.425260614943e-10       1.405514541154e+18       2.695051686783e-09       2.675846458098e+44       2.416749983481e+33       1.311669806183e+34       3.512938580029e-08       1.849851924417e+44       4.525698382671e+44       7.720695398537e-08       1.433565615564e+02 
       9.861456399050e+13       7.773417915665e-26       4.700268618762e-09       2.097895552685e+22       1.415353142943e+04       1.435237439248e-10       1.395744330839e+18       2.713917048591e-09       2.602215788102e+44       2.366700555065e+33       1.284505918930e+34       3.512938580029e-08       1.798949961722e+44       4.401165749975e+44       1.544139079707e-07       7.167828077820e+01 
       9.792906056653e+13       7.882626663962e-26       4.733010428026e-09       2.068830552257e+22       1.415353142943e+04       1.445284101323e-10       1.386042036583e+18       2.732914467931e-09       2.530611196824e+44       2.317687619998e+33       1.257904579330e+34       3.512938580029e-08       1.749448656977e+44       4.280059853950e+44       2.316208619560e-07       4.778552051880e+01 
       9.724832231036e+13       7.993369685964e-26       4.767571226694e-09       2.040168228810e+22       1.415353142943e+04       1.455401090032e-10       1.376407186279e+18       2.752044869206e-09       2.460976933110e+44       2.269689713131e+33       1.231854137361e+34       3.512938580029e-08       1.701309468591e+44       4.162286401847e+44       3.088278159413e-07       3.583914038910e+01 
       9.657231609767e+13       8.105668536682e-26       4.800313035958e-09       2.011903003514e+22       1.415353142943e+04       1.465588897662e-10       1.366839311101e+18       2.771309183290e-09       2.393258779894e+44       2.222685813844e+33       1.206343184268e+34       3.512938580029e-08       1.654494915512e+44       4.047753695549e+44       3.860347699265e-07       2.867131231128e+01 
       9.590100903443e+13       8.219545073954e-26       4.833054845221e-09       1.984029374827e+22       1.415353142943e+04       1.475848019946e-10       1.357337945482e+18       2.790708347573e-09       2.327404011992e+44       2.176655336843e+33       1.181360547562e+34       3.512938580029e-08       1.608968548046e+44       3.936372560178e+44       4.632417239118e-07       2.389276025940e+01 
       9.523436845525e+13       8.335021462697e-26       4.867615643889e-09       1.956541917430e+22       1.415353142943e+04       1.486178956085e-10       1.347902627093e+18       2.810243306006e-09       2.263361355047e+44       2.131578123142e+33       1.156895286131e+34       3.512938580029e-08       1.564694919476e+44       3.828056274660e+44       5.404486778971e-07       2.047950879377e+01 
       9.457236192179e+13       8.452120179227e-26       4.902176442556e-09       1.929435281165e+22       1.415353142943e+04       1.496582208778e-10       1.338532896815e+18       2.829915009148e-09       2.201080945604e+44       2.087434431234e+33       1.132936685446e+34       3.512938580029e-08       1.521639558466e+44       3.722720504204e+44       6.176556318823e-07       1.791957019455e+01 
       9.391495722125e+13       8.570864015625e-26       4.936737241223e-09       1.902704190000e+22       1.415353142943e+04       1.507058284239e-10       1.329228298724e+18       2.849724414212e-09       2.140514292293e+44       2.044204928450e+33       1.109474252871e+34       3.512938580029e-08       1.479768942219e+44       3.620283234643e+44       6.948625858676e-07       1.592850683960e+01 
       9.326212236469e+13       8.691276084180e-26       4.971298039891e-09       1.876343440997e+22       1.415353142943e+04       1.517607692229e-10       1.319988380064e+18       2.869672485112e-09       2.081614238068e+44       2.001870682486e+33       1.086497713064e+34       3.512938580029e-08       1.439050470378e+44       3.520664708574e+44       7.720695398528e-07       1.433565615564e+01 
       9.261382558559e+13       8.813379821887e-26       5.005858838558e-09       1.850347903304e+22       1.415353142943e+04       1.528230946075e-10       1.310812691225e+18       2.889760192507e-09       2.024334923495e+44       1.960413153115e+33       1.063997003481e+34       3.512938580029e-08       1.399452439641e+44       3.423787363262e+44       8.492764938380e-07       1.303241468694e+01 
       9.197003533823e+13       8.937198995004e-26       5.040419637226e-09       1.824712517151e+22       1.415353142943e+04       1.538928562697e-10       1.301700785725e+18       2.909988513855e-09       1.968631751041e+44       1.919814184069e+33       1.041962269965e+34       3.512938580029e-08       1.360944019083e+44       3.329575770248e+44       9.264834478233e-07       1.194638012970e+01 
       9.133072029615e+13       9.062757703685e-26       5.074980435893e-09       1.799432292869e+22       1.415353142943e+04       1.549701062636e-10       1.292652220184e+18       2.930358433452e-09       1.914461350357e+44       1.880055995081e+33       1.020383862434e+34       3.512938580029e-08       1.323495226141e+44       3.237956576619e+44       1.003690401808e-06       1.102742781203e+01 
       9.069584935070e+13       9.190080386664e-26       5.111360223964e-09       1.774502309917e+22       1.415353142943e+04       1.560548970074e-10       1.283666554304e+18       2.950870942486e-09       1.861781544502e+44       1.841121174108e+33       9.992523306542e+33       3.512938580029e-08       1.287076903280e+44       3.148858447901e+44       1.080897355794e-06       1.023975439688e+01 
       9.006539160943e+13       9.319191826016e-26       5.147740012035e-09       1.749917715926e+22       1.415353142943e+04       1.571472812865e-10       1.274743350848e+18       2.971527039083e-09       1.810551317112e+44       1.802992669695e+33       9.785584200989e+33       3.512938580029e-08       1.251660695284e+44       3.062212012512e+44       1.158104309779e-06       9.557104103757e+00 
       8.943931639467e+13       9.450117151979e-26       5.182300810702e-09       1.725673725753e+22       1.415353142943e+04       1.582473122555e-10       1.265882175618e+18       2.992327728357e-09       1.760730780460e+44       1.765653783516e+33       9.582930678975e+33       3.512938580029e-08       1.217219027182e+44       2.977949807755e+44       1.235311263764e-06       8.959785097272e+00 
       8.881759324197e+13       9.582881847847e-26       5.218680598773e-09       1.701765620550e+22       1.415353142943e+04       1.593550434413e-10       1.257082597436e+18       3.013274022455e-09       1.712281144399e+44       1.729088163055e+33       9.384473988662e+33       3.512938580029e-08       1.183725082777e+44       2.896006227287e+44       1.312518217749e-06       8.432738915079e+00 
       8.820019189868e+13       9.717511754927e-26       5.255060386844e-09       1.678188746846e+22       1.415353142943e+04       1.604705287454e-10       1.248344188119e+18       3.034366940612e-09       1.665164686165e+44       1.693279794447e+33       9.190127216208e+33       3.512938580029e-08       1.151152783767e+44       2.816317470041e+44       1.389725171734e-06       7.964253419797e+00 
       8.758708232243e+13       9.854033077572e-26       5.293259164318e-09       1.654938515640e+22       1.415353142943e+04       1.615938224466e-10       1.239666522462e+18       3.055607509196e-09       1.619344721000e+44       1.658212995464e+33       8.999805247701e+33       3.512938580029e-08       1.119476769443e+44       2.738821490549e+44       1.466932125720e-06       7.545082187175e+00 
       8.697823467967e+13       9.992472388278e-26       5.329638952389e-09       1.632010401510e+22       1.415353142943e+04       1.627249792037e-10       1.231049178215e+18       3.076996761760e-09       1.574785573594e+44       1.623872408651e+33       8.813424731891e+33       3.512938580029e-08       1.088672376937e+44       2.663457950635e+44       1.544139079705e-06       7.167828077816e+00 
       8.637361934426e+13       1.013285663286e-25       5.366018740460e-09       1.609399941728e+22       1.415353142943e+04       1.638640540581e-10       1.222491736062e+18       3.098535739093e-09       1.531452550306e+44       1.590242994591e+33       8.630904043679e+33       3.512938580029e-08       1.058715622028e+44       2.590168172435e+44       1.621346033690e-06       6.826502931254e+00 
       8.577320689599e+13       1.027521313570e-25       5.404217517935e-09       1.587102735399e+22       1.415353142943e+04       1.650111024365e-10       1.213993779605e+18       3.120225489266e-09       1.489311912151e+44       1.557310025328e+33       8.452163248374e+33       3.512938580029e-08       1.029583180460e+44       2.518895092711e+44       1.698552987675e-06       6.516207343469e+00 
       8.517696811915e+13       1.041956960504e-25       5.442416295409e-09       1.565114442595e+22       1.415353142943e+04       1.661661801536e-10       1.205554895338e+18       3.142067067691e-09       1.448330848536e+44       1.525059077912e+33       8.277124066682e+33       3.512938580029e-08       1.001252369787e+44       2.449583218420e+44       1.775759941660e-06       6.232893980709e+00 
       8.458487400115e+13       1.056595413842e-25       5.480615072884e-09       1.543430783518e+22       1.415353142943e+04       1.673293434147e-10       1.197174672629e+18       3.164061537165e-09       1.408477451704e+44       1.493476028084e+33       8.105709840428e+33       3.512938580029e-08       9.737011317102e+43       2.382178583510e+44       1.852966895645e-06       5.973190064846e+00 
       8.399689573103e+13       1.071439522811e-25       5.518813850358e-09       1.522047537661e+22       1.415353142942e+04       1.685006488186e-10       1.188852703703e+18       3.186209967925e-09       1.369720691902e+44       1.462547044089e+33       7.937845498980e+33       3.512938580029e-08       9.469080149052e+43       2.316628706901e+44       1.930173849631e-06       5.734262462252e+00 
       8.341300469814e+13       1.086492176667e-25       5.557012627833e-09       1.500960542993e+22       1.415353142942e+04       1.696801533603e-10       1.180588583618e+18       3.208513437700e-09       1.332030393213e+44       1.432258580620e+33       7.773457526374e+33       3.512938580029e-08       9.208521583176e+43       2.252882551622e+44       2.007380803616e-06       5.513713906012e+00 
