# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.483645345370e-10       4.439830871869e-15       3.778758214125e-13       0.000000000000e+00       8.815250094320e-09       4.824230393464e-10      -1.970793405182e-12 
    3       1.402472753053e-10       5.704652413027e-15       4.245384610038e-13       0.000000000000e+00       5.417139088112e-09       3.420899516779e-10      -1.493631840999e-12 
    4       1.325983223736e-10       4.952924414625e-15       3.972097805004e-13       0.000000000000e+00       3.764366889883e-09       2.590331949181e-10      -9.798269122379e-13 
    5       1.268592231777e-10       3.321362362361e-15       3.386520341309e-13       0.000000000000e+00       2.809472094273e-09       2.045838448695e-10      -5.471397426003e-13 
    6       1.229067467373e-10       1.869247319432e-15       2.732515902920e-13       0.000000000000e+00       2.194634826624e-09       1.664310724329e-10      -2.278715530947e-13 
    7       1.203145185425e-10       1.015266291925e-15       2.151067364272e-13       0.000000000000e+00       1.770771753111e-09       1.384324709462e-10      -2.355419884482e-14 
    8       1.187794964947e-10       6.543134417779e-16       1.703454041389e-13       0.000000000000e+00       1.463703966528e-09       1.172019742107e-10       8.149150527324e-14 
    9       1.180319091298e-10       5.226883667226e-16       1.403056189802e-13       0.000000000000e+00       1.232594293408e-09       1.007237810218e-10       1.118047310963e-13 
   10       1.178312127399e-10       4.440213410978e-16       1.236186240923e-13       0.000000000000e+00       1.053431020387e-09       8.767365521576e-11       9.467033925218e-14 
   11       1.181069973098e-10       3.723695601981e-16       1.174445969027e-13       0.000000000000e+00       8.882331043764e-10       7.747954590484e-11       5.563533866383e-14 
   12       1.187030455629e-10       3.238364871730e-16       1.185710135559e-13       0.000000000000e+00       7.761369950986e-10       6.850529976268e-11       1.346746468404e-14 
   13       1.195633656864e-10       3.105737503696e-16       1.241478643471e-13       0.000000000000e+00       6.841153961630e-10       6.122049697830e-11      -1.895405594550e-14 
   14       1.206306284441e-10       3.244249241743e-16       1.319739183256e-13       0.000000000000e+00       6.075531368550e-10       5.486234884326e-11      -3.697274705981e-14 
   15       1.218959808985e-10       3.525677173401e-16       1.406835615063e-13       0.000000000000e+00       5.431063232193e-10       4.952227103726e-11      -4.060582813344e-14 
   16       1.232832306703e-10       3.916031024133e-16       1.495895431783e-13       0.000000000000e+00       4.883105441907e-10       4.492441353495e-11      -3.393738648795e-14 
   17       1.248131526713e-10       4.469118737270e-16       1.584179437223e-13       0.000000000000e+00       4.413040197851e-10       4.091432479152e-11      -2.241494087726e-14 
   18       1.264223127400e-10       5.243529780079e-16       1.674080107546e-13       0.000000000000e+00       4.005040490363e-10       3.740966709758e-11      -1.123684133371e-14 
   19       1.281226763835e-10       6.244451102392e-16       1.768054155505e-13       0.000000000000e+00       3.652635249764e-10       3.436371864551e-11      -3.208196969284e-15 
   20       1.299035841775e-10       7.452099517545e-16       1.867825096475e-13       0.000000000000e+00       3.342244937726e-10       3.166333840016e-11      -2.093722947161e-16 
   21       1.317683575734e-10       8.858604894374e-16       1.972953194290e-13       0.000000000000e+00       3.068997976409e-10       2.926005285939e-11      -1.707269343847e-15 
   22       1.336918547142e-10       1.045714463481e-15       2.081498730937e-13       0.000000000000e+00       2.826361314449e-10       2.709052278095e-11      -5.923644537754e-15 
   23       1.356771576514e-10       1.225089362284e-15       2.190252251364e-13       0.000000000000e+00       2.611002653250e-10       2.514243791155e-11      -1.105711839293e-14 
   24       1.377143383244e-10       1.424411129079e-15       2.295041557664e-13       0.000000000000e+00       2.417947174153e-10       2.339588083305e-11      -1.516640021493e-14 
   25       1.398082298226e-10       1.643731156601e-15       2.392364150386e-13       0.000000000000e+00       2.244926267318e-10       2.183298733598e-11      -1.733857532698e-14 
   26       1.419506405633e-10       1.883222822573e-15       2.479034971360e-13       0.000000000000e+00       2.088810187125e-10       2.042035610256e-11      -1.715655273893e-14 
   27       1.441335197022e-10       2.144942462797e-15       2.554176832701e-13       0.000000000000e+00       1.947727539525e-10       1.913639783082e-11      -1.520915805050e-14 
   28       1.463399438194e-10       2.431524369202e-15       2.617885732330e-13       0.000000000000e+00       1.819247464021e-10       1.795557923657e-11      -1.250031724014e-14 
   29       1.485800031805e-10       2.744521919407e-15       2.670728840400e-13       0.000000000000e+00       1.702715147322e-10       1.687628421855e-11      -9.724229520436e-15 
   30       1.508605569289e-10       3.085151844887e-15       2.713758691173e-13       0.000000000000e+00       1.596880726622e-10       1.589520448718e-11      -7.607694204804e-15 
   31       1.531772445914e-10       3.454572535241e-15       2.748098075038e-13       0.000000000000e+00       1.499587049823e-10       1.499977817423e-11      -6.831861388039e-15 
