# Matter power spectrum P(k) at redshift z=0
# for k=1.04363e-05 to 1.75779 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043629910889e-05       5.265543809622e+01 
       2.329888184769e-05       1.140087625344e+02 
       3.620657308770e-05       1.742159427570e+02 
       4.919400287694e-05       2.339529580796e+02 
       6.229637245737e-05       2.936000396449e+02 
       7.554976725338e-05       3.534394548208e+02 
       8.899147984130e-05       4.137108290415e+02 
       1.026603471844e-04       4.746337304920e+02 
       1.165971064501e-04       5.364191848795e+02 
       1.308447737610e-04       5.992765972931e+02 
       1.454490502351e-04       6.634185165221e+02 
       1.604587596169e-04       7.290643088852e+02 
       1.759263216216e-04       7.964432640869e+02 
       1.919082647567e-04       8.657974110095e+02 
       2.084657817336e-04       9.373841994162e+02 
       2.256653295281e-04       1.011479135950e+03 
       2.435792745093e-04       1.088378420123e+03 
       2.622865806256e-04       1.168401594220e+03 
       2.818735351453e-04       1.251894192015e+03 
       3.024345015709e-04       1.339230342206e+03 
       3.240726827073e-04       1.430815246841e+03 
       3.469008680721e-04       1.527087415264e+03 
       3.710421285051e-04       1.628520483480e+03 
       3.966304067257e-04       1.735624391536e+03 
       4.238109356911e-04       1.848945622279e+03 
       4.527403974580e-04       1.969066137555e+03 
       4.835867151292e-04       2.096600571481e+03 
       5.165283518743e-04       2.232191191182e+03 
       5.517529779412e-04       2.376500103725e+03 
       5.894553647626e-04       2.530198222287e+03 
       6.298343819641e-04       2.693950613077e+03 
       6.730890161397e-04       2.868398071419e+03 
       7.194134061386e-04       3.054135123901e+03 
       7.689910002807e-04       3.251685137077e+03 
       8.219880801860e-04       3.461473780184e+03 
       8.785470463032e-04       3.683802674177e+03 
       9.387799927084e-04       3.918825524315e+03 
       1.002763177093e-03       4.166529261896e+03 
       1.070532982505e-03       4.426722555325e+03 
       1.142083852382e-03       4.699033464401e+03 
       1.217368468210e-03       4.982917023827e+03 
       1.296300167184e-03       5.277672309017e+03 
       1.378757322704e-03       5.582450318658e+03 
       1.464589192315e-03       5.896307695829e+03 
       1.553622617172e-03       6.218266614824e+03 
       1.645668946503e-03       6.547288483799e+03 
       1.740530643435e-03       6.882327079732e+03 
       1.838007170181e-03       7.222353286855e+03 
