# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.483866994943e-10       4.459981420812e-15       3.791721287779e-13       0.000000000000e+00       8.807293225567e-09       4.821898736535e-10      -1.973590357865e-12 
    3       1.402588964202e-10       5.748221344319e-15       4.266426543262e-13       0.000000000000e+00       5.407457067478e-09       3.422326672234e-10      -1.498133339696e-12 
    4       1.325951963971e-10       5.016779237454e-15       4.002977234188e-13       0.000000000000e+00       3.763028626766e-09       2.591766616197e-10      -9.849799236597e-13 
    5       1.268402957274e-10       3.394622893567e-15       3.426554107635e-13       0.000000000000e+00       2.810391766682e-09       2.046799178627e-10      -5.526158102589e-13 
    6       1.228709619396e-10       1.938488318829e-15       2.779843356016e-13       0.000000000000e+00       2.196048227998e-09       1.665027035940e-10      -2.333812880516e-13 
    7       1.202605026345e-10       1.071875134315e-15       2.203878425229e-13       0.000000000000e+00       1.771939768082e-09       1.384931176629e-10      -2.883002889439e-14 
    8       1.187058055223e-10       6.954996295801e-16       1.760077679485e-13       0.000000000000e+00       1.464138456290e-09       1.172560385751e-10       7.663250404066e-14 
    9       1.179385168397e-10       5.502884537724e-16       1.462029651278e-13       0.000000000000e+00       1.232199559008e-09       1.007770952430e-10       1.074479594848e-13 
   10       1.177172677997e-10       4.622495419977e-16       1.296034471642e-13       0.000000000000e+00       1.052580548342e-09       8.772343021586e-11       9.082283520846e-14 
   11       1.179728065100e-10       3.859659250240e-16       1.234009808518e-13       0.000000000000e+00       8.882000553633e-10       7.750556554885e-11       5.222143403735e-14 
   12       1.185485941026e-10       3.370678762035e-16       1.244095117069e-13       0.000000000000e+00       7.761068498378e-10       6.853486036803e-11       1.043683849036e-14 
   13       1.193879229778e-10       3.269193543889e-16       1.298077423031e-13       0.000000000000e+00       6.840877345505e-10       6.125251742868e-11      -2.165803075194e-14 
   14       1.204349066747e-10       3.464917825640e-16       1.374448320189e-13       0.000000000000e+00       6.075276468454e-10       5.489459794407e-11      -3.946322115873e-14 
   15       1.216790545490e-10       3.820592780961e-16       1.459370507649e-13       0.000000000000e+00       5.430828490036e-10       4.955230957945e-11      -4.294163847727e-14 
   16       1.230454501806e-10       4.295169296853e-16       1.545507490534e-13       0.000000000000e+00       4.882887688417e-10       4.495034534362e-11      -3.614753193582e-14 
   17       1.245547280459e-10       4.937465385103e-16       1.630740298969e-13       0.000000000000e+00       4.412838310046e-10       4.093534100035e-11      -2.449562555715e-14 
   18       1.261432490084e-10       5.801139000283e-16       1.717795408410e-13       0.000000000000e+00       4.004855034780e-10       3.742644108701e-11      -1.316976301599e-14 
   19       1.278230560123e-10       6.889389366996e-16       1.808845173207e-13       0.000000000000e+00       3.652459076908e-10       3.437816064376e-11      -4.983528946492e-15 
   20       1.295835741517e-10       8.181890219644e-16       1.905181474195e-13       0.000000000000e+00       3.342079192065e-10       3.167818476702e-11      -1.830216631734e-15 
   21       1.314281506232e-10       9.671186197942e-16       2.006630003957e-13       0.000000000000e+00       3.068843691568e-10       2.927700091148e-11      -3.181543349138e-15 
   22       1.333316336734e-10       1.135137004122e-15       2.111688470747e-13       0.000000000000e+00       2.826216850508e-10       2.710937687446e-11      -7.260284777132e-15 
   23       1.352970695550e-10       1.322521738796e-15       2.216995357111e-13       0.000000000000e+00       2.610866478716e-10       2.516180132885e-11      -1.226686823020e-14 
   24       1.373144767739e-10       1.529648827608e-15       2.318061839010e-13       0.000000000000e+00       2.417818822089e-10       2.341357852733e-11      -1.626217615533e-14 
   25       1.393886513300e-10       1.756640153315e-15       2.411557159753e-13       0.000000000000e+00       2.244805314162e-10       2.184765291500e-11      -1.834049608484e-14 
   26       1.415113913906e-10       2.003783590281e-15       2.494594504245e-13       0.000000000000e+00       2.088696013321e-10       2.043200927760e-11      -1.809056325671e-14 
   27       1.436747592611e-10       2.273142728198e-15       2.566307787928e-13       0.000000000000e+00       1.947619571751e-10       1.914572396494e-11      -1.609226950220e-14 
   28       1.458619693691e-10       2.567328724263e-15       2.626701904447e-13       0.000000000000e+00       1.819145283446e-10       1.796363387437e-11      -1.333522284549e-14 
   29       1.480830913621e-10       2.887870784764e-15       2.676309035167e-13       0.000000000000e+00       1.702618349272e-10       1.688392110927e-11      -1.050783076386e-14 
   30       1.503448993801e-10       3.235963157676e-15       2.716144295024e-13       0.000000000000e+00       1.596788920929e-10       1.590279296642e-11      -8.332706515567e-15 
   31       1.526429457248e-10       3.612741392081e-15       2.747290063720e-13       0.000000000000e+00       1.499499899197e-10       1.500720708805e-11      -7.487806158152e-15 
   32       1.549802025856e-10       4.019167809727e-15       2.769458896829e-13       0.000000000000e+00       1.410249617412e-10       1.418791075632e-11      -7.824312854970e-15 
   33       1.573525271299e-10       4.456090353792e-15       2.781888647956e-13       0.000000000000e+00       1.328407480553e-10       1.342941461959e-11      -8.843312333309e-15 
   34       1.597485037183e-10       4.924305238165e-15       2.783628180112e-13       0.000000000000e+00       1.252828838449e-10       1.271265942048e-11      -9.976350436712e-15 
   35       1.621710729095e-10       5.424700754211e-15       2.773282871691e-13       0.000000000000e+00       1.183127370537e-10       1.203949412091e-11      -1.090252933498e-14 
   36       1.646216309473e-10       5.958155040999e-15       2.749150624607e-13       0.000000000000e+00       1.118744439178e-10       1.141595155576e-11      -1.133243489734e-14 
