# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.576199015731e-10       4.460192037037e-15       3.972311672782e-13       2.556814242147e-19       9.130101975561e-09       5.458522734311e-10      -1.919325193865e-12 
    3       1.457263453190e-10       5.744879679368e-15       4.435933540786e-13       5.114132995217e-19       5.611520313734e-09       3.826909223040e-10      -1.437686054341e-12 
    4       1.358020855168e-10       4.991004230106e-15       4.110192543171e-13       8.524689997085e-19       3.897333758962e-09       2.873268634224e-10      -9.301617802403e-13 
    5       1.286887209575e-10       3.343223812472e-15       3.461396118920e-13       1.278919540082e-18       2.906424858080e-09       2.254341661802e-10      -5.112058775218e-13 
    6       1.238435482206e-10       1.872918190245e-15       2.750130641061e-13       1.790856637722e-18       2.268348741450e-09       1.824331225153e-10      -2.073054190041e-13 
    7       1.206880268097e-10       1.006259508964e-15       2.126781088711e-13       2.388394302813e-18       1.828533068217e-09       1.510673087176e-10      -1.520541763757e-14 
    8       1.186886214615e-10       6.409222913225e-16       1.657225151393e-13       3.071670400370e-18       1.510015422904e-09       1.273428044563e-10       8.238891217302e-14 
    9       1.175937260505e-10       5.114393752446e-16       1.350306955538e-13       3.840848024315e-18       1.270383335613e-09       1.089301588618e-10       1.092736125872e-13 
   10       1.171734525507e-10       4.378994621474e-16       1.183999130724e-13       4.696116523746e-18       1.084683059550e-09       9.435418636498e-11       9.117669362636e-14 
   11       1.172070510914e-10       3.714157644460e-16       1.126143851633e-13       5.637692028139e-18       9.136255342069e-10       8.274772347386e-11       5.224152049076e-14 
   12       1.176609840059e-10       3.264917849398e-16       1.142528816164e-13       6.665817333891e-18       7.975446976679e-10       7.303843216172e-11       1.068630142127e-14 
   13       1.183987810178e-10       3.147694261375e-16       1.201992597431e-13       7.780761038606e-18       7.022961352160e-10       6.485434206656e-11      -2.149996385695e-14 
   14       1.193494114442e-10       3.280732301161e-16       1.281747790079e-13       8.982815840715e-18       6.230880822769e-10       5.792739071207e-11      -3.911630715132e-14 
   15       1.205189965501e-10       3.538310655270e-16       1.367958765028e-13       1.027229595920e-17       5.564369922642e-10       5.209824494498e-11      -4.247633990491e-14 
   16       1.218402919870e-10       3.891916928616e-16       1.454310393886e-13       1.164953366958e-17       4.998096409341e-10       4.708938295590e-11      -3.560633719412e-14 
   17       1.233065305279e-10       4.401897121259e-16       1.539572142840e-13       1.311487499607e-17       4.512710511833e-10       4.270142250616e-11      -2.405923053459e-14 
   18       1.248828526077e-10       5.133944572476e-16       1.626195250611e-13       1.466867513190e-17       4.091639964203e-10       3.886085944563e-11      -1.282162912871e-14 
   19       1.265701405676e-10       6.095600556624e-16       1.717248129811e-13       1.631129029824e-17       3.728146876769e-10       3.552189589995e-11      -4.639794603099e-15 
