# Matter power spectrum P(k) at redshift z=0
# for k=1.04018e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040175925610e-05       4.919780053819e+01 
       2.325725832986e-05       1.071434712864e+02 
       3.615771495291e-05       1.641849250995e+02 
       4.913770134233e-05       2.208916143019e+02 
       6.223235866076e-05       2.775939736142e+02 
       7.547770912784e-05       3.345435847815e+02 
       8.891097806537e-05       3.919581601878e+02 
       1.025709301444e-04       4.500400466743e+02 
       1.164982241345e-04       5.089857764888e+02 
       1.307357904903e-04       5.689919096186e+02 
       1.453292361151e-04       6.302591419657e+02 
       1.603272805874e-04       6.929955461109e+02 
       1.757822279596e-04       7.574193702523e+02 
       1.917504778822e-04       8.236214566941e+02 
       2.082930791631e-04       8.921185265814e+02 
       2.254763278234e-04       9.630443962410e+02 
       2.433724100870e-04       1.036683358998e+03 
       2.620600883280e-04       1.113342496828e+03 
       2.816254245386e-04       1.193354228149e+03 
       3.021625310330e-04       1.277078824682e+03 
       3.237743315214e-04       1.364906822287e+03 
       3.465733069522e-04       1.457261204688e+03 
       3.706821892768e-04       1.554599208002e+03 
       3.962345522711e-04       1.657413516511e+03 
       4.233752317646e-04       1.766286328995e+03 
       4.522604885736e-04       1.881508870587e+03 
       4.830578074042e-04       2.004038268691e+03 
       5.159452064235e-04       2.134369790316e+03 
       5.511099190558e-04       2.272896213081e+03 
       5.887463075275e-04       2.420761676870e+03 
       6.290528839447e-04       2.577967314630e+03 
       6.722283570696e-04       2.745603579283e+03 
       7.184666979140e-04       2.924356543785e+03 
       7.679513268907e-04       3.114503044887e+03 
       8.208486635457e-04       3.316464411547e+03 
       8.773014297000e-04       3.530601120544e+03 
       9.374222294461e-04       3.756997695876e+03 
       1.001288008904e-03       3.995890147005e+03 
       1.068935991367e-03       4.246621502749e+03 
       1.140361571142e-03       4.509189507086e+03 
       1.215518439860e-03       4.783081713053e+03 
       1.294320948910e-03       5.067607834644e+03 
