# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518496470e-22       4.635512595996e-07       2.157256296422e+18       1.429664536986e+04       1.429664536986e-08       1.429664536986e+16       2.676317460040e-07       2.751560535470e+36       2.492336125560e+27       1.112650056054e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.902194177205e+36       4.653754728453e+36       1.328504166928e+28       8.377592250103e+02       6.930378694321e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171827e-22       4.667963366956e-07       2.127368890899e+18       1.429664536986e+04       1.439672188745e-08       1.419726451823e+16       2.695051682254e-07       2.675846458098e+36       2.440721353921e+27       1.089607747286e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.849851924417e+36       4.525698397966e+36       1.300991650260e+28       8.319356752541e+02       9.668728964439e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902618e-22       4.700650606537e-07       2.097895556255e+18       1.429664536986e+04       1.449749894066e-08       1.409857449675e+16       2.713917044023e-07       2.602215788101e+36       2.390175492941e+27       1.067042630777e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.798949961721e+36       4.401165764954e+36       1.274048901148e+28       8.261526069764e+02       1.933745792807e-07       7.167828077441e+01 
       9.792906056642e+11       7.882626650729e-22       4.733537934953e-07       2.068830555801e+18       1.429664536985e+04       1.459898143324e-08       1.400057050323e+16       2.732914463324e-07       2.530611196823e+36       2.340676406129e+27       1.044944824165e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.749448656976e+36       4.280059868618e+36       1.247664120052e+28       8.204097387767e+02       2.900618689160e-07       4.778552051658e+01 
       9.724832231024e+11       7.993369672542e-22       4.766679921886e-07       2.040168232330e+18       1.429664536985e+04       1.470117430327e-08       1.390324776884e+16       2.752044864560e-07       2.460976933108e+36       2.292202415424e+27       1.023304649743e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.701309468590e+36       4.162286416210e+36       1.221825751793e+28       8.147067912105e+02       3.867491585501e-07       3.583914038745e+01 
       9.657231609756e+11       8.105668523066e-22       4.800040187547e-07       2.011903007010e+18       1.429664536985e+04       1.480408252339e-08       1.380660155793e+16       2.771309178605e-07       2.393258779892e+36       2.244732291708e+27       1.002112630227e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.654494915511e+36       4.047753709614e+36       1.196522480491e+28       8.090434867759e+02       4.834364481832e-07       2.867131230991e+01 
       9.590100903431e+11       8.219545060140e-22       4.833655111725e-07       1.984029378298e+18       1.429664536984e+04       1.490771110105e-08       1.371062716775e+16       2.790708342847e-07       2.327404011990e+36       2.198245245503e+27       9.813594845994e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.608968548044e+36       3.936372573951e+36       1.171743224612e+28       8.034195499000e+02       5.801237378152e-07       2.389276025819e+01 
       9.523436845512e+11       8.335021448682e-22       4.867488314630e-07       1.956541920876e+18       1.429664536984e+04       1.501206507876e-08       1.361531992825e+16       2.810243301239e-07       2.263361355044e+36       2.152720917869e+27       9.610361240486e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.564694919474e+36       3.828056288147e+36       1.147477132114e+28       7.978347069254e+02       6.768110274462e-07       2.047950879266e+01 
       9.457236192166e+11       8.452120165005e-22       4.901557986159e-07       1.929435284587e+18       1.429664536984e+04       1.511714953431e-08       1.352067520183e+16       2.829915004340e-07       2.201080945601e+36       2.108139371488e+27       9.411336479857e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.521639558464e+36       3.722720517411e+36       1.123713575695e+28       7.922886860972e+02       7.734983170761e-07       1.791957019351e+01 
       9.391495722111e+11       8.570864001192e-22       4.935864126310e-07       1.902704193398e+18       1.429664536983e+04       1.522296958104e-08       1.342668838315e+16       2.849724409361e-07       2.140514292289e+36       2.064481081931e+27       9.216433401478e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.479768942217e+36       3.620283247576e+36       1.100442148136e+28       7.867812175493e+02       8.701856067051e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069532e-22       4.970424924977e-07       1.876343444372e+18       1.429664536983e+04       1.532953036811e-08       1.333335489885e+16       2.869672480218e-07       2.081614238065e+36       2.021726929109e+27       9.025566647806e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.439050470375e+36       3.520664721239e+36       1.077652657748e+28       7.813120332917e+02       9.668728963330e-07       1.433565615469e+01 
       9.261382558545e+11       8.813379807019e-22       5.005204002373e-07       1.850347906655e+18       1.429664536983e+04       1.543683708068e-08       1.324067020740e+16       2.889760187570e-07       2.024334923491e+36       1.979858188896e+27       8.838652629002e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.399452439639e+36       3.423787375664e+36       1.055335123903e+28       7.758808671972e+02       1.063560185960e-06       1.303241468603e+01 
       9.197003533808e+11       8.937198979912e-22       5.040255928179e-07       1.824712520479e+18       1.429664536982e+04       1.554489494024e-08       1.314862979880e+16       2.909988508874e-07       1.968631751037e+36       1.938856524936e+27       8.655609486319e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.360944019080e+36       3.329575782392e+36       1.033479772666e+28       7.704874549886e+02       1.160247475586e-06       1.194638012882e+01 
       9.133072029600e+11       9.062757688364e-22       5.075526132714e-07       1.799432296173e+18       1.429664536982e+04       1.565370920482e-08       1.305722919444e+16       2.930358428426e-07       1.914461350353e+36       1.898703980602e+27       8.476357056259e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.323495226138e+36       3.237956588511e+36       1.012077032517e+28       7.651315342258e+02       1.256934765211e-06       1.102742781117e+01 
       9.069584935054e+11       9.190080371109e-22       5.111050995765e-07       1.774502313198e+18       1.429664536982e+04       1.576328516925e-08       1.296646394680e+16       2.950870937415e-07       1.861781544498e+36       1.859382971143e+27       8.300816835458e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.287076903277e+36       3.148858459546e+36       9.911175301535e+27       7.598128442930e+02       1.353622054835e-06       1.023975439605e+01 
       9.006539160927e+11       9.319191810222e-22       5.146830517333e-07       1.749917719185e+18       1.429664536981e+04       1.587362816543e-08       1.287632963933e+16       2.971527033966e-07       1.810551317108e+36       1.820876275974e+27       8.128911946312e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.251660695281e+36       3.062212023916e+36       9.705920863894e+27       7.545311263859e+02       1.450309344459e-06       9.557104102943e+00 
       8.943931639451e+11       9.450117135942e-22       5.182864697417e-07       1.725673728989e+18       1.429664536981e+04       1.598474356259e-08       1.278682188612e+16       2.992327723193e-07       1.760730780455e+36       1.783167031140e+27       7.960567103302e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.217219027178e+36       2.977949818922e+36       9.504917121341e+27       7.492861234994e+02       1.546996634081e-06       8.959785096476e+00 
       8.881759324181e+11       9.582881831561e-22       5.219135346124e-07       1.701765623763e+18       1.429664536981e+04       1.609663676752e-08       1.269793633179e+16       3.013274017244e-07       1.712281144394e+36       1.746238721927e+27       7.795708580031e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.183725082773e+36       2.896006238223e+36       9.308076044555e+27       7.440775804150e+02       1.643683923703e-06       8.432738914301e+00 
       8.820019189852e+11       9.717511738387e-22       5.255678843241e-07       1.678188750037e+18       1.429664536980e+04       1.620931322489e-08       1.260966865123e+16       3.034366935353e-07       1.665164686160e+36       1.710075175632e+27       7.634264176928e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.151152783764e+36       2.816317480750e+36       9.115311427250e+27       7.389052436880e+02       1.740371213324e-06       7.964253419034e+00 
       8.758708232226e+11       9.854033060772e-22       5.292458808981e-07       1.654938518808e+18       1.429664536980e+04       1.632277841746e-08       1.252201454938e+16       3.055607503889e-07       1.619344720995e+36       1.674660554478e+27       7.476163189632e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.119476769439e+36       2.738821501035e+36       8.926538848418e+27       7.337688616358e+02       1.837058502944e-06       7.545082186429e+00 
       8.697823467949e+11       9.992472371214e-22       5.329511623131e-07       1.632010404656e+18       1.429664536979e+04       1.643703786638e-08       1.243496976105e+16       3.076996756404e-07       1.574785573588e+36       1.639979348678e+27       7.321336378026e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.088672376933e+36       2.663457960904e+36       8.741675635361e+27       7.286681843251e+02       1.933745792563e-06       7.167828077085e+00 
       8.637361934408e+11       1.013285661553e-21       5.366819095798e-07       1.609399944852e+18       1.429664536979e+04       1.655209713144e-08       1.234853005069e+16       3.098535733686e-07       1.531452550300e+36       1.606016369645e+27       7.169715935916e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.058715622024e+36       2.590168182491e+36       8.560640827481e+27       7.236029635601e+02       2.030433082181e-06       6.826502930536e+00 
       8.577320689581e+11       1.027521311808e-21       5.404381226981e-07       1.587102738501e+18       1.429664536979e+04       1.666796181136e-08       1.226269121220e+16       3.120225483809e-07       1.489311912146e+36       1.572756743338e+27       7.021235461330e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.029583180456e+36       2.518895102558e+36       8.383355140826e+27       7.185729528702e+02       2.127120371799e-06       6.516207342766e+00 
       8.517696811897e+11       1.041956958714e-21       5.442216206575e-07       1.565114445676e+18       1.429664536978e+04       1.678463754403e-08       1.217744906872e+16       3.142067062183e-07       1.448330848530e+36       1.540185903747e+27       6.875829927444e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       1.001252369783e+36       2.449583228063e+36       8.209740933366e+27       7.135779074984e+02       2.223807661416e-06       6.232893980020e+00 
       8.458487400096e+11       1.056595412024e-21       5.480324034579e-07       1.543430786577e+18       1.429664536978e+04       1.690213000684e-08       1.209279947241e+16       3.164061531604e-07       1.408477451698e+36       1.508289586518e+27       6.733435654097e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       9.737011317061e+35       2.382178592953e+36       8.039722170990e+27       7.086175843886e+02       2.320494951032e-06       5.973190064171e+00 
       8.399689573084e+11       1.071439520963e-21       5.518686521100e-07       1.522047540699e+18       1.429664536978e+04       1.702044491688e-08       1.200873830427e+16       3.186209962312e-07       1.369720691896e+36       1.477053822700e+27       6.593990279909e+23       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.214677155403e-08       9.469080149010e+35       2.316628716148e+36       7.873224394208e+27       7.036917421746e+02       2.417182240648e-06       5.734262461590e+00 
