# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.763970699112e-10       4.706366134350e-15       5.331509722485e-13       0.000000000000e+00       1.163960378259e-08       1.048778476882e-09      -1.789240655450e-12 
    3       2.355809166787e-10       6.083836674244e-15       5.924707651986e-13       0.000000000000e+00       7.168551906765e-09       7.184227808509e-10      -1.241258975447e-12 
    4       2.058151925759e-10       5.342730054234e-15       5.380698303140e-13       0.000000000000e+00       4.973213435324e-09       5.302109105410e-10      -7.416449468035e-13 
    5       1.850880895103e-10       3.626418445966e-15       4.337827654426e-13       0.000000000000e+00       3.696774520361e-09       4.106010971897e-10      -3.817962886640e-13 
    6       1.704170449643e-10       2.041411748050e-15       3.217300663739e-13       0.000000000000e+00       2.872990099486e-09       3.284475897384e-10      -1.455026029303e-13 
    7       1.597275053944e-10       1.067255336348e-15       2.296164526577e-13       0.000000000000e+00       2.303850336706e-09       2.688674122891e-10      -2.346064836422e-15 
    8       1.518716577594e-10       6.367185276628e-16       1.672577342430e-13       0.000000000000e+00       1.891465634444e-09       2.240590548412e-10       7.044063535251e-14 
    9       1.460774785577e-10       4.853427263493e-16       1.310817753789e-13       0.000000000000e+00       1.582389681360e-09       1.895159925785e-10       8.922547255526e-14 
   10       1.418041774030e-10       4.158143351522e-16       1.138960048409e-13       0.000000000000e+00       1.344598910870e-09       1.622990301549e-10       7.113092693533e-14 
   11       1.387043694233e-10       3.615582609484e-16       1.097132743240e-13       0.000000000000e+00       1.133340035910e-09       1.403414436160e-10       3.483609798728e-14 
   12       1.364801301972e-10       3.271188115070e-16       1.135780342840e-13       0.000000000000e+00       9.843639354658e-10       1.222924384364e-10      -4.561026841051e-15 
   13       1.349675872886e-10       3.212989445796e-16       1.214234901491e-13       0.000000000000e+00       8.626156475724e-10       1.070852903621e-10      -3.546977387913e-14 
   14       1.340501080598e-10       3.359235088183e-16       1.304888560522e-13       0.000000000000e+00       7.618059163822e-10       9.459602663682e-11      -5.244176723233e-14 
   15       1.336031867494e-10       3.585040286983e-16       1.392359586743e-13       0.000000000000e+00       6.770769129450e-10       8.393740276854e-11      -5.589391584791e-14 
   16       1.334849234006e-10       3.866561738176e-16       1.472255142908e-13       0.000000000000e+00       6.053176686033e-10       7.470851822111e-11      -4.891019744559e-14 
