# Matter power spectrum P(k) at redshift z=0
# for k=1.03318e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.033182845475e-05       4.638902564923e+01 
       2.318717055439e-05       1.013886849148e+02 
       3.608728292044e-05       1.555434902663e+02 
       4.906673546409e-05       2.093532292415e+02 
       6.216066536097e-05       2.631444711624e+02 
       7.540508911938e-05       3.171528675282e+02 
       8.883722455911e-05       3.715817208633e+02 
       1.024958269686e-04       4.266320175909e+02 
       1.164215437412e-04       4.832041153617e+02 
       1.306572918242e-04       5.400963889319e+02 
       1.452486623220e-04       5.977089700598e+02 
       1.602443565389e-04       6.571466975847e+02 
       1.756966575718e-04       7.190947296312e+02 
       1.916619412105e-04       7.818201992658e+02 
       2.082012292569e-04       8.465430099971e+02 
       2.253807873344e-04       9.145323707615e+02 
       2.432727676333e-04       9.843799224010e+02 
       2.619558946345e-04       1.057237795303e+03 
       2.815161883924e-04       1.132490981145e+03 
       3.020477151287e-04       1.212128278301e+03 
       3.236533483080e-04       1.294450473869e+03 
       3.464455146495e-04       1.383219663310e+03 
       3.705468882986e-04       1.474809832995e+03 
       3.960909823753e-04       1.571605096657e+03 
       4.232225703497e-04       1.674282700655e+03 
       4.520978506502e-04       1.784036207197e+03 
       4.828842478774e-04       1.901921412634e+03 
       5.157597254135e-04       2.025685765948e+03 
       5.509114710344e-04       2.156474983991e+03 
       5.885338150128e-04       2.298060399785e+03 
       6.288252563479e-04       2.447289135572e+03 
       6.719845149718e-04       2.607212580528e+03 
       7.182056025451e-04       2.776989405811e+03 
       7.676720138985e-04       2.957186564438e+03 
       8.205502793331e-04       3.148878668030e+03 
       8.769832678066e-04       3.351758437377e+03 
       9.370837638341e-04       3.567493947174e+03 
       1.000928920783e-03       3.794051837624e+03 
       1.068556186510e-03       4.032276158890e+03 
       1.139961185534e-03       4.281696451136e+03 
       1.215097832888e-03       4.541675953930e+03 
       1.293880684834e-03       4.811596396936e+03 
       1.376189257511e-03       5.091219236209e+03 
       1.461873824963e-03       5.379020925414e+03 
       1.477104874446e-03       5.429849268062e+03 
       1.550762084805e-03       5.674121939690e+03 
       1.642666066142e-03       5.976283459617e+03 
       1.737388734536e-03       6.283696208123e+03 
       1.834729888667e-03       6.596076011633e+03 
       1.934491103660e-03       6.912294087003e+03 
       2.036479624771e-03       7.231284524753e+03 
       2.140511232279e-03       7.552348777970e+03 
       2.246412177186e-03       7.874722381928e+03 
       2.354020329894e-03       8.197725286336e+03 
       2.463185698029e-03       8.520846911080e+03 
       2.573770463946e-03       8.843341164257e+03 
       2.685648675428e-03       9.165023582061e+03 
       2.798705701036e-03       9.485179579991e+03 
       2.912837538712e-03       9.803462494675e+03 
       3.027950045190e-03       1.011954099302e+04 
       3.143958135702e-03       1.043309542225e+04 
       3.260784988725e-03       1.074392823551e+04 
       3.378361279025e-03       1.105185431384e+04 
       3.496624453548e-03       1.135655194360e+04 
       3.615518058305e-03       1.165787331163e+04 
       3.734991119915e-03       1.195568374376e+04 
       3.854997582300e-03       1.224986714905e+04 
       3.975495797040e-03       1.254033653222e+04 
       4.096448064560e-03       1.282696879056e+04 
       4.217820222645e-03       1.310971162043e+04 
       4.339581278420e-03       1.338848029932e+04 
       4.461703079850e-03       1.366323066751e+04 
       4.584160022917e-03       1.393392291302e+04 
       4.706928790815e-03       1.420058049635e+04 
       4.829988121767e-03       1.446309117282e+04 
       4.953318602332e-03       1.472154443486e+04 
       5.076902483380e-03       1.497584210677e+04 
       5.200723516174e-03       1.522597829725e+04 
       5.324766806278e-03       1.547202094148e+04 
       5.449018683262e-03       1.571404349002e+04 
       5.573466584389e-03       1.594219242536e+04 
       5.698098950687e-03       1.618152424246e+04 
       5.822905133994e-03       1.640266306459e+04 
       5.947875313725e-03       1.664007037227e+04 
       6.073000422253e-03       1.685126781602e+04 
       6.198272077955e-03       1.707654448769e+04 
       6.323682525031e-03       1.728232985320e+04 
       6.449224579379e-03       1.749017624806e+04 
       6.574891579834e-03       1.770512203337e+04 
       6.700677344191e-03       1.790786386659e+04 
       6.826576129503e-03       1.811004886562e+04 
       6.952582596179e-03       1.830094918699e+04 
       7.078691775495e-03       1.848317604033e+04 
       7.204899040142e-03       1.867958872988e+04 
       7.331200077512e-03       1.885279384453e+04 
       7.457590865422e-03       1.904215914127e+04 
       7.584067650041e-03       1.921704080952e+04 
       7.710626925794e-03       1.938738864754e+04 
       7.837265417038e-03       1.955824337165e+04 
       7.963980061345e-03       1.972388772069e+04 
       8.090767994231e-03       1.988725028992e+04 
       8.217626535189e-03       2.004368042774e+04 
       8.344553174907e-03       2.019506211131e+04 
       8.471545563549e-03       2.035076760612e+04 
       8.598601500012e-03       2.049759888746e+04 
       8.725718922060e-03       2.064061737570e+04 
       8.852895897256e-03       2.078033397117e+04 
       8.980130614627e-03       2.092329484210e+04 
       9.107421376981e-03       2.105638704095e+04 
       9.234766593838e-03       2.118649224824e+04 
       9.362164774905e-03       2.131348003062e+04 
       9.489614524057e-03       2.144325152936e+04 
       9.617114533774e-03       2.156738693824e+04 
       9.744663580008e-03       2.168644576263e+04 
       9.872260517423e-03       2.180340823651e+04 
       9.999904275004e-03       2.191579774617e+04 
       1.012759385198e-02       2.202085513789e+04 
       1.025532831403e-02       2.212330157445e+04 
       1.038310678983e-02       2.224019591773e+04 
       1.051092846776e-02       2.233788702616e+04 
       1.063879259291e-02       2.244039001271e+04 
       1.076669846426e-02       2.253583675972e+04 
       1.089464543214e-02       2.262161311056e+04 
       1.102263289574e-02       2.271653077453e+04 
       1.115066030090e-02       2.280691782544e+04 
       1.127872713803e-02       2.289513455672e+04 
       1.140683294016e-02       2.297834097372e+04 
       1.153497728113e-02       2.305430884216e+04 
       1.166315977391e-02       2.313502990671e+04 
       1.179138006903e-02       2.321029261656e+04 
       1.191963785316e-02       2.327550380869e+04 
       1.204793284771e-02       2.335351618155e+04 
       1.217626480762e-02       2.342130148046e+04 
       1.230463352014e-02       2.348858496042e+04 
       1.243303880379e-02       2.355077776367e+04 
       1.256148050733e-02       2.360628809572e+04 
       1.268995850883e-02       2.366749663050e+04 
       1.281847271478e-02       2.372506671671e+04 
       1.294702305933e-02       2.377822723701e+04 
       1.307560950348e-02       2.383022228644e+04 
       1.320423203446e-02       2.387738437008e+04 
       1.333289066506e-02       2.392565629867e+04 
       1.346158543303e-02       2.397248036426e+04 
       1.359031640056e-02       2.401552430448e+04 
       1.371908365381e-02       2.405312991235e+04 
       1.384788730238e-02       2.409246149673e+04 
       1.397672747901e-02       2.412708285561e+04 
       1.410560433909e-02       2.416697594217e+04 
       1.423451806040e-02       2.419907170001e+04 
       1.436346884280e-02       2.422925238122e+04 
       1.449245690789e-02       2.425692845859e+04 
       1.462148249887e-02       2.428485427394e+04 
       1.475054588024e-02       2.431070602403e+04 
       1.477104874446e-02       2.431262658570e+04 
       1.487964733767e-02       2.433329816748e+04 
       1.500878717782e-02       2.435376504275e+04 
       1.513796572823e-02       2.437093519327e+04 
       1.526718333719e-02       2.438976616852e+04 
       1.539644037369e-02       2.440320299097e+04 
       1.552573722733e-02       2.441881052142e+04 
       1.565507430831e-02       2.443281327154e+04 
       1.578445204742e-02       2.444313964812e+04 
       1.591387089601e-02       2.445117501698e+04 
       1.604333132606e-02       2.445598771931e+04 
       1.617283383022e-02       2.446290340612e+04 
       1.630237892186e-02       2.446207094992e+04 
       1.643196713519e-02       2.446529456247e+04 
       1.656159902533e-02       2.446541027197e+04 
       1.669127516843e-02       2.446574864265e+04 
       1.682099616188e-02       2.446690168606e+04 
       1.695076262439e-02       2.445946740328e+04 
       1.708057519618e-02       2.445321387576e+04 
       1.721043453924e-02       2.444948560119e+04 
       1.734034133746e-02       2.444166659065e+04 
       1.747029629689e-02       2.442630261663e+04 
       1.760030014601e-02       2.441570521024e+04 
       1.773035363594e-02       2.440698643244e+04 
       1.786045754077e-02       2.439061683114e+04 
       1.799061265781e-02       2.437730308434e+04 
       1.812081980794e-02       2.436062965925e+04 
       1.825107983592e-02       2.433996081688e+04 
       1.838139361071e-02       2.432355982104e+04 
       1.851176202588e-02       2.430197529415e+04 
       1.864218599997e-02       2.428032911124e+04 
       1.877266647684e-02       2.425627129005e+04 
       1.890320442618e-02       2.423003231033e+04 
       1.903380084383e-02       2.420711444270e+04 
       1.916445675230e-02       2.417583243586e+04 
       1.929517320122e-02       2.415172546770e+04 
       1.942595126781e-02       2.412229292873e+04 
       1.955679205738e-02       2.409176675343e+04 
       1.968769670388e-02       2.406209862105e+04 
       1.981866637039e-02       2.402693612881e+04 
       1.994970224972e-02       2.399499191304e+04 
       2.008080556496e-02       2.395913922952e+04 
       2.021197757011e-02       2.392444818431e+04 
       2.034321955065e-02       2.388824821838e+04 
       2.047453282423e-02       2.385126590497e+04 
       2.060591874129e-02       2.381156611668e+04 
       2.073737868575e-02       2.377151857537e+04 
       2.086891407575e-02       2.373044352306e+04 
       2.100052636432e-02       2.368737543108e+04 
       2.113221704016e-02       2.364738827424e+04 
       2.126398762843e-02       2.360464443476e+04 
       2.139583969151e-02       2.355881072521e+04 
       2.152777482988e-02       2.351612279794e+04 
       2.165979468289e-02       2.347017018328e+04 
       2.179190092972e-02       2.342113592763e+04 
       2.192409529023e-02       2.337359137396e+04 
       2.205637952593e-02       2.332751273552e+04 
       2.218875544091e-02       2.327541480833e+04 
       2.232122488284e-02       2.322656038275e+04 
       2.245378974403e-02       2.317798879676e+04 
       2.258645196242e-02       2.312535830954e+04 
       2.271921352274e-02       2.307148063616e+04 
       2.285207645758e-02       2.301835025283e+04 
       2.298504284856e-02       2.296578111189e+04 
       2.311811482755e-02       2.291042646157e+04 
       2.325129457786e-02       2.285550736728e+04 
       2.338458433557e-02       2.280073608026e+04 
       2.351798639075e-02       2.274550958993e+04 
       2.365150308892e-02       2.268746973848e+04 
       2.378513683235e-02       2.263043672706e+04 
       2.391889008158e-02       2.257395840458e+04 
       2.405276535683e-02       2.251545234677e+04 
       2.418676523959e-02       2.245641242901e+04 
       2.432089237419e-02       2.239555135540e+04 
       2.445514946940e-02       2.233479598704e+04 
       2.458953930018e-02       2.227406899717e+04 
       2.472406470935e-02       2.221202279469e+04 
       2.485872860946e-02       2.215223959217e+04 
       2.499353398457e-02       2.209017989939e+04 
       2.512848389227e-02       2.202787917861e+04 
       2.526358146554e-02       2.196363559181e+04 
       2.539882991492e-02       2.189970381361e+04 
       2.553423253055e-02       2.183497181328e+04 
       2.566979268438e-02       2.177042223735e+04 
       2.580551383246e-02       2.170595238307e+04 
       2.594139951723e-02       2.164168725118e+04 
       2.607745336999e-02       2.157511916050e+04 
       2.621367911340e-02       2.150893975081e+04 
       2.635008056405e-02       2.144279381300e+04 
       2.648666163515e-02       2.137567138812e+04 
       2.662342633931e-02       2.130765421394e+04 
       2.676037879146e-02       2.124045764754e+04 
       2.689752321173e-02       2.117205867180e+04 
       2.703486392866e-02       2.110456910405e+04 
       2.717240538228e-02       2.103621849224e+04 
       2.731015212753e-02       2.096564980263e+04 
       2.744810883760e-02       2.089735245220e+04 
       2.758628030758e-02       2.082856506359e+04 
       2.772467145808e-02       2.075895729498e+04 
       2.786328733912e-02       2.068751169625e+04 
       2.800213313408e-02       2.061865893674e+04 
       2.814121416382e-02       2.054819828897e+04 
       2.828053589102e-02       2.047614223043e+04 
       2.842010392456e-02       2.040549779927e+04 
       2.855992402420e-02       2.033524717189e+04 
       2.870000210535e-02       2.026390515228e+04 
       2.884034424411e-02       2.019145456451e+04 
       2.898095668241e-02       2.012001622315e+04 
       2.912184583346e-02       2.004856510242e+04 
       2.926301828736e-02       1.997634802457e+04 
       2.940448081693e-02       1.990311390596e+04 
       2.954624038382e-02       1.983126798841e+04 
       2.968830414484e-02       1.975849168320e+04 
       2.983067945859e-02       1.968584893365e+04 
       2.997337389232e-02       1.961414802589e+04 
       3.011639522913e-02       1.953975171600e+04 
       3.025975147544e-02       1.946796826809e+04 
       3.040345086878e-02       1.939486405974e+04 
       3.054750188599e-02       1.932097864408e+04 
       3.069191325168e-02       1.924803706132e+04 
       3.083669394714e-02       1.917442438728e+04 
       3.098185321961e-02       1.910000275136e+04 
       3.112740059198e-02       1.902744431520e+04 
       3.127334587291e-02       1.895368053830e+04 
       3.141969916749e-02       1.887915720195e+04 
       3.156647088829e-02       1.880591376240e+04 
       3.171367176699e-02       1.873234855844e+04 
       3.186131286658e-02       1.865830646985e+04 
       3.200940559404e-02       1.858422326302e+04 
       3.215796171377e-02       1.850911595191e+04 
       3.230699336157e-02       1.843614790458e+04 
       3.245651305933e-02       1.836136286211e+04 
       3.260653373049e-02       1.828796439810e+04 
       3.275706871620e-02       1.821373828957e+04 
       3.290813179236e-02       1.813894840396e+04 
       3.305973718754e-02       1.806444139900e+04 
       3.321189960171e-02       1.799144096525e+04 
       3.336463422614e-02       1.791702961896e+04 
       3.351795676414e-02       1.784283227282e+04 
       3.367188345307e-02       1.776782904627e+04 
       3.382643108743e-02       1.769421236986e+04 
       3.398161704327e-02       1.761992888023e+04 
       3.413745930389e-02       1.754545266691e+04 
       3.429397648701e-02       1.747161830338e+04 
       3.445118787345e-02       1.739773564190e+04 
       3.460911343742e-02       1.732392243609e+04 
       3.476777387862e-02       1.724933486998e+04 
       3.492719065607e-02       1.717489542068e+04 
       3.508738602411e-02       1.710140012401e+04 
       3.524838307035e-02       1.702737707326e+04 
       3.541020575609e-02       1.695326798764e+04 
       3.557287895902e-02       1.687998839293e+04 
       3.573642851872e-02       1.680618988229e+04 
       3.590088128482e-02       1.673251092175e+04 
       3.606626516840e-02       1.665794734447e+04 
       3.623260919648e-02       1.658478079495e+04 
       3.639994357019e-02       1.651121036203e+04 
       3.656829972662e-02       1.643739828341e+04 
       3.673771040492e-02       1.636325298413e+04 
       3.690820971669e-02       1.629008454272e+04 
       3.707983322129e-02       1.621665703893e+04 
       3.725261800626e-02       1.614281360742e+04 
       3.742660277343e-02       1.606923231950e+04 
       3.760182793110e-02       1.599613418448e+04 
       3.777833569284e-02       1.592254563166e+04 
       3.795617018354e-02       1.584966369697e+04 
       3.813537755322e-02       1.577617106027e+04 
       3.831600609944e-02       1.570309185632e+04 
       3.849810639901e-02       1.562939339978e+04 
       3.868173144985e-02       1.555622393095e+04 
       3.886693682397e-02       1.548340050821e+04 
       3.905378083264e-02       1.541013492847e+04 
       3.924232470485e-02       1.533667448303e+04 
       3.943263278047e-02       1.526353894047e+04 
       3.962477271946e-02       1.519069616834e+04 
       3.981881572878e-02       1.511771643231e+04 
       4.001483680890e-02       1.504452474204e+04 
       4.021291502174e-02       1.497149192721e+04 
       4.041313378256e-02       1.489781209768e+04 
       4.061558117818e-02       1.482490378667e+04 
       4.082035031447e-02       1.475150477244e+04 
       4.102753969640e-02       1.467903551536e+04 
       4.123725364427e-02       1.460581355676e+04 
       4.144960275039e-02       1.453237171328e+04 
       4.166470438074e-02       1.445897525152e+04 
       4.188268322728e-02       1.438607211655e+04 
       4.210367191680e-02       1.431261499007e+04 
       4.232781168345e-02       1.423880041523e+04 
       4.255525311302e-02       1.416564338609e+04 
       4.278615696807e-02       1.409160143035e+04 
       4.302069510471e-02       1.401811272304e+04 
       4.325905149318e-02       1.394383865042e+04 
       4.350142335650e-02       1.387050918437e+04 
       4.374802244360e-02       1.379633665935e+04 
       4.399907645630e-02       1.372173057934e+04 
       4.425483065230e-02       1.364740107687e+04 
       4.451554965064e-02       1.357272818525e+04 
