# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.420038731328e+04       1.420038731328e-10       1.420038731328e+18       2.676317464532e-09       2.751560535470e+44       2.492336125560e+33       1.112650056054e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.902194177205e+44       4.653754712833e+44       1.328504166928e+34       1.489769980406e+04       5.558696820832e-20       2.000000000000e+14 
       9.930486593843e+13       7.665722184693e-26       4.667526809499e-09       2.127368887304e+22       1.420038731328e+04       1.429979002447e-10       1.410167558419e+18       2.695051686783e-09       2.675846458098e+44       2.440721353921e+33       1.089607747286e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.849851924417e+44       4.525698382670e+44       1.300991650260e+34       1.479414081833e+04       7.755064380009e-08       1.433565615564e+02 
       9.861456399050e+13       7.773417915665e-26       4.700268618762e-09       2.097895552685e+22       1.420038731328e+04       1.439988855464e-10       1.400365003395e+18       2.713917048591e-09       2.602215788102e+44       2.390175492942e+33       1.067042630778e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.798949961722e+44       4.401165749975e+44       1.274048901148e+34       1.469130170638e+04       1.551012876001e-07       7.167828077820e+01 
       9.792906056653e+13       7.882626663962e-26       4.733010428026e-09       2.068830552256e+22       1.420038731328e+04       1.450068777452e-10       1.390630589270e+18       2.732914467931e-09       2.530611196824e+44       2.340676406129e+33       1.044944824165e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.749448656977e+44       4.280059853950e+44       1.247664120053e+34       1.458917746413e+04       2.326519314001e-07       4.778552051880e+01 
       9.724832231036e+13       7.993369685964e-26       4.767571226694e-09       2.040168228810e+22       1.420038731328e+04       1.460219258895e-10       1.380963842373e+18       2.752044869206e-09       2.460976933110e+44       2.292202415425e+33       1.023304649743e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.701309468591e+44       4.162286401846e+44       1.221825751793e+34       1.448776312227e+04       3.102025752001e-07       3.583914038910e+01 
       9.657231609767e+13       8.105668536682e-26       4.800313035958e-09       2.011903003514e+22       1.420038731328e+04       1.470440793707e-10       1.371364292327e+18       2.771309183291e-09       2.393258779894e+44       2.244732291709e+33       1.002112630227e+30       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.654494915512e+44       4.047753695549e+44       1.196522480491e+34       1.438705374604e+04       3.877532190001e-07       2.867131231128e+01 
       9.590100903443e+13       8.219545073954e-26       4.833054845221e-09       1.984029374827e+22       1.420038731328e+04       1.480733879263e-10       1.361831472023e+18       2.790708347574e-09       2.327404011992e+44       2.198245245504e+33       9.813594846001e+29       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.608968548046e+44       3.936372560178e+44       1.171743224612e+34       1.428704443499e+04       4.653038628001e-07       2.389276025940e+01 
       9.523436845525e+13       8.335021462698e-26       4.867615643889e-09       1.956541917430e+22       1.420038731328e+04       1.491099016418e-10       1.352364917600e+18       2.810243306007e-09       2.263361355047e+44       2.152720917871e+33       9.610361240495e+29       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.564694919476e+44       3.828056274659e+44       1.147477132115e+34       1.418773032273e+04       5.428545066001e-07       2.047950879377e+01 
       9.457236192179e+13       8.452120179228e-26       4.902176442556e-09       1.929435281165e+22       1.420038731328e+04       1.501536709533e-10       1.342964168421e+18       2.829915009149e-09       2.201080945604e+44       2.108139371490e+33       9.411336479866e+29       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.521639558466e+44       3.722720504203e+44       1.123713575696e+34       1.408910657669e+04       6.204051504001e-07       1.791957019455e+01 
       9.391495722125e+13       8.570864015625e-26       4.936737241223e-09       1.902704190000e+22       1.420038731328e+04       1.512047466499e-10       1.333628767052e+18       2.849724414213e-09       2.140514292293e+44       2.064481081933e+33       9.216433401488e+29       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.463707152998e-08       1.479768942219e+44       3.620283234642e+44       1.100442148138e+34       1.399116839790e+04       6.979557942001e-07       1.592850683960e+01 
