# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.602085140138e-10       4.469860591599e-15       3.963019731065e-13       0.000000000000e+00       9.146242736400e-09       5.593660795027e-10      -1.923374382588e-12 
    3       1.477834436028e-10       5.756356612488e-15       4.437394491315e-13       0.000000000000e+00       5.616722600193e-09       3.925039695844e-10      -1.440095206889e-12 
    4       1.374320024403e-10       5.000496003405e-15       4.115937358348e-13       0.000000000000e+00       3.907202188235e-09       2.947837325683e-10      -9.313544898079e-13 
    5       1.300090167116e-10       3.349363409709e-15       3.468166249830e-13       0.000000000000e+00       2.916414582928e-09       2.313161269554e-10      -5.116449826716e-13 
    6       1.249386750249e-10       1.875213824496e-15       2.755817142403e-13       0.000000000000e+00       2.277391321896e-09       1.872295772973e-10      -2.072951644579e-13 
    7       1.216121092934e-10       1.005963066892e-15       2.130437718988e-13       0.000000000000e+00       1.836301084234e-09       1.550778954313e-10      -1.501179649598e-14 
    8       1.194797282200e-10       6.390896864359e-16       1.659192647915e-13       0.000000000000e+00       1.516228303677e-09       1.307620358127e-10       8.262027813430e-14 
    9       1.182797086166e-10       5.085251928117e-16       1.351477459398e-13       0.000000000000e+00       1.275115926271e-09       1.118901718384e-10       1.094647800718e-13 
   10       1.177710350331e-10       4.339388988657e-16       1.184768757693e-13       0.000000000000e+00       1.088373132733e-09       9.694161167914e-11       9.129671129986e-14 
   11       1.177316448241e-10       3.663436645055e-16       1.126550088879e-13       0.000000000000e+00       9.174352355207e-10       8.506984501250e-11       5.227142039550e-14 
   12       1.181239265849e-10       3.202635250665e-16       1.142781720108e-13       0.000000000000e+00       8.009803562363e-10       7.499306834929e-11       1.070763713374e-14 
   13       1.188083619439e-10       3.073409266092e-16       1.202130880519e-13       0.000000000000e+00       7.053561191455e-10       6.666007474303e-11      -2.149886997403e-14 
   14       1.197130945590e-10       3.193842282451e-16       1.281874190714e-13       0.000000000000e+00       6.258120368748e-10       5.955573309685e-11      -3.916849610645e-14 
   15       1.208420021453e-10       3.437184998204e-16       1.368214522708e-13       0.000000000000e+00       5.588991291982e-10       5.353379015314e-11      -4.255048095463e-14 
   16       1.221284804852e-10       3.775556344273e-16       1.453983236540e-13       0.000000000000e+00       5.020430982123e-10       4.840701137003e-11      -3.569216215769e-14 
   17       1.235624224038e-10       4.270891383916e-16       1.539028663592e-13       0.000000000000e+00       4.533033529321e-10       4.388889843154e-11      -2.412865423247e-14 
   18       1.251104829759e-10       4.986319772078e-16       1.625894037038e-13       0.000000000000e+00       4.110287452875e-10       3.993891781364e-11      -1.286097467191e-14 
   19       1.267731081995e-10       5.929688669764e-16       1.717179751111e-13       0.000000000000e+00       3.745342802792e-10       3.651358409281e-11      -4.652994583011e-15 
   20       1.285070866222e-10       7.083179081290e-16       1.815056285033e-13       0.000000000000e+00       3.423999352628e-10       3.346045933015e-11      -1.437851942201e-15 
   21       1.303207794831e-10       8.437740820558e-16       1.919043592968e-13       0.000000000000e+00       3.141221833485e-10       3.076836559031e-11      -2.719000564361e-15 
   22       1.322059251600e-10       9.983600923968e-16       2.026994640762e-13       0.000000000000e+00       2.890307624719e-10       2.842183606762e-11      -6.743778805116e-15 
   23       1.341638343932e-10       1.172076971282e-15       2.135735612655e-13       0.000000000000e+00       2.667799162374e-10       2.635808791137e-11      -1.168651071579e-14 
   24       1.361755964958e-10       1.365040400096e-15       2.241063323392e-13       0.000000000000e+00       2.468512567120e-10       2.447407280664e-11      -1.558364203597e-14 
   25       1.382377428751e-10       1.577323551217e-15       2.338731970513e-13       0.000000000000e+00       2.290048734010e-10       2.274409725793e-11      -1.762112035152e-14 
