# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.602090384259e-10       4.470116522538e-15       3.963019686539e-13       2.559307969796e-19       9.146242736400e-09       5.593660795027e-10      -1.923374382588e-12 
    3       1.477844900601e-10       5.756868526156e-15       4.437394292840e-13       5.119122637016e-19       5.616722600193e-09       3.925039695844e-10      -1.440095206889e-12 
    4       1.374337413367e-10       5.001349311406e-15       4.115936787888e-13       8.533010941207e-19       3.907202188235e-09       2.947837325683e-10      -9.313544898079e-13 
    5       1.300116154514e-10       3.350643601998e-15       3.468164949794e-13       1.280168599140e-18       2.916414582928e-09       2.313161269554e-10      -5.116449826716e-13 
    6       1.249422974142e-10       1.877006496095e-15       2.755814585014e-13       1.792606868164e-18       2.277391321896e-09       1.872295772973e-10      -2.072951644579e-13 
    7       1.216169150163e-10       1.008353948212e-15       2.130433178232e-13       2.390730361444e-18       1.836301084234e-09       1.550778954313e-10      -1.501179649598e-14 
    8       1.194858724109e-10       6.421646768755e-16       1.659185174446e-13       3.074677472238e-18       1.516228303677e-09       1.307620358127e-10       8.262027813430e-14 
    9       1.182873415352e-10       5.123703968379e-16       1.351465858648e-13       3.844611900352e-18       1.275115926271e-09       1.118901718384e-10       1.094647800718e-13 
   10       1.177803018455e-10       4.386406633506e-16       1.184751571353e-13       4.700723676608e-18       1.088373132733e-09       9.694161167914e-11       9.129671129986e-14 
   11       1.177426854913e-10       3.719886156819e-16       1.126525579838e-13       5.643229684603e-18       9.174352355207e-10       8.506984501250e-11       5.227142039550e-14 
   12       1.181368758547e-10       3.269386031401e-16       1.142747860821e-13       6.672373541959e-18       8.009803562363e-10       7.499306834929e-11       1.070763713374e-14 
   13       1.188233494391e-10       3.151334158319e-16       1.202085344735e-13       7.788424727212e-18       7.053561191455e-10       6.666007474303e-11      -2.149886997403e-14 
   14       1.197302449538e-10       3.283817801422e-16       1.281814348391e-13       8.991676869862e-18       6.258120368748e-10       5.955573309685e-11      -3.916849610645e-14 
   15       1.208614354166e-10       3.540091472843e-16       1.368137437910e-13       1.028244515833e-17       5.588991291982e-10       5.353379015314e-11      -4.255048095463e-14 
   16       1.221503122250e-10       3.892277945547e-16       1.453885668071e-13       1.166106286211e-17       5.020430982123e-10       4.840701137003e-11      -3.569216215769e-14 
   17       1.235867641768e-10       4.402316022390e-16       1.538907068084e-13       1.312787700817e-17       4.533033529321e-10       4.388889843154e-11      -2.412865423247e-14 
   18       1.251374427132e-10       5.133338862408e-16       1.625744574344e-13       1.468324378520e-17       4.110287452875e-10       3.993891781364e-11      -1.286097467191e-14 
   19       1.268027905674e-10       6.093196683739e-16       1.716998291051e-13       1.632752037837e-17       3.745342802792e-10       3.651358409281e-11      -4.652994583011e-15 
   20       1.285395934664e-10       7.264073067834e-16       1.814838417078e-13       1.806106400376e-17       3.423999352628e-10       3.346045933015e-11      -1.437851942201e-15 
   21       1.303562101423e-10       8.636919630488e-16       1.918784635749e-13       1.988421889376e-17       3.141221833485e-10       3.076836559031e-11      -2.719000564361e-15 
   22       1.322443768652e-10       1.020196441596e-15       2.026689654743e-13       2.179731591820e-17       2.890307624719e-10       2.842183606762e-11      -6.743778805116e-15 
   23       1.342054024918e-10       1.195921774793e-15       2.135379412268e-13       2.380066064256e-17       2.667799162374e-10       2.635808791137e-11      -1.168651071579e-14 
   24       1.362203747628e-10       1.390983541305e-15       2.240650492433e-13       2.589453285195e-17       2.468512567120e-10       2.447407280664e-11      -1.558364203597e-14 
   25       1.382858235976e-10       1.605454699413e-15       2.338256876977e-13       2.807917671564e-17       2.290048734010e-10       2.274409725793e-11      -1.762112035152e-14 
   26       1.403891929236e-10       1.839632783738e-15       2.424208957281e-13       3.035479988529e-17       2.129117642098e-10       2.115512039708e-11      -1.748970335634e-14 
   27       1.425399696452e-10       2.095570701715e-15       2.498217685644e-13       3.272156727145e-17       1.983775883674e-10       1.971797498513e-11      -1.566556543980e-14 
   28       1.447428384345e-10       2.375883073615e-15       2.561349778870e-13       3.517960070241e-17       1.851515945515e-10       1.843793520721e-11      -1.298293619548e-14 
   29       1.470012656333e-10       2.682218512619e-15       2.614198853727e-13       3.772898264066e-17       1.731647814816e-10       1.729969072173e-11      -1.014277196402e-14 
   30       1.493034269467e-10       3.015951434390e-15       2.657498768117e-13       4.036974767290e-17       1.622861570912e-10       1.626558259132e-11      -7.946255021514e-15 
   31       1.516266352443e-10       3.378370819428e-15       2.692053444595e-13       4.310188489135e-17       1.522912782524e-10       1.528992016161e-11      -7.146803228986e-15 
   32       1.539764255179e-10       3.770335545871e-15       2.717559664667e-13       4.592536316050e-17       1.431280060169e-10       1.437455254853e-11      -7.571492517724e-15 
   33       1.563594150380e-10       4.192471534420e-15       2.733342728960e-13       4.884010975459e-17       1.347316223748e-10       1.353261388474e-11      -8.657118391884e-15 
   34       1.587742879558e-10       4.645367885757e-15       2.738543423934e-13       5.184601330103e-17       1.269844427460e-10       1.277127467986e-11      -9.777794144353e-15 
   35       1.612201447905e-10       5.129994807022e-15       2.731741206606e-13       5.494296747180e-17       1.198458801903e-10       1.208343881679e-11      -1.064309919637e-14 
   36       1.636891711211e-10       5.647424836324e-15       2.711171365341e-13       5.813083896624e-17       1.132572489464e-10       1.145200783094e-11      -1.103018941048e-14 
   37       1.661701184534e-10       6.198680732964e-15       2.675171443063e-13       6.140947543987e-17       1.071312346922e-10       1.085744575246e-11      -1.075629959538e-14 
   38       1.686714139491e-10       6.784595078115e-15       2.623438018816e-13       6.477877839120e-17       1.014514790655e-10       1.029871879779e-11      -9.952633663796e-15 
   39       1.712045363854e-10       7.405898520160e-15       2.556187378482e-13       6.823865330117e-17       9.619967078293e-11       9.778624363518e-12      -8.884301996765e-15 
   40       1.737772177744e-10       8.063251479087e-15       2.473834527308e-13       7.178899012635e-17       9.132529220480e-11       9.297926097314e-12      -7.882515617865e-15 
   41       1.763927172327e-10       8.757268799835e-15       2.376826370105e-13       7.542968694384e-17       8.676312562363e-11       8.855386508225e-12      -7.263036121800e-15 
   42       1.790485110392e-10       9.488614431897e-15       2.265046913300e-13       7.916073009750e-17       8.249937320541e-11       8.448364844978e-12      -7.039281332354e-15 
   43       1.817363690314e-10       1.025792982208e-14       2.138238759107e-13       8.298214017392e-17       7.852233722174e-11       8.072072668713e-12      -7.123048769191e-15 
   44       1.844420769709e-10       1.106580477216e-14       1.996165067769e-13       8.689395224169e-17       7.480258028131e-11       7.719172212166e-12      -7.400715475319e-15 
   45       1.871510592909e-10       1.191278237102e-14       1.838555258267e-13       9.089622572918e-17       7.130335356279e-11       7.381926857021e-12      -7.754657035731e-15 
   46       1.898684217335e-10       1.279938167341e-14       1.664923381679e-13       9.498907367474e-17       6.801892189624e-11       7.059858609604e-12      -8.138953826527e-15 
   47       1.926040562140e-10       1.372607738068e-14       1.474694994407e-13       9.917264503989e-17       6.494529791579e-11       6.754062738521e-12      -8.523565405783e-15 
   48       1.953669015462e-10       1.469329078968e-14       1.267253185330e-13       1.034471193230e-16       6.206868922351e-11       6.465019062609e-12      -8.872974401045e-15 
   49       1.981647994171e-10       1.570138762774e-14       1.041935197008e-13       1.078127086899e-16       5.936477017144e-11       6.192540080723e-12      -9.145895089206e-15 
   50       2.010033588409e-10       1.675065572557e-14       7.981354347910e-14       1.122696412902e-16       5.680596874278e-11       5.935992865375e-12      -9.308885569410e-15 
   51       2.038825202898e-10       1.784123591409e-14       5.356552958271e-14       1.168181009264e-16       5.438734846345e-11       5.695156088532e-12      -9.382216271758e-15 
   52       2.067988099775e-10       1.897316862794e-14       2.544424567375e-14       1.214582746912e-16       5.210649307335e-11       5.469505964942e-12      -9.405948199241e-15 
   53       2.097460637053e-10       2.014640938822e-14      -4.550562587224e-15       1.261903715661e-16       4.995576273908e-11       5.257924758031e-12      -9.427471774437e-15 
   54       2.127152361762e-10       2.136082568864e-14      -3.641400877125e-14       1.310146236663e-16       4.792194301698e-11       5.058661792695e-12      -9.501869706114e-15 
   55       2.156975459612e-10       2.261626337261e-14      -7.014065089291e-14       1.359312431810e-16       4.599024981217e-11       4.869817989877e-12      -9.677047144615e-15 
   56       2.186952621414e-10       2.391277220769e-14      -1.057399538169e-13       1.409402778136e-16       4.415831352798e-11       4.691029741949e-12      -9.943965080612e-15 
   57       2.217132632984e-10       2.525043089458e-14      -1.432243829407e-13       1.460417216107e-16       4.242505401075e-11       4.522135058971e-12      -1.027467944357e-14 
   58       2.247558772325e-10       2.662928208826e-14      -1.826050144884e-13       1.512355556504e-16       4.078645154517e-11       4.362668511117e-12      -1.063626503790e-14 
   59       2.278268202376e-10       2.804933199171e-14      -2.238915577261e-13       1.565217475613e-16       3.923536553150e-11       4.211842638418e-12      -1.099058492730e-14 
   60       2.309291363755e-10       2.951054994939e-14      -2.670923771791e-13       1.619002510412e-16       3.776135316281e-11       4.068529360510e-12      -1.129405981913e-14 
   61       2.340651547895e-10       3.101276837153e-14      -3.122117103718e-13       1.673709798120e-16       3.635355618526e-11       3.931569284931e-12      -1.150730814941e-14 
   62       2.372364878231e-10       3.255535717653e-14      -3.592405410139e-13       1.729337237400e-16       3.501052856770e-11       3.800822818693e-12      -1.162711660543e-14 
   63       2.404439247195e-10       3.413747521996e-14      -4.081637073028e-13       1.785882129483e-16       3.373230303665e-11       3.676323074980e-12      -1.166126915697e-14 
   64       2.436873545844e-10       3.575816001751e-14      -4.589624601824e-13       1.843341404537e-16       3.251743533677e-11       3.557960769653e-12      -1.161939052938e-14 
   65       2.469657062338e-10       3.741632417623e-14      -5.116143965747e-13       1.901711608742e-16       3.136292025606e-11       3.445476034974e-12      -1.151302877784e-14 
   66       2.502768880408e-10       3.911075182566e-14      -5.660933926130e-13       1.960988891371e-16       3.026410765105e-11       3.338450233323e-12      -1.135573786158e-14 
   67       2.536177277834e-10       4.084009504902e-14      -6.223695368739e-13       2.021168991867e-16       2.921461847194e-11       3.236297770916e-12      -1.116316021809e-14 
   68       2.569851656148e-10       4.260301725905e-14      -6.804121829549e-13       2.082247847138e-16       2.820804121028e-11       3.138420489195e-12      -1.095051139364e-14 
   69       2.603802481358e-10       4.439866503839e-14      -7.401999747043e-13       2.144223585217e-16       2.724360811450e-11       3.044725465129e-12      -1.072425750567e-14 
   70       2.638048392842e-10       4.622628593459e-14      -8.017127417559e-13       2.207094914214e-16       2.632152355357e-11       2.955197906765e-12      -1.048889200686e-14 
