#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:eta_prime             14:h_prime               15:phi_prime             16:delta_ur              17:theta_ur              18:shear_ur              19:delta_cdm             20:theta_cdm             21:delta_ncdm[0]         22:theta_ncdm[0]         23:shear_ncdm[0]         24:cs2_ncdm[0]           25:w_p[0]                26:w_theta[0]            27:pi_ncdm[0]            28:k_fss_wdm[0]          29:w_trial_1             30:w_trial_2             31:delta_dcdm            32:theta_dcdm            33:delta_dr              34:theta_dr              35:shear_dr           
       1.513950082704e-06       7.008959813893e-01      -1.635838323563e-03      -9.547231487194e-07       3.782737615689e-09       9.456844039222e-09       9.565310731434e-16       1.891368807844e-09      -1.226878742672e-03      -9.547231487194e-07       6.011556631265e-01       6.991656514863e-01      -4.644223476183e-04       6.995933928615e-03      -1.293800828278e-03      -1.635838323563e-03      -1.415577829679e-06       1.968227421454e-04      -1.226878742672e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.226878742672e-03       0.000000000000e+00      -1.635838323563e-03      -1.415577829679e-06       1.968227421454e-04 
       2.271408340511e-06       1.050895981378e+00      -3.674167035077e-03      -3.214668075952e-06       1.272963040379e-08       3.182407600948e-08       7.245627103538e-15       6.364815201897e-09      -2.755625276326e-03      -3.214667924812e-06       6.009911112726e-01       6.987696508055e-01      -6.950593485436e-04       1.048179673292e-02      -1.087670727202e-03      -3.673730418525e-03      -4.768746261252e-06       4.419872544707e-04      -2.756303032594e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.756303032594e-03       0.000000000000e+00      -3.195731054207e-03      -2.134992937133e-06       2.116989558461e-04 
       3.408197438742e-06       1.575338136082e+00      -8.245387913024e-03      -1.081023793448e-05       4.258946518533e-08       1.064736629633e-07       5.457847925290e-14       2.129473259267e-08      -6.184040935124e-03      -1.081023644983e-05       6.007198605082e-01       6.981544317254e-01      -1.038881815165e-03       1.569044826280e-02      -1.286757851082e-03      -8.242746384880e-03      -1.604640299525e-05       9.915833749670e-04      -6.188135387702e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.188135387702e-03       0.000000000000e+00      -7.031764405590e-03      -5.860544021579e-06       4.070219111900e-04 
       5.114729493665e-06       2.360751270402e+00      -1.847335659479e-02      -3.628035890071e-05       1.435822940062e-07       3.589557350154e-07       4.143964057891e-13       7.179114700308e-08      -1.385501745069e-02      -3.628034690670e-05       6.001483277822e-01       6.969831962016e-01      -1.549644293200e-03       2.345719465334e-02      -1.701374021847e-03      -1.845959906451e-02      -5.389699572153e-05       2.219371955171e-03      -1.387629775336e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.387629775336e-02       0.000000000000e+00      -1.572015544070e-02      -1.905377920740e-05       8.918591450887e-04 
       7.677543289332e-06       3.536075168194e+00      -4.126504267325e-02      -1.213610361602e-04       4.827499988549e-07       1.206874997137e-06       3.139327191506e-12       2.413749994274e-07      -3.094878205884e-02      -1.213609439526e-04       5.988785099178e-01       6.946085400859e-01      -2.303547274842e-03       3.499283135706e-02      -2.338788414871e-03      -4.119542608636e-02      -1.804417575351e-04       4.943393171083e-03      -3.105619906054e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -3.105619906054e-02       0.000000000000e+00      -3.514167508611e-02      -6.352888499237e-05       1.985757563830e-03 
       1.152848873563e-05       5.292826843530e+00      -9.166553638631e-02      -4.037062872106e-04       1.593063861489e-06       3.982659653723e-06       2.335864774862e-11       7.965319307446e-07      -6.874915290264e-02      -4.037055910790e-04       5.960504153707e-01       6.896758114257e-01      -3.403509844764e-03       5.200264600961e-02      -3.271808017719e-03      -9.131704965521e-02      -6.004714484471e-04       1.090033573116e-02      -6.928578454054e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.928578454054e-02       0.000000000000e+00      -7.825896687271e-02      -2.116480970269e-04       4.404548519678e-03 
       1.731983719012e-05       7.914114280900e+00      -2.014574515366e-01      -1.329900121191e-03       5.192909437171e-06       1.298227359293e-05       1.718573503862e-10       2.596454718585e-06      -1.510930955040e-01      -1.329894935800e-03       5.898103689811e-01       6.793421192145e-01      -4.973632123435e-03       7.674246070008e-02      -4.598244414644e-03      -1.997352114883e-01      -1.975357779800e-03       2.352445609952e-02      -1.537476932576e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.537476932576e-01       0.000000000000e+00      -1.729996559079e-01      -6.996477718053e-04       9.648802153222e-03 
       2.603979671672e-05       1.181551859472e+01      -4.334221389032e-01      -4.304414688384e-03       1.586579708695e-05       3.966449271737e-05       1.186880042732e-09       7.932898543474e-06      -3.250666792771e-01      -4.304376838072e-03       5.762691140728e-01       6.578245818406e-01      -7.119223744477e-03       1.117662825533e-01      -6.393628520829e-03      -4.251189768371e-01      -6.352308055018e-03       4.842991145196e-02      -3.379975133855e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -3.379975133855e-01       0.000000000000e+00      -3.771930648483e-01      -2.278508556157e-03       2.058735370708e-02 
       3.739077136279e-05       1.681551859472e+01      -8.243153028005e-01      -1.185180604515e-02       3.919143366522e-05       9.797858416305e-05       6.044908794132e-09       1.959571683261e-05      -6.182370851089e-01      -1.185159308836e-02       5.521335836213e-01       6.208514064528e-01      -9.466879055762e-03       1.527108663770e-01      -8.320239327412e-03      -7.922779462472e-01      -1.721038034465e-02       8.411946780680e-02      -6.696084004553e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.696084004553e-01       0.000000000000e+00      -7.360455221454e-01      -6.333711905991e-03       3.847778434168e-02 
       4.893897713778e-05       2.181551859472e+01      -1.276350030541e+00      -2.443579961259e-02       6.690267876510e-05       1.672566969127e-04       1.767758913606e-08       3.345133938255e-05      -9.572653092182e-01      -2.443505919149e-02       5.214244451392e-01       5.754206407863e-01      -1.129777459044e-02       1.883743181119e-01      -9.768955222516e-03      -1.193218719675e+00      -3.460230036046e-02       1.132121750849e-01      -1.097141929556e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.097141929556e+00       0.000000000000e+00      -1.181883436122e+00      -1.321025915262e-02       5.801944050461e-02 
