# Matter power spectrum P(k) at redshift z=0
# for k=1.04019e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040186328625e-05       4.917419491051e+01 
       2.325721418777e-05       1.070908743700e+02 
       3.615752168169e-05       1.641038995840e+02 
       4.913735678840e-05       2.207824822713e+02 
       6.223185944633e-05       2.774569453407e+02 
       7.547705060541e-05       3.343788047556e+02 
       8.891015425351e-05       3.917657318234e+02 
       1.025699336436e-04       4.498200497802e+02 
       1.164970460218e-04       5.087382825271e+02 
       1.307344201910e-04       5.687169971715e+02 
       1.453276612495e-04       6.299569139806e+02 
       1.603254867896e-04       6.926661502075e+02 
       1.757801986664e-04       7.570630234349e+02 
       1.917481940888e-04       8.233786416047e+02 
       2.082905191423e-04       8.918594076599e+02 
       2.254734668057e-04       9.627695112683e+02 
       2.433692198976e-04       1.036393444234e+03 
       2.620565369801e-04       1.113038548598e+03 
       2.816214757800e-04       1.193037581110e+03 
       3.021581438476e-04       1.276854561775e+03 
       3.237694595885e-04       1.364041214753e+03 
       3.465678980703e-04       1.456295722787e+03 
       3.706761847645e-04       1.553527955207e+03 
       3.962278863651e-04       1.656307533505e+03 
       4.233678310426e-04       1.765105894224e+03 
       4.522522714438e-04       1.880274997034e+03 
       4.830486837131e-04       2.002874203768e+03 
       5.159350772500e-04       2.132837127104e+03 
       5.510986767727e-04       2.272005000146e+03 
       5.887338362176e-04       2.419113327093e+03 
       6.290390602650e-04       2.576447536458e+03 
       6.722130516417e-04       2.744071797166e+03 
       7.184497772942e-04       2.922686782338e+03 
       7.679326561222e-04       3.112724439751e+03 
       8.208281092299e-04       3.314623457982e+03 
       8.772788634419e-04       3.528800923529e+03 
       9.373975314502e-04       3.754942282470e+03 
       1.001261071435e-03       3.993634668010e+03 
       1.068906721764e-03       4.244251321986e+03 
       1.140329894105e-03       4.506653946482e+03 
       1.215484298797e-03       4.780423785484e+03 
       1.294284306263e-03       5.064813575463e+03 
       1.376609274241e-03       5.358906704292e+03 
       1.462309351443e-03       5.661927316043e+03 
       1.477104874446e-03       5.713923607821e+03 
       1.551212145611e-03       5.972888376837e+03 
       1.643129630800e-03       6.290814649827e+03 
       1.737864749339e-03       6.614600578613e+03 
       1.835217303892e-03       6.943340780748e+03 
       1.934988895435e-03       7.276036759340e+03 
       2.036986811497e-03       7.611800850136e+03 
       2.141026886006e-03       7.949777849447e+03 
       2.246935430624e-03       8.289185785389e+03 
       2.354550379877e-03       8.629289225016e+03 
       2.463721806225e-03       8.969499194838e+03 
       2.574311955559e-03       9.309056891034e+03 
       2.686194936511e-03       9.647582343878e+03 
       2.799256174922e-03       9.984593996450e+03 
       2.913391721945e-03       1.031966799308e+04 
       3.028507483253e-03       1.065245392997e+04 
       3.144518418733e-03       1.098260144681e+04 
       3.261347747368e-03       1.130985723712e+04 
       3.378926180503e-03       1.163396760952e+04 
       3.497191198002e-03       1.195470187753e+04 
       3.616086375429e-03       1.227191448427e+04 
       3.735560765886e-03       1.258544669337e+04 
       3.855568337008e-03       1.289515452554e+04 
       3.976067461585e-03       1.320092684715e+04 
       4.097020459018e-03       1.350268352154e+04 
       4.218393184068e-03       1.380031020777e+04 
       4.340154659052e-03       1.409377254830e+04 
       4.462276745537e-03       1.438301362628e+04 
       4.584733851697e-03       1.466799713076e+04 
       4.707502671664e-03       1.494868771802e+04 
       4.830561953479e-03       1.522506916977e+04 
       4.953892292532e-03       1.549711567796e+04 
       5.077475947635e-03       1.576482537534e+04 
       5.201296677212e-03       1.602819496138e+04 
       5.325339593287e-03       1.628722321930e+04 
       5.449591031267e-03       1.654194150840e+04 
       5.574038433696e-03       1.679366654596e+04 
       5.698670246387e-03       1.704119599849e+04 
       5.823475825518e-03       1.728324422994e+04 
       5.948445354443e-03       1.752108513012e+04 
       6.073569769126e-03       1.775469974273e+04 
       6.198840691207e-03       1.798411431170e+04 
       6.324250367868e-03       1.820654502515e+04 
       6.449791617727e-03       1.842761583554e+04 
       6.575457782108e-03       1.864440051507e+04 
       6.701242681085e-03       1.885732660612e+04 
       6.827140573800e-03       1.906491207378e+04 
       6.953146122582e-03       1.926978390978e+04 
       7.079254360468e-03       1.947068546548e+04 
       7.205460661776e-03       1.966765248806e+04 
       7.331760715390e-03       1.986103764253e+04 
       7.458150500509e-03       2.004923919825e+04 
       7.584626264578e-03       2.023459960524e+04 
       7.711184503198e-03       2.041617281342e+04 
       7.837821941821e-03       2.059390871803e+04 
       7.964535519029e-03       2.076801769936e+04 
       8.091322371278e-03       2.093588130366e+04 
       8.218179818935e-03       2.110263397445e+04 
       8.345105353500e-03       2.126578910455e+04 
       8.472096625891e-03       2.142530445029e+04 
       8.599151435712e-03       2.158137074360e+04 
       8.726267721385e-03       2.173395216572e+04 
       8.853443551088e-03       2.188308629736e+04 
       8.980677114422e-03       2.202880981348e+04 
       9.107966714735e-03       2.217115999553e+04 
       9.235310762051e-03       2.231017294372e+04 
       9.362707766552e-03       2.244433952304e+04 
       9.490156332556e-03       2.257500057206e+04 
       9.617655152965e-03       2.270340419282e+04 
       9.745203004122e-03       2.282968465406e+04 
       9.872798741066e-03       2.295280069439e+04 
       1.000044129313e-02       2.307279077693e+04 
       1.012812965987e-02       2.318971907907e+04 
       1.025586290730e-02       2.330354884808e+04 
       1.038364016436e-02       2.341083874072e+04 
       1.051146061974e-02       2.351873567618e+04 
       1.063932351877e-02       2.362264323758e+04 
       1.076722816072e-02       2.372424651330e+04 
       1.089517389612e-02       2.382338057259e+04 
       1.102316012441e-02       2.392038238417e+04 
       1.115118629166e-02       2.401094998853e+04 
       1.127925188848e-02       2.410140351182e+04 
       1.140735644809e-02       2.418909446498e+04 
       1.153549954454e-02       2.427423163913e+04 
       1.166368079096e-02       2.435667450539e+04 
       1.179189983808e-02       2.443330244541e+04 
       1.192015637272e-02       2.451032130411e+04 
       1.204845011646e-02       2.458368528931e+04 
       1.217678082440e-02       2.465566136871e+04 
       1.230514828394e-02       2.472533582687e+04 
       1.243355231375e-02       2.479148405867e+04 
       1.256199276272e-02       2.485410630593e+04 
       1.269046950905e-02       2.491609803022e+04 
       1.281898245939e-02       2.497567446481e+04 
       1.294753154799e-02       2.503286354545e+04 
       1.307611673600e-02       2.508531369912e+04 
       1.320473801076e-02       2.513766982575e+04 
       1.333339538517e-02       2.518772070497e+04 
       1.346208889711e-02       2.523549359153e+04 
       1.359081860888e-02       2.528098475517e+04 
       1.371958460674e-02       2.532428254025e+04 
       1.384838700043e-02       2.536271402290e+04 
       1.397722592275e-02       2.540112416850e+04 
       1.410610152923e-02       2.543738314413e+04 
       1.423501399776e-02       2.547241147417e+04 
       1.436396352826e-02       2.550535384309e+04 
       1.449295034248e-02       2.553384538095e+04 
       1.462197468368e-02       2.556321455466e+04 
       1.475103681647e-02       2.558998280477e+04 
       1.477104874446e-02       2.559162086960e+04 
       1.488013702663e-02       2.561256284484e+04 
       1.500927562092e-02       2.563414925161e+04 
