# Matter power spectrum P(k) at redshift z=0
# for k=1.04019e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040186328625e-05       4.957478413776e+01 
       2.325721418777e-05       1.079631307352e+02 
       3.615752168169e-05       1.654401441788e+02 
       4.913735678840e-05       2.225794966246e+02 
       6.223185944633e-05       2.797140154907e+02 
       7.547705060541e-05       3.370970637984e+02 
       8.891015425351e-05       3.949478628107e+02 
       1.025699336436e-04       4.534701326981e+02 
       1.164970460218e-04       5.128617114872e+02 
       1.307344201910e-04       5.733204363189e+02 
       1.453276612495e-04       6.350482763199e+02 
       1.603254867896e-04       6.982545901586e+02 
       1.757801986664e-04       7.631589368505e+02 
       1.917481940888e-04       8.299936681715e+02 
       2.082905191423e-04       8.990064308493e+02 
       2.254734668057e-04       9.704626506296e+02 
       2.433692198976e-04       1.044648033999e+03 
       2.620565369801e-04       1.121871095346e+03 
       2.816214757800e-04       1.202465691735e+03 
       3.021581438476e-04       1.286905114772e+03 
       3.237694595885e-04       1.375678511372e+03 
       3.465678980703e-04       1.468758642833e+03 
       3.706761847645e-04       1.566855104173e+03 
       3.962278863651e-04       1.670400090211e+03 
       4.233678310426e-04       1.779970617962e+03 
       4.522522714438e-04       1.896303105401e+03 
       4.830486837131e-04       2.019618983738e+03 
       5.159350772500e-04       2.151101636742e+03 
       5.510986767727e-04       2.290408417652e+03 
       5.887338362176e-04       2.439763007333e+03 
       6.290390602650e-04       2.598450526888e+03 
       6.722130516417e-04       2.767568547803e+03 
       7.184497772942e-04       2.947695109429e+03 
       7.679326561222e-04       3.139390743460e+03 
       8.208281092299e-04       3.342976839622e+03 
       8.772788634419e-04       3.558672333165e+03 
       9.373975314502e-04       3.787048403419e+03 
       1.001261071435e-03       4.027576472669e+03 
       1.068906721764e-03       4.280506158365e+03 
       1.140329894105e-03       4.545278280505e+03 
       1.215484298797e-03       4.821385506488e+03 
       1.294284306263e-03       5.108157228477e+03 
       1.376609274241e-03       5.404840616978e+03 
       1.462309351443e-03       5.710453640211e+03 
       1.477104874446e-03       5.762882923596e+03 
       1.551212145611e-03       6.024077478081e+03 
       1.643129630800e-03       6.344739988732e+03 
       1.737864749339e-03       6.671282755933e+03 
       1.835217303892e-03       7.002840171178e+03 
       1.934988895435e-03       7.338416014955e+03 
       2.036986811497e-03       7.677077361104e+03 
       2.141026886006e-03       8.017963903571e+03 
       2.246935430624e-03       8.360274963592e+03 
       2.354550379877e-03       8.703303903706e+03 
       2.463721806225e-03       9.046324735026e+03 
       2.574311955559e-03       9.388897645610e+03 
       2.686194936511e-03       9.730368789228e+03 
       2.799256174922e-03       1.007028537385e+04 
       2.913391721945e-03       1.040824847003e+04 
       3.028507483253e-03       1.074387900944e+04 
       3.144518418733e-03       1.107688072815e+04 
       3.261347747368e-03       1.140694914141e+04 
       3.378926180503e-03       1.173384799192e+04 
       3.497191198002e-03       1.205738405306e+04 
       3.616086375429e-03       1.237734905809e+04 
       3.735560765886e-03       1.269359017040e+04 
       3.855568337008e-03       1.300598097113e+04 
       3.976067461585e-03       1.331440420226e+04 
       4.097020459018e-03       1.361875288120e+04 
       4.218393184068e-03       1.391897978925e+04 
       4.340154659052e-03       1.421499679814e+04 
       4.462276745537e-03       1.450675604058e+04 
       4.584733851697e-03       1.479421763546e+04 
       4.707502671664e-03       1.507735376671e+04 
       4.830561953479e-03       1.535613825904e+04 
       4.953892292532e-03       1.563056630126e+04 
       5.077475947635e-03       1.590061548005e+04 
       5.201296677212e-03       1.616628470576e+04 
       5.325339593287e-03       1.642758536227e+04 
       5.449591031267e-03       1.668453707201e+04 
       5.574038433696e-03       1.693722490883e+04 
       5.698670246387e-03       1.718433371420e+04 
       5.823475825518e-03       1.742803443179e+04 
       5.948445354443e-03       1.766748627002e+04 
       6.073569769126e-03       1.790266783652e+04 
       6.198840691207e-03       1.813360633407e+04 
       6.324250367868e-03       1.836277719454e+04 
       6.449791617727e-03       1.858526198036e+04 
       6.575457782108e-03       1.880382825925e+04 
       6.701242681085e-03       1.901809182407e+04 
       6.827140573800e-03       1.922937208865e+04 
       6.953146122582e-03       1.943550529100e+04 
       7.079254360468e-03       1.963762359733e+04 
       7.205460661776e-03       1.983576330674e+04 
       7.331760715390e-03       2.002969314890e+04 
       7.458150500509e-03       2.022083914516e+04 
       7.584626264578e-03       2.040728429087e+04 
       7.711184503198e-03       2.058990030492e+04 
       7.837821941821e-03       2.076871157614e+04 
       7.964535519029e-03       2.094378174119e+04 
       8.091322371278e-03       2.111741815969e+04 
       8.218179818935e-03       2.128514023570e+04 
       8.345105353500e-03       2.144922434926e+04 
       8.472096625891e-03       2.160962284473e+04 
       8.599151435712e-03       2.176653861347e+04 
       8.726267721385e-03       2.191993094053e+04 
       8.853443551088e-03       2.206983805826e+04 
       8.980677114422e-03       2.221629730335e+04 
       9.107966714735e-03       2.235934663773e+04 
       9.235310762051e-03       2.249902284313e+04 
       9.362707766552e-03       2.263631024917e+04 
       9.490156332556e-03       2.277089635021e+04 
       9.617655152965e-03       2.290139608172e+04 
       9.745203004122e-03       2.302773772384e+04 
       9.872798741066e-03       2.315089590524e+04 
       1.000044129313e-02       2.327090386082e+04 
       1.012812965987e-02       2.338777004243e+04 
       1.025586290730e-02       2.350150684315e+04 
       1.038364016436e-02       2.361533640319e+04 
       1.051146061974e-02       2.372303641756e+04 
       1.063932351877e-02       2.382870443577e+04 
       1.076722816072e-02       2.393077605835e+04 
       1.089517389612e-02       2.402964809362e+04 
       1.102316012441e-02       2.412501940931e+04 
       1.115118629166e-02       2.422068709188e+04 
       1.127925188848e-02       2.431122095530e+04 
       1.140735644809e-02       2.439898186944e+04 
       1.153549954454e-02       2.448384919498e+04 
       1.166368079096e-02       2.456600129372e+04 
       1.179189983808e-02       2.464819585917e+04 
       1.192015637272e-02       2.472513324673e+04 
       1.204845011646e-02       2.480037290640e+04 
       1.217678082440e-02       2.487197986927e+04 
       1.230514828394e-02       2.494080577815e+04 
       1.243355231375e-02       2.500803207349e+04 
       1.256199276272e-02       2.507365337048e+04 
       1.269046950905e-02       2.513521992494e+04 
       1.281898245939e-02       2.519434643275e+04 
       1.294753154799e-02       2.525106236019e+04 
       1.307611673600e-02       2.530747959214e+04 
       1.320473801076e-02       2.535957984045e+04 
       1.333339538517e-02       2.540935361498e+04 
       1.346208889711e-02       2.545682920503e+04 
       1.359081860888e-02       2.550200217166e+04 
       1.371958460674e-02       2.554496560025e+04 
       1.384838700043e-02       2.558806093475e+04 
       1.397722592275e-02       2.562710251659e+04 
       1.410610152923e-02       2.566397670421e+04 
       1.423501399776e-02       2.569794008112e+04 
       1.436396352826e-02       2.572979603700e+04 
       1.449295034248e-02       2.576166198532e+04 
       1.462197468368e-02       2.578892980026e+04 
       1.475103681647e-02       2.581467858291e+04 
       1.477104874446e-02       2.582053354343e+04 
       1.488013702663e-02       2.584037837210e+04 
       1.500927562092e-02       2.586322121341e+04 
       1.513845292695e-02       2.588382603068e+04 
       1.526766929314e-02       2.590177685538e+04 
       1.539692508854e-02       2.591778270246e+04 
       1.552622070287e-02       2.593381176379e+04 
       1.565555654642e-02       2.594680879640e+04 
       1.578493305006e-02       2.595739630072e+04 
       1.591435066525e-02       2.596618119413e+04 
       1.604380986406e-02       2.597318750644e+04 
       1.617331113924e-02       2.598035193951e+04 
       1.630285500426e-02       2.598455826676e+04 
       1.643244199341e-02       2.598621325557e+04 
       1.656207266190e-02       2.598677843615e+04 
       1.669174758601e-02       2.598624631638e+04 
       1.682146736320e-02       2.598250660137e+04 
       1.695123261228e-02       2.597908615784e+04 
       1.708104397359e-02       2.597273228484e+04 
       1.721090210919e-02       2.596480028144e+04 
       1.734080770309e-02       2.595700221474e+04 
       1.747076146144e-02       2.594661710695e+04 
       1.760076411282e-02       2.593398140164e+04 
       1.773081640845e-02       2.592130716225e+04 
       1.786091912253e-02       2.590624186838e+04 
       1.799107305249e-02       2.588923935625e+04 
       1.812127901930e-02       2.587133433103e+04 
       1.825153786782e-02       2.585255135288e+04 
       1.838185046715e-02       2.583148008650e+04 
       1.851221771096e-02       2.580973111498e+04 
       1.864264051789e-02       2.578625160549e+04 
       1.877311983194e-02       2.576191434929e+04 
       1.890365662290e-02       2.573538395189e+04 
       1.903425188675e-02       2.570899931871e+04 
       1.916490664611e-02       2.568059081049e+04 
       1.929562195074e-02       2.565055368794e+04 
       1.942639887797e-02       2.561993636561e+04 
       1.955723853327e-02       2.558725155118e+04 
       1.968814205069e-02       2.555419331666e+04 
       1.981911059347e-02       2.552040282140e+04 
       1.995014535453e-02       2.548484660864e+04 
       2.008124755713e-02       2.544783530923e+04 
       2.021241845539e-02       2.541025643453e+04 
       2.034365933495e-02       2.537129490452e+04 
       2.047497151360e-02       2.533083733040e+04 
       2.060635634192e-02       2.529048930947e+04 
       2.073781520401e-02       2.524796241892e+04 
       2.086934951814e-02       2.520519183226e+04 
       2.100096073751e-02       2.516178678560e+04 
       2.113265035100e-02       2.511667611015e+04 
       2.126441988392e-02       2.507092093750e+04 
       2.139627089885e-02       2.502359104749e+04 
       2.152820499640e-02       2.497538403758e+04 
       2.166022381613e-02       2.492738647301e+04 
       2.179232903740e-02       2.487793557310e+04 
       2.192452238026e-02       2.482763374803e+04 
       2.205680560640e-02       2.477557579503e+04 
       2.218918052012e-02       2.472378383920e+04 
       2.232164896929e-02       2.467042016915e+04 
       2.245421284641e-02       2.461697860662e+04 
       2.258687408966e-02       2.456298735976e+04 
       2.271963468396e-02       2.450765336691e+04 
       2.285249666213e-02       2.445112841002e+04 
       2.298546210602e-02       2.439480158669e+04 
       2.311853314773e-02       2.433685668960e+04 
       2.325171197083e-02       2.427888191051e+04 
       2.338500081160e-02       2.421958815980e+04 
       2.351840196040e-02       2.416052588621e+04 
       2.365191776298e-02       2.409936513974e+04 
       2.378555062190e-02       2.403851982767e+04 
       2.391930299794e-02       2.397766909601e+04 
       2.405317741162e-02       2.391555855874e+04 
       2.418717644471e-02       2.385216459636e+04 
       2.432130274182e-02       2.378929930710e+04 
       2.445555901204e-02       2.372486017440e+04 
       2.458994803062e-02       2.366093159392e+04 
       2.472447264071e-02       2.359576600431e+04 
       2.485913575516e-02       2.352966731099e+04 
       2.499394035840e-02       2.346410099230e+04 
       2.512888950833e-02       2.339740732403e+04 
       2.526398633830e-02       2.333018592190e+04 
       2.539923405920e-02       2.326267229397e+04 
       2.553463596155e-02       2.319411160831e+04 
       2.567019541767e-02       2.312585100472e+04 
       2.580591588401e-02       2.305714874480e+04 
       2.594180090342e-02       2.298761428158e+04 
       2.607785410761e-02       2.291788152133e+04 
       2.621407921967e-02       2.284714310497e+04 
       2.635048005661e-02       2.277686540040e+04 
       2.648706053211e-02       2.270563491978e+04 
       2.662382465926e-02       2.263419868306e+04 
       2.676077655342e-02       2.256264724356e+04 
       2.689792043527e-02       2.249009737039e+04 
       2.703526063382e-02       2.241805440007e+04 
       2.717280158965e-02       2.234492275170e+04 
       2.731054785820e-02       2.227233559421e+04 
       2.744850411326e-02       2.219860187184e+04 
       2.758667515045e-02       2.212510169195e+04 
       2.772506589101e-02       2.205108511327e+04 
       2.786368138554e-02       2.197645143071e+04 
       2.800252681805e-02       2.190230993936e+04 
       2.814160751007e-02       2.182734532359e+04 
       2.828092892493e-02       2.175257828670e+04 
       2.842049667219e-02       2.167698417545e+04 
       2.856031651234e-02       2.160161441188e+04 
       2.870039436151e-02       2.152594669032e+04 
       2.884073629657e-02       2.144987356514e+04 
       2.898134856022e-02       2.137355571985e+04 
       2.912223756650e-02       2.129752608975e+04 
       2.926340990632e-02       2.122080109491e+04 
       2.940487235338e-02       2.114425433171e+04 
       2.954663187022e-02       2.106762603821e+04 
