# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518496742e-22       4.635512595996e-07       2.157256296345e+18       1.431341096923e+04       1.431341096923e-08       1.431341096923e+16       2.676317460136e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.902194177205e+36       4.653754728119e+36       1.296550321592e+28       8.176090219692e+01       7.173340222106e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722172102e-22       4.667963366956e-07       2.127368890823e+18       1.431341096923e+04       1.441360484601e-08       1.421391357421e+16       2.695051682351e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.849851924417e+36       4.525698397639e+36       1.269699549708e+28       8.119255431391e+01       1.000769011859e-07       1.433565615446e+02 
       9.861456399039e+11       7.773417902897e-22       4.700650606537e-07       2.097895556178e+18       1.431341096922e+04       1.451450007993e-08       1.411510781947e+16       2.713917044121e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.798949961721e+36       4.401165764633e+36       1.243404841046e+28       8.062815721068e+01       2.001538023635e-07       7.167828077444e+01 
       9.792906056642e+11       7.882626651012e-22       4.733537934953e-07       2.068830555726e+18       1.431341096922e+04       1.461610158049e-08       1.401698889718e+16       2.732914463423e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.749448656976e+36       4.280059868304e+36       1.217654679875e+28       8.006768342401e+01       3.002307035400e-07       4.778552051660e+01 
       9.724832231024e+11       7.993369672829e-22       4.766679921886e-07       2.040168232255e+18       1.431341096922e+04       1.471841429155e-08       1.391955203295e+16       2.752044864659e-07       2.460976933108e+36       2.269689713130e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.701309468590e+36       4.162286415903e+36       1.192437788946e+28       7.951110568159e+01       4.003076047154e-07       3.583914038747e+01 
       9.657231609756e+11       8.105668523357e-22       4.800040187547e-07       2.011903006935e+18       1.431341096921e+04       1.482144319159e-08       1.382279248554e+16       2.771309178705e-07       2.393258779892e+36       2.222685813843e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.654494915511e+36       4.047753709313e+36       1.167743124555e+28       7.895839690070e+01       5.003845058897e-07       2.867131230993e+01 
       9.590100903431e+11       8.219545060435e-22       4.833655111725e-07       1.984029378224e+18       1.431341096921e+04       1.492519329392e-08       1.372670554671e+16       2.790708342948e-07       2.327404011990e+36       2.176655336841e+27       9.813594845994e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.608968548044e+36       3.936372573657e+36       1.143559871707e+28       7.840953018685e+01       6.004614070629e-07       2.389276025821e+01 
       9.523436845512e+11       8.335021448981e-22       4.867488314630e-07       1.956541920803e+18       1.431341096921e+04       1.502966964698e-08       1.363128654092e+16       2.810243301341e-07       2.263361355044e+36       2.131578123140e+27       9.610361240486e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.564694919474e+36       3.828056287858e+36       1.119877439378e+28       7.786447883253e+01       7.005383082351e-07       2.047950879268e+01 
       9.457236192166e+11       8.452120165309e-22       4.901557986159e-07       1.929435284514e+18       1.431341096920e+04       1.513487733450e-08       1.353653082514e+16       2.829915004442e-07       2.201080945601e+36       2.087434431232e+27       9.411336479857e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.521639558464e+36       3.722720517129e+36       1.096685455879e+28       7.732321631587e+01       8.006152094062e-07       1.791957019353e+01 
       9.391495722111e+11       8.570864001501e-22       4.935864126310e-07       1.902704193326e+18       1.431341096920e+04       1.524082147584e-08       1.344243378862e+16       2.849724409464e-07       2.140514292290e+36       2.044204928448e+27       9.216433401478e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.479768942217e+36       3.620283247299e+36       1.073973764312e+28       7.678571629938e+01       9.006921105763e-07       1.592850683863e+01 
       9.326212236455e+11       8.691276069845e-22       4.970424924977e-07       1.876343444300e+18       1.431341096920e+04       1.534750722617e-08       1.334899085265e+16       2.869672480322e-07       2.081614238065e+36       2.001870682483e+27       9.025566647806e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.439050470375e+36       3.520664720968e+36       1.051732418122e+28       7.625195262863e+01       1.000769011745e-06       1.433565615471e+01 
       9.261382558545e+11       8.813379807337e-22       5.005204002373e-07       1.850347906584e+18       1.431341096919e+04       1.545493977675e-08       1.325619747035e+16       2.889760187675e-07       2.024334923491e+36       1.960413153113e+27       8.838652629002e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.399452439639e+36       3.423787375399e+36       1.029951676740e+28       7.572189933101e+01       1.100845912914e-06       1.303241468605e+01 
       9.197003533808e+11       8.937198980235e-22       5.040255928179e-07       1.824712520408e+18       1.431341096919e+04       1.556312435518e-08       1.316404912646e+16       2.909988508979e-07       1.968631751037e+36       1.919814184066e+27       8.655609486320e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.360944019080e+36       3.329575782132e+36       1.008622001321e+28       7.519553061445e+01       1.200922814081e-06       1.194638012883e+01 
       9.133072029600e+11       9.062757688692e-22       5.075526132714e-07       1.799432296103e+18       1.431341096918e+04       1.567206622567e-08       1.307254133710e+16       2.930358428532e-07       1.914461350353e+36       1.880055995078e+27       8.476357056259e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.323495226138e+36       3.237956588257e+36       9.877340505605e+27       7.467282086617e+01       1.300999715247e-06       1.102742781119e+01 
       9.069584935055e+11       9.190080371442e-22       5.111050995765e-07       1.774502313128e+18       1.431341096918e+04       1.578177068924e-08       1.298166964955e+16       2.950870937522e-07       1.861781544498e+36       1.841121174105e+27       8.300816835458e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.287076903277e+36       3.148858459297e+36       9.672786766096e+27       7.415374465144e+01       1.401076616412e-06       1.023975439607e+01 
       9.006539160928e+11       9.319191810560e-22       5.146830517333e-07       1.749917719115e+18       1.431341096918e+04       1.589224308407e-08       1.289142964205e+16       2.971527034074e-07       1.810551317108e+36       1.802992669692e+27       8.128911946312e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.251660695281e+36       3.062212023672e+36       9.472469210640e+27       7.363827671231e+01       1.501153517577e-06       9.557104102959e+00 
       8.943931639451e+11       9.450117136285e-22       5.182864697417e-07       1.725673728920e+18       1.431341096917e+04       1.600348878565e-08       1.280181692358e+16       2.992327723302e-07       1.760730780455e+36       1.765653783513e+27       7.960567103303e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.217219027178e+36       2.977949818683e+36       9.276300110432e+27       7.312639196645e+01       1.601230418740e-06       8.959785096492e+00 
       8.881759324181e+11       9.582881831909e-22       5.219135346124e-07       1.701765623695e+18       1.431341096917e+04       1.611551320715e-08       1.271282713364e+16       3.013274017354e-07       1.712281144394e+36       1.729088163051e+27       7.795708580032e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.183725082773e+36       2.896006237989e+36       9.084193553477e+27       7.261806550585e+01       1.701307319903e-06       8.432738914317e+00 
