# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.904967561848e-10       5.786950234746e-15       5.874662873573e-13       0.000000000000e+00       1.105887093871e-08       1.085011518837e-09      -1.967573848177e-12 
    3       2.441756633184e-10       7.276211860271e-15       6.462441284568e-13       0.000000000000e+00       6.749539832502e-09       7.333918534306e-10      -1.368263409768e-12 
    4       2.113103875041e-10       6.173342575293e-15       5.759671791780e-13       0.000000000000e+00       4.650460586261e-09       5.356771631826e-10      -8.235411278436e-13 
    5       1.886580096385e-10       4.020709914215e-15       4.535513926031e-13       0.000000000000e+00       3.437720865620e-09       4.110490439971e-10      -4.258715546862e-13 
    6       1.727564831255e-10       2.164715679770e-15       3.290123445565e-13       0.000000000000e+00       2.659312210944e-09       3.260834071879e-10      -1.576882646255e-13 
    7       1.613613704620e-10       1.097119284202e-15       2.303188573808e-13       0.000000000000e+00       2.123991031983e-09       2.650151051437e-10       6.465019510747e-15 
    8       1.530653117025e-10       6.567831074739e-16       1.641861789745e-13       0.000000000000e+00       1.737387257678e-09       2.194648436031e-10       8.659554828814e-14 
    9       1.470082943085e-10       5.053711223808e-16       1.254194613841e-13       0.000000000000e+00       1.448279635055e-09       1.845156391103e-10       1.022563739625e-13 
   10       1.425902835460e-10       4.260784037510e-16       1.067174648236e-13       0.000000000000e+00       1.226313455830e-09       1.570937538431e-10       7.639391892494e-14 
   11       1.394682369990e-10       3.605666423928e-16       1.016919513046e-13       0.000000000000e+00       1.036246898001e-09       1.352514961081e-10       3.271136256601e-14 
   12       1.372874606168e-10       3.189740012689e-16       1.046694335225e-13       0.000000000000e+00       8.978823013634e-10       1.174241822448e-10      -1.070796720046e-14 
