# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.69422 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.079660916957e+01 
       2.213295579820e-05       1.352330887726e+02 
       3.466613298478e-05       2.082108211993e+02 
       4.727111250025e-05       2.805635024097e+02 
       5.998009127607e-05       3.527457578142e+02 
       7.282601972134e-05       4.250884098894e+02 
       8.584287986076e-05       4.978680849914e+02 
       9.906597498980e-05       5.713351422741e+02 
       1.125322343753e-04       6.457276338745e+02 
       1.262805365603e-04       7.228601307424e+02 
       1.403520548480e-04       7.999667325112e+02 
       1.547906285112e-04       8.787836751037e+02 
       1.696431631699e-04       9.594191316486e+02 
       1.849600635454e-04       1.042243392302e+03 
       2.007957013735e-04       1.128330252768e+03 
       2.172089205503e-04       1.216326825773e+03 
       2.342635804817e-04       1.307349542886e+03 
       2.520291369596e-04       1.402191891127e+03 
       2.705812575113e-04       1.501588494146e+03 
       2.900024648384e-04       1.604013738285e+03 
       3.103827974094e-04       1.710675415573e+03 
       3.318204701985e-04       1.823409885165e+03 
       3.544225106780e-04       1.942175670600e+03 
       3.783053352100e-04       2.067550460105e+03 
       4.035952188161e-04       2.197412889260e+03 
       4.304285970665e-04       2.336883483497e+03 
       4.589521230725e-04       2.484989741282e+03 
       4.893223865552e-04       2.638602124447e+03 
       5.217051878785e-04       2.804370315015e+03 
       5.562742511707e-04       2.981092482770e+03 
       5.932092618812e-04       3.167480616495e+03 
       6.326931310117e-04       3.365602059723e+03 
       6.749084267456e-04       3.575738337756e+03 
       7.200329788071e-04       3.798492011857e+03 
       7.682347524753e-04       4.035902802686e+03 
       8.196662022093e-04       4.286749321436e+03 
       8.744584353117e-04       4.551701850234e+03 
       9.327156214473e-04       4.831233041048e+03 
       9.945101465364e-04       5.124919538575e+03 
       1.059879004011e-03       5.432528545559e+03 
       1.128821828582e-03       5.753561802481e+03 
       1.201300812803e-03       6.087520127339e+03 
       1.277242531780e-03       6.433447472870e+03 
       1.356541478795e-03       6.790333955274e+03 
       1.439064929984e-03       7.156863202620e+03 
       1.524658643764e-03       7.532420664615e+03 
       1.613152874076e-03       7.915342940105e+03 
       1.704368227290e-03       8.304466515563e+03 
       1.798120996624e-03       8.698763940490e+03 
       1.894227735397e-03       9.096747058000e+03 
       1.992508954667e-03       9.497438929012e+03 
       2.092791933971e-03       9.899776434578e+03 
       2.194912707744e-03       1.030286958861e+04 
       2.298717334316e-03       1.070554404196e+04 
       2.404062573846e-03       1.110765997060e+04 
       2.510816102823e-03       1.150813477229e+04 
       2.618856382494e-03       1.190619057280e+04 
       2.728072282296e-03       1.230137594116e+04 
       2.838362541020e-03       1.269324587235e+04 
       2.949635130611e-03       1.308114147165e+04 
       3.061806571635e-03       1.346523122295e+04 
       3.174801236021e-03       1.384469430722e+04 
       3.288550661931e-03       1.421951416198e+04 
       3.402992897232e-03       1.458930208658e+04 
       3.518071881717e-03       1.495389942839e+04 
       3.633736873596e-03       1.531310702548e+04 
       3.749941922513e-03       1.566695259093e+04 
       3.866645389056e-03       1.601510839116e+04 
       3.983809509263e-03       1.635766751388e+04 
       4.101400001681e-03       1.669443375318e+04 
       4.219385714041e-03       1.702539520831e+04 
       4.337738306341e-03       1.735047190524e+04 
       4.456431967105e-03       1.766976505325e+04 
       4.575443159675e-03       1.798317758044e+04 
       4.694750395510e-03       1.829068122671e+04 
       4.814334031716e-03       1.859225744071e+04 
       4.934176090233e-03       1.888801971640e+04 
       5.054260096324e-03       1.917808168697e+04 
