# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.69422 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.074112252585e+01 
       2.213295590090e-05       1.351144153473e+02 
       3.466613319096e-05       2.080412162330e+02 
       4.727111281150e-05       2.803508167422e+02 
       5.998009169475e-05       3.525209126341e+02 
       7.282602025066e-05       4.248816417576e+02 
       8.584288050479e-05       4.977169281827e+02 
       9.906597575355e-05       5.711547059427e+02 
       1.125322352647e-04       6.456870717399e+02 
       1.262805375826e-04       7.214444303642e+02 
       1.403520560113e-04       7.986743627966e+02 
       1.547906298250e-04       8.763572643888e+02 
       1.696431646451e-04       9.572024076670e+02 
       1.849600651946e-04       1.039772058281e+03 
       2.007957032109e-04       1.125424442896e+03 
       2.172089225919e-04       1.213963252567e+03 
       2.342635827460e-04       1.305745908865e+03 
       2.520291394672e-04       1.401629407970e+03 
       2.705812602856e-04       1.499439186977e+03 
       2.900024679059e-04       1.603153431297e+03 
       3.103828007997e-04       1.707487646466e+03 
       3.318204739450e-04       1.821461566076e+03 
       3.544225148183e-04       1.944182533296e+03 
       3.783053397859e-04       2.064171045888e+03 
       4.035952238744e-04       2.197971380685e+03 
       4.304286026591e-04       2.339825213567e+03 
       4.589521292568e-04       2.478222307203e+03 
       4.893223933945e-04       2.634379159001e+03 
       5.217051954418e-04       2.798985458294e+03 
       5.562742595327e-04       2.976112428312e+03 
       5.932092711219e-04       3.160785020609e+03 
       6.326931412161e-04       3.355986986379e+03 
       6.749084380023e-04       3.566082457517e+03 
       7.200329912073e-04       3.789292173996e+03 
       7.682347661110e-04       4.024867729705e+03 
       8.196662171712e-04       4.275023533546e+03 
       8.744584516871e-04       4.539337060112e+03 
       9.327156393177e-04       4.817802086618e+03 
       9.945101659753e-04       5.110601568574e+03 
       1.059879025082e-03       5.416998837836e+03 
       1.128821851337e-03       5.737337797303e+03 
       1.201300837281e-03       6.070619662955e+03 
       1.277242558009e-03       6.415064776553e+03 
       1.356541506789e-03       6.771104753151e+03 
       1.439064959746e-03       7.136820548837e+03 
       1.524658675286e-03       7.512030164376e+03 
       1.613152907344e-03       7.892880669300e+03 
       1.704368262280e-03       8.280834450789e+03 
       1.798121033310e-03       8.673827166757e+03 
       1.894227773747e-03       9.070676668646e+03 
       1.992508994647e-03       9.470153101385e+03 
       2.092791975547e-03       9.871372884637e+03 
       2.194912750882e-03       1.027328892129e+04 
       2.298717378981e-03       1.067506389543e+04 
       2.404062620006e-03       1.107576687604e+04 
       2.510816150445e-03       1.147490039091e+04 
       2.618856431548e-03       1.187173974737e+04 
       2.728072332755e-03       1.226585121636e+04 
       2.838362592857e-03       1.265655992363e+04 
       2.949635183801e-03       1.304350652576e+04 
       3.061806626156e-03       1.342621650148e+04 
       3.174801291851e-03       1.380446482043e+04 
       3.288550719051e-03       1.417799651634e+04 
       3.402992955625e-03       1.454660718240e+04 
       3.518071941366e-03       1.491011523372e+04 
       3.633736934485e-03       1.526816997630e+04 
       3.749941984629e-03       1.562101343616e+04 
       3.866645452386e-03       1.596795434775e+04 
       3.983809573794e-03       1.630926105295e+04 
       4.101400067403e-03       1.664490211603e+04 
       4.219385780944e-03       1.697477980316e+04 
       4.337738374415e-03       1.729895659510e+04 
       4.456432036343e-03       1.761696234940e+04 
       4.575443230068e-03       1.792934952615e+04 
       4.694750467051e-03       1.823567470192e+04 
       4.814334104399e-03       1.853622324344e+04 
       4.934176164051e-03       1.883095902667e+04 
       5.054260171271e-03       1.912000981449e+04 
       5.174571010336e-03       1.940571117802e+04 
       5.295094795520e-03       1.970328108076e+04 
       5.415818755673e-03       1.998272096625e+04 
       5.536731130881e-03       2.022741778553e+04 
       5.657821079860e-03       2.049907315099e+04 
       5.779078596894e-03       2.075102472812e+04 
       5.900494437245e-03       2.098349503321e+04 
       6.022060050120e-03       2.123577585513e+04 
       6.143767518345e-03       2.146709687553e+04 
       6.265609504018e-03       2.170852636304e+04 
       6.387579199507e-03       2.194505734901e+04 
       6.509670283191e-03       2.215280039717e+04 
       6.631876879462e-03       2.239162087114e+04 
       6.754193522525e-03       2.258403585188e+04 
       6.876615123592e-03       2.280015810213e+04 
       6.999136941136e-03       2.301122761525e+04 
       7.121754553865e-03       2.321730162632e+04 
       7.244463836160e-03       2.338051938775e+04 
       7.367260935719e-03       2.358614974217e+04 
       7.490142253177e-03       2.377769458605e+04 
       7.613104423532e-03       2.392679036337e+04 
       7.736144299167e-03       2.410758376918e+04 
       7.859258934347e-03       2.426994072060e+04 
       7.982445571021e-03       2.444322722068e+04 
       8.105701625823e-03       2.459660438006e+04 
       8.229024678153e-03       2.476023901600e+04 
       8.352412459237e-03       2.491993549045e+04 
       8.475862842083e-03       2.507551268413e+04 
       8.599373832235e-03       2.518570558380e+04 
       8.722943559278e-03       2.533658363932e+04 
       8.846570269004e-03       2.547358221228e+04 
       8.970252316195e-03       2.559664786823e+04 
       9.093988157962e-03       2.574011974506e+04 
       9.217776347601e-03       2.583749379349e+04 
       9.341615528905e-03       2.595613924114e+04 
       9.465504430920e-03       2.607254565174e+04 
       9.589441863076e-03       2.619025943553e+04 
       9.713426710692e-03       2.628601246088e+04 
       9.837457930805e-03       2.638659815223e+04 
       9.961534548307e-03       2.649067691605e+04 
       1.008565565236e-02       2.660393155134e+04 
       1.020982039305e-02       2.667487312133e+04 
       1.033402797834e-02       2.678231470515e+04 
       1.045827767115e-02       2.684846617263e+04 
       1.058256878672e-02       2.693663413930e+04 
       1.070690069014e-02       2.702545448077e+04 
       1.083127279401e-02       2.710994543413e+04 
       1.095568455631e-02       2.716100649983e+04 
       1.108013547841e-02       2.722722738350e+04 
       1.120462510322e-02       2.729557519118e+04 
       1.132915301343e-02       2.736521469304e+04 
       1.145371882993e-02       2.742105042197e+04 
       1.157832221030e-02       2.747950853391e+04 
       1.170296284742e-02       2.753397411964e+04 
       1.182764046815e-02       2.757293529154e+04 
       1.195235483218e-02       2.763137295431e+04 
       1.207710573082e-02       2.768264251870e+04 
       1.220189298606e-02       2.770840232196e+04 
       1.232671644949e-02       2.774831046169e+04 
       1.245157600149e-02       2.777809071408e+04 
       1.257647155035e-02       2.781703643064e+04 
       1.270140303150e-02       2.785183754751e+04 
       1.282637040680e-02       2.786788165979e+04 
       1.295137366387e-02       2.790545283324e+04 
       1.307641281548e-02       2.791724987333e+04 
       1.320148789898e-02       2.793703840490e+04 
       1.332659897581e-02       2.795403914217e+04 
       1.345174613099e-02       2.798410135768e+04 
       1.357692947268e-02       2.798501032259e+04 
       1.370214913181e-02       2.799821482564e+04 
       1.382740526173e-02       2.801518811810e+04 
       1.395269803783e-02       2.800384145881e+04 
       1.407802765731e-02       2.800676845098e+04 
       1.420339433886e-02       2.800891418521e+04 
       1.432879832250e-02       2.800620546401e+04 
       1.445423986929e-02       2.800609468251e+04 
       1.457971926123e-02       2.800322631885e+04 
       1.470523680110e-02       2.798955007526e+04 
       1.483079281229e-02       2.798582686099e+04 
       1.495638763875e-02       2.797517032383e+04 
       1.508202164491e-02       2.795467054516e+04 
       1.520769521559e-02       2.793996933431e+04 
       1.533340875602e-02       2.793055799202e+04 
       1.545916269181e-02       2.790291394542e+04 
       1.558495746894e-02       2.788275689551e+04 
       1.571079355385e-02       2.786128652241e+04 
       1.583667143342e-02       2.783544573091e+04 
       1.596259161508e-02       2.780260856784e+04 
       1.608855462693e-02       2.778630895116e+04 
       1.621456101776e-02       2.774912520163e+04 
       1.634061135728e-02       2.770977810254e+04 
       1.646670623617e-02       2.767633162257e+04 
       1.659284626631e-02       2.763821868231e+04 
       1.671903208092e-02       2.761295267416e+04 
       1.684526433477e-02       2.756323042814e+04 
       1.697154370438e-02       2.752853294112e+04 
       1.709787088826e-02       2.748365367191e+04 
       1.722424660716e-02       2.743613339549e+04 
       1.735067160430e-02       2.739183977660e+04 
       1.747714664570e-02       2.735012119327e+04 
       1.760367252040e-02       2.729680781370e+04 
       1.773025004085e-02       2.724498381935e+04 
       1.785688004320e-02       2.719433098929e+04 
       1.798356338763e-02       2.713998610542e+04 
       1.811030095872e-02       2.708593284013e+04 
       1.823709366586e-02       2.703321893027e+04 
       1.836394244360e-02       2.697895904575e+04 
       1.849084825207e-02       2.692603006922e+04 
       1.861781207742e-02       2.685661687205e+04 
       1.874483493228e-02       2.680726538714e+04 
       1.887191785618e-02       2.673551473010e+04 
       1.899906191606e-02       2.667349487489e+04 
       1.912626820677e-02       2.661119003723e+04 
       1.925353785159e-02       2.654394745677e+04 
       1.938087200274e-02       2.648115323823e+04 
       1.950827184198e-02       2.641103780433e+04 
       1.963573858114e-02       2.634137417301e+04 
       1.976327346274e-02       2.627953473144e+04 
       1.989087776060e-02       2.620712878179e+04 
       2.001855278049e-02       2.613303515085e+04 
       2.014629986075e-02       2.606024781653e+04 
       2.027412037303e-02       2.598944434036e+04 
       2.040201572292e-02       2.591931015333e+04 
       2.052998735073e-02       2.583627039528e+04 
       2.065803673222e-02       2.576270922181e+04 
       2.078616537935e-02       2.568266331989e+04 
       2.091437484113e-02       2.560970912485e+04 
       2.104266670437e-02       2.552911893404e+04 
       2.117104259461e-02       2.545552785995e+04 
       2.129950417692e-02       2.537148685255e+04 
       2.142805315685e-02       2.529097805382e+04 
