# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.559518496417e-22       4.635512595996e-07       2.157256296437e+18       1.415981943506e+04       1.415981943506e-08       1.415981943506e+16       2.676317460021e-07       2.751560535470e+36       2.492336125560e+27       1.335180067264e+28       3.514718820118e-08       1.902194177205e+36       4.653754728519e+36       6.968331831730e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171773e-22       4.667963366956e-07       2.127368890914e+18       1.415981943506e+04       1.425893817111e-08       1.406138970711e+16       2.695051682235e-07       2.675846458098e+36       2.440721353921e+27       1.307529296743e+28       3.514718820118e-08       1.849851924417e+36       4.525698398031e+36       9.721678249774e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902563e-22       4.700650606537e-07       2.097895556270e+18       1.415981943506e+04       1.435875073830e-08       1.396364419772e+16       2.713917044004e-07       2.602215788101e+36       2.390175492941e+27       1.280451156933e+28       3.514718820118e-08       1.798949961721e+36       4.401165765017e+36       1.944335649874e-07       7.167828077441e+01 
       9.792906056642e+11       7.882626650674e-22       4.733537934953e-07       2.068830555816e+18       1.415981943505e+04       1.445926199347e-08       1.386657815066e+16       2.732914463305e-07       2.530611196823e+36       2.340676406129e+27       1.253933788997e+28       3.514718820118e-08       1.749448656976e+36       4.280059868679e+36       2.916503474759e-07       4.778552051657e+01 
       9.724832231024e+11       7.993369672485e-22       4.766679921886e-07       2.040168232345e+18       1.415981943505e+04       1.456047682742e-08       1.377018684276e+16       2.752044864541e-07       2.460976933108e+36       2.292202415424e+27       1.227965579691e+28       3.514718820118e-08       1.701309468590e+36       4.162286416270e+36       3.888671299633e-07       3.583914038744e+01 
       9.657231609756e+11       8.105668523009e-22       4.800040187547e-07       2.011903007024e+18       1.415981943505e+04       1.466240016521e-08       1.367446558367e+16       2.771309178585e-07       2.393258779892e+36       2.244732291708e+27       1.202535156272e+28       3.514718820118e-08       1.654494915511e+36       4.047753709673e+36       4.860839124497e-07       2.867131230990e+01 
       9.590100903431e+11       8.219545060082e-22       4.833655111725e-07       1.984029378313e+18       1.415981943504e+04       1.476503696636e-08       1.357940971566e+16       2.790708342828e-07       2.327404011990e+36       2.198245245503e+27       1.177631381519e+28       3.514718820118e-08       1.608968548044e+36       3.936372574009e+36       5.833006949349e-07       2.389276025818e+01 
       9.523436845512e+11       8.335021448623e-22       4.867488314630e-07       1.956541920891e+18       1.415981943504e+04       1.486839222512e-08       1.348501461336e+16       2.810243301219e-07       2.263361355044e+36       2.152720917869e+27       1.153243348858e+28       3.514718820118e-08       1.564694919474e+36       3.828056288203e+36       6.805174774192e-07       2.047950879266e+01 
       9.457236192166e+11       8.452120164945e-22       4.901557986159e-07       1.929435284602e+18       1.415981943504e+04       1.497247097070e-08       1.339127568357e+16       2.829915004320e-07       2.201080945601e+36       2.108139371488e+27       1.129360377583e+28       3.514718820118e-08       1.521639558464e+36       3.722720517466e+36       7.777342599024e-07       1.791957019351e+01 
       9.391495722111e+11       8.570864001131e-22       4.935864126310e-07       1.902704193413e+18       1.415981943503e+04       1.507727826749e-08       1.329818836501e+16       2.849724409341e-07       2.140514292289e+36       2.064481081931e+27       1.105972008177e+28       3.514718820118e-08       1.479768942217e+36       3.620283247630e+36       8.749510423845e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069471e-22       4.970424924977e-07       1.876343444386e+18       1.415981943503e+04       1.518281921536e-08       1.320574812811e+16       2.869672480198e-07       2.081614238065e+36       2.021726929109e+27       1.083067997737e+28       3.514718820118e-08       1.439050470375e+36       3.520664721292e+36       9.721678248657e-07       1.433565615469e+01 
       9.261382558545e+11       8.813379806957e-22       5.005204002373e-07       1.850347906669e+18       1.415981943503e+04       1.528909894986e-08       1.311395047478e+16       2.889760187550e-07       2.024334923491e+36       1.979858188896e+27       1.060638315480e+28       3.514718820118e-08       1.399452439639e+36       3.423787375716e+36       1.069384607346e-06       1.303241468603e+01 
       9.197003533808e+11       8.937198979849e-22       5.040255928179e-07       1.824712520493e+18       1.415981943502e+04       1.539612264251e-08       1.302279093821e+16       2.909988508853e-07       1.968631751037e+36       1.938856524935e+27       1.038673138358e+28       3.514718820118e-08       1.360944019080e+36       3.329575782443e+36       1.166601389825e-06       1.194638012881e+01 
       9.133072029600e+11       9.062757688300e-22       5.075526132714e-07       1.799432296187e+18       1.415981943502e+04       1.550389550100e-08       1.293226508263e+16       2.930358428405e-07       1.914461350353e+36       1.898703980602e+27       1.017162846751e+28       3.514718820118e-08       1.323495226138e+36       3.237956588561e+36       1.263818172304e-06       1.102742781117e+01 
       9.069584935054e+11       9.190080371044e-22       5.111050995765e-07       1.774502313212e+18       1.415981943502e+04       1.561242276950e-08       1.284236850311e+16       2.950870937394e-07       1.861781544498e+36       1.859382971143e+27       9.960980202550e+27       3.514718820118e-08       1.287076903277e+36       3.148858459595e+36       1.361034954781e-06       1.023975439605e+01 
       9.006539160927e+11       9.319191810156e-22       5.146830517333e-07       1.749917719198e+18       1.415981943501e+04       1.572170972889e-08       1.275309682532e+16       2.971527033945e-07       1.810551317108e+36       1.820876275974e+27       9.754694335574e+27       3.514718820118e-08       1.251660695281e+36       3.062212023964e+36       1.458251737257e-06       9.557104102940e+00 
       8.943931639451e+11       9.450117135875e-22       5.182864697417e-07       1.725673729002e+18       1.415981943501e+04       1.583176169699e-08       1.266444570538e+16       2.992327723172e-07       1.760730780455e+36       1.783167031140e+27       9.552680523963e+27       3.514718820118e-08       1.217219027178e+36       2.977949818969e+36       1.555468519733e-06       8.959785096473e+00 
       8.881759324181e+11       9.582881831493e-22       5.219135346124e-07       1.701765623777e+18       1.415981943500e+04       1.594258402886e-08       1.257641082957e+16       3.013274017223e-07       1.712281144394e+36       1.746238721927e+27       9.354850296038e+27       3.514718820118e-08       1.183725082773e+36       2.896006238269e+36       1.652685302208e-06       8.432738914298e+00 
       8.820019189852e+11       9.717511738318e-22       5.255678843241e-07       1.678188750050e+18       1.415981943500e+04       1.605418211706e-08       1.248898791417e+16       3.034366935332e-07       1.665164686160e+36       1.710075175632e+27       9.161117012314e+27       3.514718820118e-08       1.151152783764e+36       2.816317480795e+36       1.749902084682e-06       7.964253419031e+00 
       8.758708232226e+11       9.854033060702e-22       5.292458808981e-07       1.654938518822e+18       1.415981943500e+04       1.616656139188e-08       1.240217270523e+16       3.055607503867e-07       1.619344720995e+36       1.674660554478e+27       8.971395827558e+27       3.514718820118e-08       1.119476769439e+36       2.738821501080e+36       1.847118867155e-06       7.545082186426e+00 
       8.697823467949e+11       9.992472371142e-22       5.329511623131e-07       1.632010404669e+18       1.415981943499e+04       1.627972732162e-08       1.231596097838e+16       3.076996756382e-07       1.574785573588e+36       1.639979348678e+27       8.785603653632e+27       3.514718820118e-08       1.088672376933e+36       2.663457960947e+36       1.944335649627e-06       7.167828077082e+00 
       8.637361934408e+11       1.013285661545e-21       5.366819095798e-07       1.609399944866e+18       1.415981943499e+04       1.639368541286e-08       1.223034853860e+16       3.098535733664e-07       1.531452550300e+36       1.606016369645e+27       8.603659123099e+27       3.514718820118e-08       1.058715622024e+36       2.590168182533e+36       2.041552432099e-06       6.826502930533e+00 
       8.577320689580e+11       1.027521311801e-21       5.404381226981e-07       1.587102738514e+18       1.415981943499e+04       1.650844121075e-08       1.214533122006e+16       3.120225483787e-07       1.489311912146e+36       1.572756743338e+27       8.425482553596e+27       3.514718820118e-08       1.029583180456e+36       2.518895102599e+36       2.138769214570e-06       6.516207342763e+00 
       8.517696811897e+11       1.041956958707e-21       5.442216206575e-07       1.565114445689e+18       1.415981943498e+04       1.662400029922e-08       1.206090488585e+16       3.142067062160e-07       1.448330848530e+36       1.540185903747e+27       8.250995912933e+27       3.514718820118e-08       1.001252369783e+36       2.449583228103e+36       2.235985997040e-06       6.232893980017e+00 
       8.458487400096e+11       1.056595412016e-21       5.480324034579e-07       1.543430786590e+18       1.415981943498e+04       1.674036830131e-08       1.197706542785e+16       3.164061531582e-07       1.408477451698e+36       1.508289586518e+27       8.080122784917e+27       3.514718820118e-08       9.737011317061e+35       2.382178592993e+36       2.333202779509e-06       5.973190064168e+00 
       8.399689573084e+11       1.071439520956e-21       5.518686521100e-07       1.522047540712e+18       1.415981943498e+04       1.685755087942e-08       1.189380876648e+16       3.186209962289e-07       1.369720691896e+36       1.477053822700e+27       7.912788335890e+27       3.514718820118e-08       9.469080149009e+35       2.316628716187e+36       2.430419561978e-06       5.734262461587e+00 
       8.341300469794e+11       1.086492174781e-21       5.557303666137e-07       1.500960546022e+18       1.415981943497e+04       1.697555373557e-08       1.181113085053e+16       3.208513432011e-07       1.332030393206e+36       1.446464932631e+27       7.748919281954e+27       3.514718820118e-08       9.208521583133e+35       2.252882560715e+36       2.527636344446e-06       5.513713905360e+00 
       8.283317249051e+11       1.101756303341e-21       5.596211849479e-07       1.480165698150e+18       1.415981943497e+04       1.709438261172e-08       1.172902765692e+16       3.230973026020e-07       1.295377210057e+36       1.416509519950e+27       7.588443856875e+27       3.514718820118e-08       8.955132749183e+35       2.190890493980e+36       2.624853126914e-06       5.309502279224e+00 
       8.225737089424e+11       1.117234877642e-21       5.635374691337e-07       1.459658949588e+18       1.415981943496e+04       1.721404328999e-08       1.164749519059e+16       3.253589837187e-07       1.259732604371e+36       1.387174465722e+27       7.431291780656e+27       3.514718820118e-08       8.708716359244e+35       2.130604249114e+36       2.722069909380e-06       5.119877197814e+00 
       8.168557189100e+11       1.132930910433e-21       5.674828571500e-07       1.439436308906e+18       1.415981943496e+04       1.733454159302e-08       1.156652948419e+16       3.276364966032e-07       1.225068823347e+36       1.358446922701e+27       7.277394228753e+27       3.514718820118e-08       8.469080554131e+35       2.071976887396e+36       2.819286691847e-06       4.943329708225e+00 
       8.111774765739e+11       1.148847456788e-21       5.714555300074e-07       1.419493839969e+18       1.415981943496e+04       1.745588338417e-08       1.148612659800e+16       3.299299520778e-07       1.191358877852e+36       1.330314309695e+27       7.126683801940e+27       3.514718820118e-08       8.236038754003e+35       2.014962761709e+36       2.916503474312e-06       4.778552051277e+00 
       8.055387056344e+11       1.164987614704e-21       5.754554877058e-07       1.399827661178e+18       1.415981943495e+04       1.757807456785e-08       1.140628261966e+16       3.322394617407e-07       1.158576521406e+36       1.302764306067e+27       6.979094496786e+27       3.514718820118e-08       8.009409513098e+35       1.959517480998e+36       3.013720256778e-06       4.624405210907e+00 
       7.999391317124e+11       1.181354525697e-21       5.794845492346e-07       1.380433944709e+18       1.415981943495e+04       1.770112108982e-08       1.132699366401e+16       3.345651379712e-07       1.126696229749e+36       1.275784846327e+27       6.834561676752e+27       3.514718820118e-08       7.789016378452e+35       1.905597875705e+36       3.110937039242e-06       4.479892548061e+00 
       7.943784823360e+11       1.197951375423e-21       5.835408956045e-07       1.361308915772e+18       1.415981943494e+04       1.782502893745e-08       1.124825587290e+16       3.369070939353e-07       1.095693180965e+36       1.249364114858e+27       6.693022043882e+27       3.514718820118e-08       7.574687752522e+35       1.853161964160e+36       3.208153821707e-06       4.344138228418e+00 
       7.888564869275e+11       1.214781394290e-21       5.876245268155e-07       1.342448851872e+18       1.415981943494e+04       1.794980414001e-08       1.117006541499e+16       3.392654435911e-07       1.065543236157e+36       1.223490540736e+27       6.554413611084e+27       3.514718820118e-08       7.366256759575e+35       1.802168919893e+36       3.305370604170e-06       4.216369456991e+00 
       7.833728767899e+11       1.231847858092e-21       5.917390808463e-07       1.323850082089e+18       1.415981943494e+04       1.807545276898e-08       1.109241848558e+16       3.416403016944e-07       1.036222920654e+36       1.198152792663e+27       6.418675674978e+27       3.514718820118e-08       7.163561115758e+35       1.752579039847e+36       3.402587386634e-06       4.095901758217e+00 
