# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.486743854730e-10       4.983937861587e-15       3.985288083899e-13       0.000000000000e+00       8.804050566948e-09       4.837372391938e-10      -2.089599073322e-12 
    3       1.404168464148e-10       6.753686983175e-15       4.568487364354e-13       0.000000000000e+00       5.404329573142e-09       3.435814064699e-10      -1.635183306692e-12 
    4       1.325835393014e-10       6.206749214452e-15       4.351974884650e-13       0.000000000000e+00       3.760256966421e-09       2.604045614928e-10      -1.120668182115e-12 
    5       1.266530569837e-10       4.413157674258e-15       3.770781860093e-13       0.000000000000e+00       2.808078432797e-09       2.057581452244e-10      -6.704235454682e-13 
    6       1.225222087816e-10       2.599903692050e-15       3.082753901617e-13       0.000000000000e+00       2.194127143549e-09       1.674237124151e-10      -3.218777782016e-13 
    7       1.197921447796e-10       1.407859304421e-15       2.443591742146e-13       0.000000000000e+00       1.770338234943e-09       1.392867333467e-10      -8.279368071411e-14 
    8       1.181396888281e-10       8.509393103924e-16       1.928124644628e-13       0.000000000000e+00       1.462812274479e-09       1.179360981651e-10       5.614583445624e-14 
    9       1.172941124093e-10       6.542930570952e-16       1.561396082979e-13       0.000000000000e+00       1.231109225821e-09       1.013237372818e-10       1.141656576166e-13 
   10       1.170265560832e-10       5.675413210520e-16       1.337932024859e-13       0.000000000000e+00       1.051606624516e-09       8.813636169444e-11       1.151958391927e-13 
   11       1.172399026644e-10       4.858269341945e-16       1.234006499364e-13       0.000000000000e+00       8.874208632044e-10       7.781990495568e-11       8.363039621809e-14 
   12       1.178049744169e-10       4.117886952197e-16       1.218245790023e-13       0.000000000000e+00       7.754049168280e-10       6.884313489893e-11       3.988589583218e-14 
   13       1.186434210943e-10       3.721069763305e-16       1.259585316027e-13       0.000000000000e+00       6.834519119980e-10       6.153198591179e-11      -5.991231943014e-16 
   14       1.196780923931e-10       3.710569000485e-16       1.332336384235e-13       0.000000000000e+00       6.069459797773e-10       5.514619903333e-11      -2.956275050794e-14 
   15       1.209142842049e-10       3.932303742484e-16       1.418568409058e-13       0.000000000000e+00       5.425482119181e-10       4.978185699058e-11      -4.362774589546e-14 
   16       1.223016215915e-10       4.251580677083e-16       1.506758227276e-13       0.000000000000e+00       4.877951176240e-10       4.518425216497e-11      -4.434238796782e-14 
   17       1.238113135589e-10       4.668090873657e-16       1.592116855972e-13       0.000000000000e+00       4.408260431703e-10       4.118270400318e-11      -3.589687198902e-14 
   18       1.254091278014e-10       5.271842324680e-16       1.676133694693e-13       0.000000000000e+00       4.000593292408e-10       3.764689161594e-11      -2.361602537595e-14 
   19       1.271067257640e-10       6.113485636855e-16       1.761297961428e-13       0.000000000000e+00       3.648473851884e-10       3.454853835133e-11      -1.143491906873e-14 
   20       1.288749701307e-10       7.215095621020e-16       1.850114860940e-13       0.000000000000e+00       3.338342140140e-10       3.181759838821e-11      -3.049530826486e-15 
   21       1.307232285895e-10       8.557428411938e-16       1.944353118774e-13       0.000000000000e+00       3.065329259490e-10       2.940769476757e-11       5.094572458806e-16 
   22       1.326390583108e-10       1.010314197522e-15       2.044818587222e-13       0.000000000000e+00       2.822903177607e-10       2.724110920306e-11      -4.965243113973e-16 
   23       1.346173915688e-10       1.185246985288e-15       2.149163672715e-13       0.000000000000e+00       2.607733629341e-10       2.529115558423e-11      -4.722949089869e-15 
   24       1.366359224429e-10       1.381399219005e-15       2.253265374082e-13       0.000000000000e+00       2.414850542921e-10       2.352670248660e-11      -1.014776955497e-14 
   25       1.387091893701e-10       1.598391676227e-15       2.353084889408e-13       0.000000000000e+00       2.241987168068e-10       2.194527520276e-11      -1.512666672046e-14 
