# Matter power spectrum P(k) at redshift z=0
# for k=1.04317e-05 to 1.72096 h/Mpc,
# number of wavenumbers equal to 568
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043166462095e-05       5.272389518481e+01 
       2.330077238230e-05       1.142146960047e+02 
       3.621503077319e-05       1.745562036121e+02 
       4.920912262717e-05       2.344264904291e+02 
       6.231830318522e-05       2.942069024872e+02 
       7.557871388114e-05       3.541805397071e+02 
       8.902770614022e-05       4.145877503619e+02 
       1.027041794903e-04       4.756487736013e+02 
       1.166489383177e-04       5.375753009674e+02 
       1.309050716342e-04       6.005774089957e+02 
       1.455183602265e-04       6.648683453617e+02 
       1.605377155032e-04       7.306682126402e+02 
       1.760156541762e-04       7.982070837515e+02 
       1.920088125502e-04       8.677278302651e+02 
       2.085785035404e-04       9.394888110069e+02 
       2.257913184778e-04       1.013766528632e+03 
       2.437197741095e-04       1.090858262268e+03 
       2.624430027585e-04       1.171084735034e+03 
       2.820474800937e-04       1.254792775919e+03 
       3.026277800494e-04       1.342357925588e+03 
       3.242873397583e-04       1.434186924871e+03 
       3.471392085133e-04       1.530719955858e+03 
       3.713067433756e-04       1.632432460379e+03 
       3.969241998582e-04       1.739836308336e+03 
       4.241371491275e-04       1.853480030120e+03 
       4.531026339205e-04       1.973947723253e+03 
       4.839889551804e-04       2.101856206744e+03 
       5.169749627830e-04       2.237849938722e+03 
       5.522487106953e-04       2.382593127646e+03 
       5.900053352703e-04       2.536758619673e+03 
       6.304440324236e-04       2.701013134471e+03 
       6.737640530613e-04       2.875998688816e+03 
       7.201597127646e-04       3.062310465441e+03 
       7.698145233039e-04       3.260471786042e+03 
       8.228946936799e-04       3.470907444613e+03 
       8.795423993381e-04       3.693917269878e+03 
       9.398693506573e-04       3.929652216486e+03 
       1.003951269313e-03       4.178095572901e+03 
       1.071823870088e-03       4.439051552939e+03 
       1.143480828442e-03       4.712143116452e+03 
       1.218873999721e-03       4.996819790793e+03 
       1.297915882265e-03       5.292375059713e+03 
       1.380484041625e-03       5.597971344439e+03 
       1.466426995522e-03       5.912670474177e+03 
       1.555570940290e-03       6.235466373973e+03 
       1.647726690954e-03       6.565316556695e+03 
       1.742696291898e-03       6.901171828897e+03 
       1.840278897995e-03       7.242000321891e+03 
       1.940275687868e-03       7.586807821379e+03 
       2.042493719488e-03       7.934634098394e+03 
       2.146748754492e-03       8.284614106079e+03 
       2.252867154784e-03       8.635939572704e+03 
       2.360686996123e-03       8.987869932115e+03 
       2.470058556100e-03       9.339735548378e+03 
       2.580844327351e-03       9.690934302224e+03 
       2.692918689248e-03       1.004093006522e+04 
       2.806167348924e-03       1.038924601984e+04 
       2.920486639467e-03       1.073546134337e+04 
       3.035782742117e-03       1.107920659111e+04 
       3.151970881222e-03       1.142015741144e+04 
       3.268974526146e-03       1.175803216926e+04 
       3.386724622849e-03       1.209258553881e+04 
       3.505158869324e-03       1.242360451141e+04 
       3.624221042727e-03       1.275090597237e+04 
       3.743860381623e-03       1.307433508155e+04 
       3.864031023680e-03       1.339375663077e+04 
       3.984691497183e-03       1.370906002745e+04 
       4.105804263469e-03       1.402014938000e+04 
       4.227335306694e-03       1.432695009680e+04 
       4.349253767041e-03       1.462939645194e+04 
       4.471531613399e-03       1.492743933337e+04 
       4.594143351650e-03       1.522104119235e+04 
       4.717065764888e-03       1.551016228433e+04 
       4.840277682189e-03       1.579476137142e+04 
       4.963759772787e-03       1.607489837073e+04 
       5.087494362834e-03       1.635050151198e+04 
       5.211465272206e-03       1.662159644658e+04 
       5.335657669055e-03       1.688825485779e+04 
       5.460057940102e-03       1.715043053999e+04 
       5.584653574846e-03       1.740810623056e+04 
       5.709433062112e-03       1.766054410672e+04 
       5.834385797525e-03       1.790933432927e+04 
       5.959502000651e-03       1.815368571369e+04 
       6.084772640732e-03       1.839358955441e+04 
       6.210189370031e-03       1.862927060048e+04 
       6.335744463937e-03       1.886051804148e+04 
       6.461430767082e-03       1.908772408371e+04 
       6.587241644807e-03       1.931048330262e+04 
       6.713170939389e-03       1.952929195556e+04 
       6.839212930516e-03       1.974336499485e+04 
       6.965362299555e-03       1.995365880895e+04 
       7.091614097202e-03       2.015980195935e+04 
       7.217963714172e-03       2.036184149184e+04 
       7.344406854600e-03       2.055972297265e+04 
       7.470939511876e-03       2.075349690782e+04 
       7.597557946671e-03       2.094356753556e+04 
       7.724258666928e-03       2.112952741948e+04 
       7.851038409620e-03       2.131243563334e+04 
       7.977894124111e-03       2.149078063002e+04 
       8.104822956945e-03       2.166534953566e+04 
       8.231822237945e-03       2.183614064633e+04 
       8.358889467480e-03       2.200324528268e+04 
       8.486022304807e-03       2.216667256969e+04 
       8.613218557363e-03       2.232643306338e+04 
       8.740476170950e-03       2.248260928339e+04 
       8.867793220701e-03       2.263521378766e+04 
       8.995167902779e-03       2.278427051447e+04 
       9.122598526730e-03       2.292983522036e+04 
       9.250083508442e-03       2.307199902144e+04 
       9.377621363646e-03       2.321077367415e+04 
       9.505210701925e-03       2.334612205032e+04 
       9.632850221173e-03       2.347818079916e+04 
       9.760538702479e-03       2.360694512641e+04 
       9.888275005393e-03       2.373244835909e+04 
       1.001605806355e-02       2.385472442786e+04 
       1.014388688060e-02       2.397383080932e+04 
       1.027176052647e-02       2.408976916242e+04 
       1.039967813386e-02       2.420261602944e+04 
       1.052763889500e-02       2.431240189197e+04 
       1.065564205869e-02       2.441919158151e+04 
       1.078368692745e-02       2.452282685169e+04 
       1.091177285501e-02       2.462366670554e+04 
       1.103989924382e-02       2.472139941421e+04 
       1.116806554289e-02       2.481629533291e+04 
       1.129627124564e-02       2.490833786019e+04 
       1.142451588803e-02       2.499764093478e+04 
       1.155279904672e-02       2.508395445896e+04 
       1.168112033742e-02       2.516758280489e+04 
       1.180947941330e-02       2.524850419770e+04 
       1.193787596360e-02       2.532670759808e+04 
       1.206630971223e-02       2.540218848843e+04 
       1.219478041653e-02       2.547517876033e+04 
       1.232328786613e-02       2.554533885877e+04 
       1.245183188184e-02       2.561299234759e+04 
       1.258041231467e-02       2.567816580742e+04 
       1.270902904488e-02       2.574081797357e+04 
       1.283768198112e-02       2.580089327422e+04 
       1.296637105963e-02       2.585860699521e+04 
       1.309509624349e-02       2.591388843324e+04 
       1.322385752196e-02       2.596669784440e+04 
       1.335265490981e-02       2.601723368096e+04 
       1.348148844677e-02       2.606546034531e+04 
       1.361035819698e-02       2.611125653284e+04 
       1.373926424849e-02       2.615481076679e+04 
       1.386820671283e-02       2.619615279264e+04 
       1.399718572459e-02       2.623522284074e+04 
       1.412620144103e-02       2.627198964179e+04 
       1.425525404179e-02       2.630674640683e+04 
       1.438434372852e-02       2.633920351324e+04 
       1.451347072469e-02       2.636963297610e+04 
       1.464263527528e-02       2.639804832804e+04 
       1.477183764662e-02       2.642440121106e+04 
       1.490107812617e-02       2.644757670729e+04 
       1.503035702240e-02       2.647083213711e+04 
       1.515967466464e-02       2.649097978796e+04 
       1.528903140300e-02       2.650928656866e+04 
       1.541842760827e-02       2.652480646308e+04 
       1.554786367184e-02       2.654007991481e+04 
       1.567734000575e-02       2.655265926497e+04 
       1.580685704258e-02       2.656330595691e+04 
       1.593641523554e-02       2.657217447862e+04 
       1.606601505844e-02       2.657834830322e+04 
       1.619565700578e-02       2.658351419784e+04 
       1.632534159281e-02       2.658710760017e+04 
       1.645506935559e-02       2.658887675338e+04 
       1.658484085116e-02       2.658894785972e+04 
       1.671465665759e-02       2.658726262576e+04 
       1.684451737419e-02       2.658490492940e+04 
       1.697442362160e-02       2.657890326263e+04 
       1.710437604207e-02       2.657337246593e+04 
       1.723437529953e-02       2.656398621673e+04 
       1.736442207992e-02       2.655424463660e+04 
       1.749451709133e-02       2.654402211478e+04 
       1.762466106431e-02       2.652986252909e+04 
       1.775485475209e-02       2.651695340075e+04 
       1.788509893087e-02       2.650021072711e+04 
       1.801539440014e-02       2.648322561975e+04 
       1.814574198297e-02       2.646440428937e+04 
       1.827614252633e-02       2.644422247260e+04 
       1.840659690145e-02       2.642257007419e+04 
       1.853710600421e-02       2.639964063090e+04 
       1.866767075545e-02       2.637527641634e+04 
       1.879829210145e-02       2.634959492368e+04 
       1.892897101426e-02       2.632272875511e+04 
