# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518498567e-22       4.635512595996e-07       2.157256295824e+18       1.536204295185e+04       1.536204295185e-08       1.536204295185e+16       2.676317460782e-07       2.751560535470e+36       2.492336125560e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.902194177205e+36       4.653754725872e+36       1.069406582825e+28       6.567485928696e+02       8.558526635382e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722173953e-22       4.667963366956e-07       2.127368890305e+18       1.536204295185e+04       1.546957725251e-08       1.525525615874e+16       2.695051683001e-07       2.675846458098e+36       2.440721353921e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.849851924417e+36       4.525698395439e+36       1.047259820197e+28       6.521833096825e+02       1.194019519312e-07       1.433565615448e+02 
       9.861456399039e+11       7.773417904774e-22       4.700650606537e-07       2.097895555665e+18       1.536204295185e+04       1.557786429328e-08       1.514921167699e+16       2.713917044776e-07       2.602215788101e+36       2.390175492941e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.798949961721e+36       4.401165762479e+36       1.025571703609e+28       6.476497613343e+02       2.388039038527e-07       7.167828077462e+01 
       9.792906056642e+11       7.882626652916e-22       4.733537934953e-07       2.068830555216e+18       1.536204295184e+04       1.568690934333e-08       1.504390434656e+16       2.732914464082e-07       2.530611196823e+36       2.340676406129e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.749448656976e+36       4.280059866194e+36       1.004332734781e+28       6.431477272252e+02       3.582058557731e-07       4.778552051676e+01 
       9.724832231025e+11       7.993369674759e-22       4.766679921886e-07       2.040168231749e+18       1.536204295184e+04       1.579671770873e-08       1.493932904326e+16       2.752044865324e-07       2.460976933108e+36       2.292202415424e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.701309468590e+36       4.162286413837e+36       9.835336121328e+27       6.386769882890e+02       4.776078076923e-07       3.583914038762e+01 
       9.657231609756e+11       8.105668525316e-22       4.800040187547e-07       2.011903006432e+18       1.536204295184e+04       1.590729473269e-08       1.483548067850e+16       2.771309179374e-07       2.393258779892e+36       2.244732291708e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.654494915511e+36       4.047753707290e+36       9.631652267176e+27       6.342373269823e+02       5.970097596104e-07       2.867131231007e+01 
       9.590100903431e+11       8.219545062422e-22       4.833655111725e-07       1.984029377725e+18       1.536204295183e+04       1.601864579581e-08       1.473235419911e+16       2.790708343622e-07       2.327404011990e+36       2.198245245503e+27       9.813594845995e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.608968548045e+36       3.936372571675e+36       9.432186582280e+27       6.298285272740e+02       7.164117115274e-07       2.389276025834e+01 
       9.523436845512e+11       8.335021450998e-22       4.867488314630e-07       1.956541920307e+18       1.536204295183e+04       1.613077631638e-08       1.462994458699e+16       2.810243302019e-07       2.263361355044e+36       2.152720917869e+27       9.610361240487e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.564694919474e+36       3.828056285918e+36       9.236851710908e+27       6.254503746344e+02       8.358136634434e-07       2.047950879281e+01 
       9.457236192167e+11       8.452120167355e-22       4.901557986159e-07       1.929435284022e+18       1.536204295183e+04       1.624369175059e-08       1.452824685898e+16       2.829915005125e-07       2.201080945601e+36       2.108139371488e+27       9.411336479858e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.521639558464e+36       3.722720515229e+36       9.045562106414e+27       6.211026560255e+02       9.552156153583e-07       1.791957019365e+01 
       9.391495722112e+11       8.570864003577e-22       4.935864126310e-07       1.902704192837e+18       1.536204295182e+04       1.635739759284e-08       1.442725606651e+16       2.849724410153e-07       2.140514292290e+36       2.064481081931e+27       9.216433401480e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.479768942217e+36       3.620283245439e+36       8.858233993773e+27       6.167851598898e+02       1.074617567272e-06       1.592850683875e+01 
       9.326212236456e+11       8.691276071953e-22       4.970424924977e-07       1.876343443815e+18       1.536204295182e+04       1.647189937599e-08       1.432696729544e+16       2.869672481015e-07       2.081614238065e+36       2.021726929109e+27       9.025566647808e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.439050470376e+36       3.520664719146e+36       8.674785332886e+27       6.124976761407e+02       1.194019519185e-06       1.433565615483e+01 
       9.261382558546e+11       8.813379809476e-22       5.005204002373e-07       1.850347906102e+18       1.536204295181e+04       1.658720267162e-08       1.422737566577e+16       2.889760188374e-07       2.024334923492e+36       1.979858188897e+27       8.838652629004e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.399452439639e+36       3.423787373615e+36       8.495135782657e+27       6.082399961519e+02       1.313421471097e-06       1.303241468617e+01 
       9.197003533809e+11       8.937198982406e-22       5.040255928179e-07       1.824712519929e+18       1.536204295181e+04       1.670331309032e-08       1.412847633145e+16       2.909988509683e-07       1.968631751038e+36       1.938856524936e+27       8.655609486321e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.360944019080e+36       3.329575780385e+36       8.319206665807e+27       6.040119127471e+02       1.432823423008e-06       1.194638012895e+01 
       9.133072029601e+11       9.062757690896e-22       5.075526132714e-07       1.799432295627e+18       1.536204295181e+04       1.682023628194e-08       1.403026448008e+16       2.930358429242e-07       1.914461350353e+36       1.898703980603e+27       8.476357056261e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.323495226139e+36       3.237956586546e+36       8.146920934412e+27       5.998132201906e+02       1.552225374918e-06       1.102742781130e+01 
       9.069584935055e+11       9.190080373679e-22       5.111050995765e-07       1.774502312656e+18       1.536204295180e+04       1.693797793591e-08       1.393273533275e+16       2.950870938237e-07       1.861781544499e+36       1.859382971143e+27       8.300816835461e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.287076903277e+36       3.148858457622e+36       7.978203136166e+27       5.956437141764e+02       1.671627326827e-06       1.023975439618e+01 
       9.006539160928e+11       9.319191812832e-22       5.146830517333e-07       1.749917718646e+18       1.536204295180e+04       1.705654378146e-08       1.383588414374e+16       2.971527034794e-07       1.810551317108e+36       1.820876275974e+27       8.128911946314e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.251660695281e+36       3.062212022032e+36       7.812979381336e+27       5.915031918190e+02       1.791029278735e-06       9.557104103070e+00 
