# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.454720694730e-10       7.321191543413e-15       6.512323502197e-13       0.000000000000e+00       7.754928774929e-09       2.578475952627e-10      -2.491429692860e-12 
    3       1.476354782190e-10       1.044490451812e-14       7.324260468707e-13       0.000000000000e+00       4.928436086834e-09       2.529991031709e-10      -1.923243629950e-12 
    4       1.430426069631e-10       1.055975358771e-14       7.027778229823e-13       0.000000000000e+00       3.459340998918e-09       2.179606123323e-10      -1.347318831676e-12 
    5       1.327132830960e-10       8.816689439055e-15       6.236895125369e-13       0.000000000000e+00       2.561241853255e-09       1.704798608732e-10      -8.783189516517e-13 
    6       1.231192256586e-10       6.683407765664e-15       5.363267428497e-13       0.000000000000e+00       1.962956599947e-09       1.260481010054e-10      -5.207616192169e-13 
    7       1.164940852234e-10       5.039089321992e-15       4.622640472537e-13       0.000000000000e+00       1.549096584549e-09       9.143782709278e-11      -2.701435580841e-13 
    8       1.119870602033e-10       4.060825226881e-15       4.079542795181e-13       0.000000000000e+00       1.255275026701e-09       6.684357983123e-11      -1.167840339821e-13 
    9       1.094318056903e-10       3.567302137550e-15       3.732792187483e-13       0.000000000000e+00       1.041164497522e-09       5.050245526548e-11      -4.402093746337e-14 
   10       1.083170686730e-10       3.353171721645e-15       3.553855929684e-13       0.000000000000e+00       8.806802325439e-10       3.993015286687e-11      -2.962457196833e-14 
   11       1.080393471094e-10       3.326336537934e-15       3.499109786355e-13       0.000000000000e+00       7.422543579026e-10       3.349586231832e-11      -5.100669975502e-14 
   12       1.082303029245e-10       3.479344587658e-15       3.519809958487e-13       0.000000000000e+00       6.470706666722e-10       2.866019351025e-11      -8.442232144179e-14 
