# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.454896786892e-10       6.721343332661e-15       6.183835104944e-13       0.000000000000e+00       7.803970976237e-09       2.585227847842e-10      -2.409679224154e-12 
    3       1.495046869895e-10       8.994728155645e-15       6.720827402695e-13       0.000000000000e+00       4.944500516575e-09       2.587559979393e-10      -1.807568386119e-12 
    4       1.465151631091e-10       8.302393631203e-15       6.157791108018e-13       0.000000000000e+00       3.484128769299e-09       2.282651887516e-10      -1.213155951603e-12 
    5       1.369133110039e-10       6.046534826983e-15       5.126125437688e-13       0.000000000000e+00       2.590859360350e-09       1.825337143074e-10      -7.360875703326e-13 
    6       1.272290082086e-10       3.764156910161e-15       4.052537742587e-13       0.000000000000e+00       1.991208686382e-09       1.371808301871e-10      -3.786623313068e-13 
    7       1.202842420575e-10       2.236404523411e-15       3.161052017427e-13       0.000000000000e+00       1.571904153426e-09       1.001416031163e-10      -1.341953552651e-13 
    8       1.153012066213e-10       1.475350690201e-15       2.515743120123e-13       0.000000000000e+00       1.271860980433e-09       7.266914060221e-11       8.569969670164e-15 
    9       1.124085849177e-10       1.157630337771e-15       2.110486333117e-13       0.000000000000e+00       1.052674081707e-09       5.394016417286e-11       6.819973960129e-14 
   10       1.114518162794e-10       9.997861744014e-16       1.908732694436e-13       0.000000000000e+00       8.885826047042e-10       4.203154584463e-11       6.872996260953e-14 
   11       1.116913807511e-10       8.898552044313e-16       1.858012807494e-13       0.000000000000e+00       7.480025700158e-10       3.497615926073e-11       3.543097471907e-14 
   12       1.121974672251e-10       8.325679009798e-16       1.902537889298e-13       0.000000000000e+00       6.515475583799e-10       2.947510412344e-11      -9.182323774863e-15 
   13       1.128932372483e-10       8.511783766025e-16       1.993440220435e-13       0.000000000000e+00       5.733776138185e-10       2.509261248924e-11      -4.972408991136e-14 
   14       1.140492217771e-10       9.399969212344e-16       2.095116506523e-13       0.000000000000e+00       5.088548363579e-10       2.220374063398e-11      -7.625600755547e-14 
   15       1.157142566358e-10       1.074002633332e-15       2.186261062354e-13       0.000000000000e+00       4.547980093422e-10       2.020407619688e-11      -8.704843289056e-14 
   16       1.173945081956e-10       1.235462539059e-15       2.257182236968e-13       0.000000000000e+00       4.089658474433e-10       1.844882000783e-11      -8.384016668509e-14 
   17       1.185081206513e-10       1.424493264426e-15       2.309862052885e-13       0.000000000000e+00       3.697048626417e-10       1.662271750387e-11      -7.132886159498e-14 
   18       1.201559909191e-10       1.651152954909e-15       2.351684925372e-13       0.000000000000e+00       3.356452003167e-10       1.524588779016e-11      -5.549094488984e-14 
   19       1.222313439892e-10       1.919585024770e-15       2.389609097381e-13       0.000000000000e+00       3.062510499580e-10       1.421174893129e-11      -4.064809038434e-14 
   20       1.240231142794e-10       2.229726724560e-15       2.430423155453e-13       0.000000000000e+00       2.803930706851e-10       1.310591476121e-11      -3.068816492354e-14 
   21       1.256366619770e-10       2.576934525363e-15       2.477484361245e-13       0.000000000000e+00       2.575503622212e-10       1.196442847085e-11      -2.629018164955e-14 
   22       1.274139008687e-10       2.954345926741e-15       2.531496328941e-13       0.000000000000e+00       2.370465021650e-10       1.096402491827e-11      -2.658576189680e-14 
   23       1.293679529180e-10       3.359948922077e-15       2.587863739333e-13       0.000000000000e+00       2.187008602450e-10       1.014574776713e-11      -2.997877343544e-14 
   24       1.313804406781e-10       3.792822908755e-15       2.639209971863e-13       0.000000000000e+00       2.022774877966e-10       9.484236280528e-12      -3.430943332731e-14 
   25       1.334115418986e-10       4.250807509620e-15       2.680472174042e-13       0.000000000000e+00       1.876587484627e-10       8.904658953088e-12      -3.796377351718e-14 
   26       1.354370479962e-10       4.731679796470e-15       2.706988958236e-13       0.000000000000e+00       1.746027567675e-10       8.320862076994e-12      -3.953195594321e-14 
   27       1.374859391277e-10       5.236321315515e-15       2.716116400805e-13       0.000000000000e+00       1.628739067921e-10       7.764413095612e-12      -3.879570986570e-14 
   28       1.395922382993e-10       5.766882416177e-15       2.706279357811e-13       0.000000000000e+00       1.521628059060e-10       7.295177695018e-12      -3.606266382783e-14 
   29       1.417657648536e-10       6.325361637195e-15       2.678745986639e-13       0.000000000000e+00       1.424066030426e-10       6.909439839964e-12      -3.205699114483e-14 
   30       1.439942558210e-10       6.914120792432e-15       2.636244312915e-13       0.000000000000e+00       1.335275583182e-10       6.574531954443e-12      -2.783855334160e-14 
   31       1.462530813178e-10       7.535539907076e-15       2.581824987408e-13       0.000000000000e+00       1.253731058855e-10       6.253639183821e-12      -2.451925229835e-14 
   32       1.485392575677e-10       8.189992266641e-15       2.516810563990e-13       0.000000000000e+00       1.179026253589e-10       5.943998227971e-12      -2.235608516092e-14 
   33       1.508472714074e-10       8.877109498434e-15       2.442095379105e-13       0.000000000000e+00       1.110554627876e-10       5.652369118463e-12      -2.131942189977e-14 
   34       1.531652522385e-10       9.596385901411e-15       2.358219083284e-13       0.000000000000e+00       1.047279443132e-10       5.383682613181e-12      -2.127494728417e-14 
   35       1.554973275262e-10       1.034751221016e-14       2.263797323123e-13       0.000000000000e+00       9.888772199813e-11       5.136273817054e-12      -2.182178182094e-14 
   36       1.578474276135e-10       1.113014584135e-14       2.156478680763e-13       0.000000000000e+00       9.349077054456e-11       4.904622673470e-12      -2.238241450935e-14 
   37       1.602160418702e-10       1.194391745073e-14       2.033876526428e-13       0.000000000000e+00       8.846977364952e-11       4.682594743932e-12      -2.238766732928e-14 
   38       1.626120776150e-10       1.278877256445e-14       1.895514585158e-13       0.000000000000e+00       8.381220332098e-11       4.471092525480e-12      -2.179994537544e-14 
   39       1.650438710306e-10       1.366474354843e-14       1.741495697236e-13       0.000000000000e+00       7.950298571940e-11       4.272729113465e-12      -2.076004607223e-14 
   40       1.675153535300e-10       1.457186244780e-14       1.571980891564e-13       0.000000000000e+00       7.550065304643e-11       4.089711074915e-12      -1.945070119228e-14 
   41       1.700263880174e-10       1.551012172649e-14       1.387286423893e-13       0.000000000000e+00       7.175177246935e-11       3.923398345629e-12      -1.807154914764e-14 
   42       1.725751504300e-10       1.647933304027e-14       1.188212786785e-13       0.000000000000e+00       6.824541232675e-11       3.772941397005e-12      -1.674742435621e-14 
   43       1.751556544836e-10       1.747922814306e-14       9.758228712499e-14       0.000000000000e+00       6.497253438213e-11       3.636109550981e-12      -1.559499425309e-14 
   44       1.777565167059e-10       1.850949795929e-14       7.513607992732e-14       0.000000000000e+00       6.190966524516e-11       3.509559738435e-12      -1.474895884311e-14 
   45       1.803655018118e-10       1.956982752537e-14       5.159179779189e-14       0.000000000000e+00       5.902724241634e-11       3.389678560732e-12      -1.432006877836e-14 
   46       1.829858580210e-10       2.066001223350e-14       2.692966209394e-14       0.000000000000e+00       5.632033844794e-11       3.275598590265e-12      -1.425207110857e-14 
   47       1.856240866717e-10       2.177987708887e-14       1.081771641076e-15       0.000000000000e+00       5.378516544429e-11       3.166946734262e-12      -1.442354192082e-14 
   48       1.882851978189e-10       2.292924758946e-14      -2.603805709683e-14       0.000000000000e+00       5.140978847263e-11       3.062973124416e-12      -1.468554344100e-14 
   49       1.909725406005e-10       2.410795215313e-14      -5.453558986179e-14       0.000000000000e+00       4.917352219705e-11       2.962523661196e-12      -1.486006275070e-14 
   50       1.936882487383e-10       2.531574015802e-14      -8.450715227509e-14       0.000000000000e+00       4.705304755286e-11       2.864372031765e-12      -1.478874526600e-14 
   51       1.964351131508e-10       2.655200420572e-14      -1.159402599853e-13       0.000000000000e+00       4.504411891471e-11       2.768385706693e-12      -1.449831206382e-14 
   52       1.992149244178e-10       2.781598666492e-14      -1.487882626093e-13       0.000000000000e+00       4.314470613866e-11       2.674628981021e-12      -1.407734444537e-14 
   53       2.020277647230e-10       2.910685596170e-14      -1.829981844554e-13       0.000000000000e+00       4.134850918437e-11       2.583020873432e-12      -1.363069994392e-14 
   54       2.048718671676e-10       3.042370503551e-14      -2.185105974702e-13       0.000000000000e+00       3.964467098621e-11       2.493324586962e-12      -1.328031785402e-14 
   55       2.077446738478e-10       3.176566918343e-14      -2.552729224339e-13       0.000000000000e+00       3.802124299858e-11       2.405356414207e-12      -1.313435027680e-14 
   56       2.106466401922e-10       3.313231741245e-14      -2.932834930517e-13       0.000000000000e+00       3.647724777627e-11       2.319697369929e-12      -1.318372980214e-14 
   57       2.135781292806e-10       3.452335560298e-14      -3.325582157848e-13       0.000000000000e+00       3.501311006930e-11       2.237139882879e-12      -1.338131796602e-14 
   58       2.165382039462e-10       3.593851867815e-14      -3.731184881684e-13       0.000000000000e+00       3.362702883938e-11       2.158481893907e-12      -1.367090929758e-14 
   59       2.195245327953e-10       3.737757371124e-14      -4.149915949364e-13       0.000000000000e+00       3.231483633921e-11       2.084524866461e-12      -1.398680277752e-14 
   60       2.225332962256e-10       3.884032303311e-14      -4.582111041469e-13       0.000000000000e+00       3.106985719169e-11       2.016071797083e-12      -1.425337329663e-14 
   61       2.255607251243e-10       4.032645581872e-14      -5.028032896949e-13       0.000000000000e+00       2.988479037489e-11       1.953707481273e-12      -1.440199065199e-14 
   62       2.286083331690e-10       4.183505688854e-14      -5.487419413893e-13       0.000000000000e+00       2.875816761677e-11       1.897086176729e-12      -1.442718379294e-14 
   63       2.316786975465e-10       4.336499266479e-14      -5.959840682816e-13       0.000000000000e+00       2.768910118747e-11       1.845479790404e-12      -1.434238016108e-14 
   64       2.347738885671e-10       4.491505129676e-14      -6.444829308979e-13       0.000000000000e+00       2.667531369835e-11       1.797972791875e-12      -1.416379005738e-14 
   65       2.378954274870e-10       4.648394096058e-14      -6.941879939914e-13       0.000000000000e+00       2.571306136650e-11       1.753453314970e-12      -1.391052852483e-14 
   66       2.410442443310e-10       4.807028815905e-14      -7.450448792963e-13       0.000000000000e+00       2.479705727929e-11       1.710604259389e-12      -1.360473723122e-14 
