# Matter power spectrum P(k) at redshift z=0
# for k=9.61529e-06 to 1.6926 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.615289314261e-06       3.385211332288e+01 
       2.210241504938e-05       7.523690927025e+01 
       3.462952207976e-05       1.158644066869e+02 
       4.722827817142e-05       1.561463618100e+02 
       5.993083287521e-05       1.963433912677e+02 
       7.277008699438e-05       2.366381423262e+02 
       8.577997003648e-05       2.771897098096e+02 
       9.899572913899e-05       3.181143178458e+02 
       1.124542329852e-04       3.595518280775e+02 
       1.261942942575e-04       7.481391739830e+02 
       1.402570141915e-04       4.450321670928e+02 
       1.546861527659e-04       4.884551087522e+02 
       1.695285279609e-04       5.333420226397e+02 
       1.848344472853e-04       5.794658998214e+02 
       2.006581743492e-04       6.270264736524e+02 
       2.170584325569e-04       6.760877452645e+02 
       2.340989468963e-04       1.358936697540e+03 
       2.518490231684e-04       7.796023135645e+02 
       2.703841616362e-04       8.347694204722e+02 
       2.897866987660e-04       8.922228113587e+02 
       3.101464662090e-04       9.517836206195e+02 
       3.315614501420e-04       1.014665395774e+03 
       3.541384262438e-04       1.080421645441e+03 
       3.779935356867e-04       1.149699487592e+03 
       4.032527554222e-04       1.222591917480e+03 
       4.300522018737e-04       1.299930600349e+03 
       4.585381914667e-04       1.381577746315e+03 
       4.888669654589e-04       1.471496664013e+03 
       5.212039724600e-04       1.563491182345e+03 
       5.557225931970e-04       1.661131760431e+03 
       5.926021931213e-04       1.764985415340e+03 
       6.320254050234e-04       1.875104281803e+03 
       6.741745818026e-04       1.992403976511e+03 
       7.192274235036e-04       2.116862494707e+03 
       7.673518735920e-04       2.248670355143e+03 
       8.187004918070e-04       2.388234734949e+03 
       8.734046310064e-04       2.535884713722e+03 
       9.315688509080e-04       2.691181394414e+03 
       9.932660650875e-04       2.854916604531e+03 
       1.058533913473e-03       3.025843952091e+03 
       1.127372766567e-03       3.204882476887e+03 
       1.199745604644e-03       3.390879381784e+03 
       1.275579801549e-03       3.583577132613e+03 
       1.354770620716e-03       3.782348664758e+03 
       1.437186045845e-03       3.986395009240e+03 
       1.522672454978e-03       4.196876121508e+03 
       1.611060618405e-03       4.410070054269e+03 
       1.702171549975e-03       4.628331024503e+03 
       1.795821844171e-03       4.846518495729e+03 
       1.891828258114e-03       5.068508076194e+03 
       1.990011421758e-03       5.291409479669e+03 
       2.090198662910e-03       5.564843887142e+03 
       2.192226008063e-03       5.776769052312e+03 
       2.295939464836e-03       6.005285859201e+03 
       2.401195711727e-03       6.226254813664e+03 
       2.507862322561e-03       6.449909812877e+03 
       2.615817642946e-03       6.730091300191e+03 
       2.724950419979e-03       7.379806707544e+03 
       2.835159268137e-03       7.262882518676e+03 
       2.946352036528e-03       7.311672298276e+03 
       3.058445126759e-03       7.906817211462e+03 
       3.171362797270e-03       7.730036042026e+03 
       3.285036479181e-03       7.931566788699e+03 
       3.399404120263e-03       1.501752259091e+04 
       3.514409567338e-03       1.452534559108e+04 
       3.630001992702e-03       1.407865518485e+04 
       3.746135366920e-03       1.368465150752e+04 
       3.862767978008e-03       1.334524832010e+04 
       3.979861995550e-03       1.305884011461e+04 
       4.097383077341e-03       1.282185470871e+04 
       4.215300015626e-03       1.262975488760e+04 
       4.333584419770e-03       1.247769165955e+04 
       4.452210432105e-03       1.236089375783e+04 
       4.571154473832e-03       1.227487256995e+04 
       4.690395017961e-03       1.221551807816e+04 
       4.809912386510e-03       1.217917410337e+04 
       4.929688569375e-03       1.216260929978e+04 
       5.049707062539e-03       2.001629951984e+04 
       5.169952723508e-03       1.953745800467e+04 
       5.290411642055e-03       1.904002446826e+04 
       5.411071024589e-03       1.857520303882e+04 
       5.531919090623e-03       1.814680027170e+04 
       5.652944979992e-03       1.775554014627e+04 
       5.774138669634e-03       1.740101130773e+04 
       5.895490898864e-03       1.708160811301e+04 
       6.016993102204e-03       1.679678735290e+04 
       6.138637348946e-03       1.654262460766e+04 
       6.260416288707e-03       1.631751588441e+04 
       6.382323102321e-03       1.611969223577e+04 
       6.504351457505e-03       1.594623273247e+04 
       6.626495468783e-03       1.579449510211e+04 
       6.748749661210e-03       1.566317251704e+04 
       6.871108937515e-03       1.554914977236e+04 
       6.993568548288e-03       1.545282803589e+04 
       7.116124064907e-03       1.537014174726e+04 
       7.238771354934e-03       1.530066708642e+04 
       7.361506559706e-03       1.524292900061e+04 
       7.484326073929e-03       1.519541468808e+04 
       7.607226527060e-03       1.515711505109e+04 
       7.730204766303e-03       1.512709816396e+04 
       7.853257841075e-03       1.510425057765e+04 
       7.976382988781e-03       1.508770324948e+04 
       8.099577621794e-03       1.507691307340e+04 
       8.222839315512e-03       1.507149456374e+04 
       8.346165797397e-03       1.507031129889e+04 
       8.469554936914e-03       1.507279866842e+04 
       8.593004736273e-03       1.507870203649e+04 
       8.716513321910e-03       1.508764710707e+04 
       8.840078936643e-03       1.509869832036e+04 
       8.963699932446e-03       1.511224731590e+04 
       9.087374763770e-03       1.512730114174e+04 
       9.211101981391e-03       1.514415338053e+04 
       9.334880226713e-03       1.516207673499e+04 
       9.458708226509e-03       1.518104865989e+04 
       9.582584788055e-03       1.520085022163e+04 
       9.706508794615e-03       1.522111026323e+04 
       9.830479201269e-03       1.524180440414e+04 
       9.954495031042e-03       1.526294112134e+04 
       1.007855537131e-02       1.528420551119e+04 
       1.020265937046e-02       1.530515703119e+04 
