# Matter power spectrum P(k) at redshift z=0
# for k=9.61529e-06 to 1.69336 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.615289314261e-06       3.436977482892e+01 
       2.210533031164e-05       7.543018026258e+01 
       3.463537493762e-05       1.159497093793e+02 
       4.723711319148e-05       1.562159043413e+02 
       5.994271737216e-05       1.964295264152e+02 
       7.278511186194e-05       2.370542196503e+02 
       8.579825090683e-05       2.777196101092e+02 
       9.901740788876e-05       3.187361952956e+02 
       1.124794796116e-04       3.600867417263e+02 
       1.262233091545e-04       4.026425321564e+02 
       1.402900308603e-04       4.459646372313e+02 
       1.547234410011e-04       4.900140023700e+02 
       1.695703975588e-04       5.342979002060e+02 
       1.848812523227e-04       5.805411404398e+02 
       2.007103180879e-04       6.289581352703e+02 
       2.171163730272e-04       6.783503147054e+02 
       2.341632032114e-04       7.292899028100e+02 
       2.519201826151e-04       7.824173840331e+02 
       2.704628875721e-04       8.374738681173e+02 
       2.898737393302e-04       8.949721489848e+02 
       3.102426638172e-04       9.544475077049e+02 
       3.316677516810e-04       1.017733942017e+03 
       3.542558938061e-04       1.083819186906e+03 
       3.781233575813e-04       1.153293665330e+03 
       4.033962570635e-04       1.226428590237e+03 
       4.302108559804e-04       1.303867159797e+03 
       4.587136268009e-04       1.385832085066e+03 
       4.890609731073e-04       1.475708944975e+03 
       5.214185084254e-04       1.568200628941e+03 
       5.559597758587e-04       1.665725903441e+03 
       5.928642939933e-04       1.766455015948e+03 
       6.323148312475e-04       1.881426684362e+03 
       6.744938490489e-04       1.997671585432e+03 
       7.195791184723e-04       2.123034782629e+03 
       7.677386061724e-04       2.256690947149e+03 
       8.191248381215e-04       2.400120688472e+03 
       8.738690699345e-04       2.548663418910e+03 
       9.320756980386e-04       2.701311235065e+03 
       9.938174090779e-04       2.867687324920e+03 
       1.059131560211e-03       3.034286958250e+03 
       1.128018196128e-03       3.216209040517e+03 
       1.200439944768e-03       3.408348417295e+03 
       1.276323819480e-03       3.602477023785e+03 
       1.355564733059e-03       3.801866446680e+03 
       1.438030344126e-03       4.006886434525e+03 
       1.523566743161e-03       4.220305545105e+03 
       1.612004457926e-03       4.433003205809e+03 
       1.703164307895e-03       4.966723672933e+03 
       1.796862740688e-03       5.407233138118e+03 
       1.892916410585e-03       5.093403562187e+03 
       1.991145883412e-03       5.323635645415e+03 
       2.091378455370e-03       5.549524069065e+03 
       2.193450147516e-03       5.776111784630e+03 
       2.297206982216e-03       1.097496110269e+04 
       2.402505667581e-03       6.840540908491e+03 
       2.509213817396e-03       6.451017522297e+03 
       2.617209823908e-03       6.769033967538e+03 
       2.726382484625e-03       7.370545962308e+03 
       2.836630465995e-03       8.112809427563e+03 
       2.947861669030e-03       7.303735711219e+03 
       3.059992546012e-03       7.990715373335e+03 
       3.172947404037e-03       8.231357488852e+03 
       3.286657720359e-03       1.020366996721e+04 
       3.401061486085e-03       1.501147640646e+04 
       3.516102588438e-03       1.452024835376e+04 
       3.631730237174e-03       1.407446188017e+04 
       3.747898437437e-03       1.368146111422e+04 
       3.864565509061e-03       1.334309072864e+04 
       3.981693650829e-03       1.305771615569e+04 
       4.099248547292e-03       1.282173527509e+04 
       4.217199015176e-03       1.263060614262e+04 
       4.335516686226e-03       1.247947564736e+04 
       4.454175723225e-03       1.236356962203e+04 
       4.573152566059e-03       1.227840076686e+04 
       4.692425704813e-03       1.221987485475e+04 
       4.811975477108e-03       1.218432970380e+04 
       4.931783887105e-03       1.216854781054e+04 
       5.051834443840e-03       2.002939238159e+04 
       5.172112016766e-03       1.953934206135e+04 
       5.292602706602e-03       1.904284471861e+04 
       5.413293729793e-03       1.857923381103e+04 
       5.534173315062e-03       1.815183224588e+04 
       5.655230610706e-03       1.776190528530e+04 
       5.776455601442e-03       1.740851229248e+04 
       5.897839033743e-03       1.709016942175e+04 
       6.019372348732e-03       1.680626309326e+04 
       6.141047621784e-03       1.655325215741e+04 
       6.262857508136e-03       1.633003981210e+04 
       6.384795193815e-03       1.613300356514e+04 
       6.506854351345e-03       1.596039413311e+04 
       6.629029099701e-03       1.580974673560e+04 
       6.751313968068e-03       1.567943019012e+04 
       6.873703863009e-03       1.556758621680e+04 
       6.996194038676e-03       1.547126152685e+04 
       7.118780069764e-03       1.538987691245e+04 
       7.241457826922e-03       1.532157277124e+04 
       7.364223454367e-03       1.526458720711e+04 
       7.487073349494e-03       1.521801979152e+04 
       7.610004144272e-03       1.518092662496e+04 
       7.733012688258e-03       1.515170372886e+04 
       7.856096033068e-03       1.512996996606e+04 
       7.979251418174e-03       1.511483854037e+04 
       8.102476257885e-03       1.510522673790e+04 
       8.225768129421e-03       1.510039367658e+04 
       8.349124761958e-03       1.510017151261e+04 
       8.472544026573e-03       1.510375622450e+04 
       8.596023926997e-03       1.511075134064e+04 
       8.719562591103e-03       1.512046506172e+04 
       8.843158263065e-03       1.513281683827e+04 
       8.966809296140e-03       1.514709864804e+04 
       9.090514145994e-03       1.516366049674e+04 
       9.214271364554e-03       1.518141967290e+04 
       9.338079594319e-03       1.520029024998e+04 
       9.461937563101e-03       1.522025691068e+04 
       9.585844079161e-03       1.524109497543e+04 
       9.709798026708e-03       1.526254634776e+04 
       9.833798361717e-03       1.528425581201e+04 
       9.957844108070e-03       1.530648822083e+04 
       1.008193435396e-02       1.532845616935e+04 
       1.020606824856e-02       1.535080868524e+04 
       1.033024499894e-02       1.537276245184e+04 
       1.045446386719e-02       1.539437443311e+04 
       1.057872416773e-02       1.541595262634e+04 
       1.070302526487e-02       1.543684086179e+04 
       1.082736657045e-02       1.545750091884e+04 
       1.095174754175e-02       1.547749281033e+04 
       1.107616767944e-02       1.549674625142e+04 
       1.120062652575e-02       1.551555459354e+04 
       1.132512366273e-02       1.553353776728e+04 
       1.144965871063e-02       1.555044624305e+04 
       1.157423132644e-02       1.556685209800e+04 
       1.169884120243e-02       2.815369971840e+04 
       1.182348806491e-02       2.811295499004e+04 
       1.194817167300e-02       2.807427796511e+04 
       1.207289181747e-02       1.562372948339e+04 
       1.219764831977e-02       1.563512104821e+04 
       1.232244103098e-02       1.564591306681e+04 
       1.244726983099e-02       1.565590600272e+04 
       1.257213462757e-02       1.566467683573e+04 
       1.269703535568e-02       1.567311709322e+04 
       1.282197197669e-02       1.567964171718e+04 
       1.294694447776e-02       1.568546869854e+04 
       1.307195287121e-02       1.569017432788e+04 
       1.319699719393e-02       1.569388484170e+04 
       1.332207750691e-02       1.569664736093e+04 
       1.344719389471e-02       1.569851306537e+04 
       1.357234646508e-02       1.569913850996e+04 
       1.369753534851e-02       1.569889227367e+04 
       1.382276069791e-02       1.569787474382e+04 
       1.394802268826e-02       1.569515464361e+04 
       1.407332151632e-02       1.569171516080e+04 
       1.419865740038e-02       1.568711658635e+04 
       1.432403058001e-02       1.568166860253e+04 
       1.444944131588e-02       1.567538742414e+04 
       1.457488988957e-02       1.566799543705e+04 
       1.470037660343e-02       1.565946692908e+04 
       1.482590178045e-02       1.564999345177e+04 
       1.495146576416e-02       1.563969642243e+04 
       1.507706891856e-02       1.562825544233e+04 
       1.520271162806e-02       1.561602527536e+04 
       1.532839429749e-02       1.560280112510e+04 
       1.545411735201e-02       1.558858607341e+04 
       1.557988123720e-02       1.557373100067e+04 
       1.570568641905e-02       1.555741484007e+04 
       1.583153338404e-02       1.554055807068e+04 
       1.595742263916e-02       1.552264541432e+04 
       1.608335471205e-02       1.550402321944e+04 
       1.620933015111e-02       1.548439751379e+04 
       1.633534952556e-02       1.546396012623e+04 
       1.646141342567e-02       1.544260022659e+04 
       1.658752246285e-02       1.542050008804e+04 
       1.671367726987e-02       1.539752047487e+04 
       1.683987850104e-02       1.537364600924e+04 
       1.696612683241e-02       1.534904956348e+04 
       1.709242296203e-02       1.532367393103e+04 
