# Matter power spectrum P(k) at redshift z=0
# for k=9.61529e-06 to 1.69336 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.615289314261e-06       7.316070525464e+01 
       2.210533031164e-05       1.635022426269e+02 
       3.463537493762e-05       2.519415474295e+02 
       4.723711319148e-05       3.395903760888e+02 
       5.994271737216e-05       4.270199485987e+02 
       7.278511186194e-05       5.144806976558e+02 
       8.579825090683e-05       6.026544979018e+02 
       9.901740788876e-05       6.916405980902e+02 
       1.124794796116e-04       7.818703810039e+02 
       1.262233091545e-04       8.732784685971e+02 
       1.402900308603e-04       9.664005514278e+02 
       1.547234410011e-04       1.061714684041e+03 
       1.695703975588e-04       1.159601888041e+03 
       1.848812523227e-04       1.259946360512e+03 
       2.007103180879e-04       1.362934412409e+03 
       2.171163730272e-04       1.469509917958e+03 
       2.341632032114e-04       1.579892887849e+03 
       2.519201826151e-04       1.694354553855e+03 
       2.704628875721e-04       1.813631549607e+03 
       2.898737393302e-04       1.937931979253e+03 
       3.102426638172e-04       2.067811373813e+03 
       3.316677516810e-04       2.204139471709e+03 
       3.542558938061e-04       2.347081635268e+03 
       3.781233575813e-04       2.497758277455e+03 
       4.033962570635e-04       2.656397727645e+03 
       4.302108559804e-04       2.824089607434e+03 
       4.587136268009e-04       3.001519247206e+03 
       4.890609731073e-04       3.187990194226e+03 
       5.214185084254e-04       3.387105931717e+03 
       5.559597758587e-04       3.598967521537e+03 
       5.928642939933e-04       3.825410424428e+03 
       6.323148312475e-04       4.062147262128e+03 
       6.744938490489e-04       4.316570115738e+03 
       7.195791184723e-04       4.585721323262e+03 
       7.677386061724e-04       4.870763680047e+03 
       8.191248381215e-04       5.171620850325e+03 
       8.738690699345e-04       5.491118111468e+03 
       9.320756980386e-04       5.829842783275e+03 
       9.938174090779e-04       6.182840948644e+03 
       1.059131560211e-03       6.556502206344e+03 
       1.128018196128e-03       6.942558079106e+03 
       1.200439944768e-03       7.342541697633e+03 
       1.276323819480e-03       7.759330286620e+03 
       1.355564733059e-03       8.189828104079e+03 
       1.438030344126e-03       8.632088126419e+03 
       1.523566743161e-03       9.083120567425e+03 
       1.612004457926e-03       9.545557448854e+03 
       1.703164307895e-03       9.860057534996e+03 
       1.796862740688e-03       1.023073051639e+04 
       1.892916410585e-03       1.096995482332e+04 
       1.991145883412e-03       1.144995129610e+04 
       2.091378455370e-03       1.193457279364e+04 
       2.193450147516e-03       1.241993041636e+04 
       2.297206982216e-03       1.088064744972e+04 
       2.402505667581e-03       1.309227148958e+04 
       2.509213817396e-03       1.387212645869e+04 
       2.617209823908e-03       1.430435765930e+04 
       2.726382484625e-03       1.459522776277e+04 
       2.836630465995e-03       1.482142332273e+04 
       2.947861669030e-03       1.578118412072e+04 
       3.059992546012e-03       1.601176291269e+04 
       3.172947404037e-03       1.645505265767e+04 
       3.286657720359e-03       1.610673484383e+04 
       3.401061486085e-03       1.480367988375e+04 
       3.516102588438e-03       1.547169426185e+04 
       3.631730237174e-03       1.612718601556e+04 
       3.747898437437e-03       1.676529624774e+04 
       3.864565509061e-03       1.738309313276e+04 
       3.981693650829e-03       1.797905782408e+04 
       4.099248547292e-03       1.855268017840e+04 
       4.217199015176e-03       1.910416020843e+04 
       4.335516686226e-03       1.963413186842e+04 
       4.454175723225e-03       2.014349640463e+04 
       4.573152566059e-03       2.063328590610e+04 
       4.692425704813e-03       2.110458312572e+04 
       4.811975477108e-03       2.155847836823e+04 
       4.931783887105e-03       2.199606230665e+04 
       5.051834443840e-03       1.934829154206e+04 
       5.172112016766e-03       1.990088491391e+04 
       5.292602706602e-03       2.045544475277e+04 
       5.413293729793e-03       2.099652196788e+04 
       5.534173315062e-03       2.152288183162e+04 
       5.655230610706e-03       2.203370843142e+04 
       5.776455601442e-03       2.252729130950e+04 
       5.897839033743e-03       2.300286333769e+04 
       6.019372348732e-03       2.346246268034e+04 
       6.141047621784e-03       2.390393009255e+04 
       6.262857508136e-03       2.432979865057e+04 
       6.384795193815e-03       2.473832603940e+04 
       6.506854351345e-03       2.513110364388e+04 
       6.629029099701e-03       2.550830926965e+04 
       6.751313968068e-03       2.587146659022e+04 
       6.873703863009e-03       2.622143815882e+04 
       6.996194038676e-03       2.655667102332e+04 
       7.118780069764e-03       2.687985518776e+04 
       7.241457826922e-03       2.719092831683e+04 
       7.364223454367e-03       2.748970259527e+04 
       7.487073349494e-03       2.777739575878e+04 
       7.610004144272e-03       2.805489006697e+04 
       7.733012688258e-03       2.832149990618e+04 
       7.856096033068e-03       2.857875124349e+04 
       7.979251418174e-03       2.882695059393e+04 
       8.102476257885e-03       2.906581568909e+04 
       8.225768129421e-03       2.929556875204e+04 
       8.349124761958e-03       2.951744499434e+04 
       8.472544026573e-03       2.973124090555e+04 
       8.596023926997e-03       2.993744999431e+04 
       8.719562591103e-03       3.013583471794e+04 
       8.843158263065e-03       3.032732000527e+04 
       8.966809296140e-03       3.051141716791e+04 
       9.090514145994e-03       3.068977229748e+04 
       9.214271364554e-03       3.086094287527e+04 
       9.338079594319e-03       3.102550433033e+04 
       9.461937563101e-03       3.118410584808e+04 
       9.585844079161e-03       3.133691232212e+04 
       9.709798026708e-03       3.148395280362e+04 
       9.833798361717e-03       3.162500399409e+04 
       9.957844108070e-03       3.176110916481e+04 
       1.008193435396e-02       3.189104561172e+04 
       1.020606824856e-02       3.201659358784e+04 
       1.033024499894e-02       3.213646492802e+04 
       1.045446386719e-02       3.225112600780e+04 
       1.057872416773e-02       3.236154015003e+04 
       1.070302526487e-02       3.246660097810e+04 
       1.082736657045e-02       3.256756636526e+04 
       1.095174754175e-02       3.266374120041e+04 
       1.107616767944e-02       3.275520367989e+04 
       1.120062652575e-02       3.284278617068e+04 
       1.132512366273e-02       3.292586798980e+04 
       1.144965871063e-02       3.300410648560e+04 
       1.157423132644e-02       3.307888072842e+04 
       1.169884120243e-02       2.802676578673e+04 
       1.182348806491e-02       2.810857719222e+04 
       1.194817167300e-02       2.818552814898e+04 
       1.207289181747e-02       3.333830905562e+04 
       1.219764831977e-02       3.339250572654e+04 
       1.232244103098e-02       3.344380184739e+04 
       1.244726983099e-02       3.349187404932e+04 
       1.257213462757e-02       3.353589606218e+04 
       1.269703535568e-02       3.357787693389e+04 
       1.282197197669e-02       3.361447556725e+04 
       1.294694447776e-02       3.364839787215e+04 
       1.307195287121e-02       3.367880014790e+04 
       1.319699719393e-02       3.370600655957e+04 
       1.332207750691e-02       3.373018784385e+04 
       1.344719389471e-02       3.375150392590e+04 
       1.357234646508e-02       3.376927719722e+04 
       1.369753534851e-02       3.378434109861e+04 
       1.382276069791e-02       3.379696637479e+04 
       1.394802268826e-02       3.380517467406e+04 
       1.407332151632e-02       3.381113987827e+04 
       1.419865740038e-02       3.381394204073e+04 
       1.432403058001e-02       3.381429319104e+04 
       1.444944131588e-02       3.381225277966e+04 
       1.457488988957e-02       3.380725483189e+04 
