# Matter power spectrum P(k) at redshift z=0
# for k=9.61529e-06 to 1.69335 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.615289314261e-06       7.318890362511e+01 
       2.210531212220e-05       1.635774697488e+02 
       3.463533841937e-05       2.519593095248e+02 
       4.723705806630e-05       3.396068470030e+02 
       5.994264321995e-05       4.269987675711e+02 
       7.278501811546e-05       5.146007474473e+02 
       8.579813684444e-05       6.028112246955e+02 
       9.901727262502e-05       6.918403027827e+02 
       1.124793220856e-04       7.819677645787e+02 
       1.262231281156e-04       8.736749352279e+02 
       1.402898248511e-04       9.669172358378e+02 
       1.547232083380e-04       1.062266410446e+03 
       1.695701363081e-04       1.159872013495e+03 
       1.848809602747e-04       1.260219960368e+03 
       2.007099927258e-04       1.363040500205e+03 
       2.171160114921e-04       1.470279782922e+03 
       2.341628022635e-04       1.579986422818e+03 
       2.519197385888e-04       1.694784548591e+03 
       2.704623963270e-04       1.813653811769e+03 
       2.898731961968e-04       1.936714963723e+03 
       3.102420635374e-04       2.068090455112e+03 
       3.316670883447e-04       2.202972010289e+03 
       3.542551607839e-04       2.346180954477e+03 
       3.781225474562e-04       2.497759898318e+03 
       4.033953615624e-04       2.654563764789e+03 
       4.302098659110e-04       2.822750394573e+03 
       4.587125319967e-04       3.001422701210e+03 
       4.890597623890e-04       3.187199552611e+03 
       5.214171695842e-04       3.386562425283e+03 
       5.559582956727e-04       3.598038644901e+03 
       5.928626582850e-04       3.823087994399e+03 
       6.323130249938e-04       4.061778365882e+03 
       6.744918565497e-04       4.315546109811e+03 
       7.195769235854e-04       4.584956933406e+03 
       7.677361926121e-04       4.869411095221e+03 
       8.191221898140e-04       5.171577939810e+03 
       8.738661714148e-04       5.491059049632e+03 
       9.320725348620e-04       5.828307841488e+03 
       9.938139682176e-04       6.182272577094e+03 
       1.059127830406e-03       6.555011728919e+03 
       1.128014168153e-03       6.940531472919e+03 
       1.200435611595e-03       7.342518613775e+03 
       1.276319176331e-03       7.759991881624e+03 
       1.355559777345e-03       8.189775857164e+03 
       1.438025075285e-03       8.631918542522e+03 
       1.523561162424e-03       9.084811904283e+03 
       1.611998568037e-03       9.546262836539e+03 
       1.703158112810e-03       1.001466143178e+04 
       1.796856245275e-03       1.049038978135e+04 
       1.892909620356e-03       1.096995662162e+04 
       1.991138804276e-03       1.145234124063e+04 
       2.091371093433e-03       1.193711475902e+04 
       2.193442508917e-03       1.242247592168e+04 
       2.297199073001e-03       1.087438922545e+04 
       2.402497493610e-03       1.285677020835e+04 
       2.509205384281e-03       1.387214500624e+04 
       2.617201136970e-03       1.418856575599e+04 
       2.726373548867e-03       1.458417790120e+04 
       2.836621286100e-03       1.481088490284e+04 
       2.947852249355e-03       1.556691066617e+04 
       3.059982890597e-03       1.601453931716e+04 
       3.172937516619e-03       1.404613726983e+04 
       3.286647604388e-03       1.694592182650e+04 
       3.401051144740e-03       1.480388783401e+04 
       3.516092024646e-03       1.547194250057e+04 
       3.631719453629e-03       1.612746428025e+04 
       3.747887436617e-03       1.676562287360e+04 
       3.864554293244e-03       1.738346907759e+04 
       3.981682222114e-03       1.797947836223e+04 
       4.099236907609e-03       1.855315279131e+04 
       4.217187166303e-03       1.910467877475e+04 
       4.335504629800e-03       1.963470407115e+04 
       4.454163460757e-03       2.014411992205e+04 
       4.573140098944e-03       2.063396399657e+04 
       4.692413034338e-03       2.110532149113e+04 
       4.811962604463e-03       2.155927243366e+04 
       4.931770813392e-03       2.199691156096e+04 
       5.051821170079e-03       1.934908912948e+04 
       5.172098543902e-03       1.990181522576e+04 
       5.292589035512e-03       2.045635413555e+04 
       5.413279861292e-03       2.099723376787e+04 
       5.534159249908e-03       2.152395627044e+04 
       5.655216349602e-03       2.203479513882e+04 
       5.776441145044e-03       2.252843474252e+04 
       5.897824382664e-03       2.300409637746e+04 
       6.019357503540e-03       2.346376006718e+04 
       6.141032583013e-03       2.390531156725e+04 
       6.262842276282e-03       2.433120024191e+04 
       6.384779769342e-03       2.473982656656e+04 
       6.506838734689e-03       2.513232194071e+04 
       6.629013291269e-03       2.551075850209e+04 
       6.751297968241e-03       2.587377036779e+04 
       6.873687672145e-03       2.622310695573e+04 
       6.996177657109e-03       2.655945924865e+04 
       7.118763497809e-03       2.688220505380e+04 
       7.241441064874e-03       2.719280189839e+04 
       7.364206502504e-03       2.749210494546e+04 
       7.487056208076e-03       2.777972130685e+04 
       7.609986813543e-03       2.805700415706e+04 
       7.732995168449e-03       2.832395827773e+04 
       7.856078324395e-03       2.858100901465e+04 
       7.979233520841e-03       2.882876638935e+04 
       8.102458172083e-03       2.906774724572e+04 
       8.225749855330e-03       2.929810486250e+04 
       8.349106299748e-03       2.951992762649e+04 
       8.472525376403e-03       2.973414477271e+04 
       8.596005089018e-03       2.994008472246e+04 
       8.719543565454e-03       3.013868708144e+04 
       8.843139049879e-03       3.033027910071e+04 
       8.966789895542e-03       3.051434764621e+04 
       9.090494558100e-03       3.069249629705e+04 
       9.214251589475e-03       3.086367963327e+04 
       9.338059632157e-03       3.102843746612e+04 
       9.461917413952e-03       3.118696511627e+04 
       9.585823743117e-03       3.133991404664e+04 
       9.709777503851e-03       3.148717753035e+04 
       9.833777652128e-03       3.162820826301e+04 
       9.957823211821e-03       3.176436794510e+04 
       1.008191327112e-02       3.189409936524e+04 
       1.020604697919e-02       3.201995052999e+04 
       1.033022354311e-02       3.213945839405e+04 
       1.045444222494e-02       3.225509478449e+04 
       1.057870233912e-02       3.236484480300e+04 
       1.070300324993e-02       3.247000096437e+04 
       1.082734436924e-02       3.257098271140e+04 
       1.095172515430e-02       3.266700183207e+04 
       1.107614510578e-02       3.275859494998e+04 
       1.120060376592e-02       3.284576973046e+04 
       1.132510071675e-02       3.292926452364e+04 
       1.144963557853e-02       3.300776231706e+04 
