# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.549815593732e-10       6.571947193762e-15       6.156543273142e-13       0.000000000000e+00       7.967847865072e-09       3.173434727367e-10      -2.350995993501e-12 
    3       1.533281493653e-10       8.640059962313e-15       6.590174025393e-13       0.000000000000e+00       5.030962068637e-09       2.835981924198e-10      -1.746733924910e-12 
    4       1.451989870209e-10       7.748664427607e-15       5.894663413960e-13       0.000000000000e+00       3.505394370079e-09       2.294442913850e-10      -1.163369065197e-12 
    5       1.336042152860e-10       5.368616362631e-15       4.752881327486e-13       0.000000000000e+00       2.583778933591e-09       1.734447257463e-10      -6.945861825656e-13 
    6       1.242893597303e-10       3.055374928731e-15       3.589264793976e-13       0.000000000000e+00       1.976109834308e-09       1.264686367755e-10      -3.415265581435e-13 
    7       1.184111626053e-10       1.569962358447e-15       2.615558669441e-13       0.000000000000e+00       1.558213164458e-09       9.147046652755e-11      -9.987967694005e-14 
    8       1.144502743502e-10       8.883858963263e-16       1.896112269205e-13       0.000000000000e+00       1.262935848217e-09       6.668027133308e-11       4.044549127868e-14 
    9       1.122875804147e-10       6.532972008143e-16       1.425791162768e-13       0.000000000000e+00       1.048835732148e-09       5.036357985819e-11       9.773246148076e-14 
   10       1.119899101874e-10       5.579925820961e-16       1.168302681590e-13       0.000000000000e+00       8.889288464158e-10       4.065026536246e-11       9.621000727420e-14 
   11       1.135439449545e-10       4.773925482078e-16       1.070605953507e-13       0.000000000000e+00       7.502426549614e-10       3.564675594422e-11       6.159675073791e-14 
   12       1.147936833019e-10       4.097266748487e-16       1.075532017440e-13       0.000000000000e+00       6.547457113065e-10       3.117511435205e-11       1.578951988677e-14 
   13       1.147709877232e-10       3.760149932015e-16       1.135645530427e-13       0.000000000000e+00       5.770482749214e-10       2.657814621698e-11      -2.518525907208e-14 
   14       1.157391388548e-10       3.717876264000e-16       1.215136534561e-13       0.000000000000e+00       5.127496165968e-10       2.320439475464e-11      -5.195716808453e-14 
   15       1.180211723588e-10       3.762105143987e-16       1.290525264217e-13       0.000000000000e+00       4.587946888732e-10       2.114618347811e-11      -6.273063101991e-14 
   16       1.198538458930e-10       3.772464558040e-16       1.353340350216e-13       0.000000000000e+00       4.120558037881e-10       1.900465094839e-11      -5.978479733350e-14 
   17       1.211564853241e-10       3.806348858055e-16       1.405915326995e-13       0.000000000000e+00       3.692605348921e-10       1.624940956087e-11      -4.750752026692e-14 
   18       1.228987557763e-10       4.011753941338e-16       1.455652543274e-13       0.000000000000e+00       3.341497299736e-10       1.448645333199e-11      -3.224251956353e-14 
   19       1.250661404679e-10       4.456008857708e-16       1.509553055757e-13       0.000000000000e+00       3.058256498118e-10       1.358183916357e-11      -1.826202792692e-14 
   20       1.272151993725e-10       5.162131527902e-16       1.574454581914e-13       0.000000000000e+00       2.802849560843e-10       1.260258805329e-11      -9.173106633609e-15 
   21       1.293357288302e-10       6.100924718098e-16       1.653093715342e-13       0.000000000000e+00       2.571297766065e-10       1.152849744099e-11      -5.657981101732e-15 
   22       1.315285879612e-10       7.218039630818e-16       1.745404625294e-13       0.000000000000e+00       2.367551886069e-10       1.062657657400e-11      -6.928075339358e-15 
   23       1.338015146394e-10       8.498659956179e-16       1.846480576931e-13       0.000000000000e+00       2.188738496782e-10       9.924876157360e-12      -1.125425723119e-14 
   24       1.361132778389e-10       9.935266004158e-16       1.948818624317e-13       0.000000000000e+00       2.027691116125e-10       9.351785465692e-12      -1.629090463559e-14 
   25       1.384679399143e-10       1.151181379876e-15       2.046919916221e-13       0.000000000000e+00       1.882583686329e-10       8.819536347631e-12      -2.042125645966e-14 
   26       1.408676197357e-10       1.321137720063e-15       2.135663194162e-13       0.000000000000e+00       1.751787199604e-10       8.244294817936e-12      -2.231249385073e-14 
   27       1.433087305878e-10       1.504414479422e-15       2.212113343162e-13       0.000000000000e+00       1.633751410888e-10       7.678857747400e-12      -2.183635460062e-14 
   28       1.457781033611e-10       1.703149521304e-15       2.274520804629e-13       0.000000000000e+00       1.526172351478e-10       7.208761885689e-12      -1.939943779639e-14 
   29       1.482885701888e-10       1.919807577505e-15       2.323941086584e-13       0.000000000000e+00       1.428476449511e-10       6.828870146715e-12      -1.575854705496e-14 
   30       1.508506698312e-10       2.157319293994e-15       2.362973148172e-13       0.000000000000e+00       1.339676992140e-10       6.494878098031e-12      -1.199068928441e-14 
   31       1.534635606109e-10       2.418581793068e-15       2.394565000519e-13       0.000000000000e+00       1.258031027078e-10       6.160137749473e-12      -9.220885932004e-15 
   32       1.561266671047e-10       2.704454532159e-15       2.419560264507e-13       0.000000000000e+00       1.183127271681e-10       5.831763939281e-12      -7.680605809036e-15 
