# Matter power spectrum P(k) at redshift z=0
# for k=9.36716e-06 to 1.53578 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.367156709258e-06       3.410677133561e+01 
       2.173125224847e-05       7.636287634268e+01 
       3.413378276367e-05       1.179500378130e+02 
       4.660548407210e-05       1.587786329942e+02 
       5.917754742776e-05       2.000271858794e+02 
       7.188187584780e-05       2.412443115983e+02 
       8.475134785310e-05       2.821392063189e+02 
       9.782009188051e-05       3.243626983708e+02 
       1.111237746503e-04       3.660560980237e+02 
       1.246999068013e-04       4.096805626720e+02 
       1.385881691242e-04       4.545856714235e+02 
       1.528307627025e-04       4.968391249105e+02 
       1.674727861858e-04       5.436169892053e+02 
       1.825626432185e-04       5.903661420897e+02 
       1.981524826835e-04       6.399255138662e+02 
       2.142986738040e-04       6.905861242636e+02 
       2.310623171902e-04       7.420530560440e+02 
       2.485097914831e-04       7.958255272364e+02 
       2.667133331775e-04       8.515824460000e+02 
       2.857516442990e-04       9.096783616105e+02 
       3.057105186332e-04       9.702840377977e+02 
       3.266834718903e-04       1.033935440402e+03 
       3.487723542654e-04       1.100082344842e+03 
       3.720879150764e-04       1.170384000690e+03 
       3.967502783764e-04       1.243813147942e+03 
       4.228892756973e-04       1.321969519580e+03 
       4.506445677860e-04       1.403961119109e+03 
       4.801654723053e-04       1.490997525757e+03 
       5.116104007354e-04       1.583134933632e+03 
       5.451457978939e-04       1.681079404881e+03 
       5.809444755268e-04       1.785020049598e+03 
       6.191832422314e-04       1.895736475649e+03 
       6.600397609994e-04       2.012755982493e+03 
       7.036886175775e-04       2.136570795963e+03 
       7.502966597311e-04       2.268800340707e+03 
       8.000177664442e-04       2.407536211564e+03 
       8.529873170602e-04       2.554862827837e+03 
       9.093167354060e-04       2.710897495373e+03 
       9.690885590280e-04       2.873748232139e+03 
       1.032352504046e-03       3.044384997357e+03 
       1.099122944189e-03       3.223301649136e+03 
       1.169378095889e-03       3.409218669863e+03 
       1.243061016943e-03       3.603037065648e+03 
       1.320082318205e-03       3.803413780079e+03 
       1.400324297868e-03       4.006489931948e+03 
       1.483646072861e-03       4.217718795919e+03 
       1.569889222608e-03       4.430940202497e+03 
       1.658883477561e-03       4.651551476426e+03 
       1.750452062026e-03       4.872297085044e+03 
       1.844416411819e-03       1.239157874478e+04 
       1.940600106124e-03       5.321348359195e+03 
       2.038831959065e-03       5.547843060392e+03 
       2.138948298497e-03       5.776722284689e+03 
       2.240794513885e-03       6.011362761872e+03 
       2.344225984157e-03       6.242299561049e+03 
