# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518498676e-22       4.635512595996e-07       2.157256295793e+18       1.542811211233e+04       1.542811211233e-08       1.542811211233e+16       2.676317460821e-07       2.751560535470e+36       2.492336125560e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.902194177205e+36       4.653754725737e+36       1.055900297852e+28       7.471008150941e+02       8.658675822061e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722174064e-22       4.667963366956e-07       2.127368890274e+18       1.542811211232e+04       1.553610889711e-08       1.532086604997e+16       2.695051683040e-07       2.675846458098e+36       2.440721353921e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.849851924417e+36       4.525698395307e+36       1.034033242205e+28       7.419074628325e+02       1.207991560159e-07       1.433565615448e+02 
       9.861456399039e+11       7.773417904887e-22       4.700650606537e-07       2.097895555634e+18       1.542811211232e+04       1.564486165939e-08       1.521436549153e+16       2.713917044815e-07       2.602215788101e+36       2.390175492941e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.798949961721e+36       4.401165762349e+36       1.012619040037e+28       7.367502113319e+02       2.415983120220e-07       7.167828077463e+01 
       9.792906056642e+11       7.882626653030e-22       4.733537934953e-07       2.068830555185e+18       1.542811211232e+04       1.575437569100e-08       1.510860525474e+16       2.732914464122e-07       2.530611196823e+36       2.340676406129e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.749448656976e+36       4.280059866067e+36       9.916483130261e+27       7.316288096435e+02       3.623974680269e-07       4.778552051677e+01 
       9.724832231025e+11       7.993369674875e-22       4.766679921886e-07       2.040168231718e+18       1.542811211231e+04       1.586465632083e-08       1.500358019338e+16       2.752044865364e-07       2.460976933108e+36       2.292202415424e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.701309468590e+36       4.162286413712e+36       9.711118770702e+27       7.265430085631e+02       4.831966240307e-07       3.583914038762e+01 
       9.657231609756e+11       8.105668525433e-22       4.800040187547e-07       2.011903006402e+18       1.542811211231e+04       1.597570891508e-08       1.489928519700e+16       2.771309179414e-07       2.393258779892e+36       2.244732291708e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.654494915511e+36       4.047753707168e+36       9.510007382648e+27       7.214925606188e+02       6.039957800334e-07       2.867131231007e+01 
       9.590100903431e+11       8.219545062542e-22       4.833655111725e-07       1.984029377695e+18       1.542811211231e+04       1.608753887748e-08       1.479571519066e+16       2.790708343662e-07       2.327404011990e+36       2.198245245503e+27       9.813594845995e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.608968548045e+36       3.936372571556e+36       9.313060889634e+27       7.164772200587e+02       7.247949360351e-07       2.389276025835e+01 
       9.523436845512e+11       8.335021451119e-22       4.867488314630e-07       1.956541920277e+18       1.542811211230e+04       1.620015164962e-08       1.469286513472e+16       2.810243302060e-07       2.263361355044e+36       2.152720917869e+27       9.610361240488e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.564694919475e+36       3.828056285801e+36       9.120193039206e+27       7.114967428396e+02       8.455940920356e-07       2.047950879282e+01 
       9.457236192167e+11       8.452120167478e-22       4.901557986159e-07       1.929435283992e+18       1.542811211230e+04       1.631355271116e-08       1.459073002454e+16       2.829915005166e-07       2.201080945601e+36       2.108139371488e+27       9.411336479859e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.521639558464e+36       3.722720515114e+36       8.931319365148e+27       7.065508866144e+02       9.663932480351e-07       1.791957019366e+01 
       9.391495722112e+11       8.570864003702e-22       4.935864126310e-07       1.902704192807e+18       1.542811211230e+04       1.642774758014e-08       1.448930489030e+16       2.849724410194e-07       2.140514292290e+36       2.064481081931e+27       9.216433401480e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.479768942217e+36       3.620283245327e+36       8.746357150485e+27       7.016394107209e+02       1.087192404034e-06       1.592850683876e+01 
