# Matter power spectrum P(k) at redshift z=0
# for k=9.57411e-06 to 1.64271 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.574112915744e-06       7.473076241165e+01 
       2.203271752404e-05       1.671720402703e+02 
       3.453098242308e-05       2.575430346720e+02 
       4.710035787578e-05       3.471565304477e+02 
       5.977277005826e-05       4.367644399239e+02 
       7.258088743844e-05       5.261603787756e+02 
       8.555839500781e-05       6.162050625685e+02 
       9.874027980111e-05       7.072185707359e+02 
       1.121631311648e-04       7.998672217202e+02 
       1.258654592662e-04       8.935324343806e+02 
       1.398880353512e-04       9.887129014944e+02 
       1.542742572323e-04       1.086041207062e+03 
       1.690705433901e-04       1.185330453458e+03 
       1.843267588470e-04       1.288727186433e+03 
       2.000966755614e-04       1.393404436741e+03 
       2.164384694108e-04       1.503095413511e+03 
       2.334152547658e-04       1.614809325412e+03 
       2.510956560729e-04       1.731725959861e+03 
       2.695544135706e-04       1.853100408912e+03 
       2.888730170493e-04       1.980291243680e+03 
       3.091403571768e-04       2.113003199794e+03 
       3.304533780477e-04       2.251767201127e+03 
       3.529177069963e-04       2.397678134770e+03 
       3.766482280812e-04       2.551048221600e+03 
       4.017695538620e-04       2.712759024588e+03 
       4.284163362617e-04       2.883595975484e+03 
       4.567333419493e-04       3.064376874893e+03 
       4.868752019581e-04       3.255379624147e+03 
       5.190057312392e-04       3.458440390030e+03 
       5.532967047571e-04       3.674246249023e+03 
       5.899259770133e-04       3.902849096348e+03 
       6.290748470283e-04       4.145745771660e+03 
       6.709246066165e-04       4.404397440193e+03 
       7.156522708389e-04       4.678261040144e+03 
       7.634255770745e-04       4.969229032827e+03 
       8.143974484078e-04       5.276714649376e+03 
       8.687002351379e-04       5.601901268153e+03 
       9.264401538832e-04       5.944227319710e+03 
       9.876924103178e-04       6.305219339479e+03 
       1.052497493554e-03       6.682657401524e+03 
       1.120859052384e-03       7.076603544960e+03 
       1.192743609051e-03       7.486742058399e+03 
       1.268082159131e-03       7.911254653657e+03 
       1.346773486766e-03       8.348610989608e+03 
       1.428688837617e-03       8.799351484534e+03 
       1.513677472745e-03       9.260091079312e+03 
       1.601572590844e-03       9.729913926732e+03 
       1.692197148043e-03       1.020751534879e+04 
       1.785369201553e-03       1.069291396058e+04 
       1.880906526929e-03       1.118111546835e+04 
       1.978630381932e-03       1.167280109356e+04 
       2.078368394263e-03       1.216753642591e+04 
       2.179956626676e-03       1.266278527796e+04 
       2.283240920056e-03       1.261312622320e+04 
       2.388077637059e-03       1.335161491813e+04 
       2.494333932225e-03       1.382175721433e+04 
       2.601887665670e-03       1.463041137033e+04 
       2.710627062106e-03       1.481213290334e+04 
       2.820450199063e-03       1.512428251013e+04 
       2.931264390595e-03       1.589724559692e+04 
       3.042985516808e-03       1.628375376603e+04 
       3.155537336083e-03       1.632529897069e+04 
       3.268850805896e-03       1.723583986879e+04 
       3.382863429585e-03       1.463251512653e+04 
       3.497518639941e-03       1.532983665213e+04 
       3.612765225688e-03       1.603115818740e+04 
       3.728556803546e-03       1.671474969823e+04 
       3.844851336166e-03       1.737667051688e+04 
       3.961610694676e-03       1.801475343635e+04 
       4.078800263588e-03       1.862812588969e+04 
       4.196388585225e-03       1.921678235045e+04 
       4.314347040568e-03       1.978133289413e+04 
       4.432649563356e-03       2.032273714872e+04 
       4.551272384293e-03       2.084211655620e+04 
       4.670193802412e-03       2.134070542892e+04 
       4.789393980792e-03       2.181974589524e+04 
       4.908854764068e-03       2.228048689267e+04 
       5.028559515389e-03       2.272412066754e+04 
       5.148492970702e-03       1.968622212201e+04 
       5.268641108461e-03       2.028182772266e+04 
       5.388991033041e-03       2.086466370633e+04 
       5.509530870350e-03       2.143185133315e+04 
       5.630249674269e-03       2.198104365185e+04 
       5.751137342728e-03       2.251498189484e+04 
       5.872184542345e-03       2.302881791573e+04 
       5.993382640681e-03       2.352298416688e+04 
       6.114723645289e-03       2.399898465405e+04 
       6.236200148792e-03       2.445584382554e+04 
       6.357805279361e-03       2.489456940482e+04 
       6.479532655993e-03       2.531607864699e+04 
       6.601376348094e-03       2.572106501793e+04 
       6.723330838888e-03       2.610844756005e+04 
       6.845390992277e-03       2.648079040936e+04 
       6.967552022776e-03       2.683832519436e+04 
       7.089809468204e-03       2.718213414929e+04 
       7.212159164871e-03       2.751200838300e+04 
       7.334597224980e-03       2.782886662812e+04 
       7.457120016047e-03       2.813345266227e+04 
       7.579724142121e-03       2.842612702210e+04 
       7.702406426647e-03       2.870765218450e+04 
       7.825163896790e-03       2.897820008662e+04 
       7.947993769097e-03       2.923894896308e+04 
       8.070893436367e-03       2.948968778445e+04 
       8.193860455611e-03       2.973061266400e+04 
       8.316892536999e-03       2.996329667006e+04 
       8.439987533713e-03       3.018643306947e+04 
       8.563143432615e-03       3.040114840778e+04 
       8.686358345662e-03       3.060853382877e+04 
       8.809630501995e-03       3.080756096263e+04 
       8.932958240652e-03       3.099957826960e+04 
       9.056340003838e-03       3.118384670786e+04 
       9.179774330721e-03       3.136182911180e+04 
       9.303259851696e-03       3.153234205311e+04 
       9.426795283075e-03       3.169630411942e+04 
       9.550379422183e-03       3.185477432828e+04 
       9.674011142814e-03       3.200591481007e+04 
       9.797689391023e-03       3.215215344969e+04 
       9.921413181216e-03       3.229136480448e+04 
       1.004518159254e-02       3.242709192787e+04 
       1.016899376551e-02       3.255477514458e+04 
       1.029284889891e-02       3.267784180901e+04 
       1.041674624687e-02       3.279573364039e+04 
       1.054068511619e-02       3.290832252549e+04 
       1.066466486384e-02       3.301685104445e+04 
       1.078868489460e-02       3.311963697434e+04 
       1.091274465896e-02       3.321893134840e+04 
       1.103684365101e-02       3.331103391677e+04 
       1.116098140665e-02       3.340168037451e+04 
       1.128515750180e-02       3.348465050141e+04 
       1.140937155078e-02       3.356456012452e+04 
       1.153362320480e-02       3.364046957994e+04 
       1.165791215057e-02       3.371221363912e+04 
       1.178223810894e-02       3.377990242182e+04 
       1.190660083374e-02       2.789435570890e+04 
       1.203100011061e-02       3.390247537536e+04 
       1.215543575594e-02       3.395799162480e+04 
       1.227990761592e-02       3.400941954776e+04 
       1.240441556560e-02       3.405763548981e+04 
       1.252895950805e-02       3.410153960911e+04 
       1.265353937361e-02       3.414232931993e+04 
       1.277815511910e-02       3.417923160208e+04 
       1.290280672722e-02       3.421267526908e+04 
       1.302749420588e-02       3.424320286484e+04 
       1.315221758765e-02       3.427055213063e+04 
       1.327697692923e-02       3.429386074345e+04 
       1.340177231096e-02       3.431418493149e+04 
       1.352660383639e-02       3.433102828179e+04 
       1.365147163188e-02       3.434500461494e+04 
       1.377637584622e-02       3.435640428345e+04 
       1.390131665030e-02       3.436389609028e+04 
       1.402629423684e-02       3.436971134867e+04 
       1.415130882009e-02       3.437092270591e+04 
       1.427636063559e-02       3.436975306072e+04 
       1.440144994002e-02       3.436648935922e+04 
       1.452657701094e-02       3.435931507889e+04 
       1.465174214671e-02       3.435051086140e+04 
       1.477694566632e-02       3.433845512738e+04 
       1.490218790930e-02       3.432408692116e+04 
       1.502746923565e-02       3.430691597237e+04 
       1.515279002576e-02       3.428714315024e+04 
       1.527815068041e-02       3.426496622247e+04 
       1.540355162074e-02       3.424004380756e+04 
       1.552899328823e-02       3.421295886000e+04 
       1.565447614480e-02       3.418322815594e+04 
       1.578000067278e-02       3.415175656211e+04 
       1.590556737504e-02       3.411731593549e+04 
       1.603117677502e-02       3.408122268799e+04 
       1.615682941689e-02       3.404247120862e+04 
       1.628252586562e-02       3.400227920450e+04 
       1.640826670718e-02       3.395883474735e+04 
       1.653405254862e-02       3.391359048665e+04 
       1.665988401833e-02       3.386665479513e+04 
       1.678576176616e-02       3.381744966084e+04 
       1.691168646366e-02       3.376700903949e+04 
       1.703765880432e-02       3.371322867423e+04 
       1.716367950378e-02       3.365808508603e+04 
       1.728974930011e-02       3.360140164203e+04 
       1.741586895408e-02       3.354257674210e+04 
       1.754203924942e-02       3.348179012300e+04 
       1.766826099319e-02       3.341945619225e+04 
       1.779453501607e-02       3.335532371344e+04 
       1.792086217266e-02       3.328943033973e+04 
       1.804724334192e-02       3.322216110231e+04 
       1.817367942747e-02       3.315266334127e+04 
       1.830017135804e-02       3.308197858438e+04 
       1.842672008782e-02       3.300962680646e+04 
       1.855332659693e-02       3.293575236977e+04 
       1.867999189183e-02       3.286010712151e+04 
       1.880671700581e-02       3.278313689001e+04 
       1.893350299945e-02       3.270433718195e+04 
       1.906035096111e-02       3.262496078664e+04 
       1.918726200745e-02       3.254376071258e+04 
       1.931423728397e-02       3.246084962108e+04 
       1.944127796556e-02       3.237711770606e+04 
       1.956838525707e-02       3.229161599029e+04 
       1.969556039387e-02       3.220496876118e+04 
       1.982280464252e-02       3.211729535598e+04 
       1.995011930137e-02       3.202807599688e+04 
       2.007750570119e-02       3.193800684824e+04 
       2.020496520590e-02       3.184627483688e+04 
       2.033249921322e-02       3.175377781754e+04 
       2.046010915541e-02       3.166000318914e+04 
       2.058779650001e-02       3.156507629280e+04 
       2.071556275061e-02       3.146920520960e+04 
       2.084340944762e-02       3.137227117498e+04 
       2.097133816913e-02       3.127454632764e+04 
       2.109935053172e-02       3.117559218634e+04 
       2.122744819133e-02       3.107565461714e+04 
       2.135563284417e-02       3.097474031681e+04 
       2.148390622763e-02       3.087301172479e+04 
       2.161227012127e-02       3.077021686134e+04 
       2.174072634775e-02       3.066693319771e+04 
       2.186927677388e-02       3.056257630615e+04 
       2.199792331167e-02       3.045732235914e+04 
