# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.005869935562e-10       7.634415752613e-15       8.016672698471e-13       0.000000000000e+00       7.932823786598e-09       3.007843587041e-10      -2.482396524793e-12 
    3       1.897960165931e-10       9.893423062852e-15       8.370536084220e-13       0.000000000000e+00       5.030876938664e-09       3.052131066783e-10      -1.756899298153e-12 
    4       1.743018818078e-10       8.817246229080e-15       7.252585827538e-13       0.000000000000e+00       3.487141077970e-09       2.477289340006e-10      -1.150166789742e-12 
    5       1.531691085169e-10       6.078056551092e-15       5.616179674835e-13       0.000000000000e+00       2.536685184122e-09       1.758154800895e-10      -6.973430009625e-13 
    6       1.345577451176e-10       3.430033822568e-15       4.051981110448e-13       0.000000000000e+00       1.905456451071e-09       1.124294395032e-10      -3.594259385421e-13 
    7       1.231539895468e-10       1.725813338746e-15       2.817704588747e-13       0.000000000000e+00       1.474070169281e-09       6.664006652866e-11      -1.239302488544e-13 
    8       1.160358282762e-10       9.365768233486e-16       1.950234112794e-13       0.000000000000e+00       1.175142133676e-09       3.656518444753e-11       1.582105679173e-14 
    9       1.122561387043e-10       6.642243131474e-16       1.410587082626e-13       0.000000000000e+00       9.643859025675e-10       1.910491127296e-11       7.451941303015e-14 
   10       1.116961494762e-10       5.654538850013e-16       1.136879746734e-13       0.000000000000e+00       8.118926059863e-10       1.123924732644e-11       7.447126205482e-14 
   11       1.138161935230e-10       4.946161336494e-16       1.053730377596e-13       0.000000000000e+00       6.830453553415e-10       9.276027828289e-12       4.102742308865e-14 
   12       1.154641896825e-10       4.405426508642e-16       1.084365637679e-13       0.000000000000e+00       5.954598237215e-10       7.393424808318e-12      -4.183166514178e-15 
   13       1.149621290568e-10       4.186104575349e-16       1.167976921883e-13       0.000000000000e+00       5.248809970880e-10       4.935948458658e-12      -4.417923859899e-14 
   14       1.155101046558e-10       4.197204259848e-16       1.261701358189e-13       0.000000000000e+00       4.667255491511e-10       3.367353867063e-12      -6.971516502704e-14 
   15       1.179984159992e-10       4.207262932322e-16       1.337765993323e-13       0.000000000000e+00       4.180861726170e-10       3.218597579393e-12      -7.876040867226e-14 
   16       1.197954280332e-10       4.108714377891e-16       1.389779892734e-13       0.000000000000e+00       3.754712410424e-10       2.364169614917e-12      -7.412237457787e-14 
   17       1.209284914687e-10       3.996313826818e-16       1.425940966041e-13       0.000000000000e+00       3.339913204558e-10       3.949926874970e-13      -5.999947505463e-14 
   18       1.227442076098e-10       4.060561147849e-16       1.457004138136e-13       0.000000000000e+00       3.014128277949e-10      -7.723437964615e-14      -4.298016230663e-14 
   19       1.250743083973e-10       4.389912509458e-16       1.493345516550e-13       0.000000000000e+00       2.767691299683e-10       4.913186511016e-13      -2.751539114748e-14 
