# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.869350127566e-10       5.980356347481e-15       5.995130001297e-13       0.000000000000e+00       1.092886689487e-08       1.071269303819e-09      -1.995522917348e-12 
    3       2.412637473564e-10       7.733441981090e-15       6.718935748818e-13       0.000000000000e+00       6.739958875904e-09       7.239572209276e-10      -1.402515740804e-12 
    4       2.088678971639e-10       6.870392972916e-15       6.150460225433e-13       0.000000000000e+00       4.643030663544e-09       5.282384101906e-10      -8.647851601170e-13 
    5       1.865041377943e-10       4.865807347635e-15       5.066094889949e-13       0.000000000000e+00       3.429501006461e-09       4.049921357894e-10      -4.689682582721e-13 
    6       1.707519434763e-10       3.051301048599e-15       3.956228354225e-13       0.000000000000e+00       2.650597227234e-09       3.210414690473e-10      -2.014651998461e-13 
    7       1.594137865503e-10       1.947161819663e-15       3.095019231811e-13       0.000000000000e+00       2.114999486824e-09       2.607514533857e-10      -3.663559327141e-14 
    8       1.511133891678e-10       1.435418043152e-15       2.545791786298e-13       0.000000000000e+00       1.729039275506e-09       2.158306554088e-10       4.484814179948e-14 
    9       1.449746859437e-10       1.217065755908e-15       2.256562601060e-13       0.000000000000e+00       1.441320708943e-09       1.813927829481e-10       6.205361692593e-14 
   10       1.404013568215e-10       1.104082218500e-15       2.154409040423e-13       0.000000000000e+00       1.220736927216e-09       1.543782118718e-10       3.752937663532e-14 
   11       1.370787020935e-10       1.056745736562e-15       2.174883799148e-13       0.000000000000e+00       1.028921128152e-09       1.329110666376e-10      -5.837223867669e-15 
