# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.694 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.075740599329e+01 
       2.213210501839e-05       1.351408299278e+02 
       3.466442489589e-05       2.080664610528e+02 
       4.726853408020e-05       2.803673269502e+02 
       5.997662285939e-05       3.533128604310e+02 
       7.282163475622e-05       4.257674683657e+02 
       8.583754457013e-05       4.986655428043e+02 
       9.905964793110e-05       5.722437075054e+02 
       1.125248658920e-04       6.468125464630e+02 
       1.262720681168e-04       7.224823767437e+02 
       1.403424182370e-04       7.995470415085e+02 
       1.547797449226e-04       8.788013184365e+02 
       1.696309421067e-04       9.596677089456e+02 
       1.849464015732e-04       1.042469549269e+03 
       2.007804806865e-04       1.127695621730e+03 
       2.171920073393e-04       1.215446016398e+03 
       2.342448230886e-04       1.307081157819e+03 
       2.520083638042e-04       1.401429535785e+03 
       2.705582747833e-04       1.501363393168e+03 
       2.899770539512e-04       1.603616515576e+03 
       3.103547122250e-04       1.710363455771e+03 
       3.317894340481e-04       1.823963887166e+03 
       3.543882132259e-04       1.941150883231e+03 
       3.782674292364e-04       2.067475812380e+03 
       4.035533170382e-04       2.198862173884e+03 
       4.303822691617e-04       2.336598403689e+03 
       4.589008931311e-04       2.484875604277e+03 
       4.892657312545e-04       2.639181521713e+03 
       5.216425357381e-04       2.805479905345e+03 
       5.562049833125e-04       2.980043509251e+03 
       5.931327147518e-04       3.167080604910e+03 
       6.326086015250e-04       3.365152223424e+03 
       6.748151802311e-04       3.575449809206e+03 
       7.199302599987e-04       3.798167687996e+03 
       7.681217995194e-04       4.035137470742e+03 
       8.195422633301e-04       4.285931338150e+03 
       8.743227873692e-04       4.551387938867e+03 
       9.325675892298e-04       4.830367353219e+03 
       9.943491213302e-04       5.124313489415e+03 
       1.059704459870e-03       5.431821899277e+03 
       1.128633334839e-03       5.752930117441e+03 
       1.201098041745e-03       6.086747130969e+03 
       1.277025260956e-03       6.432634108210e+03 
       1.356309588061e-03       6.789416197961e+03 
       1.438818393979e-03       7.156157009761e+03 
       1.524397520905e-03       7.531520551386e+03 
       1.612877293385e-03       7.914262759878e+03 
       1.704078374319e-03       8.303401046292e+03 
       1.797817099592e-03       8.697623797683e+03 
       1.893910052350e-03       9.095475746395e+03 
       1.992177762202e-03       9.496143321826e+03 
       2.092447517766e-03       9.898339449907e+03 
       2.194555354948e-03       1.030130641598e+04 
       2.298347327682e-03       1.070398158385e+04 
       2.403680187414e-03       1.110578434565e+04 
       2.510421598919e-03       1.150617087421e+04 
       2.618450009800e-03       1.190396160273e+04 
       2.727654274759e-03       1.229894519505e+04 
       2.837933117408e-03       1.269041647168e+04 
       2.949194494541e-03       1.307839821751e+04 
