# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.694 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.086412669869e+01 
       2.213208832943e-05       1.353850922141e+02 
       3.466439138989e-05       2.084617447701e+02 
       4.726848350175e-05       2.809379999322e+02 
       5.997655482274e-05       3.532784777734e+02 
       7.282154874057e-05       4.258242865747e+02 
       8.583743991295e-05       4.988645001500e+02 
       9.905952381951e-05       5.726596882543e+02 
       1.125247213520e-04       6.474627123966e+02 
       1.262719020002e-04       7.235230766603e+02 
       1.403422292060e-04       8.009106023616e+02 
       1.547795314314e-04       8.802344876214e+02 
       1.696307023802e-04       9.583240796491e+02 
       1.849461335826e-04       1.042275005625e+03 
       2.007801821211e-04       1.127102856656e+03 
       2.171916755746e-04       1.216109450669e+03 
       2.342444551499e-04       1.304673376962e+03 
       2.520079563261e-04       1.398825731838e+03 
       2.705578239644e-04       1.498354724680e+03 
       2.899765555042e-04       1.602508065119e+03 
       3.103541613220e-04       1.711680539615e+03 
       3.317888252627e-04       1.826371295567e+03 
       3.543875404711e-04       1.938434707585e+03 
       3.782666857020e-04       2.062444938095e+03 
       4.035524951280e-04       2.195798801770e+03 
       4.303813604355e-04       2.333525731840e+03 
       4.588998882546e-04       2.481080285017e+03 
       4.892646199631e-04       2.633309078096e+03 
       5.216413068229e-04       2.798664558099e+03 
       5.562036246349e-04       2.974377939089e+03 
       5.931312132966e-04       3.158505005058e+03 
       6.326069435016e-04       3.355875971299e+03 
       6.748133512291e-04       3.566076714098e+03 
       7.199282452036e-04       3.789674216297e+03 
       7.681195839871e-04       4.024825948869e+03 
       8.195398323138e-04       4.274531951029e+03 
       8.743201266833e-04       4.538625961720e+03 
       9.325646856283e-04       4.818454610215e+03 
       9.943459628711e-04       5.109652128860e+03 
       1.059701036234e-03       5.416347591560e+03 
       1.128629637576e-03       5.736847172845e+03 
       1.201094064425e-03       6.069392490936e+03 
       1.277020999212e-03       6.414199732048e+03 
       1.356305039534e-03       6.770066891270e+03 
       1.438813558168e-03       7.135780982807e+03 
       1.524392398954e-03       7.510170004063e+03 
       1.612871887824e-03       7.891907501349e+03 
       1.704072688785e-03       8.279829128496e+03 
       1.797811138561e-03       8.672665927630e+03 
       1.893903820883e-03       9.069459859392e+03 
       1.992171265723e-03       9.468798816189e+03 
       2.092440761880e-03       9.870215038574e+03 
       2.194548345288e-03       1.027191336565e+04 
       2.298340069793e-03       1.067374454733e+04 
       2.403672686672e-03       1.107426009128e+04 
       2.510413860471e-03       1.147306387100e+04 
       2.618442038523e-03       1.186969020986e+04 
       2.727646075245e-03       1.226356893776e+04 
       2.837924693947e-03       1.265422749996e+04 
       2.949185851127e-03       1.304086813299e+04 
       3.061346052276e-03       1.342327799979e+04 
       3.174329654849e-03       1.380139966646e+04 
       3.288068183290e-03       1.417456705516e+04 
       3.402499672583e-03       1.454286627617e+04 
       3.517568050509e-03       1.490604046239e+04 
       3.633222564145e-03       1.526393703712e+04 
       3.749417252859e-03       1.561601016824e+04 
       3.866110467785e-03       1.596272389812e+04 
       3.983264436282e-03       1.630358580933e+04 
       4.100844868949e-03       1.663877495112e+04 
       4.218820606243e-03       1.696818471411e+04 
       4.337163301513e-03       1.729168925317e+04 
       4.455847137208e-03       1.760935423445e+04 
       4.574848571117e-03       1.792099922272e+04 
       4.694146109629e-03       1.822680231014e+04 
       4.813720105214e-03       1.852671448257e+04 
       4.933552575574e-03       1.882083968258e+04 
       5.053627042095e-03       1.910923094535e+04 
       5.173928385504e-03       1.940610491411e+04 
       5.294442716824e-03       1.969720072519e+04 
       5.415157261923e-03       1.996359551832e+04 
       5.536060258150e-03       2.022643667958e+04 
       5.657140861709e-03       2.046923870404e+04 
       5.778389064570e-03       2.072853919112e+04 
       5.899795619872e-03       2.096762362292e+04 
       6.021351974859e-03       2.121703152309e+04 
       6.143050210550e-03       2.145577600467e+04 
       6.264882987374e-03       2.171317743651e+04 
       6.386843496155e-03       2.190625748762e+04 
       6.508925413845e-03       2.213536936987e+04 
       6.631122863513e-03       2.236161316136e+04 
       6.753430378137e-03       2.257425457470e+04 
       6.875842867791e-03       2.278893431416e+04 
       6.998355589888e-03       2.296261819985e+04 
       7.120964122152e-03       2.317191640330e+04 
       7.243664338046e-03       2.336702746905e+04 
       7.366452384413e-03       2.354266766833e+04 
       7.489324661088e-03       2.374710931826e+04 
       7.612277802323e-03       2.392592234953e+04 
       7.735308659803e-03       2.409292944406e+04 
       7.858414287138e-03       2.423752323833e+04 
       7.981591925664e-03       2.440500626581e+04 
       8.104838991440e-03       2.456262979929e+04 
       8.228153063323e-03       2.474019204297e+04 
       8.351531872033e-03       2.489215745585e+04 
       8.474973290094e-03       2.501330493567e+04 
       8.598475322602e-03       2.517664034252e+04 
       8.722036098713e-03       2.528871401876e+04 
       8.845653863818e-03       2.541976047419e+04 
       8.969326972315e-03       2.554838174132e+04 
       9.093053880957e-03       2.567690286648e+04 
       9.216833142695e-03       2.579602068741e+04 
       9.340663401000e-03       2.592418287616e+04 
       9.464543384606e-03       2.602372629453e+04 
       9.588471902651e-03       2.614860638913e+04 
       9.712447840175e-03       2.624060656600e+04 
       9.836470153948e-03       2.635309015630e+04 
       9.960537868606e-03       2.644046722895e+04 
       1.008465007306e-02       2.655087573620e+04 
       1.020880591719e-02       2.663625836934e+04 
       1.033300460870e-02       2.670998901282e+04 
       1.045724541033e-02       2.680893911985e+04 
       1.058152763710e-02       2.689998694826e+04 
       1.070585065389e-02       2.695761251270e+04 
       1.083021387312e-02       2.703224793649e+04 
       1.095461675259e-02       2.710823916349e+04 
       1.107905879350e-02       2.717755882081e+04 
       1.120353953857e-02       2.724127348049e+04 
       1.132805857034e-02       2.731023796780e+04 
       1.145261550953e-02       2.736210893152e+04 
       1.157721001358e-02       2.740510725013e+04 
       1.170184177519e-02       2.745776454743e+04 
       1.182651052111e-02       2.750480590916e+04 
       1.195121601086e-02       2.756562583753e+04 
       1.207595803564e-02       2.759549026301e+04 
       1.220073641726e-02       2.763866657588e+04 
       1.232555100721e-02       2.767756490083e+04 
       1.245040168573e-02       2.770847681744e+04 
       1.257528836099e-02       2.775303283414e+04 
       1.270021096828e-02       2.777882946790e+04 
       1.282516946935e-02       2.779978565043e+04 
       1.295016385169e-02       2.782700225611e+04 
       1.307519412796e-02       2.784366126677e+04 
       1.320026033539e-02       2.786912801395e+04 
       1.332536253531e-02       2.789345849125e+04 
       1.345050081260e-02       2.790423608365e+04 
       1.357567527533e-02       2.790815193356e+04 
       1.370088605432e-02       2.793451941177e+04 
       1.382613330280e-02       2.792413072174e+04 
       1.395141719605e-02       2.792669524018e+04 
       1.407673793115e-02       2.793354271420e+04 
       1.420209572671e-02       2.794470169981e+04 
       1.432749082260e-02       2.793253345669e+04 
       1.445292347980e-02       2.792741191178e+04 
       1.457839398021e-02       2.792115573604e+04 
       1.470390262647e-02       2.792145087487e+04 
       1.482944974188e-02       2.790225406726e+04 
       1.495503567028e-02       2.788801521203e+04 
       1.508066077598e-02       2.787582184728e+04 
       1.520632544371e-02       2.786771689959e+04 
       1.533203007859e-02       2.785280971419e+04 
       1.545777510610e-02       2.781945768563e+04 
       1.558356097213e-02       2.780524314296e+04 
       1.570938814298e-02       2.778552203182e+04 
       1.583525710545e-02       2.775513371432e+04 
       1.596116836685e-02       2.772012144255e+04 
       1.608712245515e-02       2.769959357285e+04 
       1.621311991904e-02       2.767350475099e+04 
       1.633916132810e-02       2.763964148525e+04 
       1.646524727291e-02       2.759109090542e+04 
       1.659137836523e-02       2.756104728470e+04 
       1.671755523815e-02       2.751849919602e+04 
       1.684377854632e-02       2.748095880609e+04 
       1.697004896615e-02       2.743711217188e+04 
       1.709636719601e-02       2.740097069701e+04 
       1.722273395653e-02       2.735947132021e+04 
       1.734914999081e-02       2.730901698641e+04 
       1.747561606473e-02       2.726133379935e+04 
       1.760213296720e-02       2.721969194350e+04 
       1.772870151056e-02       2.716706368110e+04 
       1.785532253079e-02       2.711102721435e+04 
       1.798199688794e-02       2.705927021171e+04 
       1.810872546648e-02       2.700135517697e+04 
       1.823550917563e-02       2.694657177439e+04 
       1.836234894980e-02       2.689164563104e+04 
       1.848924574897e-02       2.683756831218e+04 
       1.861620055916e-02       2.677339118869e+04 
       1.874321439283e-02       2.672187747452e+04 
       1.887028828936e-02       2.666292245291e+04 
       1.899742331554e-02       2.659216709504e+04 
       1.912462056606e-02       2.652606407368e+04 
       1.925188116403e-02       2.646230585494e+04 
       1.937920626151e-02       2.639515747143e+04 
       1.950659704007e-02       2.632797797782e+04 
       1.963405471139e-02       2.626132297890e+04 
       1.976158051781e-02       2.619713112365e+04 
       1.988917573297e-02       2.612213508154e+04 
       2.001684166245e-02       2.605119218572e+04 
       2.014457964442e-02       2.597831158381e+04 
       2.027239105031e-02       2.590438247960e+04 
       2.040027728555e-02       2.583143221197e+04 
       2.052823979022e-02       2.576110523089e+04 
       2.065628003990e-02       2.568157963347e+04 
       2.078439954634e-02       2.560359415704e+04 
       2.091259985832e-02       2.552870154212e+04 
       2.104088256246e-02       2.545033484451e+04 
       2.116924928406e-02       2.536884295343e+04 
       2.129770168797e-02       2.529326734628e+04 
       2.142624147951e-02       2.520831691960e+04 
       2.155487040539e-02       2.513174158609e+04 
       2.168359025465e-02       2.504635404997e+04 
       2.181240285970e-02       2.496612993783e+04 
       2.194131009730e-02       2.488141830540e+04 
       2.207031388962e-02       2.480093064105e+04 
       2.219941620535e-02       2.471057329190e+04 
       2.232861906078e-02       2.462700296614e+04 
       2.245792452100e-02       2.454089952808e+04 
       2.258733470106e-02       2.445387999505e+04 
       2.271685176722e-02       2.436665920545e+04 
       2.284647793821e-02       2.428138721678e+04 
       2.297621548653e-02       2.419219732388e+04 
       2.310606673981e-02       2.410365115117e+04 
       2.323603408223e-02       2.401585831022e+04 
       2.336611995591e-02       2.392257773975e+04 
