# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.636271982834e-10       7.457230012803e-15       6.753319923486e-13       0.000000000000e+00       1.085549239906e-08       9.820299873511e-10      -2.219473001329e-12 
    3       2.225354854872e-10       1.129206110073e-14       8.115066804376e-13       0.000000000000e+00       6.592208225950e-09       6.613637970147e-10      -1.709618548634e-12 
    4       1.932796756530e-10       1.242004769685e-14       8.151345557584e-13       0.000000000000e+00       4.529864752073e-09       4.817000580712e-10      -1.215274213570e-12 
    5       1.728698497249e-10       1.175953866282e-14       7.586867973850e-13       0.000000000000e+00       3.341729258234e-09       3.686807958892e-10      -8.367097446197e-13 
    6       1.582757089083e-10       1.055389319142e-14       6.898467903483e-13       0.000000000000e+00       2.580649702706e-09       2.917591029665e-10      -5.615613925082e-13 
    7       1.475584643163e-10       9.590363523120e-15       6.339150437481e-13       0.000000000000e+00       2.058507897303e-09       2.365644550522e-10      -3.721710569949e-13 
    8       1.395279454571e-10       9.112474990927e-15       5.969223936888e-13       0.000000000000e+00       1.682090651609e-09       1.954733185711e-10      -2.561815514193e-13 
    9       1.334330086285e-10       9.087271991914e-15       5.757072836019e-13       0.000000000000e+00       1.400717288652e-09       1.640113467461e-10      -2.000886278204e-13 
   10       1.287396626502e-10       9.437684800114e-15       5.659149919298e-13       0.000000000000e+00       1.184647018448e-09       1.393788183337e-10      -1.859716116637e-13 
   11       1.251403859359e-10       1.012066707529e-14       5.635519299657e-13       0.000000000000e+00       9.994428235516e-10       1.198741416184e-10      -1.970475907114e-13 
   12       1.223428811243e-10       1.110726915243e-14       5.647936474337e-13       0.000000000000e+00       8.653973453688e-10       1.037788550151e-10      -2.119289885148e-13 
   13       1.201474418302e-10       1.235278474103e-14       5.667426603157e-13       0.000000000000e+00       7.560023477739e-10       9.047893067976e-11      -2.223811840371e-13 
   14       1.184805979292e-10       1.379671954420e-14       5.673745088111e-13       0.000000000000e+00       6.655124825044e-10       7.943255341213e-11      -2.213693537293e-13 
   15       1.172281946008e-10       1.538185998581e-14       5.655364379546e-13       0.000000000000e+00       5.898039280193e-10       7.019243225960e-11      -2.092818592664e-13 
   16       1.162770469044e-10       1.706781863182e-14       5.611277444629e-13       0.000000000000e+00       5.259527495277e-10       6.219889055849e-11      -1.912727329966e-13 
   17       1.156119603249e-10       1.883003254985e-14       5.544426218176e-13       0.000000000000e+00       4.715285011740e-10       5.544673025717e-11      -1.698669092551e-13 
   18       1.151686889693e-10       2.065090086609e-14       5.459607507074e-13       0.000000000000e+00       4.245981722253e-10       4.966627098527e-11      -1.497204055090e-13 
   19       1.149424504760e-10       2.251645852384e-14       5.361594327024e-13       0.000000000000e+00       3.843298040570e-10       4.470072115196e-11      -1.335057109188e-13 
   20       1.148765487372e-10       2.441247306453e-14       5.252536081542e-13       0.000000000000e+00       3.490766776848e-10       4.034020895392e-11      -1.225675227401e-13 
   21       1.149607290444e-10       2.633063454760e-14       5.133532420681e-13       0.000000000000e+00       3.182401441427e-10       3.652595170773e-11      -1.163443352712e-13 
   22       1.151597543679e-10       2.826500169655e-14       5.003056753883e-13       0.000000000000e+00       2.910460312343e-10       3.318282440982e-11      -1.131258628331e-13 
   23       1.154772155248e-10       3.021132681717e-14       4.858149668989e-13       0.000000000000e+00       2.670706310067e-10       3.024602126696e-11      -1.112265524614e-13 
   24       1.159002916307e-10       3.216642673556e-14       4.694269734083e-13       0.000000000000e+00       2.457016072349e-10       2.762025132057e-11      -1.087965066667e-13 
   25       1.164204067736e-10       3.412733178636e-14       4.510731596307e-13       0.000000000000e+00       2.266633768219e-10       2.528343463264e-11      -1.050658847502e-13 
   26       1.170125561763e-10       3.609185811363e-14       4.307399293683e-13       0.000000000000e+00       2.095940871840e-10       2.321083301640e-11      -9.968869440587e-14 
   27       1.176775835122e-10       3.805928826209e-14       4.084658850146e-13       0.000000000000e+00       1.942691352346e-10       2.136805665180e-11      -9.306501428739e-14 
   28       1.184117942265e-10       4.002960028590e-14       3.842966019942e-13       0.000000000000e+00       1.804007333224e-10       1.970557346326e-11      -8.591348157202e-14 
   29       1.192198281058e-10       4.200126862607e-14       3.584802820884e-13       0.000000000000e+00       1.679018081849e-10       1.821150320552e-11      -7.892291490970e-14 
   30       1.200930780177e-10       4.397253590540e-14       3.313113590570e-13       0.000000000000e+00       1.566203449974e-10       1.687086368675e-11      -7.288073686993e-14 
   31       1.210103016123e-10       4.594174971982e-14       3.030327709898e-13       0.000000000000e+00       1.463050402357e-10       1.565659433485e-11      -6.848674910643e-14 
   32       1.219743895313e-10       4.790668987636e-14       2.737286518580e-13       0.000000000000e+00       1.368942247553e-10       1.456001534436e-11      -6.549956735170e-14 
   33       1.229863706092e-10       4.986495834066e-14       2.433748402637e-13       0.000000000000e+00       1.283155611272e-10       1.356939347620e-11      -6.324919801960e-14 
   34       1.240394692357e-10       5.181422217646e-14       2.118968276252e-13       0.000000000000e+00       1.204409494615e-10       1.266627834820e-11      -6.100956070518e-14 
   35       1.251367231669e-10       5.375253318780e-14       1.793114131523e-13       0.000000000000e+00       1.132223789090e-10       1.184426150783e-11      -5.859049666794e-14 
   36       1.262776346145e-10       5.567809347322e-14       1.456221085779e-13       0.000000000000e+00       1.065925293464e-10       1.109545973117e-11      -5.594339960452e-14 
   37       1.274564657785e-10       5.758918485448e-14       1.108146432297e-13       0.000000000000e+00       1.004544889735e-10       1.040844307068e-11      -5.303849941778e-14 
   38       1.286756846398e-10       5.948426119515e-14       7.499119507791e-14       0.000000000000e+00       9.478815887539e-11       9.780270517401e-12      -4.998329249860e-14 
   39       1.299356683473e-10       6.136186664014e-14       3.827352549417e-14       0.000000000000e+00       8.957259901957e-11       9.207680235573e-12      -4.694423882039e-14 
   40       1.312302778025e-10       6.322059690277e-14       7.632612129659e-16       0.000000000000e+00       8.475388961876e-11       8.683434608993e-12      -4.411710867377e-14 
   41       1.325504632233e-10       6.505918220287e-14      -3.745444989517e-14       0.000000000000e+00       8.026308517917e-11       8.198578235536e-12      -4.167763112167e-14 
   42       1.338980441087e-10       6.687679483403e-14      -7.629142061559e-14       0.000000000000e+00       7.608396404060e-11       7.750908501580e-12      -3.961030443722e-14 
   43       1.352753287087e-10       6.867282331834e-14      -1.156745736831e-13       0.000000000000e+00       7.220253177084e-11       7.338693543205e-12      -3.782652743103e-14 
   44       1.366809033940e-10       7.044678277941e-14      -1.555544718733e-13       0.000000000000e+00       6.858672124304e-11       6.958157602788e-12      -3.620884649987e-14 
   45       1.381116365255e-10       7.219827042229e-14      -1.958966828134e-13       0.000000000000e+00       6.519718670602e-11       6.604673429158e-12      -3.463977300841e-14 
   46       1.395702374628e-10       7.392682672138e-14      -2.366468716241e-13       0.000000000000e+00       6.202688525440e-11       6.277140381552e-12      -3.310302931042e-14 
   47       1.410593560961e-10       7.563202506715e-14      -2.777595480740e-13       0.000000000000e+00       5.907090966415e-11       5.974643931275e-12      -3.160930831663e-14 
   48       1.425792095952e-10       7.731350154252e-14      -3.192101323066e-13       0.000000000000e+00       5.631459969203e-11       5.695137915410e-12      -3.016802138655e-14 
   49       1.441273646791e-10       7.897094811176e-14      -3.609968263633e-13       0.000000000000e+00       5.373282354747e-11       5.435362916781e-12      -2.878715019605e-14 
   50       1.457001782683e-10       8.060411419548e-14      -4.031249889197e-13       0.000000000000e+00       5.129727003010e-11       5.191725733787e-12      -2.747441275640e-14 
   51       1.472980855807e-10       8.221282770121e-14      -4.455509174752e-13       0.000000000000e+00       4.900232541173e-11       4.963408578730e-12      -2.624147826439e-14 
   52       1.489213710699e-10       8.379696792795e-14      -4.882260415163e-13       0.000000000000e+00       4.684497852155e-11       4.749962750993e-12      -2.510064026971e-14 
   53       1.505684991239e-10       8.535645141486e-14      -5.311141088737e-13       0.000000000000e+00       4.481709052942e-11       4.550385780685e-12      -2.406351827356e-14 
   54       1.522359743762e-10       8.689122552480e-14      -5.741922338674e-13       0.000000000000e+00       4.290505339017e-11       4.363085036368e-12      -2.314097143866e-14 
   55       1.539199958120e-10       8.840130476213e-14      -6.174430361865e-13       0.000000000000e+00       4.109376101291e-11       4.186327954002e-12      -2.233832805027e-14 
   56       1.556222202918e-10       8.988690499068e-14      -6.608263694548e-13       0.000000000000e+00       3.938046049068e-11       4.019807070893e-12      -2.163988378847e-14 
