# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.69077 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.076621823702e+01 
       2.211972662214e-05       1.350906047002e+02 
       3.463957318105e-05       2.079655373727e+02 
       4.723101975779e-05       2.802261393152e+02 
       5.992616008740e-05       3.523296437114e+02 
       7.275783761198e-05       4.246100310540e+02 
       8.575992212888e-05       4.973475819626e+02 
       9.896759787441e-05       5.707968581872e+02 
       1.124176665453e-04       6.452007789676e+02 
       1.261488687910e-04       7.207989948462e+02 
       1.402022277253e-04       7.978333140158e+02 
       1.546214179793e-04       8.765521491169e+02 
       1.694531637148e-04       9.572139922875e+02 
       1.847476687858e-04       1.040090573041e+03 
       2.005590818176e-04       1.125469833991e+03 
       2.169459982732e-04       1.213658837525e+03 
       2.339720004872e-04       1.304986667146e+03 
       2.517062350230e-04       1.399807359122e+03 
       2.702240243644e-04       1.498502874641e+03 
       2.896075066644e-04       1.601486040396e+03 
       3.099462927827e-04       1.709203430256e+03 
       3.313381238501e-04       1.822138024987e+03 
       3.538895048110e-04       1.940811647381e+03 
       3.777162795602e-04       2.060046886496e+03 
       4.029441012621e-04       2.192333197982e+03 
       4.297087373623e-04       2.331569375853e+03 
       4.581561331921e-04       2.479051732542e+03 
       4.884421421720e-04       2.636830226092e+03 
       5.207318165635e-04       2.796297423762e+03 
       5.551981438388e-04       2.968148333190e+03 
       5.920201146146e-04       3.153655148235e+03 
       6.313800243403e-04       3.349977204509e+03 
       6.734599484169e-04       3.559351763104e+03 
       7.184373937020e-04       3.781030864671e+03 
       7.664802194352e-04       4.017313363501e+03 
       8.177410322310e-04       4.267162455820e+03 
       8.723513793572e-04       4.529871915725e+03 
       9.304161699988e-04       4.807278751009e+03 
       9.920088183314e-04       5.099498310381e+03 
       1.057167599491e-03       5.405001362375e+03 
       1.125893625415e-03       5.724642801995e+03 
       1.198150686537e-03       6.056562140753e+03 
       1.273866993265e-03       6.400677950936e+03 
       1.352938629855e-03       6.755777458347e+03 
       1.435234347805e-03       7.121490766744e+03 
       1.520601210981e-03       7.494608519397e+03 
       1.608870574671e-03       7.875538752032e+03 
       1.699863928204e-03       8.262683810243e+03 
       1.793398232230e-03       8.654913692674e+03 
       1.889290507721e-03       9.050957149558e+03 
       1.987361557636e-03       9.449703449747e+03 
       2.087438805746e-03       9.850332819560e+03 
       2.189358311840e-03       1.025147694128e+04 
       2.292966067893e-03       1.065250805049e+04 
       2.398118700147e-03       1.105246226759e+04 
       2.504683704089e-03       1.145025342629e+04 
       2.612539329596e-03       1.184602906734e+04 
       2.721574217531e-03       1.223896730449e+04 
       2.831686870956e-03       1.262867611797e+04 
       2.942785026359e-03       1.301415444565e+04 
       3.054784974391e-03       1.339573198222e+04 
       3.167610866192e-03       1.377225137922e+04 
       3.281194030547e-03       1.414415040864e+04 
       3.395472318652e-03       1.451100475052e+04 
       3.510389486916e-03       1.487268765311e+04 
       3.625894623517e-03       1.522886972531e+04 
       3.741941621131e-03       1.557915021754e+04 
       3.858488695913e-03       1.592387850716e+04 
       3.975497951330e-03       1.626278972255e+04 
       4.092934984473e-03       1.659585085744e+04 
       4.210768531932e-03       1.692290345214e+04 
       4.328970152093e-03       1.724404070210e+04 
       4.447513940630e-03       1.755913730512e+04 
       4.566376276045e-03       1.786821773349e+04 
       4.685535592282e-03       1.817118941672e+04 
       4.804972175602e-03       1.846817007043e+04 
       4.924667983168e-03       1.875922189737e+04 
       5.044606480985e-03       1.904441615179e+04 
       5.164772499079e-03       1.934617028486e+04 
       5.285152102025e-03       1.962244189697e+04 
       5.405732473103e-03       1.989287356819e+04 
       5.526501810578e-03       2.015751086464e+04 
       5.647449234751e-03       2.041639906732e+04 
       5.768564704579e-03       2.064554846343e+04 
       5.889838942814e-03       2.087767982077e+04 
       6.011263368706e-03       2.111922286569e+04 
       6.132830037448e-03       2.135523386521e+04 
       6.254531585626e-03       2.158577153449e+04 
       6.376361182024e-03       2.181089602922e+04 
       6.498312483197e-03       2.203066856652e+04 
       6.620379593323e-03       2.224515116969e+04 
       6.742557027854e-03       2.245440651721e+04 
       6.864839680599e-03       2.265849780636e+04 
       6.987222793849e-03       2.285748863206e+04 
       7.109701931258e-03       2.305144277680e+04 
       7.232272953187e-03       2.324042432136e+04 
       7.354931994252e-03       2.342449706354e+04 
       7.477675442885e-03       2.356675244426e+04 
       7.600499922672e-03       2.373998954782e+04 
       7.723402275323e-03       2.390977416128e+04 
       7.846379545104e-03       2.406531501439e+04 
       7.969428964590e-03       2.422285347387e+04 
       8.092547941616e-03       2.437937463055e+04 
       8.215734047313e-03       2.453142249716e+04 
       8.338985005128e-03       2.467413152130e+04 
       8.462298680742e-03       2.481794705822e+04 
       8.585673072794e-03       2.495778306937e+04 
       8.709106304350e-03       2.507517010394e+04 
       8.832596615043e-03       2.520695482883e+04 
       8.956142353828e-03       2.534519187329e+04 
       9.079741972300e-03       2.547525025990e+04 
       9.203394018525e-03       2.556188674425e+04 
       9.327097131331e-03       2.567655144433e+04 
       9.450850035047e-03       2.577983887174e+04 
       9.574651534617e-03       2.588516257791e+04 
       9.698500511088e-03       2.599005145151e+04 
       9.822395917424e-03       2.608642358672e+04 
       9.946336774625e-03       2.618360641448e+04 
       1.007032216813e-02       2.626057966288e+04 
       1.019435124449e-02       2.635103489314e+04 
       1.031842320825e-02       2.644752667253e+04 
       1.044253731906e-02       2.650904119681e+04 
       1.056669288903e-02       2.658924330168e+04 
       1.069088928023e-02       2.666604133674e+04 
       1.081512590234e-02       2.673948348587e+04 
       1.093940221057e-02       2.680961753291e+04 
       1.106371770359e-02       2.684911746310e+04 
       1.118807192167e-02       2.692108468634e+04 
       1.131246444501e-02       2.698182553361e+04 
       1.143689489203e-02       2.701379955241e+04 
       1.156136291795e-02       2.706313209087e+04 
       1.168586821334e-02       2.712276227692e+04 
       1.181041050284e-02       2.715585857589e+04 
       1.193498954393e-02       2.720204736306e+04 
       1.205960512582e-02       2.723514683460e+04 
       1.218425706841e-02       2.727564004651e+04 
       1.230894522126e-02       2.731459471859e+04 
       1.243366946278e-02       2.733447423447e+04 
       1.255842969929e-02       2.737431474646e+04 
       1.268322586433e-02       2.738706166403e+04 
       1.280805791788e-02       2.740559537403e+04 
       1.293292584571e-02       2.742922941017e+04 
       1.305782965877e-02       2.744321714486e+04 
       1.318276939264e-02       2.745988208360e+04 
       1.330774510697e-02       2.747692930770e+04 
       1.343275688503e-02       2.748068599918e+04 
       1.355780483327e-02       2.749969056145e+04 
       1.368288908089e-02       2.749548210316e+04 
       1.380800977954e-02       2.750337200580e+04 
       1.393316710292e-02       2.749795162555e+04 
       1.405836124655e-02       2.750082998952e+04 
       1.418359242747e-02       2.750148013945e+04 
       1.430886088400e-02       2.749990815724e+04 
       1.443416687557e-02       2.747776186851e+04 
       1.455951068252e-02       2.747137792760e+04 
       1.468489260595e-02       2.745710067461e+04 
       1.481031296762e-02       2.744506509135e+04 
       1.493577210982e-02       2.743490112183e+04 
       1.506127039529e-02       2.741078024693e+04 
       1.518680820723e-02       2.738897979021e+04 
       1.531238594917e-02       2.737174110985e+04 
       1.543800404504e-02       2.735260477802e+04 
       1.556366293916e-02       2.733161246991e+04 
       1.568936309623e-02       2.729890056352e+04 
       1.581510500144e-02       2.727439191168e+04 
       1.594088916052e-02       2.724815559243e+04 
       1.606671609980e-02       2.720447029289e+04 
       1.619258636634e-02       2.716973276249e+04 
       1.631850052807e-02       2.713682297214e+04 
       1.644445917390e-02       2.709663195994e+04 
       1.657046291389e-02       2.706667789426e+04 
