# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518498522e-22       4.635512595996e-07       2.157256295837e+18       1.532287549668e+04       1.532287549668e-08       1.532287549668e+16       2.676317460767e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.902194177205e+36       4.653754725927e+36       1.077308919692e+28       6.793546517398e+02       8.520430084719e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722173908e-22       4.667963366956e-07       2.127368890318e+18       1.532287549668e+04       1.543013562515e-08       1.521636096989e+16       2.695051682986e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.849851924417e+36       4.525698395493e+36       1.054998504454e+28       6.746322261368e+02       1.188704582869e-07       1.433565615448e+02 
       9.861456399039e+11       7.773417904728e-22       4.700650606537e-07       2.097895555677e+18       1.532287549667e+04       1.553814657453e-08       1.511058686185e+16       2.713917044760e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.798949961721e+36       4.401165762531e+36       1.033150124403e+28       6.699426277231e+02       2.377409165642e-07       7.167828077461e+01 
       9.792906056642e+11       7.882626652870e-22       4.733537934953e-07       2.068830555228e+18       1.532287549667e+04       1.564691360055e-08       1.500554802567e+16       2.732914464067e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.749448656976e+36       4.280059866245e+36       1.011754211070e+28       6.652856283057e+02       3.566113748403e-07       4.778552051675e+01 
       9.724832231025e+11       7.993369674712e-22       4.766679921886e-07       2.040168231761e+18       1.532287549667e+04       1.575644199575e-08       1.490123935021e+16       2.752044865308e-07       2.460976933108e+36       2.269689713130e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.701309468590e+36       4.162286413887e+36       9.908013941426e+27       6.606610012779e+02       4.754818331153e-07       3.583914038761e+01 
       9.657231609756e+11       8.105668525268e-22       4.800040187547e-07       2.011903006444e+18       1.532287549666e+04       1.586673708971e-08       1.479765575989e+16       2.771309179358e-07       2.393258779892e+36       2.222685813843e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.654494915511e+36       4.047753707339e+36       9.702824973638e+27       6.560685216082e+02       5.943522913892e-07       2.867131231006e+01 
       9.590100903431e+11       8.219545062374e-22       4.833655111725e-07       1.984029377737e+18       1.532287549666e+04       1.597780424934e-08       1.469479221438e+16       2.790708343606e-07       2.327404011990e+36       2.176655336842e+27       9.813594845995e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.608968548045e+36       3.936372571723e+36       9.501885345098e+27       6.515079658293e+02       7.132227496620e-07       2.389276025834e+01 
       9.523436845512e+11       8.335021450949e-22       4.867488314630e-07       1.956541920319e+18       1.532287549666e+04       1.608964887908e-08       1.459264370842e+16       2.810243302003e-07       2.263361355044e+36       2.131578123140e+27       9.610361240487e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.564694919474e+36       3.828056285965e+36       9.305107054562e+27       6.469791120273e+02       8.320932079338e-07       2.047950879281e+01 
       9.457236192167e+11       8.452120167305e-22       4.901557986159e-07       1.929435284034e+18       1.532287549665e+04       1.620227642123e-08       1.449120527152e+16       2.829915005109e-07       2.201080945601e+36       2.087434431233e+27       9.411336479858e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.521639558464e+36       3.722720515275e+36       9.112403923242e+27       6.424817398311e+02       9.509636662044e-07       1.791957019365e+01 
       9.391495722112e+11       8.570864003526e-22       4.935864126310e-07       1.902704192849e+18       1.532287549665e+04       1.631569235618e-08       1.439047196774e+16       2.849724410137e-07       2.140514292290e+36       2.044204928448e+27       9.216433401480e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.479768942217e+36       3.620283245484e+36       8.923691557057e+27       6.380156304012e+02       1.069834124474e-06       1.592850683875e+01 
