# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.69419 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.088789115346e+01 
       2.213282621459e-05       1.354314173356e+02 
       3.466587282303e-05       2.085049479003e+02 
       4.727071977686e-05       2.809383179308e+02 
       5.997956299560e-05       3.531816642377e+02 
       7.282535183941e-05       4.255607252311e+02 
       8.584206723243e-05       4.985151558138e+02 
       9.906501130253e-05       5.719762766316e+02 
       1.125311120654e-04       6.462043184487e+02 
       1.262792467115e-04       7.226624961417e+02 
       1.403505870709e-04       7.989765769903e+02 
       1.547889708013e-04       8.787924558301e+02 
       1.696413017425e-04       9.591183725122e+02 
       1.849579826452e-04       1.041504120838e+03 
       2.007933830559e-04       1.126214410387e+03 
       2.172063444330e-04       1.216126586706e+03 
       2.342607234637e-04       1.305792699251e+03 
       2.520259729051e-04       1.402437791117e+03 
       2.705777568982e-04       1.500962282853e+03 
       2.899985943705e-04       1.602692051549e+03 
       3.103785195937e-04       1.711608234535e+03 
       3.318157428913e-04       1.824298162371e+03 
       3.544172866072e-04       1.940159592743e+03 
       3.782995614848e-04       2.067244552093e+03 
       4.035888364433e-04       2.198100807916e+03 
       4.304215404966e-04       2.337836944798e+03 
       4.589443198121e-04       2.484541696251e+03 
       4.893137568887e-04       2.638893135768e+03 
       5.216956447550e-04       2.805195950944e+03 
       5.562637003198e-04       2.980573441099e+03 
       5.931976022281e-04       3.167534652015e+03 
       6.326802554607e-04       3.365508901948e+03 
       6.748942233913e-04       3.575620707814e+03 
       7.200173326088e-04       3.799073277028e+03 
       7.682175473908e-04       4.035850186046e+03 
       8.196473237342e-04       4.286316385769e+03 
       8.744377733060e-04       4.551125573712e+03 
       9.326930730744e-04       4.830554020772e+03 
       9.944856190913e-04       5.124731616447e+03 
       1.059852417399e-03       5.432392687931e+03 
       1.128793117221e-03       5.753468213690e+03 
       1.201269926795e-03       6.087180520605e+03 
       1.277209437261e-03       6.433274363679e+03 
       1.356506157483e-03       6.790049504584e+03 
       1.439027378032e-03       7.156834496077e+03 
       1.524618870084e-03       7.532311975234e+03 
       1.613110898333e-03       7.915074809288e+03 
       1.704324077755e-03       8.304317359492e+03 
       1.798074708066e-03       8.698487521941e+03 
       1.894179347126e-03       9.096422269057e+03 
       1.992458508815e-03       9.497108080635e+03 
       2.092739474052e-03       9.899307685008e+03 
       2.194858277496e-03       1.030244136034e+04 
       2.298660976805e-03       1.070534991575e+04 
       2.404004330810e-03       1.110722329082e+04 
       2.510756014215e-03       1.150755892895e+04 
       2.618794486189e-03       1.190555385041e+04 
       2.728008613926e-03       1.230067011264e+04 
       2.838297133901e-03       1.269241427644e+04 
       2.949568015754e-03       1.308042467867e+04 
       3.061737777799e-03       1.346427850752e+04 
       3.174730789801e-03       1.384366709531e+04 
       3.288478587875e-03       1.421830282327e+04 
       3.402919217963e-03       1.458809284873e+04 
       3.517996618063e-03       1.495257372594e+04 
       3.633660044723e-03       1.531163023171e+04 
       3.749863546051e-03       1.566529259082e+04 
       3.866565481224e-03       1.601330177887e+04 
       3.983728084983e-03       1.635565068662e+04 
       4.101317074689e-03       1.669226104190e+04 
       4.219301296986e-03       1.702301393889e+04 
       4.337652410877e-03       1.734789426706e+04 
       4.456344603981e-03       1.766698682120e+04 
       4.575354338810e-03       1.798016716658e+04 
       4.694660126065e-03       1.828744192883e+04 
       4.814242322160e-03       1.858878186403e+04 
       4.934082948403e-03       1.888429676725e+04 
       5.054165529476e-03       1.917411199046e+04 
       5.174474949126e-03       1.945604656443e+04 
       5.294997321141e-03       1.972482728036e+04 
       5.415719873926e-03       2.000366562120e+04 
       5.536630847158e-03       2.026128283162e+04 
       5.657719399177e-03       2.053165698317e+04 
       5.778975523920e-03       2.079122886767e+04 
       5.900389976334e-03       2.102811933580e+04 
       6.021954205332e-03       2.128607408520e+04 
       6.143660293468e-03       2.151637371495e+04 
       6.265500902594e-03       2.175594613994e+04 
       6.387469224844e-03       2.198705393817e+04 
       6.509558938384e-03       2.220085574800e+04 
       6.631764167411e-03       2.242642896355e+04 
       6.754079445943e-03       2.263701093040e+04 
       6.876499685025e-03       2.284743561758e+04 
       6.999020142970e-03       2.304780284347e+04 
       7.121636398339e-03       2.323557454755e+04 
       7.244344325377e-03       2.344072402601e+04 
       7.367140071652e-03       2.362109537806e+04 
       7.490020037682e-03       2.380223864189e+04 
       7.612980858351e-03       2.397863458192e+04 
       7.736019385939e-03       2.415148715099e+04 
       7.859132674613e-03       2.433049494432e+04 
       7.982317966231e-03       2.449113678372e+04 
       8.105572677339e-03       2.465576931528e+04 
       8.228894387258e-03       2.480370834534e+04 
       8.352280827139e-03       2.495265273226e+04 
       8.475729869914e-03       2.511187186710e+04 
       8.599239521064e-03       2.525415151217e+04 
       8.722807910107e-03       2.539112127752e+04 
       8.846433282777e-03       2.552183792379e+04 
       8.970113993797e-03       2.565835943522e+04 
       9.093848500226e-03       2.578333863981e+04 
       9.217635355308e-03       2.590637385712e+04 
       9.341473202787e-03       2.601736545910e+04 
       9.465360771663e-03       2.614189156272e+04 
       9.589296871323e-03       2.624358615205e+04 
       9.713280387043e-03       2.635687820236e+04 
       9.837310275822e-03       2.645764601948e+04 
       9.961385562511e-03       2.656178696315e+04 
       1.008550533623e-02       2.665137283892e+04 
       1.020966874705e-02       2.675203553388e+04 
       1.033387500288e-02       2.684166593007e+04 
       1.045812336662e-02       2.692530016827e+04 
       1.058241315349e-02       2.700347050049e+04 
       1.070674372852e-02       2.708203108672e+04 
       1.083111450429e-02       2.716437884804e+04 
       1.095552493877e-02       2.722988994684e+04 
       1.107997453330e-02       2.730450619159e+04 
       1.120446283075e-02       2.736980626061e+04 
       1.132898941379e-02       2.742651977979e+04 
       1.145355390329e-02       2.749197084195e+04 
       1.157815595681e-02       2.754545092211e+04 
       1.170279526720e-02       2.760157200228e+04 
       1.182747156132e-02       2.764995763959e+04 
       1.195218459880e-02       2.770197625017e+04 
       1.207693417096e-02       2.774430566212e+04 
       1.220172009975e-02       2.778595058665e+04 
       1.232654223676e-02       2.782786298733e+04 
       1.245140046234e-02       2.786293149283e+04 
       1.257629468476e-02       2.789193992963e+04 
       1.270122483943e-02       2.792009422333e+04 
       1.282619088819e-02       2.795720775733e+04 
       1.295119281865e-02       2.798207028823e+04 
       1.307623064355e-02       2.800089299791e+04 
       1.320130440025e-02       2.802464257303e+04 
       1.332641415014e-02       2.804488653109e+04 
       1.345155997823e-02       2.805978006630e+04 
       1.357674199267e-02       2.806576638595e+04 
       1.370196032439e-02       2.807907255639e+04 
       1.382721512669e-02       2.809201845581e+04 
       1.395250657497e-02       2.809773338675e+04 
       1.407783486639e-02       2.809864284273e+04 
       1.420320021965e-02       2.810469373683e+04 
       1.432860287473e-02       2.809767177019e+04 
       1.445404309269e-02       2.810066526636e+04 
       1.457952115551e-02       2.809636854434e+04 
       1.470503736594e-02       2.808758762609e+04 
