# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 1.75251 h/Mpc,
# number of wavenumbers equal to 568
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052806000424e-05       4.927691733734e+01 
       2.352798866962e-05       1.067995419454e+02 
       3.657443073915e-05       1.632503600545e+02 
       4.970314163636e-05       2.192669600095e+02 
       6.295047861114e-05       2.752091612014e+02 
       7.635373091990e-05       3.313449202372e+02 
       8.995146074458e-05       3.879023524720e+02 
       1.037838594621e-04       4.450909868982e+02 
       1.178931239114e-04       5.031126405510e+02 
       1.323238573375e-04       5.621679779726e+02 
       1.471234996984e-04       6.224610547872e+02 
       1.623427919434e-04       6.842028440664e+02 
       1.780362786698e-04       7.476142297805e+02 
       1.942628531425e-04       8.129287416907e+02 
       2.110863479157e-04       8.803951757414e+02 
       2.285761730804e-04       9.502801619205e+02 
       2.468080022845e-04       1.022870752554e+03 
       2.658645038890e-04       1.098477013588e+03 
       2.858361106276e-04       1.177434618823e+03 
       3.068218155592e-04       1.260107377944e+03 
       3.289299745293e-04       1.346889638376e+03 
       3.522790853348e-04       1.438208407447e+03 
       3.769985009328e-04       1.534525028796e+03 
       4.032290180931e-04       1.636336174964e+03 
       4.311232639837e-04       1.744173832736e+03 
       4.608457820068e-04       1.858603917978e+03 
       4.925726964871e-04       1.980223053963e+03 
       5.264908166484e-04       2.109653022570e+03 
       5.627960286048e-04       2.247532337758e+03 
       6.016908266391e-04       2.394504563596e+03 
       6.433808602018e-04       2.551202922863e+03 
       6.880704293333e-04       2.718231260472e+03 
       7.359569547286e-04       2.896141566622e+03 
       7.872245793412e-04       3.085409006890e+03 
       8.420372158760e-04       3.286405849986e+03 
       9.005315152251e-04       3.499376271609e+03 
       9.628103593433e-04       3.724414444702e+03 
       1.028937537727e-03       3.961448458818e+03 
       1.098934216783e-03       4.210232187106e+03 
       1.172777645445e-03       4.470346543526e+03 
       1.250402279829e-03       4.741210604164e+03 
       1.331703205856e-03       5.022101487452e+03 
       1.416541458199e-03       5.312180929225e+03 
       1.504750636392e-03       5.610526102959e+03 
       1.596144137883e-03       5.916161330505e+03 
       1.690522363043e-03       6.228088040342e+03 
       1.787679369961e-03       6.545311487084e+03 
       1.887408624836e-03       6.866862468415e+03 
       1.989507665924e-03       7.191814733878e+03 
       2.093781645696e-03       7.519277684525e+03 
       2.200045822523e-03       7.848461682907e+03 
       2.308127137792e-03       8.178625573733e+03 
       2.417865043097e-03       8.509096087248e+03 
       2.529111744650e-03       8.839267217099e+03 
       2.641732018085e-03       9.168596591694e+03 
       2.755602724490e-03       9.496601550266e+03 
       2.870612133513e-03       9.822856157194e+03 
       2.986659135393e-03       1.014698543225e+04 
       3.103652402650e-03       1.046865914137e+04 
       3.221509544663e-03       1.078759082577e+04 
       3.340156284520e-03       1.110353050376e+04 
       3.459525676944e-03       1.141626176407e+04 
       3.579557378288e-03       1.172559746273e+04 
       3.700196974019e-03       1.203137736220e+04 
       3.821395365211e-03       1.233346404726e+04 
       3.943108213012e-03       1.263174457707e+04 
       4.065295438426e-03       1.292611851371e+04 
       4.187920773770e-03       1.321650554206e+04 
       4.310951361730e-03       1.350284204075e+04 
       4.434357397751e-03       1.378507213367e+04 
       4.558111811575e-03       1.406315590900e+04 
       4.682189983919e-03       1.433706035568e+04 
       4.806569494541e-03       1.460673626028e+04 
       4.931229898269e-03       1.487221726275e+04 
       5.056152525843e-03       1.513347501894e+04 
       5.181320306778e-03       1.539049637278e+04 
       5.306717611700e-03       1.564327552751e+04 
       5.432330111936e-03       1.589192192884e+04 
       5.558144654338e-03       1.613634886364e+04 
       5.684149149601e-03       1.637583568251e+04 
       5.810332472508e-03       1.661187559946e+04 
       5.936684372731e-03       1.684380691918e+04 
       6.063195394970e-03       1.707155964825e+04 
       6.189856807392e-03       1.729521358780e+04 
       6.316660537395e-03       1.751484970523e+04 
       6.443599113903e-03       1.773047345398e+04 
       6.570665615451e-03       1.794221706679e+04 
       6.697853623420e-03       1.815003022962e+04 
       6.825157179866e-03       1.835361807130e+04 
       6.952570749429e-03       1.855322659983e+04 
       7.080089184907e-03       1.874912977882e+04 
       7.207707696075e-03       1.894113969675e+04 
       7.335421821442e-03       1.912944480905e+04 
       7.463227402606e-03       1.931391689598e+04 
       7.591120560963e-03       1.949450523897e+04 
       7.719097676518e-03       1.967152161426e+04 
       7.847155368593e-03       1.984493112804e+04 
       7.975290478236e-03       2.001528473026e+04 
       8.103500052167e-03       2.018147081080e+04 
       8.231781328109e-03       2.034411129663e+04 
       8.360131721374e-03       2.050329516576e+04 
       8.488548812578e-03       2.065897985123e+04 
       8.617030336387e-03       2.081122438418e+04 
       8.745574171185e-03       2.096010707192e+04 
       8.874178329593e-03       2.110561553565e+04 
       9.002840949754e-03       2.124780409322e+04 
       9.131560287312e-03       2.138665192930e+04 
       9.260334708030e-03       2.152230823817e+04 
       9.389162680985e-03       2.165477309755e+04 
       9.518042772295e-03       2.178404828493e+04 
       9.646973639328e-03       2.191017768394e+04 
       9.775954025348e-03       2.203249885999e+04 
       9.904982754575e-03       2.215320715427e+04 
       1.003405872761e-02       2.227014358703e+04 
       1.016318091719e-02       2.238415166282e+04 
       1.029234836428e-02       2.249504775139e+04 
       1.042156017445e-02       2.260307952592e+04 
       1.055081551448e-02       2.270829911142e+04 
       1.068011360924e-02       2.281050613173e+04 
       1.080945373879e-02       2.291001096234e+04 
       1.093883523571e-02       2.300658799821e+04 
       1.106825748256e-02       2.310044694326e+04 
       1.119771990958e-02       2.319159504853e+04 
       1.132722199252e-02       2.328003864825e+04 
       1.145676325063e-02       2.336582859996e+04 
       1.158634324479e-02       2.344893618772e+04 
       1.171596157578e-02       2.352945275530e+04 
       1.184561788267e-02       2.360747022029e+04 
       1.197531184130e-02       2.368278430753e+04 
       1.210504316287e-02       2.375565271349e+04 
       1.223481159270e-02       2.382599654699e+04 
       1.236461690895e-02       2.389390386384e+04 
       1.249445892155e-02       2.395937872714e+04 
       1.262433747112e-02       2.402243974250e+04 
       1.275425242804e-02       2.408319380279e+04 
       1.288420369153e-02       2.414153060973e+04 
       1.301419118880e-02       2.419760850742e+04 
       1.314421487432e-02       2.425134718876e+04 
       1.327427472910e-02       2.430224761760e+04 
       1.340437076000e-02       2.435213293668e+04 
       1.353450299915e-02       2.439918460024e+04 
       1.366467150340e-02       2.444410548466e+04 
       1.379487635377e-02       2.448680325706e+04 
       1.392511765505e-02       2.452745216631e+04 
       1.405539553528e-02       2.456604196846e+04 
       1.418571014544e-02       2.460234136401e+04 
       1.431606165907e-02       2.463683211472e+04 
       1.444645027193e-02       2.466909467764e+04 
       1.457687620176e-02       2.469870130015e+04 
       1.470733968799e-02       2.472778150188e+04 
       1.483784099153e-02       2.475429883236e+04 
       1.496838039459e-02       2.477879938380e+04 
       1.509895820051e-02       2.480147134873e+04 
       1.522957473361e-02       2.482222784854e+04 
       1.536023033907e-02       2.484104180197e+04 
       1.549092538288e-02       2.485807988663e+04 
       1.562166025174e-02       2.487258099448e+04 
       1.575243535302e-02       2.488685466572e+04 
       1.588325111476e-02       2.489778514788e+04 
       1.601410798567e-02       2.490855907021e+04 
       1.614500643511e-02       2.491585772266e+04 
       1.627594695321e-02       2.492269798963e+04 
       1.640693005086e-02       2.492746107170e+04 
       1.653795625983e-02       2.493179742687e+04 
       1.666902613286e-02       2.493264641384e+04 
       1.680014024379e-02       2.493265913352e+04 
       1.693129918767e-02       2.493112897499e+04 
       1.706250358096e-02       2.492811792951e+04 
       1.719375406164e-02       2.492445611353e+04 
       1.732505128947e-02       2.491733886879e+04 
       1.745639594614e-02       2.490967620937e+04 
       1.758778873553e-02       2.490165396615e+04 
       1.771923038393e-02       2.489065640031e+04 
       1.785072164032e-02       2.487859104405e+04 
       1.798226327661e-02       2.486517640895e+04 
       1.811385608796e-02       2.485051789174e+04 
       1.824550089308e-02       2.483471753894e+04 
       1.837719853456e-02       2.481670639125e+04 
       1.850894987919e-02       2.479845571764e+04 
       1.864075581835e-02       2.477837300047e+04 
       1.877261726834e-02       2.475692824166e+04 
       1.890453517083e-02       2.473522184026e+04 
       1.903651049323e-02       2.471062478957e+04 
       1.916854422910e-02       2.468545823950e+04 
       1.930063739865e-02       2.465996028848e+04 
       1.943279104915e-02       2.463155221444e+04 
       1.956500625544e-02       2.460303991221e+04 
       1.969728412041e-02       2.457413577552e+04 
       1.982962577552e-02       2.454321912235e+04 
       1.996203238135e-02       2.451130016237e+04 
       2.009450512813e-02       2.447821367062e+04 
       2.022704523634e-02       2.444391414733e+04 
       2.035965395727e-02       2.440802338786e+04 
       2.049233257367e-02       2.437148261449e+04 
       2.062508240036e-02       2.433435130365e+04 
       2.075790478489e-02       2.429673237484e+04 
       2.089080110824e-02       2.425672254322e+04 
       2.102377278547e-02       2.421647679705e+04 
       2.115682126651e-02       2.417612017270e+04 
       2.128994803684e-02       2.413304988627e+04 
       2.142315461831e-02       2.408997778451e+04 
