# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.409458968114e-10       4.660103810187e-15       3.795506917657e-13       0.000000000000e+00       8.499656061601e-09       4.542515802599e-10      -1.982470468605e-12 
    3       1.334411381648e-10       6.336014066389e-15       4.346270632210e-13       0.000000000000e+00       5.227126991884e-09       3.229149047342e-10      -1.553099871750e-12 
    4       1.262197223167e-10       5.845729557966e-15       4.139496966942e-13       0.000000000000e+00       3.631564385316e-09       2.449301849452e-10      -1.067244145451e-12 
    5       1.207338895476e-10       4.174292851478e-15       3.588338736978e-13       0.000000000000e+00       2.709730895059e-09       1.936207506415e-10      -6.412930262259e-13 
    6       1.169060041088e-10       2.469791287078e-15       2.936797478960e-13       0.000000000000e+00       2.116395174331e-09       1.576070756619e-10      -3.106137567479e-13 
    7       1.144211423809e-10       1.340511420678e-15       2.331371129638e-13       0.000000000000e+00       1.707449962220e-09       1.312239298601e-10      -8.287465234074e-14 
    8       1.129118976157e-10       8.086933956029e-16       1.842680358282e-13       0.000000000000e+00       1.411328469429e-09       1.112031646102e-10       5.039253018945e-14 
    9       1.121501397109e-10       6.202990726782e-16       1.494437953074e-13       0.000000000000e+00       1.188556915564e-09       9.554216369345e-11       1.070368904237e-13 
   10       1.119425613285e-10       5.388043201841e-16       1.281471245516e-13       0.000000000000e+00       1.015888865097e-09       8.306357861497e-11       1.094185294223e-13 
   11       1.121614236704e-10       4.625752806235e-16       1.182120842472e-13       0.000000000000e+00       8.560211257926e-10       7.333931002499e-11       8.038801186742e-14 
