# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       9.999999999990e+11       7.559518496383e-22       4.635512595996e-07       2.157256296447e+18       1.414490190549e+04       1.414490190549e-08       1.414490190549e+16       2.676317460009e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       3.510489637255e-08       1.902194177205e+36       4.653754728561e+36       1.340743317545e+28       6.946560561954e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171738e-22       4.667963366956e-07       2.127368890924e+18       1.414490190549e+04       1.424391621883e-08       1.404657587437e+16       2.695051682223e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       3.510489637255e-08       1.849851924417e+36       4.525698398072e+36       1.312977335480e+28       9.691304656069e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902528e-22       4.700650606537e-07       2.097895556279e+18       1.414490190549e+04       1.434362363236e-08       1.394893334098e+16       2.713917043992e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       3.510489637255e-08       1.798949961721e+36       4.401165765057e+36       1.285786370087e+28       1.938260931133e-07       7.167828077440e+01 
       9.792906056642e+11       7.882626650638e-22       4.733537934953e-07       2.068830555826e+18       1.414490190548e+04       1.444402899778e-08       1.385196955410e+16       2.732914463293e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       3.510489637255e-08       1.749448656976e+36       4.280059868719e+36       1.259158513118e+28       2.907391396648e-07       4.778552051657e+01 
       9.724832231024e+11       7.993369672449e-22       4.766679921886e-07       2.040168232355e+18       1.414490190548e+04       1.454513720076e-08       1.375567979552e+16       2.752044864529e-07       2.460976933108e+36       2.269689713130e+27       1.023304649743e+25       3.510489637255e-08       1.701309468590e+36       4.162286416309e+36       1.233082102940e+28       3.876521862152e-07       3.583914038744e+01 
       9.657231609756e+11       8.105668522972e-22       4.800040187547e-07       2.011903007034e+18       1.414490190548e+04       1.464695316117e-08       1.366005937986e+16       2.771309178573e-07       2.393258779892e+36       2.222685813843e+27       1.002112630227e+25       3.510489637255e-08       1.654494915511e+36       4.047753709711e+36       1.207545719423e+28       4.845652327645e-07       2.867131230990e+01 
       9.590100903431e+11       8.219545060044e-22       4.833655111725e-07       1.984029378322e+18       1.414490190547e+04       1.474948183329e-08       1.356510365428e+16       2.790708342815e-07       2.327404011990e+36       2.176655336841e+27       9.813594845994e+24       3.510489637255e-08       1.608968548044e+36       3.936372574046e+36       1.182538178942e+28       5.814782793127e-07       2.389276025818e+01 
       9.523436845512e+11       8.335021448585e-22       4.867488314630e-07       1.956541920900e+18       1.414490190547e+04       1.485272820612e-08       1.347080799828e+16       2.810243301207e-07       2.263361355044e+36       2.131578123140e+27       9.610361240486e+24       3.510489637255e-08       1.564694919474e+36       3.828056288240e+36       1.158048529478e+28       6.783913258599e-07       2.047950879265e+01 
       9.457236192166e+11       8.452120164906e-22       4.901557986159e-07       1.929435284611e+18       1.414490190547e+04       1.495669730356e-08       1.337716782352e+16       2.829915004307e-07       2.201080945601e+36       2.087434431232e+27       9.411336479857e+24       3.510489637255e-08       1.521639558464e+36       3.722720517502e+36       1.134066045823e+28       7.753043724061e-07       1.791957019350e+01 
       9.391495722111e+11       8.570864001092e-22       4.935864126310e-07       1.902704193422e+18       1.414490190546e+04       1.506139418468e-08       1.328417857350e+16       2.849724409329e-07       2.140514292289e+36       2.044204928448e+27       9.216433401478e+24       3.510489637255e-08       1.479768942217e+36       3.620283247665e+36       1.110580224878e+28       8.722174189513e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069431e-22       4.970424924977e-07       1.876343444396e+18       1.414490190546e+04       1.516682394397e-08       1.319183572343e+16       2.869672480185e-07       2.081614238065e+36       2.001870682483e+27       9.025566647806e+24       3.510489637255e-08       1.439050470375e+36       3.520664721326e+36       1.087580781061e+28       9.691304654954e-07       1.433565615469e+01 
       9.261382558545e+11       8.813379806916e-22       5.005204002373e-07       1.850347906679e+18       1.414490190546e+04       1.527299171158e-08       1.310013477997e+16       2.889760187537e-07       2.024334923491e+36       1.960413153113e+27       8.838652629002e+24       3.510489637255e-08       1.399452439639e+36       3.423787375750e+36       1.065057641795e+28       1.066043512039e-06       1.303241468603e+01 
       9.197003533808e+11       8.937198979808e-22       5.040255928179e-07       1.824712520502e+18       1.414490190545e+04       1.537990265356e-08       1.300907128100e+16       2.909988508841e-07       1.968631751037e+36       1.919814184066e+27       8.655609486319e+24       3.510489637255e-08       1.360944019080e+36       3.329575782476e+36       1.043000943101e+28       1.162956558581e-06       1.194638012881e+01 
