# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482093142947e-10       4.419003221194e-15       3.765883248302e-13       0.000000000000e+00       8.828254793149e-09       4.818661572551e-10      -1.967917560922e-12 
    3       1.401132059835e-10       5.665119621964e-15       4.221023394295e-13       0.000000000000e+00       5.424565140558e-09       3.417536596834e-10      -1.490646997661e-12 
    4       1.324742026746e-10       4.899588982576e-15       3.936256881705e-13       0.000000000000e+00       3.770202228573e-09       2.588165246510e-10      -9.768863758058e-13 
    5       1.267373657555e-10       3.260970409517e-15       3.338883111198e-13       0.000000000000e+00       2.814204119695e-09       2.044479676650e-10      -5.442443940844e-13 
    6       1.227804735271e-10       1.808088571740e-15       2.672571911523e-13       0.000000000000e+00       2.198548653575e-09       1.663460020303e-10      -2.250233070523e-13 
    7       1.201731490180e-10       9.578683278738e-16       2.078075281561e-13       0.000000000000e+00       1.774116202098e-09       1.383658556045e-10      -2.075320333320e-14 
    8       1.186223618801e-10       6.030585828316e-16       1.616939001716e-13       0.000000000000e+00       1.466642356427e-09       1.171441854918e-10       8.425790192236e-14 
    9       1.178638910696e-10       4.778289383572e-16       1.302912358036e-13       0.000000000000e+00       1.235224309777e-09       1.006898249768e-10       1.145763159678e-13 
   10       1.176449891119e-10       4.039324782125e-16       1.122346942382e-13       0.000000000000e+00       1.055793564697e-09       8.766948275161e-11       9.749977706387e-14 
   11       1.179100778596e-10       3.339601911145e-16       1.047236707212e-13       0.000000000000e+00       8.901597524124e-10       7.748508015512e-11       5.854306670984e-14 
   12       1.184885947718e-10       2.830760416336e-16       1.045439585200e-13       0.000000000000e+00       7.778867106965e-10       6.849340283508e-11       1.645716778638e-14 
   13       1.193296265440e-10       2.631053605127e-16       1.088583511982e-13       0.000000000000e+00       6.857144800902e-10       6.119905603377e-11      -1.598770416630e-14 
