# Matter power spectrum P(k) at redshift z=0
# for k=1.04427e-05 to 1.65666 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044266608752e-05       5.256160036521e+01 
       2.352657312801e-05       1.148077922334e+02 
       3.665747700377e-05       1.758848692693e+02 
       4.987183091680e-05       2.364912783279e+02 
       6.320670568264e-05       2.970201025978e+02 
       7.670013073674e-05       3.577640524476e+02 
       9.039144631628e-05       4.189724614746e+02 
       1.043216716404e-04       4.808745345794e+02 
       1.185338939475e-04       5.436912285919e+02 
       1.330736832839e-04       6.076424313304e+02 
       1.479895379356e-04       6.729519404582e+02 
       1.633333653181e-04       7.398513368842e+02 
       1.791610029113e-04       8.085832884350e+02 
       1.955327833694e-04       8.794045683180e+02 
       2.125141471293e-04       9.525889472823e+02 
       2.301763045253e-04       1.028430048072e+03 
       2.485969473854e-04       1.107244205394e+03 
       2.678610070756e-04       1.189373339616e+03 
       2.880614516386e-04       1.275187819833e+03 
       3.093001086431e-04       1.365089256936e+03 
       3.316884921778e-04       1.459513126377e+03 
       3.553486016132e-04       1.558931071027e+03 
       3.804136459084e-04       1.663852675080e+03 
       4.070286301241e-04       1.774826430215e+03 
       4.353507205981e-04       1.892439536785e+03 
       4.655492828033e-04       2.017316100849e+03 
       4.978054632253e-04       2.150113212161e+03 
       5.323111672007e-04       2.291514334979e+03 
       5.692672740263e-04       2.442219436217e+03 
       6.088809363186e-04       2.602931344288e+03 
       6.513618415753e-04       2.774338010712e+03 
       6.969173790383e-04       2.957090664646e+03 
       7.457467600056e-04       3.151778320747e+03 
       7.980342830633e-04       3.358899703561e+03 
       8.539421039327e-04       3.578834320088e+03 
       9.136030352277e-04       3.811815027470e+03 
       9.771140248607e-04       4.057904846523e+03 
       1.044531000495e-03       4.316980802450e+03 
       1.115865690000e-03       4.588727119540e+03 
       1.191084829620e-03       4.872639149302e+03 
       1.270111882562e-03       5.168038099783e+03 
       1.352831070846e-03       5.474095213130e+03 
       1.439093243643e-03       5.789862831280e+03 
       1.528722924689e-03       6.114309086853e+03 
       1.621525826926e-03       6.446352908147e+03 
       1.717296185878e-03       6.784896574644e+03 
       1.815823408688e-03       7.128853954057e+03 
       1.916897717171e-03       7.477173473803e+03 
       2.020314639387e-03       7.828845386151e+03 
       2.125878347913e-03       8.182933106909e+03 
       2.233403942551e-03       8.538583355922e+03 
       2.342718831480e-03       8.895007332343e+03 
       2.453663386019e-03       9.251491404807e+03 
       2.566091040610e-03       9.607394983365e+03 
       2.679867991525e-03       9.962146906791e+03 
       2.794872622908e-03       1.031524092898e+04 
       2.910994762521e-03       1.066623068668e+04 
       3.028134845151e-03       1.101472442567e+04 
       3.146203040641e-03       1.136037973613e+04 
       3.265118386415e-03       1.170289852110e+04 
       3.384807951037e-03       1.204202234782e+04 
       3.505206045274e-03       1.237752821239e+04 
       3.626253489858e-03       1.270922467224e+04 
       3.747896943909e-03       1.303694833592e+04 
       3.870088294527e-03       1.336056071522e+04 
       3.992784105686e-03       1.367994543007e+04 
       4.115945123222e-03       1.399500572315e+04 
       4.239535831865e-03       1.430566222711e+04 
       4.363524059946e-03       1.461185094117e+04 
       4.487880627340e-03       1.491352139778e+04 
       4.612579032324e-03       1.521063501971e+04 
       4.737595173267e-03       1.550316373270e+04 
       4.862907101374e-03       1.579108885938e+04 
       4.988494801028e-03       1.607439936107e+04 
       5.114339994586e-03       1.635309123187e+04 
       5.240425968852e-03       1.662716662322e+04 
       5.366737420689e-03       1.689663093757e+04 
       5.493260319575e-03       1.716149768790e+04 
       5.619981785112e-03       1.742178448152e+04 
       5.746889977762e-03       1.767751164799e+04 
       5.873974001272e-03       1.792870282332e+04 
       6.001223815436e-03       1.817538460094e+04 
       6.128630158009e-03       1.841758613069e+04 
       6.256184474722e-03       1.865533878152e+04 
       6.383878856488e-03       1.888867586041e+04 
       6.511705982981e-03       1.911763230871e+04 
       6.639659071880e-03       1.934224444372e+04 
       6.767731833146e-03       1.956254972954e+04 
       6.895918427798e-03       1.977858656127e+04 
       7.024213430666e-03       1.999039409921e+04 
       7.152611796733e-03       2.019801212597e+04 
       7.281108830651e-03       2.040148092078e+04 
       7.409700159115e-03       2.060084117647e+04 
       7.538381705793e-03       2.079613391500e+04 
       7.667149668543e-03       2.098740042483e+04 
       7.796000498694e-03       2.117468221004e+04 
       7.924930882172e-03       2.135802092409e+04 
       8.053937722295e-03       2.153745832428e+04 
       8.183018124065e-03       2.171303621026e+04 
       8.312169379824e-03       2.188479636138e+04 
       8.441388956119e-03       2.205278048538e+04 
       8.570674481691e-03       2.221703014804e+04 
       8.700023736453e-03       2.237758672917e+04 
       8.829434641386e-03       2.253449137034e+04 
       8.958905249255e-03       2.268778493333e+04 
       9.088433736079e-03       2.283750798067e+04 
       9.218018393279e-03       2.298370074415e+04 
       9.347657620455e-03       2.312640313259e+04 
       9.477349918719e-03       2.326565472576e+04 
       9.607093884554e-03       2.340149479375e+04 
       9.736888204144e-03       2.353396230735e+04 
       9.866731648135e-03       2.366309594892e+04 
       9.996623066789e-03       2.378893412214e+04 
       1.012656138551e-02       2.391151494267e+04 
       1.025654560069e-02       2.403087623820e+04 
       1.038657477588e-02       2.414705552135e+04 
       1.051664803823e-02       2.426008997715e+04 
       1.064676457515e-02       2.437001643004e+04 
       1.077692363133e-02       2.447687132218e+04 
       1.090712450582e-02       2.458069069069e+04 
       1.103736654941e-02       2.468151015360e+04 
       1.116764916223e-02       2.477936490894e+04 
       1.129797179141e-02       2.487428974221e+04 
       1.142833392898e-02       2.496631905149e+04 
       1.155873510993e-02       2.505548687727e+04 
       1.168917491035e-02       2.514182694356e+04 
       1.181965294573e-02       2.522537269586e+04 
       1.195016886942e-02       2.530615734198e+04 
       1.208072237109e-02       2.538421388214e+04 
       1.221131317543e-02       2.545957512602e+04 
       1.234194104083e-02       2.553227371497e+04 
       1.247260575822e-02       2.560234211744e+04 
       1.260330715000e-02       2.566981262106e+04 
       1.273404506894e-02       2.573471727003e+04 
       1.286481939733e-02       2.579708764458e+04 
       1.299563004604e-02       2.585695447342e+04 
       1.312647695372e-02       2.591434743478e+04 
       1.325736008609e-02       2.596929563631e+04 
       1.338827943517e-02       2.602182835896e+04 
       1.351923501872e-02       2.607197522090e+04 
       1.365022687957e-02       2.611976589281e+04 
       1.378125508516e-02       2.616523044706e+04 
       1.391231972698e-02       2.620839552496e+04 
       1.404342092013e-02       2.624929257250e+04 
       1.417455880293e-02       2.628794895680e+04 
       1.430573353651e-02       2.632439284688e+04 
       1.443694530450e-02       2.635865213254e+04 
       1.456819431270e-02       2.639075444631e+04 
       1.469948078881e-02       2.642072717529e+04 
       1.483080498221e-02       2.644859746812e+04 
       1.496216716374e-02       2.647439224038e+04 
       1.509356762549e-02       2.649813817885e+04 
       1.522500668068e-02       2.651986174504e+04 
       1.535648466351e-02       2.653958917908e+04 
       1.548800192908e-02       2.655734650312e+04 
       1.561955885328e-02       2.657315952415e+04 
       1.575115583275e-02       2.658705383659e+04 
       1.588279328485e-02       2.659905482652e+04 
       1.601447164763e-02       2.660918767439e+04 
       1.614619137987e-02       2.661747735579e+04 
       1.627795296108e-02       2.662394864664e+04 
       1.640975689158e-02       2.662862612455e+04 
       1.654160369255e-02       2.663153417156e+04 
       1.667349390611e-02       2.663269697625e+04 
       1.680542809545e-02       2.663213853624e+04 
       1.693740684496e-02       2.662988266004e+04 
       1.706943076036e-02       2.662595296937e+04 
       1.720150046886e-02       2.662037290113e+04 
       1.733361661934e-02       2.661316570933e+04 
       1.746577988256e-02       2.660435446720e+04 
       1.759799095138e-02       2.659396206802e+04 
       1.773025054095e-02       2.658201122798e+04 
       1.786255938902e-02       2.656852448747e+04 
       1.799491825615e-02       2.655352421277e+04 
       1.812732792601e-02       2.653703259709e+04 
       1.825978920570e-02       2.651907166270e+04 
       1.839230292603e-02       2.649966326154e+04 
       1.852486994187e-02       2.647882907781e+04 
       1.865749113251e-02       2.645659062688e+04 
       1.879016740200e-02       2.643296925953e+04 
       1.892289967955e-02       2.640798615983e+04 
       1.905568891992e-02       2.638166234841e+04 
       1.918853610385e-02       2.635401868298e+04 
       1.932144223847e-02       2.632507585777e+04 
