# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482093153266e-10       4.419003495611e-15       3.765883752134e-13       0.000000000000e+00       8.828259149676e-09       4.818661100817e-10      -1.967917424806e-12 
    3       1.401132071960e-10       5.665119651065e-15       4.221023428836e-13       0.000000000000e+00       5.424563454753e-09       3.417536519540e-10      -1.490646987644e-12 
    4       1.324742033870e-10       4.899589021642e-15       3.936256897676e-13       0.000000000000e+00       3.770201579897e-09       2.588165329843e-10      -9.768863751741e-13 
    5       1.267373661435e-10       3.260970469915e-15       3.338883169422e-13       0.000000000000e+00       2.814203996595e-09       2.044479793172e-10      -5.442443897710e-13 
    6       1.227804737925e-10       1.808088631858e-15       2.672571987651e-13       0.000000000000e+00       2.198548735576e-09       1.663460117151e-10      -2.250233017272e-13 
    7       1.201731491496e-10       9.578683878411e-16       2.078075375325e-13       0.000000000000e+00       1.774116345466e-09       1.383658558578e-10      -2.075319832033e-14 
    8       1.186223618535e-10       6.030586401033e-16       1.616939113797e-13       0.000000000000e+00       1.466642451767e-09       1.171441785190e-10       8.425790684995e-14 
    9       1.178638910619e-10       4.778289916870e-16       1.302912487653e-13       0.000000000000e+00       1.235224298342e-09       1.006898208160e-10       1.145763213054e-13 
   10       1.176449890254e-10       4.039325281436e-16       1.122347089808e-13       0.000000000000e+00       1.055793429865e-09       8.766948450330e-11       9.749978291441e-14 
   11       1.179100777798e-10       3.339602397736e-16       1.047236873202e-13       0.000000000000e+00       8.901597519843e-10       7.748507972314e-11       5.854307246428e-14 
   12       1.184885947085e-10       2.830760924772e-16       1.045439768640e-13       0.000000000000e+00       7.778867103000e-10       6.849340332190e-11       1.645717265726e-14 
   13       1.193296263945e-10       2.631054180365e-16       1.088583711830e-13       0.000000000000e+00       6.857144796649e-10       6.119905729339e-11      -1.598770030158e-14 
   14       1.203900003274e-10       2.659583707062e-16       1.155241361194e-13       0.000000000000e+00       6.090243650620e-10       5.486930605003e-11      -3.401081426434e-14 
   15       1.216486706575e-10       2.790058317111e-16       1.231517660053e-13       0.000000000000e+00       5.444664927971e-10       4.953718567824e-11      -3.771473281605e-14 
   16       1.230183265646e-10       2.991259017132e-16       1.310421519025e-13       0.000000000000e+00       4.895734623201e-10       4.493510444389e-11      -3.112064438630e-14 
   17       1.245385410695e-10       3.318325198503e-16       1.389955096135e-13       0.000000000000e+00       4.424811571301e-10       4.091490270346e-11      -1.966889308238e-14 
   18       1.261385870208e-10       3.829094297588e-16       1.471934911673e-13       0.000000000000e+00       4.016046989540e-10       3.741812752473e-11      -8.559593390311e-15 
   19       1.278305302936e-10       4.529520892942e-16       1.558740973674e-13       0.000000000000e+00       3.662964914503e-10       3.438997755226e-11      -6.059691004118e-16 
   20       1.296088157353e-10       5.401447208424e-16       1.652403507453e-13       0.000000000000e+00       3.351963545719e-10       3.169554106016e-11       2.299161410251e-15 
   21       1.314726668244e-10       6.434882025267e-16       1.752908129492e-13       0.000000000000e+00       3.078165067964e-10       2.928591418547e-11       7.047701034764e-16 
   22       1.333908022113e-10       7.619863317439e-16       1.858627460058e-13       0.000000000000e+00       2.835026493608e-10       2.710604927185e-11      -3.584596344132e-15 
   23       1.353709935473e-10       8.958826360736e-16       1.965603569329e-13       0.000000000000e+00       2.619211318563e-10       2.515248803628e-11      -8.752024098136e-15 
   24       1.374101404719e-10       1.045601409012e-15       2.068810873796e-13       0.000000000000e+00       2.425736816896e-10       2.341214067636e-11      -1.285121235834e-14 
   25       1.395070695263e-10       1.211036190109e-15       2.165843729782e-13       0.000000000000e+00       2.252331299708e-10       2.185688665388e-11      -1.499772211225e-14 
   26       1.416451148605e-10       1.392141413888e-15       2.255027031881e-13       0.000000000000e+00       2.095859796546e-10       2.043976388415e-11      -1.481402935763e-14 
   27       1.438219864451e-10       1.590743484685e-15       2.334859546548e-13       0.000000000000e+00       1.954448219560e-10       1.914655907196e-11      -1.289847652378e-14 
   28       1.460301966918e-10       1.809249430767e-15       2.404235727669e-13       0.000000000000e+00       1.825661688020e-10       1.796458355126e-11      -1.025214519889e-14 
   29       1.482791443472e-10       2.049064563630e-15       2.463788997180e-13       0.000000000000e+00       1.708845009616e-10       1.689123287448e-11      -7.552932186936e-15 
   30       1.505710369815e-10       2.311289816095e-15       2.515121023359e-13       0.000000000000e+00       1.602746481594e-10       1.591680395531e-11      -5.503006622396e-15 
