# Matter power spectrum P(k) at redshift z=0
# for k=1.04427e-05 to 1.65666 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044266608752e-05       5.256160036521e+01 
       2.352657311951e-05       1.148077921935e+02 
       3.665747698669e-05       1.758848691904e+02 
       4.987183089099e-05       2.364912782102e+02 
       6.320670564790e-05       2.970201024408e+02 
       7.670013069277e-05       3.577640522504e+02 
       9.039144626270e-05       4.189724612359e+02 
       1.043216715767e-04       4.808745342974e+02 
       1.185338938733e-04       5.436912282645e+02 
       1.330736831984e-04       6.076424309552e+02 
       1.479895378380e-04       6.729519400322e+02 
       1.633333652077e-04       7.398513364037e+02 
       1.791610027870e-04       8.085832878961e+02 
       1.955327832299e-04       8.794045677161e+02 
       2.125141469734e-04       9.525889466121e+02 
       2.301763043515e-04       1.028430047327e+03 
       2.485969471918e-04       1.107244204568e+03 
       2.678610068604e-04       1.189373338701e+03 
       2.880614513995e-04       1.275187818821e+03 
       3.093001083776e-04       1.365089255815e+03 
       3.316884918830e-04       1.459513125138e+03 
       3.553486012859e-04       1.558931069656e+03 
       3.804136455450e-04       1.663852673565e+03 
       4.070286297204e-04       1.774826428539e+03 
       4.353507201497e-04       1.892439534931e+03 
       4.655492823051e-04       2.017316098799e+03 
       4.978054626719e-04       2.150113209893e+03 
       5.323111665859e-04       2.291514332472e+03 
       5.692672733434e-04       2.442219433448e+03 
       6.088809355606e-04       2.602931341232e+03 
       6.513618407349e-04       2.774338007343e+03 
       6.969173781075e-04       2.957090660938e+03 
       7.457467589766e-04       3.151778316675e+03 
       7.980342819281e-04       3.358899699101e+03 
       8.539421026837e-04       3.578834315218e+03 
       9.136030338576e-04       3.811815022171e+03 
       9.771140233629e-04       4.057904840780e+03 
       1.044530998864e-03       4.316980796252e+03 
       1.115865688231e-03       4.588727112881e+03 
       1.191084827708e-03       4.872639142181e+03 
       1.270111880506e-03       5.168038092206e+03 
       1.352831068644e-03       5.474095205107e+03 
       1.439093241295e-03       5.789862822825e+03 
       1.528722922196e-03       6.114309077983e+03 
       1.621525824288e-03       6.446352898884e+03 
       1.717296183098e-03       6.784896565008e+03 
       1.815823405768e-03       7.128853944074e+03 
       1.916897714114e-03       7.477173463497e+03 
       2.020314636195e-03       7.828845375546e+03 
       2.125878344591e-03       8.182933096028e+03 
       2.233403939100e-03       8.538583344788e+03 
       2.342718827904e-03       8.895007320976e+03 
       2.453663382320e-03       9.251491393227e+03 
       2.566091036792e-03       9.607394971590e+03 
       2.679867987589e-03       9.962146894837e+03 
