# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482093136851e-10       4.419003042518e-15       3.765882925508e-13       0.000000000000e+00       8.828252015226e-09       4.818661873287e-10      -1.967917647245e-12 
    3       1.401132052518e-10       5.665119595044e-15       4.221023367040e-13       0.000000000000e+00       5.424566218123e-09       3.417536646289e-10      -1.490647003412e-12 
    4       1.324742022527e-10       4.899588944757e-15       3.936256861158e-13       0.000000000000e+00       3.770202644173e-09       2.588165193592e-10      -9.768863755058e-13 
    5       1.267373655303e-10       3.260970354740e-15       3.338883057531e-13       0.000000000000e+00       2.814204199650e-09       2.044479602622e-10      -5.442443961116e-13 
    6       1.227804733700e-10       1.808088515186e-15       2.672571839407e-13       0.000000000000e+00       2.198548602459e-09       1.663459958824e-10      -2.250233097349e-13 
    7       1.201731489350e-10       9.578682705284e-16       2.078075190442e-13       0.000000000000e+00       1.774116111664e-09       1.383658554727e-10      -2.075320583816e-14 
    8       1.186223618881e-10       6.030585269608e-16       1.616938890500e-13       0.000000000000e+00       1.466642296553e-09       1.171441899737e-10       8.425789945919e-14 
    9       1.178638910563e-10       4.778288849815e-16       1.302912226687e-13       0.000000000000e+00       1.235224317924e-09       1.006898276695e-10       1.145763132523e-13 
   10       1.176449891400e-10       4.039324267578e-16       1.122346790341e-13       0.000000000000e+00       1.055793651503e-09       8.766948167299e-11       9.749977405586e-14 
   11       1.179100778766e-10       3.339601394877e-16       1.047236533655e-13       0.000000000000e+00       8.901597533026e-10       7.748508046270e-11       5.854306379496e-14 
   12       1.184885947705e-10       2.830759864149e-16       1.045439390586e-13       0.000000000000e+00       7.778867115168e-10       6.849340255478e-11       1.645716552822e-14 
   13       1.193296265918e-10       2.631052972656e-16       1.088583296891e-13       0.000000000000e+00       6.857144808862e-10       6.119905525925e-11      -1.598770571350e-14 
   14       1.203900004046e-10       2.659582254789e-16       1.155240907299e-13       0.000000000000e+00       6.090243662000e-10       5.486930314099e-11      -3.401081879799e-14 
   15       1.216486708979e-10       2.790056525259e-16       1.231517167905e-13       0.000000000000e+00       5.444664938728e-10       4.953718231140e-11      -3.771473792862e-14 
   16       1.230183269386e-10       2.991256783499e-16       1.310420993541e-13       0.000000000000e+00       4.895734633171e-10       4.493510105407e-11      -3.112065095336e-14 
   17       1.245385414950e-10       3.318322420141e-16       1.389954537994e-13       0.000000000000e+00       4.424811580667e-10       4.091489991010e-11      -1.966890098665e-14 
   18       1.261385875318e-10       3.829090884744e-16       1.471934330593e-13       0.000000000000e+00       4.016046997706e-10       3.741812596237e-11      -8.559601943957e-15 
   19       1.278305309473e-10       4.529516733470e-16       1.558740378477e-13       0.000000000000e+00       3.662964923129e-10       3.438997745927e-11      -6.059778761674e-16 
   20       1.296088165739e-10       5.401442161007e-16       1.652402900648e-13       0.000000000000e+00       3.351963554270e-10       3.169554208393e-11       2.299152298431e-15 
   21       1.314726678329e-10       6.434875973055e-16       1.752907511397e-13       0.000000000000e+00       3.078165075867e-10       2.928591552231e-11       7.047604058441e-16 
   22       1.333908033158e-10       7.619856182356e-16       1.858626830971e-13       0.000000000000e+00       2.835026500967e-10       2.710604983255e-11      -3.584606804203e-15 
   23       1.353709947303e-10       8.958818043425e-16       1.965602933821e-13       0.000000000000e+00       2.619211325573e-10       2.515248722179e-11      -8.752035092917e-15 
   24       1.374101417983e-10       1.045600445583e-15       2.068810241091e-13       0.000000000000e+00       2.425736823648e-10       2.341213871241e-11      -1.285122319607e-14 
   25       1.395070710117e-10       1.211035083297e-15       2.165843104749e-13       0.000000000000e+00       2.252331306220e-10       2.185688431560e-11      -1.499773223625e-14 
   26       1.416451164469e-10       1.392140154883e-15       2.255026413348e-13       0.000000000000e+00       2.095859802785e-10       2.043976227073e-11      -1.481403856150e-14 
   27       1.438219881389e-10       1.590742062093e-15       2.334858937818e-13       0.000000000000e+00       1.954448225508e-10       1.914655870679e-11      -1.289848479104e-14 
   28       1.460301985948e-10       1.809247829204e-15       2.404235139074e-13       0.000000000000e+00       1.825661693698e-10       1.796458412477e-11      -1.025215264898e-14 
   29       1.482791465326e-10       2.049062767570e-15       2.463788437870e-13       0.000000000000e+00       1.708845015052e-10       1.689123395554e-11      -7.552938958191e-15 
   30       1.505710394407e-10       2.311287811377e-15       2.515120497952e-13       0.000000000000e+00       1.602746486811e-10       1.591680523643e-11      -5.503012825969e-15 
   31       1.528968801252e-10       2.596972095847e-15       2.559886658708e-13       0.000000000000e+00       1.505204995343e-10       1.502242998883e-11      -4.760573225085e-15 
   32       1.552601251212e-10       2.906987229042e-15       2.597646482067e-13       0.000000000000e+00       1.415718374950e-10       1.419970676742e-11      -5.177886777653e-15 
   33       1.576590429334e-10       3.242093334361e-15       2.627201192685e-13       0.000000000000e+00       1.333655039701e-10       1.343660046995e-11      -6.265641518100e-15 
   34       1.600843604825e-10       3.603006432763e-15       2.647192221747e-13       0.000000000000e+00       1.257868041380e-10       1.271750680988e-11      -7.465846318674e-15 
   35       1.625375845745e-10       3.990548516675e-15       2.656317610108e-13       0.000000000000e+00       1.187970517085e-10       1.204434888953e-11      -8.459347924848e-15 
   36       1.650172207409e-10       4.405541528657e-15       2.653167447175e-13       0.000000000000e+00       1.123402776266e-10       1.142205397976e-11      -8.956152583295e-15 
   37       1.675173742254e-10       4.848772423597e-15       2.636426257600e-13       0.000000000000e+00       1.063325759648e-10       1.085236876422e-11      -8.712121010428e-15 
   38       1.700428123998e-10       5.321022187125e-15       2.605805891546e-13       0.000000000000e+00       1.007585097177e-10       1.033280373758e-11      -7.876272674086e-15 
   39       1.725976631147e-10       5.823040654376e-15       2.561425306474e-13       0.000000000000e+00       9.560047736706e-11       9.856767860973e-12      -6.761769369294e-15 
   40       1.751806325514e-10       6.355534731648e-15       2.503574413101e-13       0.000000000000e+00       9.080938614469e-11       9.413408881866e-12      -5.759415647883e-15 
   41       1.777875144701e-10       6.919184504501e-15       2.432568114836e-13       0.000000000000e+00       8.632177397407e-11       8.990940871677e-12      -5.236905263293e-15 
   42       1.804211099031e-10       7.514705406580e-15       2.348225784245e-13       0.000000000000e+00       8.212448381490e-11       8.588759336330e-12      -5.185007803111e-15 
   43       1.830835497414e-10       8.142801011007e-15       2.250240190066e-13       0.000000000000e+00       7.820641838074e-11       8.208689043602e-12      -5.464680152791e-15 
   44       1.857731111205e-10       8.804143753648e-15       2.138319284007e-13       0.000000000000e+00       7.453913129893e-11       7.851560757654e-12      -5.900718947863e-15 
   45       1.884862136832e-10       9.499362518064e-15       2.012154143311e-13       0.000000000000e+00       7.108699936599e-11       7.517304834666e-12      -6.319513216306e-15 
   46       1.912250014685e-10       1.022900526166e-14       1.871311814494e-13       0.000000000000e+00       6.784462106482e-11       7.205483644568e-12      -6.681047680338e-15 
   47       1.939913914593e-10       1.099356211420e-14       1.715310113114e-13       0.000000000000e+00       6.480824890918e-11       6.914760766447e-12      -6.982547303035e-15 
