# Matter power spectrum P(k) at redshift z=0
# for k=1.04427e-05 to 1.65666 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044266608752e-05       5.256160036521e+01 
       2.352657315895e-05       1.148077923786e+02 
       3.665747706590e-05       1.758848695560e+02 
       4.987183101065e-05       2.364912787559e+02 
       6.320670580900e-05       2.970201031688e+02 
       7.670013089668e-05       3.577640531650e+02 
       9.039144651115e-05       4.189724623430e+02 
       1.043216718718e-04       4.808745356051e+02 
       1.185338942176e-04       5.436912297825e+02 
       1.330736835950e-04       6.076424326952e+02 
       1.479895382904e-04       6.729519420082e+02 
       1.633333657199e-04       7.398513386320e+02 
       1.791610033638e-04       8.085832903953e+02 
       1.955327838767e-04       8.794045705079e+02 
       2.125141476964e-04       9.525889497210e+02 
       2.301763051577e-04       1.028430050781e+03 
       2.485969480894e-04       1.107244208399e+03 
       2.678610078583e-04       1.189373342945e+03 
       2.880614525082e-04       1.275187823519e+03 
       3.093001096088e-04       1.365089261014e+03 
       3.316884932500e-04       1.459513130888e+03 
       3.553486028037e-04       1.558931076016e+03 
       3.804136472303e-04       1.663852680599e+03 
       4.070286315921e-04       1.774826436319e+03 
       4.353507222288e-04       1.892439543538e+03 
       4.655492846150e-04       2.017316108318e+03 
       4.978054652383e-04       2.150113220421e+03 
       5.323111694371e-04       2.291514344111e+03 
       5.692672765099e-04       2.442219446307e+03 
       6.088809390752e-04       2.602931355427e+03 
       6.513618446322e-04       2.774338022993e+03 
       6.969173824235e-04       2.957090678163e+03 
       7.457467637482e-04       3.151778335595e+03 
       7.980342871919e-04       3.358899719828e+03 
       8.539421084753e-04       3.578834337856e+03 
       9.136030402108e-04       3.811815046809e+03 
       9.771140303084e-04       4.057904867492e+03 
       1.044531006428e-03       4.316980825088e+03 
       1.115865696436e-03       4.588727143870e+03 
       1.191084836572e-03       4.872639175327e+03 
       1.270111890040e-03       5.168038127487e+03 
       1.352831078853e-03       5.474095242479e+03 
       1.439093252183e-03       5.789862862223e+03 
       1.528722933759e-03       6.114309119326e+03 
       1.621525836520e-03       6.446352942078e+03 
       1.717296195989e-03       6.784896609949e+03 
       1.815823419308e-03       7.128853990650e+03 
       1.916897728290e-03       7.477173511595e+03 
       2.020314650993e-03       7.828845425050e+03 
       2.125878359998e-03       8.182933146829e+03 
       2.233403955102e-03       8.538583396777e+03 
       2.342718844487e-03       8.895007374051e+03 
       2.453663399471e-03       9.251491447290e+03 
       2.566091054498e-03       9.607395026549e+03 
       2.679868005840e-03       9.962146950608e+03 
       2.794872637642e-03       1.031524097337e+04 
       2.910994777665e-03       1.066623073158e+04 
       3.028134860697e-03       1.101472447102e+04 
       3.146203056583e-03       1.136037978189e+04 
       3.265118402747e-03       1.170289856721e+04 
       3.384807967753e-03       1.204202239425e+04 
       3.505206062369e-03       1.237752825910e+04 
       3.626253507326e-03       1.270922471920e+04 
       3.747896961748e-03       1.303694838309e+04 
       3.870088312730e-03       1.336056076258e+04 
       3.992784124251e-03       1.367994547759e+04 
       4.115945142146e-03       1.399500577080e+04 
       4.239535851144e-03       1.430566227488e+04 
       4.363524079577e-03       1.461185098905e+04 
       4.487880647321e-03       1.491352144574e+04 
       4.612579052652e-03       1.521063506775e+04 
       4.737595193940e-03       1.550316378081e+04 
       4.862907122390e-03       1.579108890754e+04 
       4.988494822385e-03       1.607439940929e+04 
       5.114340016282e-03       1.635309128013e+04 
       5.240425990886e-03       1.662716667152e+04 
       5.366737443059e-03       1.689663098591e+04 
       5.493260342280e-03       1.716149773628e+04 
       5.619981808150e-03       1.742178452993e+04 
       5.746890001132e-03       1.767751169645e+04 
       5.873974024974e-03       1.792870287182e+04 
       6.001223839468e-03       1.817538464950e+04 
       6.128630182370e-03       1.841758617930e+04 
       6.256184499411e-03       1.865533883019e+04 
       6.383878881505e-03       1.888867590915e+04 
       6.511706008325e-03       1.911763235752e+04 
       6.639659097549e-03       1.934224449262e+04 
       6.767731859141e-03       1.956254977853e+04 
       6.895918454117e-03       1.977858661036e+04 
       7.024213457309e-03       1.999039414842e+04 
       7.152611823700e-03       2.019801217531e+04 
       7.281108857941e-03       2.040148097026e+04 
       7.409700186727e-03       2.060084122609e+04 
       7.538381733727e-03       2.079613396479e+04 
       7.667149696799e-03       2.098740047480e+04 
       7.796000527271e-03       2.117468226020e+04 
       7.924930911070e-03       2.135802097445e+04 
       8.053937751513e-03       2.153745837485e+04 
       8.183018153603e-03       2.171303626106e+04 
       8.312169409682e-03       2.188479641242e+04 
       8.441388986296e-03       2.205278053668e+04 
       8.570674512188e-03       2.221703019960e+04 
       8.700023767269e-03       2.237758678101e+04 
       8.829434672520e-03       2.253449142249e+04 
       8.958905280708e-03       2.268778498579e+04 
       9.088433767850e-03       2.283750803346e+04 
       9.218018425369e-03       2.298370079728e+04 
       9.347657652862e-03       2.312640318608e+04 
       9.477349951444e-03       2.326565477962e+04 
       9.607093917596e-03       2.340149484798e+04 
       9.736888237504e-03       2.353396236198e+04 
       9.866731681812e-03       2.366309600396e+04 
       9.996623100783e-03       2.378893417759e+04 
