# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.560435091844e-10       4.035355309309e-14       7.114984161004e-13       0.000000000000e+00       4.053722328045e-09       8.917142337133e-10      -5.057926269191e-12 
    3       2.808462922084e-10       4.345890331814e-14       1.063521266305e-12       0.000000000000e+00       2.421477745335e-09       5.769138446843e-10      -3.147909440323e-12 
    4       2.303172020939e-10       3.370506157402e-14       1.101919382207e-12       0.000000000000e+00       1.631343505114e-09       4.060002559855e-10      -1.474141661718e-12 
    5       1.967016038676e-10       2.419731151228e-14       9.921634157427e-13       0.000000000000e+00       1.179500624345e-09       3.014490419076e-10      -4.158488241734e-13 
    6       1.742895590003e-10       1.835858828195e-14       8.412300585523e-13       0.000000000000e+00       8.927092758620e-10       2.326291227623e-10       7.844556785853e-14 
    7       1.592644861193e-10       1.497888103534e-14       7.059477094483e-13       0.000000000000e+00       6.981578342120e-10       1.850186719206e-10       1.847261112805e-13 
    8       1.491306121773e-10       1.290049279380e-14       6.044253614488e-13       0.000000000000e+00       5.597270426525e-10       1.507437141349e-10       9.376918120025e-14 
    9       1.423403281711e-10       1.193373195833e-14       5.325408012154e-13       0.000000000000e+00       4.575818472963e-10       1.252006877394e-10      -4.604812591278e-14 
   10       1.378675983885e-10       1.206059145742e-14       4.774636456531e-13       0.000000000000e+00       3.800239068930e-10       1.055740626077e-10      -1.501328993047e-13 
   11       1.350809730094e-10       1.303222719243e-14       4.271429728823e-13       0.000000000000e+00       3.191013822565e-10       9.074185425261e-11      -1.956199232443e-13 
   12       1.335687145096e-10       1.452549120187e-14       3.746824475124e-13       0.000000000000e+00       2.716103692532e-10       7.811410826980e-11      -1.895731308484e-13 
   13       1.330591962511e-10       1.630965067031e-14       3.189630460352e-13       0.000000000000e+00       2.333495913224e-10       6.791177112631e-11      -1.589150273569e-13 
   14       1.333181613890e-10       1.824383613817e-14       2.630331234806e-13       0.000000000000e+00       2.021085213501e-10       5.953752613661e-11      -1.278158383838e-13 
   15       1.341903446789e-10       2.023165708938e-14       2.109003557846e-13       0.000000000000e+00       1.762973010252e-10       5.259706598790e-11      -1.081642767484e-13 
